Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
FARP1	4	0.0089235	0.077531	0.73167	0.96739	0.9382	0.96566
MAP4K2	4	0.0062602	0.077545	0.74181	0.96825	0.93819	0.96566
Non-Targeting_Control-N510	1	0.34678	0.59465	0.21001	0.66984	0.55208	0.72689
GPATCH2	4	0.20897	1.571	0.12151	0.53084	0.11619	0.4735
PRKCD	4	-0.11208	-0.87757	0.86601	0.98767	0.38018	0.62076
SLC9C2	4	0.13919	1.2231	0.28096	0.75196	0.2213	0.49619
MCPH1	4	-0.42399	-2.1247	0.30373	0.77017	0.033609	0.30657
NMI	4	-0.10437	-0.84154	0.88729	0.98919	0.40005	0.63606
RASA4	4	-0.60957	-2.244	0.14031	0.56849	0.024831	0.25134
ASF1B	4	-0.088859	-1.1282	0.93318	0.99343	0.25922	0.52029
TIGD1	4	-0.24759	-1.2817	0.56565	0.92496	0.19995	0.48207
SCARA3	4	0.12902	1.4677	0.30975	0.77681	0.14219	0.4735
ZNF205	4	-0.1871	-1.3072	0.68463	0.95698	0.19116	0.47873
AKR1C1	4	-0.11491	-0.6958	0.8579	0.98557	0.48655	0.70313
GRWD1	4	-1.2543	-2.3873	0.010342	0.12568	0.016973	0.19287
LRRC8B	4	-0.068381	-0.96156	0.99901	0.99975	0.33627	0.58167
AVPR1B	4	0.0048716	0.21391	0.74673	0.96843	0.83062	0.90368
TXLNG	4	0.21617	1.4219	0.11062	0.51062	0.15506	0.4735
ARID4A	4	0.48977	1.4211	0.00089494	0.022556	0.15529	0.4735
OVOL2	4	0.06378	1.0483	0.5306	0.90779	0.29448	0.5457
TBC1D26	4	-0.069243	-0.30235	0.99622	0.9992	0.76238	0.86
HOXA5	4	-0.055086	-1.0329	0.95878	0.99518	0.30167	0.55078
DYNC2H1	4	0.2116	1.4751	0.11709	0.5201	0.1402	0.4735
EXT1	4	-0.40106	-2.0335	0.33158	0.79716	0.042	0.34921
NIM1K	4	-0.011113	-0.12154	0.80426	0.97744	0.90326	0.9468
CRELD2	4	-0.046836	-0.35661	0.93188	0.99343	0.72139	0.83237
ACPP	4	0.25185	1.6436	0.064734	0.39347	0.10025	0.4735
GAGE2D	4	-0.43174	-2.2868	0.29379	0.76363	0.022206	0.23034
