sgRNA,Gene,Ts13.initial,Ts13.final
19192354,CSRP3,2836,3564
70340613,LRRC20,1671,1786
48626042,HOXB9,786,446
44350294,GRN,3005,3177
15949508,OR10H4,912,949
11259437,HRH1,1997,3202
49292366,GALK2,1541,2230
132207806,P4HA2,1626,2064
75143249,LHX8,1323,2071
50150204,PPP1R9B,1040,868
53170113,CSAD,1454,2155
67674437,VTI1B,3152,2326
125446305,FAT4,1455,1557
135883100,CT45A10,1330,1886
48723767,PRAC2,1237,995
42317750,TMEM145,541,613
46674616,VPS35,564,469
46039031,MSMB,788,823
,Non-Targeting_Control-N947,1904,2212
50382207,SKA1,2416,3761
64215924,C12orf66,784,1145
47075351,KATNAL2,781,528
14827820,OR7A5,2120,1943
,Non-Targeting_Control-N592,2096,3640
58851648,TOX,1949,2326
56535201,C5orf67,1401,1471
108173160,NPAT,373,399
102955460,MMP13,1055,1594
125107834,SLC12A8,2040,2601
42143962,BEND4,4437,6945
2800101,FKBP4,614,523
143397947,EPHA1,838,945
126352267,KLF15,2547,3900
46709185,TMIE,447,781
142203516,MAGEC2,1501,1519
12719168,TNPO2,2249,1424
63954518,HMSD,833,1329
58939414,TOX,2031,2082
1013295,TMEM259,2112,2010
155900531,VAMP7,1102,1492
41505438,KRT13,1432,2043
24702050,ATP12A,4317,4904
2520071,LFNG,2199,2671
117238641,RNF214,1790,1661
83665498,SNAP91,1505,1383
31026357,MUC22,761,700
3753776,APBA3,777,696
47054458,JADE3,2760,3008
231421286,EGLN1,2292,3195
159714445,CRP,2078,2341
728419,HAGHL,2044,2086
1155518,ZFAND2A,1400,1504
38717193,ACTN4,774,999
65320999,CDC42EP2,2242,2491
151338776,P2RY12,1349,1755
119418085,NOV,3327,2106
121809946,SETD1B,2387,1980
1034314,NKD2,2567,2280
248681884,OR14I1,2512,3302
44399429,TRPM2,2203,2330
178825754,KCNMB2,1134,1042
47175043,RBM10,1842,701
88166396,TMTC3,1115,1391
134699921,COL5A1,1610,2196
25281092,PYGB,876,948
55720963,TMEM100,2730,3789
139393626,PROB1,2412,2877
28047573,NUGGC,2183,2517
48134899,SLC24A5,2839,3234
42873966,RNF170,2337,3049
25674486,ADRBK2,2063,2433
5947400,OR56A3,1802,2232
,Non-Targeting_Control-N670,1392,1638
121048746,GLUD2,1577,2508
68315078,MDM1,54,137
63544630,RARRES3,2971,5314
26565526,MUC15,1380,2840
82689225,AP3B2,805,1435
71837478,DEFB108B,1039,1114
60502036,MS4A12,1586,1986
16977114,MFAP2,1798,2092
96987297,OXGR1,1111,911
50058876,ASIC1,1617,1092
115676208,GAP43,1631,2043
44014501,TMEM101,1117,1109
8731543,OR2Z1,1311,1472
112123707,GCSAM,3494,3895
127034483,RALGPS1,1381,1548
,Non-Targeting_Control-N309,1776,2205
94153563,PANX1,1371,1443
13153224,IER2,2922,2027
25345557,DOCK5,2199,2008
16957883,CPAMD8,2733,4046
48918375,CCDC65,800,919
4920222,MMD2,3271,3214
9967498,CLDN34,1490,1459
71777705,CDH23,827,1282
32937350,HLA-DMB,729,711
79026121,REG3G,2372,3495
153358342,S100A9,951,1000
206445463,ADAM23,1403,1333
44478037,ZNF180,2059,1936
124451453,TRMT12,1035,784
196885412,SENP5,1259,1418
142314917,SPRY4,679,717
12792312,JUNB,1274,1981
19456831,TMC5,1056,1363
170583565,PDCD2,1036,54
28290389,METTL15,673,934
,Non-Targeting_Control-N697,2358,4029
108469997,GCC2,1372,1854
18509558,TSG101,1892,512
70526127,PALD1,1855,1802
230710551,AGT,1693,2131
33607069,CBFA2T2,1703,1630
50159918,SOS2,2008,2039
26301705,UBXN11,903,643
95203890,CLMN,1975,1928
113395756,CFAP44,1663,1751
17604875,BTG3,2395,2685
69631818,C10orf35,3217,3844
83107757,TM6SF1,1753,2242
35546743,TMEM147,808,689
1421785,ASMTL,875,1095
96115706,ADRA2B,2199,2729
18357458,PGPEP1,2333,2137
124371877,TMEM65,1532,1043
207768565,FZD5,2347,1959
,Non-Targeting_Control-N753,2019,2452
52370288,MYO5A,607,980
144399830,ZEB2,635,1132
37602031,MTRNR2L7,759,822
28548905,PLB1,1167,1202
55452760,OR6C2,1567,1561
65794698,OVOL1,780,643
85796320,SLITRK6,2563,3149
20785500,SP8,2971,2730
13492816,PTH,1574,2164
38061616,ZFAND3,1351,1432
58880860,LRIG3,1678,1473
46681977,ST8SIA5,2425,3013
11858736,NPPB,2120,2986
90017303,DECR1,1596,1498
74723251,CRYZ,2120,2241
35264118,ZSCAN30,1455,1953
28956037,NFATC2IP,717,745
127724357,TTC16,2446,3469
28153162,ZKSCAN8,986,800
