Gene	sgRNA	DLD1-Ts5.15|beta	DLD1-Ts5.15|z	DLD1-Ts5.15|p-value	DLD1-Ts5.15|fdr	DLD1-Ts5.15|wald-p-value	DLD1-Ts5.15|wald-fdr
AAK1	6	-0.014287	-0.23477	0.77332	0.93409	0.81439	0.89453
AATK	6	-0.088364	-0.72716	0.92264	0.98572	0.46713	0.65539
ABL1	6	0.44042	1.7875	0	0	0.073853	0.27864
ABL2	6	-0.022962	-0.19468	0.80973	0.94587	0.84564	0.91542
ACVR1	6	0.23712	1.3197	0.040102	0.26705	0.18694	0.38731
ACVR1B	6	0.10451	0.98957	0.28043	0.64109	0.32238	0.52417
ACVR1C	6	0.20786	1.5304	0.069113	0.35159	0.12591	0.31968
ACVR2A	6	-0.13586	-2.3865	0.75313	0.9304	0.01701	0.1335
ACVRL1	6	-0.038261	-0.32421	0.87514	0.96852	0.74578	0.84942
ADCK1	6	0.084976	0.75829	0.34357	0.68636	0.44828	0.63559
ADCK2	6	-0.10265	-1.0017	0.8686	0.96713	0.31647	0.51851
ADCK3	6	0.0066079	0.056778	0.67577	0.89525	0.95472	0.97581
ADCK4	6	0.097507	0.55168	0.30745	0.66523	0.58117	0.7195
ADCK5	6	-0.11694	-1.109	0.81627	0.94659	0.26745	0.47017
ADRBK1	6	0.09295	0.9107	0.32082	0.67341	0.36246	0.55699
ADRBK2	6	0.21907	0.97072	0.055176	0.3104	0.33169	0.53198
AK1	6	0.083416	1.0387	0.34755	0.68962	0.29895	0.50316
AK2	6	-0.21126	-1.6397	0.5256	0.81124	0.10107	0.29439
AK3	6	-0.20522	-1.5106	0.54152	0.82226	0.13088	0.32432
AKT1	6	-0.6897	-2.9646	0.033276	0.24025	0.0030306	0.038747
AKT2	6	-0.50368	-2.6751	0.093003	0.40467	0.0074709	0.075482
AKT3	6	0.13904	1.4987	0.18743	0.55425	0.13396	0.32688
ALK	6	-0.0057105	-0.11093	0.73606	0.92495	0.91167	0.95089
AMHR2	6	-0.013656	-0.16804	0.77048	0.93388	0.86655	0.92721
ANKK1	6	0.16868	1.5514	0.12372	0.45369	0.1208	0.31507
ARAF	6	0.1552	1.3376	0.15017	0.49858	0.18102	0.38089
ATM	6	-0.64679	-2.7901	0.042378	0.27491	0.0052689	0.058948
ATR	6	-2.9843	-5.7636	0	0	8.2333e-09	6.7321e-07
AURKA	6	-1.0591	-2.5603	0.0039818	0.04947	0.01046	0.097808
AURKB	6	-1.7894	-3.6215	0.00028441	0.0051282	0.00029291	0.0056277
AURKC	6	-0.099158	-0.91322	0.88197	0.9712	0.36112	0.55543
AXL	6	-0.20778	-1.4149	0.53498	0.81854	0.1571	0.35706
BCR	6	0.058705	0.19727	0.44653	0.75992	0.84362	0.91379
BLK	6	0.31056	1.8538	0.0088168	0.088571	0.063772	0.2701
