sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
ZNF521_E4_276.4,ZNF521,3308,2065
SETD1B_e17_118.2,SETD1B,7804,6386
ZNF717_E5_1770.65,ZNF717,5776,4310
HP_1221.43,HP,5148,3506
MID1_2004.245,MID1,2664,1992
NFATC4_E5_200.4,NFATC4,4618,3733
ZNF253_E4_828.54,ZNF253,7618,6689
ZNF619_E6_732.57,ZNF619,2656,1461
LTK_PKc_E12_91.7,LTK,2748,1851
SETDB2_e14_89.4,SETDB2,4150,2779
SOX10_E3_91.6,SOX10,5902,5368
ZNF600_E3_1785.112,ZNF600,4636,3973
PIAS4_E9_132.2,PIAS4,7378,4629
PIAS4_1533.71,PIAS4,7378,4629
MEIS2_E9_77.4,MEIS2,4406,2497
ZIC3_E1_118.19,ZIC3,1530,858
ZNF112_E5_1077.55,ZNF112,2398,2059
ZNF367_E3_53.3,ZNF367,5952,4570
UBE2V2_438.7,UBE2V2,1528,831
RHBDF2_2571.26,RHBDF2,1380,1068
DDB1_3423.28,DDB1,1316,699
KLHL34_BTB19126_E1_1935.403,KLHL34,1282,755
DIDO1_Phd_E4_118.8,DIDO1,1426,634
DCAF6_2856.232,DCAF6,2148,1034
PCGF2_1035.12,PCGF2,2058,1542
HOXA1_E2_168.1,HOXA1,3220,2420
ZNF77_E4_834.85,ZNF77,3154,2568
CDK2_PKc_E3_121.2,CDK2,888,611
TFEB_E7_76.0,TFEB,9260,6890
ZNF367_E2_31.0,ZNF367,2716,1173
KAT2B_BD_e18_190.12,KAT2B,2434,1302
ZNF549_E4_1143.10,ZNF549,7778,6002
KCNA5_BTB122213_E1_1842.351,KCNA5,1846,1165
MMP8_1404.114,MMP8,4188,3152
ZNF574_E2_1602.35,ZNF574,3286,2388
AZU1_756.19,AZU1,3706,3325
GRHL2_E8_95.0,GRHL2,2182,1364
neg39,neg39,14958,9833
TIP60_e10_94.0,TIP60,13226,10344
RNF113B_969.116,RNF113B,2352,1922
SMARCA4_HELIC_e25.2,SMARCA4,43218,43354
ZNF131_BTB24129_E1_1770.135,ZNF131,2988,1276
TRPS1_E7_69.1,TRPS1,2996,1859
SMARCC1_Chromo_E7_70.3,SMARCC1,2508,1606
SOCS7_1746.171,SOCS7,858,569
KDM4C_tudor935990_E1_3171.194,KDM4C,2320,1501
FBXO11_2784.155,FBXO11,1866,916
PKN3_PKc_E18_77.5,PKN3,1308,678
ZNF276_E2_231.7,ZNF276,2022,1726
FBXO34_2136.163,FBXO34,1864,1087
DCAF17_1362.91,DCAF17,3326,2684
ZNF688_E3_153.5,ZNF688,1580,865
CDKL2_PKc_E5_113.6,CDKL2,372,145
ADAMTS14_3681.98,ADAMTS14,1750,1503
LEUTX_E2_73.1,LEUTX,6832,4361
ZSCAN10_E6_1281.169,ZSCAN10,2970,2386
ABL1_PKc_E9_68,ABL1,2210,1295
STK3_PKc_E4_41,STK3,1010,746
DZIP3_3627.150,DZIP3,6174,4593
RNF34_1122.98,RNF34,1932,1179
BNC2_E6_176.7,BNC2,3088,2845
MORF_e14_210.22,MORF,1824,1257
FOXD4_E1_234.40,FOXD4,1710,1784
MYT1_E10_114.1,MYT1,3532,2627
CAPN2_2103.67,CAPN2,2748,1481
TULP1_E10_108.16,TULP1,4764,4985
POLR2A_e2.2,POLR2A,6592,2924
ERBB4_PKc_E20_186.2,ERBB4,2008,1119
TRRAP_PKc_E71_195,TRRAP,1008,670
DDB1_3423.305,DDB1,2940,1768
MORF_e12_162.8,MORF,6626,3857
ADAMTS8_2670.123,ADAMTS8,2730,2041
BHLHE40_E3_108.9,BHLHE40,902,545
PSEN1_1404.131,PSEN1,4426,3157
ZNF770_E3_1944.67,ZNF770,3812,1885
TBX15_E6_63.0,TBX15,6086,3271
WHSC1_PWWP218337_E1_4098.534,WHSC1,1722,1755
ZNF280D_E12_101.1,ZNF280D,4474,3061
RNF41_954.9,RNF41,3410,2506
RFFL_1092.87,RFFL,2012,1354
TBX21_E3_122.0,TBX21,2626,1898
STK31_PKc_E20_84,STK31,2684,1693
CBX2_Chromo_E1_42.2,CBX2,1874,1309
VPS41_2565.173,VPS41,4710,3208
KDM8_e4_133.7,KDM8,4274,3764
SPPL2A_1563.54,SPPL2A,2192,1396
NRF1_E7_87.6,NRF1,1664,1125
DDIT3_E4_192.22,DDIT3,1454,996
FAP_2283.129,FAP,4558,4050
CNDP1_1524.43,CNDP1,3176,2570
VPS11_2825.273,VPS11,2230,1425
SOCS3_678.21,SOCS3,1258,629
ZFP30_E6_1074.18,ZFP30,3402,1725
RCOR3_E11_92.1,RCOR3,5240,3922
RCOR3_SANT2_E11_101.1,RCOR3,5240,3922
USP17L10_1593.147,USP17L10,1706,1099
