sgRNA,Gene,HCT116-Ts3.initial,HCT116-Ts3.final
KMT2D_16614.3185,KMT2D,249,291
JMJD1C_e22_86.2,JMJD1C,1608,1392
COPS5_1005.52,COPS5,2381,627
ZNF619_E6_732.58,ZNF619,1317,1601
FAM105A_117.5,FAM105A,1045,1146
SOCS2_597.43,SOCS2,2540,2110
PCAF_e11_118.9,PCAF,1765,2834
PARP9_Macro117295_E1_2565.247,PARP9,827,834
RHBDD2_672.131,RHBDD2,1368,941
SREBF1_E7_66.0,SREBF1,1295,2035
ZNF541_E12_78.2,ZNF541,1210,1022
ZNF33B_E4_1407.103,ZNF33B,1430,1688
RAB40C_846.146,RAB40C,556,636
TOX_E5_147.11,TOX,1603,2031
MDM2_1335.37,MDM2,1184,733
FOXO4_E2_90.1,FOXO4,2433,2748
ZBTB12_E2_78.3,ZBTB12,3448,2515
CDK9_e4.2,CDK9,4953,592
ZIC5_E1_118.8,ZIC5,535,629
ADAM12_2730.82,ADAM12,3240,2178
TBX1_E3_86.5,TBX1,2202,1287
ZNF431_E5_1059.60,ZNF431,1252,1461
CYHR1_1089.23,CYHR1,2329,1889
CYHR1_1,CYHR1,2329,1889
SIRT1_e4_153.6,SIRT1,1146,1546
USP8_3357.182,USP8,1585,417
KBTBD7_BTB53168_E1_2055.218,KBTBD7,935,708
TOX3_E5_144.10,TOX3,1371,1867
ZNF614_E5_666.11,ZNF614,1595,1040
ZSCAN20_E8_478.84,ZSCAN20,3027,2874
ZSCAN20_SANT_E6_478.84,ZSCAN20,3027,2874
RNF40_3006.320,RNF40,742,142
T_E3_265.48,T,1813,1696
DCAF1_11,DCAF1,1227,123
HMGXB3_E3_163.4,HMGXB3,631,593
ARIH2_1482.141,ARIH2,585,466
GSC_E2_135.12,GSC,695,679
NAALAD2_2223.128,NAALAD2,932,933
ZNF214_E3_1026.52,ZNF214,2530,3759
USP50_1005.67,USP50,1534,819
FBXW8_9,FBXW8,902,1150
neg48,neg48,5763,8691
SMG1_PKc_E43_139.5,SMG1,256,166
DIDO1_Phd_E3_362.22,DIDO1,2092,758
BRPF3_BD_e6_190.4,BRPF3,1461,1422
L3MBTL1_MBT385481_E1_2523.356,L3MBTL1,1209,1720
ZNF763_E4_402.24,ZNF763,1898,2310
PSKH1_PKc_E3_108.1,PSKH1,411,369
CGRRF1_999.36,CGRRF1,917,1252
ATG4B_1182.145,ATG4B,719,1010
ENDOU_1233.68,ENDOU,1539,1198
FGFR1_PKc_E14_123.7,FGFR1,651,385
CFLAR_708.34,CFLAR,2020,1602
SIX2_E1_156.18,SIX2,971,883
ADCK1_PKc_E8_150.18,ADCK1,556,452
ZNF10_E5_666.53,ZNF10,1165,1337
PHF8_e7_187.13,PHF8,1620,1038
