Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
NAA25	4	-0.97869	-1.8452	0.01064	0.13851	0.065006	0.49029
UBTD1	4	-0.0081313	-0.23877	0.83289	0.98076	0.81128	0.88879
FOXRED2	4	0.026333	0.2731	0.68352	0.94361	0.78477	0.87248
TMEM62	4	0.064105	0.66589	0.52108	0.88514	0.50548	0.72553
NRSN2	4	0.19916	0.97342	0.11441	0.53449	0.33034	0.58919
SLC8B1	4	-0.033753	-0.79858	0.93392	0.99277	0.42453	0.66324
PANK2	4	0.037548	0.73824	0.63504	0.92633	0.46037	0.69168
FBXL18	4	-0.11963	-1.0836	0.7679	0.96453	0.27853	0.54564
SEMA6D	4	-0.49529	-2.1278	0.13798	0.5768	0.033354	0.40631
ZNF556	4	-0.035192	-0.30498	0.93939	0.99329	0.76038	0.85755
CSRNP3	4	0.16122	1.1826	0.19381	0.65266	0.23696	0.51769
TRPM3	4	-0.28844	-1.8745	0.3752	0.81051	0.060856	0.49029
GPR157	4	-0.13054	-1.3783	0.73488	0.95918	0.1681	0.49091
PGAP1	4	0.15763	1.556	0.20271	0.66417	0.1197	0.49029
LRRTM4	4	0.038174	0.44182	0.63251	0.92592	0.65862	0.78921
ATF7IP2	4	0.31222	1.588	0.014817	0.17215	0.11229	0.49029
DCAF17	4	0.10172	1.5003	0.37585	0.81051	0.13353	0.49029
ADAMTS20	4	0.11891	1.1709	0.31623	0.77095	0.24165	0.51918
CCDC15	4	0.059229	1.1472	0.54152	0.89097	0.25128	0.5243
ZNF606	4	0.05556	0.4586	0.55668	0.89575	0.64652	0.78064
MZT2B	4	-0.061677	-0.44432	0.96037	0.99665	0.65681	0.78789
C7orf69	4	-0.014406	-0.52774	0.85775	0.98297	0.59768	0.74876
ZFP2	4	0.35214	1.4928	0.0062152	0.099602	0.13549	0.49029
ZNF614	4	-0.026095	-0.16786	0.90409	0.98832	0.86669	0.92416
C3orf36	4	-0.065911	-0.82054	0.94565	0.99389	0.41191	0.6538
BICC1	4	0.39841	1.4007	0.0019889	0.047337	0.16132	0.49029
BAIAP2L2	4	0.065854	0.66682	0.51422	0.88069	0.50489	0.72521
ARL14	4	0.13133	1.1252	0.2775	0.74255	0.26049	0.53221
PIF1	4	-0.060759	-0.38091	0.96311	0.99712	0.70327	0.81924
MAP3K19	4	0.0027069	0.022041	0.7857	0.9694	0.98242	0.99016
VCPIP1	4	-0.17459	-0.97971	0.61177	0.91725	0.32723	0.58667
CCDC33	4	-0.11673	-0.64409	0.7766	0.9673	0.51952	0.73154
CCDC176	4	0.38931	1.3409	0.0024364	0.054688	0.17996	0.49252
TRIM46	4	-0.1636	-0.76254	0.64036	0.92781	0.44574	0.67945
CCDC170	4	-0.042015	-0.29988	0.96644	0.99724	0.76427	0.86001
LRRC8E	4	-0.052565	-0.75472	0.99269	0.99905	0.45042	0.68301
MROH9	4	0.057882	0.70111	0.54724	0.89298	0.48323	0.70925
RPF1	4	-1.1381	-2.3668	0.0048727	0.08642	0.017945	0.30482
ZNF703	4	-0.13667	-1.5658	0.71614	0.95346	0.11741	0.49029
PTGES2	4	-0.20092	-1.8238	0.54773	0.89329	0.06818	0.49029
SIKE1	4	0.19987	1.3806	0.11332	0.53232	0.1674	0.4907
FRAS1	4	-0.080686	-1.6796	0.89598	0.98783	0.093037	0.49029
THOC7	4	-0.43978	-1.1834	0.18541	0.64499	0.23664	0.51746
UXS1	4	-0.054722	-0.56144	0.98493	0.99905	0.5745	0.73594
PQLC1	4	0.1574	1.1766	0.20326	0.66445	0.23937	0.51816
ZC3H12A	4	0.16195	1.2054	0.19232	0.65141	0.22805	0.51083
ASRGL1	4	0.017396	0.1407	0.72325	0.95554	0.88811	0.93732
CENPT	4	-0.80853	-2.3469	0.026502	0.24977	0.018931	0.31141
EDC3	4	0.14053	1.325	0.25124	0.72016	0.18518	0.4935
NAA15	4	-0.34443	-1.4198	0.29341	0.75418	0.15567	0.49029
CWH43	4	0.054842	0.39927	0.55986	0.89757	0.68969	0.81009
ATHL1	4	-0.1307	-0.91981	0.73454	0.95891	0.35767	0.61062
PRR36	4	0.015068	0.37348	0.73344	0.95867	0.70879	0.82299
C4orf29	4	0.16042	1.1347	0.1965	0.6576	0.25652	0.52809
MOGAT2	4	0.13248	0.88254	0.27367	0.73899	0.37749	0.62599
CTC1	4	-1.2783	-2.4201	0.0022375	0.05137	0.015514	0.28626
IFT74	4	0.27371	1.4557	0.031573	0.27717	0.14546	0.49029
DBF4B	4	-0.092236	-1.4619	0.8565	0.98261	0.14376	0.49029
SPSB1	4	0.16512	1.5546	0.18546	0.64499	0.12003	0.49029
MYCT1	4	0.022888	0.32064	0.69854	0.94874	0.74849	0.84952
C16orf59	4	-1.6263	-3.2377	0.00029833	0.012146	0.0012049	0.074334
MYO19	4	0.070499	0.37145	0.49667	0.87454	0.71031	0.82371
KIAA0226L	4	0.13805	0.86631	0.25756	0.72505	0.38632	0.63297
CEP290	4	0.18542	1.3837	0.14036	0.57854	0.16646	0.4907
TTI2	4	-1.4567	-2.3808	0.00084527	0.028333	0.017277	0.29974
TMEM134	4	0.014037	0.24066	0.73692	0.9596	0.80982	0.88787
TMEM254	4	0.30132	1.515	0.018397	0.19903	0.12976	0.49029
RNF34	4	0.0061043	0.044272	0.77014	0.96541	0.96469	0.97915
MUS81	4	-0.38991	-2.0858	0.23787	0.70706	0.036992	0.42232
FUZ	4	-0.062218	-0.72714	0.95883	0.99665	0.46714	0.69593
HKDC1	4	-0.048477	-0.4596	0.99165	0.99905	0.6458	0.78041
FBXO11	4	0.03748	0.3313	0.63524	0.92633	0.74042	0.84432
CHD9	4	0.38778	1.4623	0.0024861	0.055371	0.14366	0.49029
FHOD3	4	-0.067285	-0.49718	0.94138	0.99329	0.61906	0.76263
OPA3	4	-0.13212	-1.0912	0.73031	0.9575	0.27519	0.54289
SPG11	4	0.07411	1.6218	0.48304	0.8678	0.10485	0.49029
PROSER1	4	0.088552	1.2895	0.42422	0.83639	0.19724	0.49683
ARMC9	4	0.21925	1.5956	0.084924	0.46692	0.11058	0.49029
CCDC92	4	0.019303	0.18209	0.7148	0.95275	0.85551	0.91726
TM2D3	4	-0.485	-1.693	0.14554	0.58639	0.09045	0.49029
ALPK1	4	0.17271	1.1105	0.16731	0.61909	0.26678	0.53688
CFAP43	4	0.086774	0.75955	0.43124	0.8413	0.44753	0.68102
NAA50	4	-1.2399	-2.433	0.0028839	0.060797	0.014976	0.2794
COQ10B	4	-0.01339	-0.12914	0.85417	0.98261	0.89724	0.94232
ACSF2	4	-0.33657	-1.7988	0.3034	0.76237	0.072055	0.49029
TARS2	4	-1.2631	-2.7643	0.0024861	0.055371	0.0057047	0.17279
RAB11FIP1	4	0.11189	0.64974	0.34044	0.78832	0.51586	0.73046
NUBPL	4	-0.74447	-2.2495	0.037689	0.30577	0.024478	0.3494
PAAF1	4	0.19634	1.2442	0.11943	0.5443	0.21341	0.50383
ORAI2	4	-0.18252	-0.9117	0.59253	0.91019	0.36193	0.61389
RUFY1	4	0.0063191	0.052591	0.76924	0.96513	0.95806	0.97587
CXorf21	4	-0.057246	-0.46714	0.97469	0.99761	0.6404	0.77678
WDR26	4	-0.24977	-1.9758	0.44267	0.84863	0.048179	0.46429
C17orf70	4	-0.85665	-2.669	0.020137	0.21028	0.0076075	0.20024
PIGZ	4	-0.09713	-1.1484	0.84034	0.98165	0.25082	0.52417
ELL3	4	0.021757	0.15841	0.70386	0.95019	0.87413	0.92886
PREX2	4	0.080015	1.6032	0.45818	0.85681	0.10889	0.49029
CEP63	4	-0.23594	-0.92814	0.47166	0.86199	0.35333	0.60768
SLC35F5	4	0.10489	1.2955	0.36431	0.80436	0.19516	0.49683
FAM214B	4	-0.059431	-0.69204	0.96763	0.99724	0.48891	0.71331
EFHC2	4	0.20106	1.5264	0.11182	0.53093	0.12692	0.49029
C16orf70	4	0.062783	0.38265	0.52685	0.88846	0.70198	0.81855
TRIM45	4	-0.27789	-2.07	0.39161	0.81863	0.03845	0.42784
ZNF430	4	0.11859	0.91076	0.31683	0.77095	0.36242	0.61433
EDEM3	4	0.13773	1.0547	0.25855	0.72545	0.29156	0.55559
HSD3B7	4	0.017042	0.12277	0.72449	0.95554	0.90229	0.94553
ITPKC	4	-0.072094	-0.62508	0.92482	0.99206	0.53192	0.73324
GRPEL1	4	-1.8806	-3.3165	0.00014916	0.0091743	0.00091147	0.06746
SCUBE1	4	-0.19863	-1.5406	0.55295	0.89491	0.12341	0.49029
CDK5RAP3	4	-0.30136	-1.709	0.35422	0.79778	0.08746	0.49029
MTERF2	4	0.33169	1.4677	0.0092482	0.12775	0.1422	0.49029
PLEKHO2	4	-0.15474	-1.5451	0.66468	0.93534	0.12233	0.49029
EFHD1	4	0.0044784	0.053491	0.77755	0.96788	0.95734	0.97543
C2orf44	4	-0.15767	-1.2149	0.65608	0.93238	0.22441	0.50957
TRABD	4	0.021675	0.19389	0.70421	0.95035	0.84626	0.91173
MED28	4	-0.021839	-0.15175	0.88882	0.98697	0.87938	0.93222
FLAD1	4	-0.52652	-2.1964	0.1167	0.53829	0.02806	0.37799
SPHKAP	4	0.1146	1.0549	0.33025	0.78022	0.29145	0.55559
PDGFD	4	0.15092	1.5876	0.21992	0.68521	0.11237	0.49029
KLHL15	4	0.0065949	0.034235	0.76775	0.96452	0.97269	0.98449
TET1	4	-0.052063	-1.1431	0.99473	0.99905	0.25298	0.52495
LRRC27	4	0.10309	0.79079	0.37157	0.80772	0.42906	0.6662
EPC1	4	-0.08939	-0.79245	0.86665	0.98438	0.4281	0.66573
CPEB4	4	0.076897	0.76966	0.47086	0.86199	0.4415	0.67618
ZKSCAN3	4	0.012635	0.08867	0.74234	0.96025	0.92934	0.96098
GKAP1	4	0.11726	1.2599	0.32115	0.77455	0.20769	0.50111
CXXC4	4	0.28817	1.3545	0.024612	0.23994	0.17556	0.49252
SP6	4	-0.010486	-0.029957	0.84248	0.98231	0.9761	0.9863
CEP70	4	0.17866	0.94191	0.15568	0.60316	0.34624	0.60202
CCDC68	4	0.23356	1.2725	0.066378	0.41599	0.20318	0.49941
