"","sgRNA","Gene","mergeD0","Vaco.Cont1.final"
"3",100007455,"AFF3",4607.36726039016,236
"5",100011509,"SLC35A3",3425.41221374046,2025
"8",10001800,"COL5A3",3059.75318066158,660
"9",100022122,"ERP44",3062.82612383376,1146
"10",100023877,"ZKSCAN1",7934.84987277354,2136
"11",100024190,"ZKSCAN1",4373.75233248516,2445
"12",100024303,"ZKSCAN1",2326.40118744699,442
"13",100033374,"ZKSCAN1",2956.0780322307,2309
"14",100049997,"HIAT1",7939.59711620017,1371
"15",100052435,"ERP44",5788.32485156913,1256
"16",100052849,"RGS22",2196.03731976251,4782
"17",1000530,"C7orf50",2105.28583545377,1347
"18",100057089,"ZSCAN21",3378.6395250212,1098
"21",100057886,"ZSCAN21",3868.39525021204,974
"23",100059483,"UHRF1BP1L",2646.42408821035,721
"24",100061836,"HIAT1",6907.67514843087,2995
"25",100063478,"RGS22",5770.09499575912,2382
"28",100068044,"HIAT1",1832.56997455471,1444
"29",100068544,"HIAT1",5459.60390161154,1744
"31",100071903,"ZNF3",3394.86598812553,2027
"32",100071987,"ZNF3",4965.71840542833,368
"33",100072067,"ZNF3",3131.16539440204,2540
"35",10007489,"LOC401052",2107.70653095844,2728
"37",10007586,"LOC401052",993.322307039864,1718
"38",100076021,"CPN1",1245.27735368957,680
"40",10007668,"RBP7",942.016963528414,14
"43",100081490,"CPN1",1674.12468193384,646
"44",100083021,"UHRF1BP1L",1111.18999151824,1194
"45",10008407,"LOC401052",1157.91433418151,1785
"47",100086339,"UHRF1BP1L",5242.59796437659,413
"48",100089732,"COPS6",1544.17302798982,1429
"53",100097608,"EVL",3546.30534351145,440
"57",100099297,"MCM7",965.98812553011,615
"58",100102710,"AP4M1",886.5614927905,1382
"61",100105262,"AP4M1",629.373197625106,1341
"64",10010825,"CLEC12B",2145.05597964377,3394
"65",100109005,"ADAMTS17",9052.8481764207,4984
"67",100122286,"CNPY4",2846.22561492791,675
"68",100122518,"CNPY4",3690.83799830365,1311
"69",100122573,"CNPY4",38.9711620016964,1339
"70",100124516,"CNPY4",2774.59202714165,996
"76",100132054,"ADAMTS17",3125.84478371501,281
"77",100133314,"TRMT13",1879.65055131467,731
"78",10013516,"RDH8",3540.71501272265,655
"80",100140977,"FBXO43",1920.7090754877,555
"82",100141789,"FBXO43",4819.49109414758,408
"83",100142138,"FBXO43",2983.80661577608,3145
"84",100144132,"TRMT13",2579.44783715013,1406
"85",10014617,"CLEC12B",3144.87871077184,2088
"86",10014684,"CLEC12B",5572.21374045802,4480
"88",100149225,"DEGS2",3032.29431721798,245
"90",100149355,"DEGS2",2864.30788804071,600
"91",100149513,"DEGS2",5521.92027141645,5354
"93",100151386,"POLR2K",3994.97455470738,1871
"96",10015278,"CLEC12B",8032.71840542833,1564
"97",100153404,"LAMTOR4",1693.93129770992,562
"100",100155079,"PCCA",3282.85156912638,1390
"102",100156520,"C7orf43",7892.47158608991,1742
"103",100157406,"C7orf43",7589.24257845632,2
"104",100157678,"C7orf43",1836.72010178117,1582
"105",100158398,"C7orf43",1039.25190839695,1087
"106",100159266,"LRRC39",1888.28837998304,461
"107",100159405,"LRRC39",1052.61662425785,270
"108",100160559,"GAL3ST4",9022.24681933842,3940
"110",100160775,"GAL3ST4",1414.5122985581,1229
"111",100162342,"CMSS1",2009.79728583545,1631
"116",1001706,"IDUA",3463.89143341815,1004
"117",100171854,"CMSS1",4287.88210347752,439
"119",100173894,"GPC2",5018.92366412214,576
"121",100175730,"GPC2",5771.27226463104,2030
"124",100177906,"SPAG1",2313.78625954198,1900
"125",100179213,"ERLIN1",2118.85835453774,1297
"126",1001818,"IDUA",2447.17302798982,1252
"127",100183814,"ERLIN1",1265.00848176421,674
"128",100187143,"SPAG1",1954.64037319763,1394
"129",100187956,"DDIT4L",6320.86853265479,1206
"131",100188126,"DDIT4L",4178.73876166243,1433
"132",100188832,"STAG3",1797.85920271416,1610
"133",100189592,"STAG3",1034.44444444444,893
"134",100189898,"DDIT4L",3157.06191687871,791
"135",100191199,"CNTN5",7483.98388464801,4
"136",10019811,"GAS7",7542.2256149279,919
"138",100200238,"STAG3",2040.68532654792,705
"139",100205155,"CHUK",6803.35029686175,2650
"141",1002091,"RSPO4",10847.2654792197,767
"142",100209615,"CHUK",1499.32230703986,2363
"143",100210107,"ACTR6",3123.84308736217,2206
"145",100212321,"ACTR6",1705.51908396947,1255
"146",10021282,"RDH8",2606.13401187447,2071
"148",100213378,"SPAG1",618.93893129771,299
"151",100218670,"DBT",1155.34944868533,905
"152",100219093,"CHUK",7479.07463952502,1921
"153",100220123,"PVRIG",7354.29770992366,992
"154",100220181,"PVRIG",5699.89567430025,1596
"157",100222969,"CHUK",8462.28074639525,1396
"158",100223983,"GATS",3474.35623409669,619
"161",100230776,"DBT",7697.23324851569,2746
"162",1002325,"IDUA",2664.60899067006,3713
"163",100233646,"GATS",5212.87022900763,693
"164",100239360,"YY1",1778.92875318066,1445
"166",100240100,"INVS",2521.35962680237,1472
"167",100242634,"INVS",4688.24512298558,88
"170",100250289,"CWF19L1",3789.89228159457,1383
"171",100252437,"INVS",3567.53095843936,1308
"172",100253485,"CWF19L1",554.525869380831,970
"173",100261717,"RNF19A",4098.48176420696,586
"174",100262331,"YY1",1675.81849024597,786
"175",100262817,"PCCA",7157.55555555556,127
"176",100263588,"DEPDC4",5456.9058524173,1292
"177",100263696,"DEPDC4",4633.46480067854,433
"180",100267020,"DEPDC4",5781.80831212892,1879
"181",100268260,"RTCA",7131.40542832909,990
"182",100269988,"RNF19A",3760.80491942324,1037
"183",100270676,"RTCA",6528.53011026293,2
"185",100272920,"INVS",10086.8719253605,3540
"190",100281048,"BLOC1S2",828.239185750636,1243
"191",100281387,"ADAMTS17",4536.84648006785,598
"195",100290697,"TBC1D23",3800.10093299406,2702
"196",100291586,"SCYL2",4408.62340966921,1155
"197",100292670,"SLC25A29",3716.96861747243,2
"199",100293334,"SLC25A29",1321.78201865988,753
"203",100298662,"PKD2L1",2494.87022900763,1415
"204",100298847,"SLC25A29",7280.10008481764,2645
"205",100299233,"LONRF2",10103.6717557252,4347
"207",100299674,"PKD2L1",922.188295165394,1283
"208",100299765,"LONRF2",3569.13316369805,1237
"209",100302212,"TBC1D23",5650.81849024597,149
"210",100302932,"PCCA",4116.25106022053,1980
"211",100309116,"LONRF2",3917.58354537744,2801
"213",100309858,"PCCA",5017.99830364716,2948
"214",100311088,"SCYL2",8455.67514843087,7570
"215",100311801,"SPDYE3",4922.74809160305,3338
"216",100313534,"SCYL2",5624.11620016964,1175
"217",100314557,"SPDYE3",1401.92451229856,1087
"218",100321748,"LONRF2",2592.368956743,3040
"220",100326741,"SCYL2",10249.7362171332,1467
"221",100327224,"SLC25A47",2682.4385072095,4526
"223",100329000,"SLC25A47",4804.48091603053,2688
"226",100341124,"ADAMTS17",2428.7786259542,1890
"227",100345670,"NIT2",3264.60305343511,68
"228",100346152,"TEX10",624.955046649703,747
"230",100346861,"TEX10",60.0474978795589,2307
"233",100348157,"SCD",152.373197625106,437
"235",100353769,"WARS",130.373197625106,526
"237",100358802,"PILRB",4035.95674300254,3009
"239",100358968,"PILRB",1077.46649703138,1065
"241",1003599,"GRIN3B",2382.34520780322,476
"243",100369107,"WARS",2778.3604749788,1225
"244",100374170,"PILRA",8174.49533502969,1907
"245",100374404,"PILRA",5681.53519932146,1227
"247",100380718,"SLC17A8",4273.95335029686,1478
"248",100380821,"SLC17A8",2377.39100932994,570
"249",100381143,"WDR25",1085.2705682782,404
"256",100390025,"PILRA",4100.8812553011,400
"257",10039310,"FANCD2",1427.42578456319,2
"259",100393620,"CHST10",1109.27480916031,513
"260",100393642,"SIM1",3715.39609838846,988
"266",100405048,"ZCWPW1",7290.46055979644,4034
"267",100406677,"PCDH19",4144.33163698049,621
"268",100406875,"PCDH19",4238.59626802375,2888
"271",100408544,"ZCWPW1",3599.05428329092,714
"273",100419785,"ZCWPW1",4259.15945716709,1027
"274",100423321,"EMCN",4231.80067854114,1271
"275",100424289,"CDC14A",9293.76505513147,1158
"277",100429883,"LNP1",5570.3401187447,3129
"278",100430418,"MEPCE",644.955046649703,925
"280",100435877,"PPP1R35",1277.44868532655,2809
"281",100435928,"PPP1R35",2875.75063613232,1827
"282",100442132,"MSANTD3",5416.7786259542,2755
"284",100442351,"MSANTD3",5449.38422391858,2975
"285",100447364,"SIM1",1511.1026293469,1948
"286",100447538,"EMCN",2812.50975402884,1835
"287",100448555,"SIM1",1989.12977099237,1576
"288",100449639,"SIM1",4766.54452926209,2922
"290",100451807,"LNP1",2946.2213740458,390
"291",100451909,"LNP1",2384.54622561493,2861
"292",1004586,"GRIN3B",3284.53435114504,42
"294",100463494,"C7orf61",2461.57251908397,1761
"298",100463992,"C7orf61",2319.10347752332,586
"302",100470561,"NMS",7755.79813401187,44095
"303",100472824,"NMS",6227.58778625954,470
"304",100472976,"CERS3",2599.51908396947,2018
"305",100473511,"NMS",2258.76420695505,659
"308",100474432,"TSC22D4",1397.87446988974,588
"309",100477410,"NMS",3979.60814249364,639
"310",100477483,"TSC22D4",5959.37150127226,2908
"311",100477702,"TSC22D4",11949.0186598813,1316
"312",100477782,"TSC22D4",5853.25275657337,605
"313",10047873,"KLF11",5805.54452926209,1618
"314",100479457,"CERS3",2268.46904156064,3558
"315",100479918,"EMCN",2523.31297709924,1372
"316",10047997,"KLF11",5332.04410517388,3609
"317",100481058,"WNT8B",7643.67260390161,1762
"318",100481960,"WNT8B",4533.60390161154,1830
"321",10048322,"KLF11",6899.49109414758,5718
"325",100489109,"NYAP1",1136.58439355386,1381
"327",10049429,"ANKEF1",2119.59881255301,784
"328",100494862,"CDC14A",298.329940627651,361
"330",100496341,"SEC31B",4756.27565733673,3301
"331",10049724,"ANKEF1",517.418999151824,84
"334",100499249,"SEC31B",3426.90670059372,2739
"335",10049926,"ANKEF1",5688.12044105174,628
"336",100501790,"CERS3",848.746395250212,2880
"337",100507525,"SEC31B",1746.29770992366,360
"338",100509038,"MSANTD3-TMEFF1",8545.50466497031,1549
"341",100510879,"NR1H4",1311.91433418151,1129
"342",100511105,"NR1H4",1243.11959287532,699
"343",100516731,"MSANTD3-TMEFF1",5665.05428329093,4291
"344",10052387,"FANCD2",2041.0737913486,2016
"345",100526521,"NDUFB8",641.697201017812,538
"349",100529571,"ANKRD46",3468.97794741306,477
"353",100532442,"GGACT",1885.05258693808,1169
"354",100532471,"GGACT",2985.78201865988,1756
"357",100535608,"FAM174A",2791.79558948261,755
"360",100535894,"FAM174A",4275.5368956743,2
"362",100537012,"NR1H4",1255.06615776081,691
"363",100538724,"BEGAIN",5751.41899915182,3131
"364",100538958,"BEGAIN",4226.28753180662,2374
"366",100539179,"GPR88",5469.26972010178,2937
"367",100539426,"AGFG2",5155.72519083969,724
"368",100539534,"GPR88",4002.73960983885,737
"369",100539623,"GPR88",3115.27226463104,663
"370",100540555,"BEGAIN",3990.53011026293,715
"371",100540664,"HIF1AN",3957.78625954198,621
"372",100540724,"HIF1AN",5380.96522476675,675
"373",100543925,"BEGAIN",5226.63358778626,7
"374",100545037,"HIF1AN",4443.77777777778,3333
"375",100547790,"MSANTD3-TMEFF1",5252.54622561493,2428
"376",100547826,"TMEFF1",2395.98049194232,3216
"377",100548842,"AGFG2",13772.5911789652,6359
"378",100554100,"AGFG2",6971.31467345208,2820
"380",100555387,"TMEM45A",7399.34944868533,1137
"381",100556798,"TMEM45A",2959.66581849025,1660
"382",100556930,"TMEM45A",3811.86089906701,3592
"385",100566619,"PDCL3",1674.13655640373,1166
"392",100573128,"SAP25",502.224766751484,2919
"397",100574388,"ZASP",1055.5572519084,1782
"398",100574501,"ZASP",7664.19083969466,1328
"402",100578469,"LRCH4",985.198473282443,2116
"403",100578539,"MURC",6699.65139949109,1132
"406",100585862,"MURC",6515.1026293469,873
"407",100585928,"MURC",4287.99491094148,685
"408",100586036,"MURC",4334.90076335878,1917
"410",100591798,"FBXO24",6076.84223918575,709
"411",100592950,"FBXO24",1209.54707379135,3
"413",100595138,"FBXO24",4068.60474978796,1048
"415",100597631,"TNMD",3876.44868532655,1032
"416",100600354,"SNX31",5548.04156064461,3326
"417",100600472,"GAS2L3",6565.3647158609,1231
"418",100604156,"PCOLCE",5185.16454622561,1246
"419",100605174,"PCOLCE",3958.22985581001,532
"420",100605732,"PCOLCE",3278.67684478371,2269
"421",100606512,"PCOLCE",1225.29770992366,748
"422",10061145,"CLEC9A",3707.29007633588,2914
"424",10061229,"CLEC9A",2111.76759966073,1884
"425",100612338,"ASB7",4356.71755725191,943
"429",100613488,"MOSPD3",4573.38337574215,1308
"431",100622357,"GAS2L3",8505.37404580153,5833
"433",100623885,"GAS2L3",1808.13740458015,3287
"436",100629513,"ASB7",3010.86938083121,2303
"437",100629706,"ASB7",2500.16878710772,399
"439",10063075,"CLEC9A",4940.75657336726,626
"442",100633312,"TFR2",3132.73536895674,2107
"443",100633510,"TSPAN6",5771.13570822731,2465
"444",100634814,"TMTC4",1362.87531806616,2345
"446",100635201,"TSPAN6",4340.74554707379,2078
"447",100635623,"TSPAN6",766.497879558948,1525
"449",100635780,"ADGRG7",2938.3155216285,759
"450",100635945,"SNX31",872.606446140797,813
"451",100643316,"ADGRG7",6058.23324851569,1834
"452",100646603,"ADGRG7",4207.32145886344,1231
"453",100647233,"ACTL6B",11548.3341815098,3289
"455",100648814,"ACTL6B",6237.76929601357,1456
"456",100649747,"ADGRG7",4863.2909245123,1517
"457",100650121,"ACTL6B",3257.01611535199,708
"458",100650593,"ASCC3",2851.08651399491,417
"461",100662966,"TMTC4",1144.22561492791,178
"462",100663163,"TMTC4",1645.64037319763,1425
"463",100664790,"SRPX2",2183.56403731976,622
"464",100665334,"SRPX2",3019.70822731128,1328
"466",10067480,"WWC3",3376.63019508058,1051
"467",100676699,"GNB2",4210.88295165394,1156
"472",100685140,"GIGYF1",1886.52841391009,3587
"473",100686005,"GIGYF1",3484.00848176421,292
"474",100687019,"GIGYF1",2638.13655640373,1955
"475",100688409,"SYTL4",4859.26717557252,2341
"476",100691127,"SYTL4",2791.16878710772,1716
"478",100701545,"SYTL4",3003.82188295165,773
"479",100706894,"POP7",739.061916878711,765
"484",100721432,"PABPC1",386.989821882952,317
"485",100721638,"EPO",1687.5572519084,493
"486",100722723,"EPO",4350.73621713316,2
"488",100722795,"EPO",5671.34181509754,978
"489",100723115,"VCAM1",764.63358778626,634
"490",100728438,"DLK1",2392.70059372349,1708
"493",100731301,"VCAM1",3370.32824427481,2747
"500",100738612,"ZAN",8751.71077184054,2014
"503",100750813,"PAX2",1875.24088210348,1085
"508",100781292,"PAX2",2699.35284139101,1490
"510",10079918,"CYS1",6246.76759966073,3869
"511",10079976,"CYS1",6879.79050042409,3397
"513",10080188,"CYS1",3209.21289228159,524
"514",100806569,"PAX2",490.443596268024,1358
"515",10081242,"CLEC1A",1193.94062765055,1123
"516",100820188,"EPHB4",6032.17896522477,1424
"517",100822333,"CSTF2",3858.78541136556,777
"518",100822649,"EPHB4",8125.04580152672,2261
"521",100826684,"CSTF2",1717.7294317218,33
"522",100828093,"CSTF2",3.74639525021204,1891
"523",10083057,"WDR1",4852.79558948261,809
"525",100848868,"ABI3BP",3696.52417302799,1380
"526",100850212,"NOX1",2390.17048346056,1566
"528",100851270,"NOX1",2976.35453774385,2311
"530",100855723,"SLC12A9",1657.29601357082,1520
"531",100856219,"ST8SIA4",370.218829516539,586
"533",100859085,"SLC12A9",2146.20695504665,963
"538",100867984,"TRIP6",950.274809160305,1204
"542",100877481,"EXTL2",4909.00254452926,233
"543",100877557,"EXTL2",2888.28583545377,1431
"544",100877739,"EXTL2",1167.10602205259,1181
"545",100877826,"EXTL2",3893.5326547922,1296
"547",100881686,"SRRT",1503.12807463953,1414
"549",100882772,"RTL1",3353.49872773537,2879
"554",100884949,"SRRT",1094.27480916031,869
"555",100885299,"ALDH1A3",2674.78625954198,3016
"556",100886382,"ST8SIA4",2920.24427480916,2545
"559",100887656,"ALDH1A3",2503.69380831213,1377
"560",100889013,"UFSP1",2649.96692111959,76
"561",100889038,"UFSP1",2487.03223070399,2386
"564",10089132,"CLEC1A",1637.81764206955,921
"565",10089206,"CLEC1A",2391.30195080577,1994
"570",100895767,"ST8SIA4",3975.42069550466,2882
"571",100896571,"SLC30A7",6532.94995759118,1426
"572",100898163,"ALDH1A3",1066.57421543681,2194
"574",100906961,"SLC30A7",7298.28244274809,3337
"575",10091306,"C19orf66",1220.29431721798,940
"578",10091530,"C19orf66",2080.42832909245,830
"579",100916613,"FAM178A",3237.42917726887,594
"580",100917081,"FAM178A",752.404580152672,391
"581",100921734,"SLC30A7",6637.93977947413,1752
"582",100922847,"XKRX",2950.491942324,1509
"584",100923031,"XKRX",4581.88549618321,3321
"586",100924921,"YWHAZ",6252.17981340119,1493
"588",100928011,"XKRX",5501.40203562341,559
"589",100936203,"ARHGAP42",2094.37659033079,1890
"591",10093814,"ANGPTL6",4599.42832909245,1819
"594",100948829,"YWHAZ",2768.10941475827,1703
"595",100953186,"MUC3A",8417.03138252757,899
"596",100953947,"MUC3A",3050.17133163698,895
"600",100960943,"ARHGAP42",1636.14164546226,555
"605",100965710,"NPAS2",2996.56912637829,4187
"606",100971062,"NPAS2",1807.65903307888,1965
"609",100974870,"ANO4",300.357082273113,1466
"610",100977692,"SEMA4G",4750.49787955895,1185
"611",100978551,"SEMA4G",4487.80916030534,1746
"612",100979176,"SEMA4G",8778.30703986429,6362
"613",10098544,"WWC3",2065.69550466497,1760
"615",100985892,"ARL13A",7640.90670059372,484
"616",100986852,"MRPL43",579.373197625106,534
"617",100986895,"ARL13A",6663.16539440204,4639
"619",10098865,"CLEC1A",2923.67684478371,1026
"622",100992332,"TMEM133",1954.65309584394,499
"623",100992372,"TMEM133",865.849872773537,1003
"624",100992429,"TMEM133",3834.59541984733,691
"625",1009963,"C7orf50",6969.62849872774,2837
"632",101003583,"LZTS2",8027.05682782019,2475
"633",101003708,"LZTS2",6090.37065309584,926
"634",101003910,"LZTS2",4219.46649703138,665
"635",101004056,"LZTS2",6454.5368956743,1231
"636",101004177,"RPL31",329.194232400339,2690
"638",101008959,"LRRK1",3220.63867684478,1583
"639",1010092,"C7orf50",10.373197625106,704
"641",101013780,"DPH5",374.509754028838,1796
"645",101022459,"LRRK1",10440.2697201018,4627
"646",101023521,"TRMT2B",4261.42832909245,846
"648",101023597,"TRMT2B",2985.48854961832,717
"655",101035636,"MUC17",1933.19168787108,963
"657",101036695,"MUC17",1250.82527565734,932
"658",101036737,"SFXN3",702.888888888889,2702
"659",101037030,"TRMT2B",1241.38252756573,1372
"660",101037146,"ANO4",7205.56234096692,1557
"662",101040052,"MUC17",2038.79983036472,239
"664",101042197,"TRMT2B",940.567430025445,1032
"665",101043603,"ANO4",3574.22476675148,588
"667",10104524,"FANCD2OS",3590.49279050042,1232
"668",10104553,"FANCD2OS",5176.04240882103,1485
"669",10104738,"FANCD2OS",4989.67345207803,185
"670",101049755,"LRRK1",3064.39779474131,1105
"671",101050555,"TBC1D8",2010.11280746395,639
"672",101054327,"TBC1D8",5791.23155216285,571
"673",101062736,"KAZALD1",3729.90245971162,768
"674",101062847,"KAZALD1",4888.03223070399,2312
"675",101062968,"KAZALD1",5421.00339270568,1969
"676",101063097,"KAZALD1",2153.18066157761,2406
"678",101079052,"TMEM35",3841.46904156064,3542
"679",101079115,"TMEM35",5112.51823579304,3338
"680",10108068,"PPAN",5.11959287531807,758
"682",101087486,"TRIM56",2436.49448685327,1929
"683",101088154,"TRIM56",2422.70653095844,1313
"686",101093868,"PPP3CA",4990.73876166243,1205
"687",101094679,"TMEM35",5122.79389312977,2284
"688",101094715,"TMEM35",7244.04834605598,3215
"691",101098438,"PPP3CA",3242.46140797286,3466
"695",10110494,"PPAN",1095.04834605598,449
"697",101108976,"PPP3CA",7331.70992366412,1757
"702",101130516,"SERPINE1",1577.66497031383,471
"705",101131765,"TLX1",1268.9550466497,1247
"706",101131833,"TLX1",4843.24003392706,617
"711",10114036,"P2RY11",112.229007633588,1921
"712",10114187,"P2RY11",4343.73706530958,671
"713",10114329,"P2RY11",3177.3604749788,682
"714",101156630,"AP1S1",735.165394402036,504
"715",101156658,"AP1S1",1667.58269720102,1190
"718",101157454,"AP1S1",2891.6844783715,319
"720",10115815,"BRK1",2783.31891433418,699
"721",101159060,"AP1S1",6546.46649703138,820
"723",101164134,"VGF",2632.00593723495,563
"727",101172540,"NAT16",11319.2934690416,7482
"728",101173301,"NAT16",3443.65479219678,648
"729",101173490,"NAT16",5109.54028837998,1524
"730",101174587,"NAT16",8645.35368956743,2867
"731",101178399,"CHSY1",2477.92451229856,517
"732",101178618,"CHSY1",4390.27480916031,2492
"733",101178811,"CHSY1",3583.92790500424,704
"737",101190511,"SLC5A8",4610.94910941476,1283
"738",101193698,"SLC5A8",10619.9558948261,6703
"739",101196049,"PPP3CA",2562.10856658185,1482
"742",101198771,"MOGAT3",3468.94741306192,825
"743",101200083,"ZNF706",3055.368956743,1556
"744",101200413,"MOGAT3",1899.79558948261,673
"746",101201657,"ZNF706",3020.30195080577,3166
"747",101201671,"ZNF706",2751.7294317218,1896
"749",101211628,"PLOD3",5585.26547921968,1721
"750",101211927,"PLOD3",6063.42748091603,2715
"751",101213171,"PLOD3",8656.18320610687,5114
"752",101215938,"PLOD3",8204.38422391858,3972
"754",101222753,"ZNHIT1",625.136556403732,2632
"757",101227658,"LBX1",3567.78032230704,2398
"759",101228656,"LBX1",3263.87362171332,1640
"760",101228704,"LBX1",2679.41136556404,2288
"763",101234379,"CLDN15",2095.23070398643,742
"764",101235490,"CHSY1",2287.89567430025,2677
"765",101235917,"DRP2",7973.73536895674,4399
"766",101237367,"CLDN15",3558.23494486853,536
"768",101237482,"CLDN15",2339.21967769296,794
"769",101239077,"S1PR1",3874.05089058524,1362
"771",101239330,"S1PR1",6043.2417302799,906
"774",101240847,"FIS1",4633.98134011874,630
"775",101241677,"DRP2",1091.94232400339,596
"776",101242454,"DRP2",3854.39694656489,1058
"778",101244071,"FIS1",4549.20525869381,1827
"779",101244115,"FIS1",4220.88295165394,697
"782",1012480,"TMEM259",3757.75911789652,1151
"784",101253066,"CNOT11",2721.55046649703,1966
"785",101253191,"CNOT11",1487.60729431722,668
"786",101253468,"CNOT11",2225.18490245971,124
"787",10125423,"CLEC7A",452.17133163698,1508
"788",1012553,"TMEM259",3705.42069550466,8
"791",10126228,"WWC3",4650.42917726887,1780
"792",10126633,"CLEC7A",10233.4809160305,2572
"793",101269917,"LPPR1",1211.65224766751,751
"794",101270030,"LPPR1",4862.02120441052,1579
"795",101275354,"VIMP",1624.11026293469,2736
"799",101277663,"TAF7L",2696.9219677693,602
"800",10127788,"CLEC7A",7531.35284139101,3032
"802",101282393,"TAF7L",3502.11195928753,1461
"806",101292281,"NALCN",4714.25106022053,1624
"807",101292850,"TAF7L",5365.52671755725,478
"808",101295008,"RNF149",1487.56743002545,658
"811",10130008,"CLEC7A",975.339270568278,1253
"812",10130809,"UBE4B",1157.48600508906,1044
"815",101309373,"LPPR1",2498.08396946565,518
"816",101309451,"LPPR1",7397.91687871077,5308
"817",101316517,"IFT22",1314.11026293469,751
"818",101318189,"IFT22",3923.33502968617,5593
"819",101318968,"IFT22",7085.9550466497,1049
"821",101321674,"IFT22",3437.89991518236,1283
"822",1013295,"TMEM259",4114.30449533503,2357
"825",101348533,"TIMM8A",8421.93214588635,1526
"826",101348598,"TIMM8A",4128.8481764207,565
"828",10135151,"UBE4B",1553.39694656489,513
"829",101357514,"BTK",3791.57506361323,2934
"830",101358342,"BTK",2002.93723494487,1323
"831",101358622,"BTK",1055.45801526718,1462
"833",101366464,"SENP7",5672.37404580153,856
"836",101371011,"BAAT",4894.39016115352,1703
"837",101371178,"BAAT",1827.30619168787,866
"839",101376988,"NALCN",7251.65733672604,2342
"840",101382120,"PCSK6",5818.44953350297,1251
"841",101383606,"CREG2",431.373197625106,659
"842",101383652,"CREG2",4413.49872773537,1151
"844",101389555,"PCSK6",7817.25614927905,2069
"847",101390778,"MRPL50",1454.11195928753,889
"849",101390958,"RPL36A",2515.85750636132,1201
"850",101390970,"RPL36A-HNRNPH2",1503.88973706531,720
"855",101391756,"RPL36A-HNRNPH2",123.214588634436,523
"856",101398806,"GLA",1716.9016115352,608
"858",101401067,"ARL1",6241.69211195929,3767
"859",101401167,"ARL1",3337.70059372349,2
"861",1014051,"ISG15",2066.69126378287,750
"862",101405889,"ARL1",2538.45547073791,1356
"863",101405952,"ARL1",2385.90839694656,1436
"864",101405954,"RFX8",5619.82697201018,1931
"866",101407783,"GLA",3611.55979643766,3580
"869",101408745,"ZNF189",1638.9550466497,835
"871",101412065,"HNRNPH2",2697.737913486,771
"873",101412626,"HNRNPH2",7284.92366412214,1543
"876",101412953,"RFX8",5332.2502120441,1087
"877",101414865,"RFX8",5081.64037319763,1477
"878",10141918,"C2orf48",5144.03816793893,1851
"879",10141946,"C2orf48",2364.88804071247,865
"881",101419992,"COL26A1",5100.58948261238,1156
"883",10142150,"DNMT1",998.895674300254,696
"885",10142313,"C2orf48",7525.8235793045,1795
"887",101426614,"ALDOB",2325.87192536047,1206
"888",101428516,"ALDOB",7114.25275657337,1356
"891",101429914,"ALDOB",2674.8074639525,701
"892",101430423,"BTRC",6677.05767599661,4559
"893",101431436,"PCSK6",4142.08057675997,1446
"894",1014378,"TMEM259",8826.21628498728,3806
"896",101454082,"ITGBL1",618.592027141646,1211
"897",10146475,"DNMT1",425.318066157761,848
"900",101473765,"TRPC6",3947.82273112807,3593
"902",101476671,"TMEM246",6137.98558100085,1189
"903",101476861,"TMEM246",9107.89312977099,1998
"904",101482799,"SPIC",6182.78117048346,623
"908",101489384,"PCSK6",4538.74215436811,1860
"909",101489609,"ARMCX4",1484.74639525021,1354
"910",101490161,"ARMCX4",1283.03392705683,1699
"911",101490789,"ARMCX4",565.384223918575,1522
"912",101491270,"ARMCX4",5067.73452078032,1592
"913",101491623,"TRPC6",5378.81933842239,2363
"914",101504493,"TRPC6",8242.05258693808,5390
"915",101504727,"TRPC6",7461.01865988126,2133
"917",101521809,"BTRC",10886.4503816794,2654
"918",101526191,"BTRC",3550.7336726039,1319
"919",101534712,"BTRC",853.406276505513,2002
"920",101539954,"COL26A1",481.224766751484,1277
"921",101540342,"RNF20",664.763358778626,779
"924",101547487,"RNF20",2675.95843935539,290
"929",101553668,"ARMCX1",2849.67430025445,1075
"930",101558682,"GRHL2",1167.81085665819,168
"931",101561782,"DIO3",6359.35284139101,972
"933",101561886,"DIO3",4558.0983884648,2428
"934",101561962,"DIO3",3918.82188295165,1567
"935",101564953,"TRMT10C",4243.88804071247,156
"936",101565035,"TRMT10C",5186.97455470738,2216
"939",101577515,"GRHL2",2964.54452926209,1135
"940",101579303,"ITGBL1",3503.65818490246,1300
"941",101579907,"PCNP",2024.71246819338,2034
"942",101579937,"PCNP",3057.93469041561,676
"944",101583217,"ITGBL1",7374.98049194232,789
"946",101584826,"POLL",5786.4427480916,2552
"947",101585865,"POLL",3008.55216284987,4137
"948",101586072,"POLL",2813.28074639525,844
"949",101594597,"PPP3R2",5037.04071246819,3677
"951",101594664,"DPCD",5309.23155216285,2
"952",101594731,"PPP3R2",6563.491942324,3219
"953",101594734,"DPCD",6401.88464800679,2226
"954",101594807,"PPP3R2",3342.95419847328,667
"956",101601216,"DPCD",3507.74893977947,2749
"959",101616318,"ARMCX6",5863.49787955895,891
"960",101616389,"ARMCX6",2488.31721798134,3600
"961",101616479,"ARMCX6",4103.33672603902,1655
"962",101616538,"ARMCX6",2131.45716709075,1238
"964",101622183,"MYL10",1987.26717557252,2390
"965",101623030,"MYL10",1439.877014419,589
"966",101624204,"MYL10",2785.74809160305,1198
