"","sgRNA","Gene","mergeD0","Vaco.Cont1.final"
"65524",75855257,"MYO6",3085.63273960984,267
"65525",7585990,"MPDU1",1608.75487701442,717
"65527",7586035,"MPDU1",1770.87446988974,729
"65528",75862701,"MYO6",7169.05937234945,3202
"65530",7586955,"MPDU1",1597.78456318914,244
"65531",75871148,"LMO7DN",5145.88379983036,644
"65532",75871228,"LMO7DN",5569.78541136556,1370
"65533",75873251,"PPEF2",3027.75063613232,1575
"65534",75873476,"UBE2Q2",5566.61832061069,2678
"65535",75873664,"LMO7DN",2913.1925360475,2762
"65536",75873693,"LMO7DN",4310.36980491942,640
"65537",75875970,"TRIM47",4045.2663273961,1314
"65538",75876478,"TRIM47",6845,2068
"65540",75877982,"TRIM47",1947.10432569975,1071
"65541",75877999,"UBE2Q2",3733.91772688719,1613
"65542",75878206,"MSH4",5619.55216284987,1600
"65544",75879820,"MYO6",5077.5122985581,558
"65546",75881928,"RHBDD2",2124.51399491094,1326
"65549",75882205,"RHBDD2",3546.70398642918,3721
"65550",75890032,"PPEF2",868.346904156065,863
"65551",75891856,"PPEF2",1074.73452078032,290
"65553",75892115,"TRIM65",6270.30619168787,1958
"65554",75892417,"TRIM65",4681.66836301951,4026
"65557",758955,"TALDO1",7298.81764206955,1544
"65558",7589601,"SOX15",1189.11620016964,1557
"65559",75896603,"TRIM65",3313.52332485157,2479
"65564",75904528,"FBXO22",3524.26039016115,617
"65566",759053,"TALDO1",4030.10602205259,2922
"65567",75913286,"FBXO22",2589.30110262935,1352
"65569",75918241,"FBF1",11656.941475827,692
"65570",75920012,"FBF1",5034.72349448685,1182
"65572",75923627,"FBF1",2691.02544529262,761
"65574",75931910,"ASB17",1366.2951653944,887
"65575",75931997,"ASB17",2519.83630195081,1012
"65576",75932199,"ASB17",1301.34096692112,837
"65577",7593474,"FXR2",1616.40542832909,2882
"65579",75940070,"NAAA",1707.508057676,1594
"65580",75940760,"NAAA",2641.29177268872,1990
"65582",7594754,"FXR2",1758.47158608991,1550
"65584",75950895,"ACOX1",2215.64800678541,1289
"65586",75951455,"ACOX1",2375.50212044105,1242
"65588",75957554,"ACOX1",2426.56658184902,1497
"65590",75961943,"NRG4",2572.05513146735,457
"65592",75970310,"SDAD1",495.79219677693,138
"65593",75971194,"TGFB3",1126.07294317218,538
"65594",75973376,"SDAD1",41.373197625106,738
"65595",75978965,"ACOX1",1985.85326547922,567
"65596",75979537,"POR",4723.24766751484,411
"65599",75980766,"TGFB3",2535.17302798982,2210
"65600",75983526,"POR",3529.0534351145,1351
"65601",75983740,"POR",3190.95843935539,1901
"65602",75984866,"POR",509.299406276506,803
"65605",75988254,"TMEM120A",744.786259541985,622
"65606",75988941,"IFT43",2680.02120441052,1473
"65607",75991555,"TEN1",3042.32230703986,681
"65609",75992192,"TMEM120A",2518.02629346904,1467
"65613",76002401,"CDK3",6722.11280746395,649
"65614",76002539,"CDK3",4663.0042408821,1913
"65616",76005376,"STYXL1",2769.86259541985,611
"65617",76005407,"IMPG1",4399.19423240034,2086
"65618",76006208,"CXCL9",1069.63189143342,655
"65621",76007421,"CXCL9",1796.64206955047,773
"65622",76009211,"NRG4",4638.99067005937,2498
"65623",76009268,"NRG4",5729.24427480916,1028
"65628",7601414,"FXR2",1769.70822731128,2610
"65629",7601423,"SNRNP48",1259.71840542833,797
"65633",760196,"TALDO1",2009.63273960984,198
"65635",76022702,"CXCL10",4126.41899915182,756
"65636",76022720,"CXCL10",2717.00848176421,483
"65638",76022807,"CXCL10",915.810856658185,1374
"65640",76025216,"IMPG1",5668.385072095,713
"65641",76028653,"STYXL1",5176.09584393554,1621
"65642",76030985,"PHLDA1",14571.8252756573,4312
"65643",76031098,"PHLDA1",6739.04156064461,1247
"65644",76031531,"PHLDA1",4799.03647158609,4632
"65646",76034732,"IMPG1",741.759117896522,601
"65648",76035309,"CXCL11",2779.97201017812,629
"65649",76035327,"CXCL11",3328.44614079729,1997
"65650",76035963,"CXCL11",1124.76505513147,239
"65651",7603848,"FXR2",2492.78456318914,739
"65653",76053838,"NAP1L1",4853.34520780322,2
"65654",76054951,"MDH2",4486.59372349449,1480
"65655",76056038,"NAP1L1",2640.11195928753,786
"65656",76057455,"MDH2",6774.55640373198,3451
"65659",76059848,"NAP1L1",4277.34775233249,1316
"65661",76063584,"MDH2",3297.36726039016,750
"65662",76064008,"SRP68",880.456318914334,2
"65663",76067376,"NAP1L1",14897.7811704835,1634
"65664",76067993,"PCSK5",3290.74809160305,680
"65667",76076664,"IFT43",3608.18659881255,4293
"65669",76076986,"GALR2",3381.09754028838,1652
"65671",76079957,"ZACN",1580.38846480068,2021
"65673",76080420,"ZACN",5965.67769296014,1616
"65674",7608136,"CAMSAP3",1374.49703138253,179
"65678",76082348,"ART3",291.773536895674,1813
"65680",76088845,"EXOC7",1378.87871077184,1127
"65681",76089261,"EXOC7",2211.64885496183,2079
"65685",7610920,"CAMSAP3",1097.37319762511,942
"65688",7612883,"CAMSAP3",547.717557251908,2620
"65690",76131890,"SV2C",4914.96013570823,1431
"65691",76132182,"SV2C",2926.55301102629,879
"65692",76132656,"NUP54",1662.76251060221,1186
"65693",76134159,"PCSK5",3450.56997455471,630
"65695",76137811,"C15orf27",2712.19423240034,40
"65696",76137896,"FOXJ1",1393.01781170483,1740
"65697",76138002,"FOXJ1",525.73197625106,2135
"65698",76139952,"FOXJ1",2172.54368108567,3282
"65702",76154635,"GPATCH2L",2160.94741306192,1299
"65707",76167079,"RNF157",2128.59541984733,1693
"65708",76169816,"C15orf27",3752.54961832061,3198
"65710",76171920,"GPATCH2L",2397.24851569126,372
"65711",76173727,"RNF157",2140.42408821035,673
"65712",76175564,"PBDC1",3043.74469889737,1328
"65713",76175828,"SCARB2",2708.93384223919,410
"65714",76176961,"PBDC1",6735.53435114504,527
"65715",76177623,"PBDC1",5769.54283290924,1554
"65716",76177659,"PBDC1",1914.1187446989,2848
"65717",76181025,"SCARB2",319.344359626802,607
"65718",76194579,"WNT11",2646.83460559796,1365
"65719",76194824,"WNT11",1479.86259541985,528
"65720",76195738,"SCARB2",1128.81679389313,513
"65722",76196522,"WNT11",2027.02544529262,1771
"65724",76256222,"FAM47E-STBD1",7062.58100084818,2266
"65725",76256287,"FAM47E-STBD1",1583.11450381679,753
"65726",76256290,"FAM47E",2691.29431721798,1533
"65727",76256387,"FAM47E-STBD1",5421.22391857506,553
"65728",76256477,"FAM47E-STBD1",3625.78795589483,3592
"65729",76256485,"FAM47E",2898.37150127226,227
"65731",7626183,"XAB2",451.408821034775,820
"65732",7626281,"ADCY2",3125.59541984733,587
"65735",76265558,"UBALD2",4954.44020356234,325
"65738",7626948,"SAT2",3146.6641221374,537
"65739",76270241,"UBALD2",9185.12553011026,5126
"65742",76271642,"FAM47E",2171.10178117048,1356
"65743",7627393,"SAT2",6536.65309584394,6310
"65744",7627585,"SAT2",2837.82188295165,923
"65747",76285283,"SV2C",4862.54198473282,1428
"65748",76285710,"ETFA",5905.61238337574,3035
"65749",76287903,"ETFA",2498.31128074639,1189
"65750",76291319,"SV2C",7148.61747243427,752
"65753",76292334,"QRICH2",3929.87446988974,1413
"65754",76293252,"QRICH2",3093.07888040712,706
"65756",76295641,"ETFA",3789.90924512299,482
"65758",7630247,"SHBG",4921.80491942324,1125
"65762",76302984,"HSPB1",3549.754028838,662
"65763",7630575,"PET100",4116.28583545377,1230
"65764",7630599,"PET100",3029.62680237489,1628
"65769",76309312,"STBD1",4475.3443596268,778
"65771",76309622,"STBD1",2560.47158608991,1735
"65773",76313962,"ST6GALNAC3",3011.96946564886,2
"65774",7631700,"SHBG",2596.9219677693,815
"65775",7632451,"PCP2",1850.14588634436,1115
"65776",7632500,"PCP2",3034.49363867684,1818
"65778",7632784,"PCP2",1090.51399491094,1462
"65779",76328852,"PRPSAP1",5604.37659033079,3693
"65781",76329888,"YWHAG",4872.67769296014,1384
"65783",76330164,"YWHAG",492.903307888041,640
"65789",76340344,"ISL2",1047.64631043257,1253
"65790",76340464,"ISL2",3640.00169635284,471
"65792",76346757,"BBS10",6016.53944020356,2992
"65794",76347219,"BBS10",8256.23155216285,2164
"65796",76348534,"PRPSAP1",2420.62425784563,3038
"65801",7635589,"PPFIBP2",681.542832909245,591
"65802",76367394,"CCDC158",6961.11789652248,1051
"65803",76367590,"CCDC158",2820.81340118745,191
"65804",763690,"MSLN",5646.89906700594,3074
"65805",76369448,"CCDC158",4411.51908396947,1254
"65808",76380214,"ZNF516",1692.89228159457,1190
"65809",76384269,"CCDC158",9798.05682782019,2083
"65811",76386220,"OSBPL8",2388.43681085666,1347
"65812",763864,"SLC52A3",80.8659881255301,2073
"65813",76386906,"SPHK1",2634.33927056828,1169
"65814",76386971,"SPHK1",4796.19083969466,3709
"65815",76388593,"RFK",2444.23324851569,1774
"65816",76388632,"RFK",3771.98642917727,4197
"65817",76389753,"OSBPL8",517.217133163698,150
"65825",7639751,"STXBP2",5027.98388464801,1431
"65828",76399496,"UBE2O",3100.20016963528,545
"65829",76399900,"OSBPL8",5116.01102629347,861
"65831",76402694,"UBE2O",2807.34351145038,407
"65833",7640917,"STXBP2",2799.57082273113,1079
"65834",76412034,"ST6GALNAC3",2128.88804071247,595
"65835",76412160,"ST6GALNAC3",2384.70992366412,704
"65836",76412382,"ST6GALNAC3",4543.93299406276,673
"65838",7642297,"STXBP2",5598.46564885496,3322
"65839",7642358,"PPFIBP2",3337.12553011026,991
