Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
A1BG	4	0.16537	0.94111	0.24612	0.70672	0.34665	0.60613
A2M	4	0.39261	1.2568	0.0096957	0.14851	0.20882	0.51456
NAT1	4	-0.10356	-1.4449	0.8207	0.96509	0.14848	0.50807
NAT2	4	0.077825	0.99137	0.51507	0.87061	0.3215	0.59026
SERPINA3	4	0.14378	0.83359	0.30454	0.75357	0.40451	0.65153
AADAC	4	0.12849	1.3751	0.3486	0.78285	0.16911	0.50807
AAMP	4	-1.0479	-2.3382	0.0056683	0.10546	0.019378	0.34067
AANAT	4	-0.18748	-1.6007	0.58075	0.89761	0.10945	0.50807
AARS	4	-1.4303	-2.887	0.00089499	0.038462	0.0038895	0.17319
ABAT	4	0.035238	0.31776	0.67393	0.92912	0.75067	0.85635
ABCA1	4	0.040699	0.40555	0.65339	0.92443	0.68507	0.81402
ABCA2	4	-0.19738	-1.8834	0.55469	0.88656	0.059648	0.50807
ABCA3	4	-0.16698	-1.1708	0.63166	0.91732	0.24168	0.53293
ABCB7	4	-1.4016	-2.2173	0.00094471	0.038462	0.026604	0.39342
ABCF1	4	-1.1682	-3.0278	0.0030827	0.077019	0.0024633	0.13658
ABCA4	4	0.0082286	0.065968	0.77581	0.95472	0.9474	0.9719
ABL1	4	-0.20271	-1.1356	0.54281	0.88347	0.25612	0.5421
AOC1	4	0.11389	0.81718	0.39449	0.81183	0.41383	0.65872
ABL2	4	0.00042554	0.0021837	0.80619	0.96168	0.99826	0.99905
ABO	4	0.087404	1.2063	0.48245	0.85574	0.2277	0.52405
ABR	4	-0.29288	-1.6761	0.35939	0.78993	0.093719	0.50807
ACAA1	4	0.059323	0.21476	0.581	0.89761	0.82995	0.90604
ACACA	4	-1.0135	-2.6939	0.0071102	0.12413	0.0070626	0.22517
ACACB	4	0.22538	1.3126	0.12684	0.56869	0.18933	0.50837
ACADL	4	-0.17492	-1.8174	0.61282	0.91055	0.069148	0.50807
ACADM	4	-0.12016	-0.99176	0.76865	0.95285	0.32131	0.59026
ACADS	4	-0.15139	-1.1973	0.67243	0.92831	0.23118	0.5256
ACADSB	4	0.20026	1.3459	0.1693	0.62679	0.17832	0.50807
ACADVL	4	0.096008	0.69735	0.45271	0.84011	0.48558	0.71494
ACAT1	4	0.24118	0.9395	0.10372	0.52332	0.34747	0.60668
ACAT2	4	-0.01386	-0.36723	0.86038	0.97535	0.71345	0.83164
ASIC2	4	0.049479	0.96853	0.61958	0.91276	0.33278	0.59752
ASIC1	4	-0.20038	-1.9144	0.54758	0.88467	0.055566	0.50211
ACHE	4	-0.082626	-0.6345	0.8924	0.98109	0.52575	0.73939
ACLY	4	-0.28662	-1.4389	0.36844	0.79413	0.15019	0.50807
ACO1	4	0.36254	1.2867	0.016905	0.20507	0.19818	0.51074
ACR	4	-0.77817	-2.4462	0.026452	0.26855	0.014436	0.30351
ACO2	4	-0.42464	-2.1463	0.1878	0.64366	0.031847	0.41501
ACOX1	4	-0.061519	-1.0691	0.965	0.99259	0.28504	0.56291
ACP1	4	0.42209	1.3202	0.0054196	0.10322	0.18677	0.50837
ACP2	4	0.14032	0.8492	0.31374	0.75975	0.39577	0.6443
ACP5	4	0.076868	1.2563	0.51825	0.87225	0.20899	0.51462
ACPP	4	0.3887	1.4131	0.010541	0.15351	0.15764	0.50807
ACRV1	4	0.094339	1.5191	0.45813	0.84365	0.12874	0.50807
ACTA1	4	-0.12084	-0.64049	0.7672	0.95253	0.52185	0.73723
ACTA2	4	0.27408	1.4763	0.067671	0.43734	0.13987	0.50807
ACTB	4	-1.0683	-2.9166	0.0050219	0.099704	0.0035391	0.16288
ACTC1	4	0.10634	1.1831	0.41811	0.8231	0.23678	0.52983
ACTG1	4	-0.63478	-1.9333	0.058572	0.40621	0.053194	0.49439
ACTG2	4	0.18003	1.4776	0.21117	0.66903	0.13952	0.50807
ACTN4	4	-0.14147	-1.1706	0.70257	0.93866	0.24174	0.53293
ACTL6A	4	-0.68477	-1.5923	0.044998	0.35768	0.11132	0.50807
ACTN1	4	0.27111	1.5818	0.069958	0.44374	0.1137	0.50807
ACTN2	4	-0.11562	-0.52938	0.78297	0.95622	0.59654	0.75443
ACTN3	4	0.023679	0.13223	0.71902	0.94345	0.8948	0.94314
ACVR1	4	-0.45028	-2.1699	0.16348	0.6174	0.030016	0.40627
ACVR1B	4	-0.099946	-1.9248	0.83358	0.96874	0.05426	0.49838
ACVR2A	4	-0.076723	-0.28083	0.9116	0.98248	0.77884	0.87455
ACVR2B	4	-0.43047	-2.1642	0.18258	0.6397	0.030453	0.40703
ACVRL1	4	0.12144	0.88079	0.36953	0.79478	0.37843	0.63162
ACY1	4	-0.043494	-0.63228	0.96947	0.99388	0.52721	0.74
ACYP1	4	0.15665	1.3865	0.26815	0.72594	0.1656	0.50807
ACYP2	4	-0.013684	-0.17603	0.85969	0.97535	0.86027	0.9247
ADA	4	0.16242	1.4086	0.25338	0.71373	0.15894	0.50807
ADAM8	4	-0.045719	-0.78985	0.97837	0.9958	0.42962	0.67046
ADAM10	4	0.25913	1.5615	0.08219	0.47596	0.1184	0.50807
ADAR	4	-0.51973	-2.1937	0.11093	0.53707	0.028253	0.39856
ADARB1	4	0.077755	0.80656	0.51521	0.87061	0.41992	0.66259
ADARB2	4	-0.013151	-0.093915	0.85765	0.97468	0.92518	0.96011
ADCY1	4	-0.078693	-0.60192	0.90523	0.98214	0.54723	0.74388
ADCY2	4	0.30237	1.5325	0.045943	0.3625	0.1254	0.50807
ADCY3	4	-0.39777	-1.6244	0.21524	0.67377	0.10428	0.50807
ADCY5	4	-0.17527	-1.885	0.61202	0.91029	0.059424	0.50807
ADCY6	4	-0.09133	-1.0688	0.86242	0.97582	0.28517	0.563
ADCY7	4	-0.039568	-1.6546	0.9561	0.9917	0.098003	0.50807
ADCY8	4	0.30356	1.4484	0.044948	0.35768	0.14751	0.50807
ADCY9	4	0.012598	0.11154	0.75895	0.95029	0.91118	0.95218
ADCYAP1	4	-0.14954	-0.68708	0.67835	0.9312	0.49203	0.71952
ADCYAP1R1	4	0.075524	0.76755	0.52342	0.87426	0.44275	0.68157
ADD1	4	0.073343	0.82748	0.53088	0.87732	0.40796	0.65374
ADD2	4	-0.047954	-0.72079	0.98722	0.99794	0.47104	0.70378
ADD3	4	0.24755	1.3121	0.095963	0.50856	0.18948	0.50837
PLIN2	4	0.13344	0.90549	0.33269	0.7705	0.36521	0.62102
ADH1A	4	0.068547	0.75996	0.54833	0.88495	0.44728	0.68509
ADH1B	4	-0.0043617	-0.033815	0.82503	0.96594	0.97302	0.98517
ADH1C	4	0.0254	0.41855	0.71261	0.9419	0.67554	0.80733
ADH4	4	0.052877	0.3319	0.60611	0.90816	0.73997	0.84881
ADH5	4	-0.050492	-0.24371	0.99617	0.99895	0.80746	0.89307
ADH6	4	0.13813	1.4867	0.32011	0.76391	0.13709	0.50807
ADH7	4	0.13201	1.3572	0.33721	0.77482	0.1747	0.50807
ADK	4	-0.17113	-1.5368	0.62127	0.91358	0.12434	0.50807
ADM	4	-0.20544	-1.5755	0.535	0.87952	0.11515	0.50807
ADORA1	4	-0.17555	-1.651	0.61143	0.90998	0.098736	0.50807
ADORA2A	4	-0.059287	-0.40599	0.9727	0.99502	0.68475	0.8138
ADORA2B	4	0.11301	0.29407	0.39728	0.8131	0.76871	0.86797
ADORA3	4	-0.092763	-1.0366	0.85665	0.9746	0.29991	0.57412
ADPRH	4	0.12157	1.0231	0.36923	0.79472	0.30625	0.57959
PARP1	4	-0.35803	-2.0468	0.26387	0.72224	0.040681	0.45721
PARP4	4	0.048255	0.11219	0.6242	0.91441	0.91067	0.9518
ADRA1D	4	-0.20665	-1.4935	0.53217	0.87786	0.13532	0.50807
ADRA1B	4	0.10434	1.3992	0.42477	0.82637	0.16176	0.50807
ADRA1A	4	-0.082201	-1.1855	0.89394	0.98171	0.23581	0.52884
ADRA2A	4	0.14413	1.7101	0.30365	0.75265	0.087242	0.50807
ADRA2B	4	-0.065887	-0.70131	0.94854	0.98911	0.48311	0.71301
ADRA2C	4	0.028184	0.30523	0.70028	0.93808	0.76019	0.8626
ADRB1	4	0.23631	1.3065	0.10988	0.53482	0.19138	0.50907
ADRB2	4	0.26042	1.3559	0.080947	0.47367	0.17512	0.50807
ADRB3	4	-0.12783	-1.292	0.74438	0.94808	0.19634	0.50996
ADRBK1	4	0.12374	0.9419	0.36386	0.79173	0.34625	0.60585
ADRBK2	4	0.16306	1.565	0.25159	0.71234	0.11759	0.50807
ADSL	4	-0.53375	-2.3475	0.10203	0.5191	0.018901	0.33729
ADSS	4	0.24558	1.2154	0.097951	0.51115	0.22423	0.52117
AP2A1	4	-0.13367	-1.0544	0.72628	0.94464	0.29172	0.56745
AP2A2	4	-0.092414	-1.2775	0.85814	0.97498	0.20143	0.51169
AP1B1	4	-0.090858	-0.94439	0.86416	0.97608	0.34497	0.60538
AP2B1	4	-0.39374	-1.3199	0.22027	0.67997	0.18688	0.50837
AP1G1	4	-0.12505	-1.3564	0.75323	0.94961	0.17497	0.50807
AEBP1	4	-0.10429	-0.95584	0.81857	0.96439	0.33915	0.60251
AES	4	-0.32627	-1.7954	0.30907	0.75593	0.072582	0.50807
CRISP1	4	0.25081	1.5119	0.091687	0.49771	0.13057	0.50807
AFM	4	0.061081	0.84548	0.57404	0.89496	0.39784	0.6458
AFP	4	0.015914	0.18431	0.74677	0.94817	0.85377	0.92067
AGA	4	0.17837	0.93913	0.21524	0.67377	0.34766	0.60681
ACAN	4	-0.07893	-0.38663	0.90468	0.98209	0.69903	0.82298
AGER	4	0.18273	1.3583	0.20431	0.66189	0.17436	0.50807
AGL	4	0.12349	1.3174	0.36486	0.79242	0.18772	0.50837
AGRP	4	0.12068	1.0857	0.37182	0.79612	0.27763	0.55733
JAG1	4	0.14385	1.3528	0.30445	0.75354	0.17611	0.50807
AGT	4	-0.029662	-0.12646	0.91682	0.98342	0.89936	0.94541
AGTR1	4	0.15298	0.97651	0.27849	0.73427	0.32881	0.59465
AGTR2	4	0.044664	0.69952	0.63862	0.91966	0.48423	0.71399
APLNR	4	0.081023	0.67237	0.50512	0.86666	0.50135	0.72525
AGXT	4	0.024187	0.2183	0.71703	0.94317	0.82719	0.9044
NR0B1	4	0.14508	1.6146	0.30062	0.75143	0.10641	0.50807
AHCY	4	-0.22361	-0.92989	0.49289	0.85959	0.35243	0.61088
AHR	4	0.16441	1.1722	0.24866	0.70916	0.24112	0.53244
AHSG	4	0.28136	1.5439	0.06071	0.41348	0.12262	0.50807
AIF1	4	0.10621	0.90239	0.41836	0.8231	0.36685	0.62215
AIM1	4	-0.031962	-0.36966	0.92626	0.98566	0.71164	0.83071
AK1	4	0.025569	0.38721	0.71186	0.94166	0.6986	0.82276
AK2	4	-0.33128	-0.95946	0.30091	0.75143	0.33733	0.60092
AK4	4	-0.2752	-1.382	0.38838	0.8079	0.16697	0.50807
AKT1	4	-0.17506	-1.5766	0.61252	0.91055	0.11489	0.50807
AKT2	4	-0.011776	-0.021125	0.85337	0.9741	0.98315	0.99125
ALAD	4	0.24608	1.5158	0.097355	0.51056	0.12956	0.50807
ALAS1	4	0.092604	0.99834	0.4642	0.84551	0.31811	0.5886
ALAS2	4	0.054709	0.6691	0.59924	0.90528	0.50343	0.72659
ALB	4	0.27646	1.3001	0.065384	0.4296	0.19355	0.50956
ALCAM	4	0.23285	1.4045	0.11431	0.54505	0.16016	0.50807
ABCD1	4	0.062431	0.62221	0.56876	0.89251	0.5338	0.74097
ALDH1A1	4	0.19629	1.4595	0.17596	0.63389	0.14443	0.50807
ALDH2	4	0.018964	0.32813	0.73543	0.94675	0.74282	0.85094
ALDH3A1	4	-0.12147	-1.0731	0.76521	0.95253	0.28324	0.56152
ALDH1B1	4	-0.12352	-0.94325	0.75781	0.95029	0.34555	0.60538
ALDH1A3	4	0.16129	1.5895	0.25592	0.71625	0.11195	0.50807
ALDH3B1	4	0.12298	1.4543	0.3665	0.79365	0.14585	0.50807
ALDH3B2	4	-0.14928	-1.6575	0.67949	0.93163	0.09741	0.50807
ALDH9A1	4	0.14225	1.0708	0.30788	0.75472	0.28427	0.56256
ALDH3A2	4	0.30033	0.95552	0.047484	0.36944	0.33932	0.60262
ABCD2	4	0.32607	1.2784	0.031126	0.29076	0.20113	0.51169
ALDOA	4	-1.1724	-3.0637	0.0029833	0.075472	0.0021862	0.13253
ALDOB	4	0.0082223	0.063348	0.77581	0.95472	0.94949	0.9732
ALDOC	4	-0.23595	-1.6987	0.46564	0.84621	0.089381	0.50807
AKR1B1	4	0.18522	0.96611	0.19963	0.6576	0.33399	0.59838
ALK	4	0.17893	1.1543	0.2138	0.67198	0.24839	0.53584
ALOX12	4	-0.016514	-0.23442	0.86988	0.9764	0.81466	0.89751
ALOX5	4	0.17933	1.2033	0.21256	0.67048	0.22886	0.52419
ALOX5AP	4	0.11325	1.3653	0.39623	0.81209	0.17215	0.50807
ALOX12B	4	-0.084729	-0.74249	0.88589	0.97912	0.45779	0.69346
ALOX15	4	-0.2268	-1.9545	0.48638	0.85784	0.050641	0.48796
ALOX15B	4	-0.046036	-0.70774	0.97956	0.99621	0.47911	0.70966
ALPI	4	-0.098901	-0.68485	0.83686	0.96981	0.49344	0.72029
ALPL	4	-0.01626	-0.22062	0.86913	0.9764	0.82539	0.90344
ALPP	4	0.33211	1.4061	0.028192	0.27578	0.15968	0.50807
ALPPL2	4	0.26348	1.536	0.077963	0.4671	0.12454	0.50807
ALX3	4	-0.011228	-0.11679	0.85158	0.97382	0.90702	0.94963
AMBN	4	-0.12897	-1.2621	0.74125	0.947	0.20691	0.5138
AMBP	4	0.085554	1.0921	0.48812	0.85802	0.27478	0.55553
AMD1	4	0.053308	0.36057	0.60501	0.90816	0.71842	0.835
AMELX	4	0.0446	0.66679	0.63892	0.91966	0.5049	0.72762
AMELY	4	0.30983	1.3327	0.040672	0.33942	0.18265	0.50807
AMFR	4	0.14164	1.2805	0.30932	0.75598	0.20038	0.51148
AMH	4	0.048362	0.4334	0.62366	0.91441	0.66473	0.79982
AMHR2	4	0.027525	0.20372	0.70356	0.93866	0.83857	0.91164
AMPD1	4	-0.039916	-0.15317	0.95734	0.99177	0.87826	0.9335
AMPD2	4	0.11423	0.97143	0.39355	0.81163	0.33133	0.59655
AMPD3	4	0.00043677	0.0022085	0.80619	0.96168	0.99824	0.99905
AMPH	4	-0.068571	-0.74006	0.93874	0.98796	0.45927	0.69428
BIN1	4	-0.20418	-1.6466	0.53853	0.8815	0.099639	0.50807
AMT	4	0.064256	0.78993	0.56305	0.8894	0.42957	0.67046
AMY1A	4	-0.11627	-0.75892	0.78142	0.95604	0.4479	0.6855
AMY1B	4	-0.41958	-1.8405	0.19232	0.6491	0.065691	0.50807
AMY1C	4	-0.2578	-1.0952	0.42149	0.82482	0.27343	0.55472
AMY2A	4	0.21055	0.68236	0.15006	0.60288	0.49501	0.72129
AMY2B	4	0.10812	0.65024	0.41284	0.82175	0.51554	0.73322
ANG	4	-0.085555	-0.78957	0.88271	0.97753	0.42978	0.67057
ANGPT1	4	0.24575	1.2668	0.097653	0.51106	0.20524	0.51344
ANGPT2	4	0.23996	1.4007	0.10541	0.52696	0.1613	0.50807
ANK1	4	-0.030718	-0.30655	0.92089	0.98464	0.75919	0.8622
ANK2	4	0.105	1.4074	0.42233	0.82514	0.15932	0.50807
ANK3	4	0.0011469	0.0070716	0.80275	0.96004	0.99436	0.99725
ANPEP	4	0.40542	1.4823	0.0073588	0.12682	0.13826	0.50807
SLC25A4	4	-0.019736	-0.13239	0.88097	0.97741	0.89468	0.94312
SLC25A5	4	-0.12009	-1.0976	0.76875	0.95285	0.27239	0.55387
SLC25A6	4	-0.31305	-2.0462	0.32881	0.76873	0.040736	0.45721
ANXA1	4	0.082907	0.76463	0.49826	0.86358	0.44449	0.68304
ANXA2	4	-0.047569	-0.75805	0.98583	0.99794	0.44842	0.68604
ANXA3	4	0.17935	1.5888	0.21256	0.67048	0.11211	0.50807
ANXA4	4	-0.023388	-0.3867	0.89484	0.98175	0.69898	0.82298
ANXA5	4	0.093278	0.46728	0.46171	0.84463	0.6403	0.78336
ANXA6	4	-0.1106	-0.9843	0.79903	0.95929	0.32497	0.59229
ANXA7	4	-0.13097	-1.4352	0.73513	0.94648	0.15124	0.50807
ANXA11	4	0.088571	0.80348	0.47822	0.85227	0.4217	0.6642
ANXA13	4	0.23545	1.335	0.11088	0.53707	0.18189	0.50807
AOAH	4	0.18043	0.98715	0.21007	0.66814	0.32357	0.59112
AOC2	4	-0.22625	-1.6691	0.48767	0.85802	0.095089	0.50807
AOX1	4	-0.10109	-1.2463	0.82955	0.96774	0.21264	0.51594
APAF1	4	0.27578	1.526	0.06603	0.43243	0.12701	0.50807
NUDT2	4	0.17745	1.4065	0.21788	0.67722	0.15958	0.50807
APOF	4	0.0034008	0.039856	0.79356	0.95854	0.96821	0.98332
APBA1	4	0.17185	1.3591	0.23001	0.69086	0.1741	0.50807
APBA2	4	-0.23458	-1.3252	0.46882	0.84808	0.18511	0.50837
APBB1	4	-0.012715	-0.064949	0.8563	0.97454	0.94821	0.97249
APBB2	4	0.016986	0.2303	0.74224	0.94721	0.81786	0.89982
APC	4	0.66947	1.1614	0.00014916	0.011236	0.24547	0.53449
APCS	4	0.24125	1.2404	0.10367	0.52332	0.21483	0.51685
AIRE	4	-0.16934	-1.159	0.62555	0.9149	0.24644	0.53473
APEH	4	-0.23254	-1.5131	0.47285	0.85011	0.13026	0.50807
APEX1	4	-0.42213	-2.1729	0.19009	0.6472	0.02979	0.40493
BIRC2	4	-0.079343	-0.88894	0.90339	0.98175	0.37404	0.62862
BIRC3	4	0.41531	1.4265	0.006066	0.11051	0.15373	0.50807
XIAP	4	0.093025	0.74067	0.46251	0.84463	0.4589	0.69411
BIRC5	4	-0.89611	-2.3645	0.013375	0.17709	0.018057	0.32955
APLP1	4	0.12915	0.97555	0.34626	0.7807	0.32929	0.59524
APLP2	4	0.13117	0.9782	0.3398	0.77615	0.32798	0.59432
APOA1	4	0.09412	0.79768	0.45908	0.8441	0.42506	0.66695
APOA2	4	-0.026117	-0.32634	0.90493	0.98209	0.74417	0.85178
APOA4	4	-0.065196	-1.1056	0.95117	0.99032	0.2689	0.55162
APOB	4	0.11007	1.0443	0.40627	0.8172	0.29636	0.57147
APOBEC1	4	-0.038929	-0.32716	0.95306	0.99054	0.74355	0.85134
APOC1	4	-0.020082	-0.32659	0.88171	0.97741	0.74398	0.85166
AQP8	4	-0.027878	-0.79901	0.91065	0.98236	0.42428	0.66629
APOC2	4	-0.027675	-0.16218	0.91015	0.98236	0.87117	0.93048
APOC3	4	0.057214	0.73248	0.5893	0.90147	0.46387	0.6982
APOC4	4	0.088015	1.0291	0.48026	0.85396	0.30342	0.5769
APOD	4	-0.1027	-0.66947	0.82354	0.96581	0.5032	0.72651
APOE	4	0.17822	1.05	0.21584	0.67443	0.2937	0.5689
APOH	4	0.060848	0.39716	0.57503	0.89512	0.69125	0.81819
APP	4	0.018819	0.16884	0.73598	0.9469	0.86592	0.92738
APRT	4	-0.10445	-0.81601	0.81807	0.96438	0.41449	0.65924
KLK3	4	0.10003	0.69533	0.44023	0.83524	0.48685	0.71572
FAS	4	-0.059321	-0.41733	0.97255	0.99502	0.67644	0.80821
FASLG	4	-0.098975	-0.81697	0.83666	0.96975	0.41394	0.65885
SHROOM2	4	0.11131	1.2966	0.40284	0.81545	0.19476	0.50956
AQP1	4	0.14568	1.4105	0.29863	0.75037	0.1584	0.50807
AQP2	4	0.048864	0.7472	0.62197	0.91393	0.45494	0.69107
AQP3	4	0.064121	0.84008	0.5633	0.8894	0.40086	0.64834
AQP4	4	-0.14498	-0.77755	0.69193	0.93504	0.43683	0.67663
AQP5	4	-0.45975	-1.8372	0.15632	0.60882	0.066182	0.50807
AQP6	4	-0.49151	-1.7856	0.12982	0.57309	0.074158	0.50807
AQP7	4	-0.46315	-0.90812	0.15364	0.6062	0.36381	0.61961
AQP9	4	0.1056	1.2114	0.4201	0.82349	0.22574	0.52202
AR	4	-0.1619	-1.1512	0.64464	0.92162	0.24965	0.53663
ABCC6	4	0.038297	0.40144	0.66204	0.92539	0.68809	0.81617
ARAF	4	-0.356	-2.1055	0.26681	0.72501	0.035248	0.42744
ARCN1	4	-0.78959	-2.2228	0.02501	0.26089	0.026229	0.3896
TRIM23	4	-0.1031	-1.3499	0.82234	0.96552	0.17705	0.50807
AREG	4	0.231	1.2945	0.11764	0.55177	0.19549	0.50956
ARF1	4	-0.32654	-1.1407	0.30867	0.7556	0.25398	0.54007
ARF3	4	0.037197	0.29371	0.66632	0.92627	0.76898	0.86816
ARF4	4	-0.062012	-0.35576	0.96326	0.99259	0.72202	0.83721
ARL4D	4	-0.026112	-0.73468	0.90493	0.98209	0.46253	0.69702
ARF5	4	-0.058491	-0.3635	0.97509	0.99553	0.71623	0.83335
ARF6	4	-0.74911	-2.4316	0.030827	0.28931	0.015031	0.30765
ARG1	4	0.4114	1.2678	0.0065632	0.11796	0.20485	0.51302
ARG2	4	0.28709	1.4744	0.056036	0.3974	0.14037	0.50807
RHOA	4	-0.030502	-0.19653	0.9201	0.98436	0.84419	0.91543
RHOB	4	-0.18041	-1.9129	0.59785	0.9046	0.05576	0.50211
RHOC	4	-0.30996	-2.0462	0.33358	0.77142	0.040733	0.45721
RND3	4	0.069419	0.78029	0.54495	0.8838	0.43522	0.6754
RHOG	4	-0.021292	-0.14864	0.88619	0.97912	0.88184	0.93542
ARHGAP1	4	-0.17719	-0.96869	0.60635	0.90816	0.3327	0.59749
ARHGAP4	4	-0.22512	-1.5145	0.4902	0.85887	0.12989	0.50807
ARHGAP5	4	0.13887	0.88443	0.31792	0.76248	0.37646	0.63036
ARHGAP6	4	0.10691	1.1004	0.41617	0.82256	0.27116	0.55288
ARHGDIA	4	-0.30959	-2.0535	0.33423	0.77238	0.040024	0.45368
ARHGDIB	4	0.17259	1.3701	0.22817	0.68801	0.17067	0.50807
ARHGDIG	4	-0.23735	-1.3514	0.46316	0.84497	0.17658	0.50807
RHOH	4	0.055091	1.0573	0.59721	0.90451	0.29036	0.56659
ARL1	4	0.099027	0.97335	0.44287	0.83635	0.33038	0.59609
PHOX2A	4	0.16629	1.2611	0.24369	0.70488	0.20726	0.5138
ARL2	4	-0.78029	-1.8355	0.026253	0.26771	0.066436	0.50807
ARL3	4	0.049545	0.28736	0.61938	0.91273	0.77384	0.87112
ARNT	4	0.11003	0.55399	0.40632	0.8172	0.57959	0.74896
ARNTL	4	0.25773	1.4204	0.083731	0.47951	0.15548	0.50807
ARR3	4	0.097023	0.87205	0.44938	0.83864	0.38318	0.63564
ARRB1	4	0.081108	1.1976	0.50477	0.86666	0.23108	0.52555
ARRB2	4	0.26656	1.0638	0.07498	0.45856	0.28744	0.56499
ARSA	4	-0.25163	-1.2936	0.43412	0.83144	0.19579	0.50988
ARSB	4	0.068733	0.79993	0.54768	0.88467	0.42375	0.66587
STS	4	0.08513	0.28104	0.48976	0.85861	0.77868	0.87455
ARSD	4	-0.10016	-1.6368	0.83274	0.96844	0.10167	0.50807
ARSE	4	0.19224	1.1805	0.18412	0.6397	0.2378	0.53076
ARSF	4	0.13376	1.579	0.33164	0.76979	0.11432	0.50807
ART1	4	0.029939	0.095142	0.69401	0.93584	0.9242	0.95941
ART3	4	0.015777	0.17138	0.74741	0.94847	0.86392	0.92663
ART4	4	0.20949	0.84487	0.1519	0.60526	0.39819	0.64604
ARVCF	4	0.1263	1.0566	0.35601	0.78751	0.29071	0.56692
ASAH1	4	0.093	0.83969	0.46256	0.84463	0.40108	0.64865
ASCL1	4	0.32331	1.2623	0.032518	0.29719	0.20686	0.5138
ASCL2	4	0.069982	0.96568	0.54301	0.88347	0.33421	0.59843
ASGR1	4	-0.10694	-1.2885	0.80977	0.96202	0.19756	0.51045
ASGR2	4	0.24671	1.1726	0.096758	0.50996	0.24096	0.53232
ASIP	4	-0.16047	-0.48484	0.64857	0.92308	0.62779	0.77409
ASL	4	-0.14924	-0.86284	0.67964	0.93163	0.38823	0.63937
ASMT	4	-0.0041003	-0.026871	0.82423	0.96581	0.97856	0.98833
ASNA1	4	-0.95	-2.8592	0.009994	0.15022	0.0042474	0.17748
ASNS	4	-0.012539	-0.13217	0.85576	0.97446	0.89485	0.94314
ASPA	4	-0.11243	-0.79399	0.79276	0.95817	0.4272	0.66834
ASPH	4	-0.27273	-1.309	0.39275	0.81074	0.19053	0.50866
ASS1	4	-0.041871	-0.47825	0.96355	0.99259	0.63247	0.77756
ASTN1	4	0.15292	1.3469	0.27849	0.73427	0.178	0.50807
SERPINC1	4	0.42805	1.4352	0.0049722	0.099704	0.15124	0.50807
ZFHX3	4	-0.52028	-1.5321	0.11053	0.53631	0.12549	0.50807
ATF1	4	-0.067078	-0.57231	0.94446	0.98888	0.56711	0.74626
ATF3	4	0.11607	1.5345	0.38738	0.80696	0.12492	0.50807
ATF4	4	-0.42148	-1.3184	0.19078	0.64803	0.18738	0.50837
ATIC	4	-0.053412	-0.26394	0.99344	0.99835	0.79183	0.88257
ATM	4	-0.17226	-0.99208	0.61834	0.91193	0.32116	0.59026
RERE	4	0.1902	1.3038	0.1883	0.64405	0.19229	0.5094
ATOH1	4	-0.003981	-0.039053	0.82384	0.96581	0.96885	0.98345
ATOX1	4	-0.53791	-1.7891	0.099592	0.51359	0.073601	0.50807
ATP1A1	4	-1.0235	-2.5974	0.0066627	0.11869	0.0093931	0.254
ATP1A2	4	0.086915	1.1232	0.48419	0.85707	0.26135	0.54609
ATP1A3	4	-0.15168	-1.1261	0.67159	0.92812	0.26011	0.54526
ATP12A	4	0.031567	0.86341	0.68795	0.93393	0.38791	0.63916
ATP1A4	4	0.15432	1.1487	0.27456	0.73013	0.25068	0.53749
ATP1B1	4	0.1774	1.6115	0.21798	0.67727	0.10708	0.50807
ATP1B2	4	0.053144	0.3548	0.60561	0.90816	0.72274	0.8376
ATP1B3	4	-0.84556	-2.3509	0.017701	0.20978	0.018729	0.33573
FXYD2	4	0.17609	1.36	0.22071	0.68067	0.17382	0.50807
ATP2A1	4	-0.073754	-0.78124	0.92159	0.98475	0.43466	0.67515
ATP2A2	4	-1.0269	-1.9624	0.006613	0.11812	0.04971	0.48645
ATP2A3	4	0.065474	0.41274	0.55867	0.88829	0.6798	0.81058
ATP2B1	4	0.25716	1.6116	0.084228	0.47975	0.10705	0.50807
ATP2B2	4	-0.030186	-0.3516	0.919	0.98434	0.72514	0.83889
ATP2B3	4	-0.23385	-1.8516	0.47056	0.84877	0.064077	0.50807
ATP2B4	4	-0.060178	-1.0925	0.96942	0.99388	0.27461	0.5555
ATP4A	4	0.0085838	0.060037	0.77471	0.95437	0.95213	0.97471
ATP4B	4	-0.018651	-0.29877	0.87773	0.97741	0.76511	0.86557
ATP5A1	4	-1.8751	-3.4654	0	0	0.00052952	0.070528
ALDH7A1	4	0.0025885	0.01545	0.79748	0.95929	0.98767	0.99345
ATP5B	4	-1.2255	-2.5812	0.0022872	0.064972	0.0098471	0.25948
ATP5C1	4	-1.2215	-2.6291	0.0023369	0.065734	0.0085614	0.24493
ATP5D	4	-1.6833	-3.0012	9.9443e-05	0.0076628	0.0026895	0.14272
ATP5E	4	-0.67832	-1.8283	0.046788	0.3653	0.067503	0.50807
ATP5F1	4	-0.40411	-1.1951	0.20893	0.66751	0.23203	0.52646
ATP5G1	4	-0.73807	-1.7202	0.032568	0.29719	0.085396	0.50807
ATP5G2	4	-0.51043	-1.644	0.11695	0.5503	0.10017	0.50807
ATP5G3	4	0.025246	0.25951	0.71336	0.94227	0.79524	0.88442
