Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
OR9Q2	4	-0.20316	-1.512	0.54137	0.88287	0.13054	0.50807
OR1S2	4	0.090947	0.82908	0.46962	0.84838	0.40706	0.65316
OR1S1	4	-0.077626	-0.99082	0.90856	0.98236	0.32177	0.59036
OR10Q1	4	0.058103	0.58326	0.58597	0.90031	0.55972	0.74548
OR5B17	4	0.30338	1.3384	0.045048	0.35768	0.18077	0.50807
OR5B21	4	0.029464	0.41675	0.69585	0.9365	0.67686	0.80852
GLYATL2	4	0.59305	1.3287	0.00024861	0.015823	0.18395	0.50807
MPEG1	4	0.29245	1.4687	0.051959	0.38306	0.14192	0.50807
OR5A2	4	0.19483	1.4563	0.17895	0.63643	0.1453	0.50807
OR5A1	4	-0.091703	-1.1587	0.86088	0.97535	0.24659	0.53477
OR4D6	4	0.28177	1.3622	0.060263	0.41168	0.17314	0.50807
OR4D11	4	-0.11962	-1.6457	0.77058	0.95328	0.099832	0.50807
PATL1	4	-0.10742	-1.0285	0.80827	0.96202	0.30372	0.57703
OOSP2	4	0.15253	1.0657	0.27973	0.73533	0.28658	0.56397
MS4A15	4	-0.057649	-0.88743	0.97832	0.9958	0.37485	0.62935
VWCE	4	-0.10201	-0.632	0.82627	0.96684	0.52739	0.74005
CYB561A3	4	0.075299	0.547	0.52407	0.87442	0.58438	0.75009
PPP1R32	4	0.1426	1.3827	0.30708	0.75449	0.16674	0.50807
GDPD4	4	0.040108	0.62064	0.65553	0.92443	0.53484	0.74143
DDIAS	4	-0.16439	-1.3927	0.63892	0.91966	0.16372	0.50807
CCDC83	4	0.15203	1.356	0.28127	0.73621	0.1751	0.50807
ORAOV1	4	-1.7694	-3.7279	4.9722e-05	0.0049261	0.00019306	0.04735
LRTOMT	4	-0.12703	-1.0331	0.74677	0.94817	0.30155	0.57568
ERICH6B	4	0.24862	1.5899	0.094421	0.50559	0.11186	0.50807
SPERT	4	0.16925	1.1508	0.23643	0.69777	0.24982	0.5367
DLEU7	4	-0.22749	-1.3473	0.48483	0.85738	0.17789	0.50807
FAM124A	4	0.12574	0.58056	0.35795	0.78954	0.56154	0.74548
SKA1	4	0.096741	0.68522	0.45043	0.83907	0.49321	0.7201
CFAP53	4	0.033606	0.36769	0.68039	0.93163	0.71311	0.83152
GTSCR1	4	0.080685	0.51912	0.50582	0.86675	0.60368	0.75808
DOK6	4	0.12686	1.3736	0.35392	0.7857	0.16956	0.50807
ATOH7	4	0.012444	0.13264	0.75945	0.95029	0.89447	0.94299
OTUD1	4	0.20681	1.4427	0.15647	0.60882	0.14911	0.50807
HEPACAM	4	-0.053817	-0.21976	0.99195	0.998	0.82606	0.90368
OAF	4	0.23313	1.4134	0.11396	0.5439	0.15753	0.50807
TIGD3	4	-0.21452	-0.80162	0.51362	0.87011	0.42277	0.66502
FAM181B	4	0.12	1.4109	0.37411	0.79739	0.15827	0.50807
CCDC89	4	0.094635	1.3756	0.45724	0.84336	0.16895	0.50807
LRRC63	4	0.40666	1.4244	0.0072593	0.12543	0.15434	0.50807
RNF152	4	0.040621	0.46481	0.65389	0.92443	0.64207	0.78458
CBWD5	4	-2.2198	-3.4933	0	0	0.00047709	0.066174
ZNF438	4	0.11131	0.60704	0.40289	0.81545	0.54383	0.74382
SLC16A9	4	0.11118	0.69416	0.40309	0.81545	0.48758	0.71615
FAM13C	4	-0.03721	-0.44882	0.94595	0.98888	0.65356	0.79197
8-Mar	4	0.099338	1.2242	0.44217	0.83612	0.22087	0.51949
C10orf25	4	-0.04716	-0.36901	0.98454	0.99783	0.71212	0.8308
HNRNPA3	4	-0.18749	-1.4826	0.58075	0.89761	0.13817	0.50807
ZNF485	4	-0.01138	-0.1919	0.85208	0.97382	0.84782	0.91762
RASGEF1A	4	-0.023893	-0.12888	0.89708	0.98175	0.89745	0.94436
REEP3	4	0.1252	0.9522	0.35949	0.78993	0.341	0.60387
