Experiment Name:,Exp_20260603_Cal51_Mito

Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A
01-WT_AZ-F2,,57743,47005,46882,39818,89,6193,100.00%,81.40%,81.19%,68.96%,0.15%,10.73%,100.00%,81.40%,99.74%,84.93%,0.19%,13.21%,371845.9,381189.6,381525.6,347523.5,221313.9,587996.4,294404.6,359690.2,360066.8,333899.8,215859.9,567840.8,332041.1,351555.8,351830.9,333090.8,216543.4,579180.3,41.78%,32.14%,32.10%,27.67%,20.10%,26.32%,138743.3,112986.3,112931.8,92165.3,43532.3,152452.3,147.57%,35.97%,35.92%,29.09%,24.67%,25.57%,548724.1,137096.1,137042.8,101110.5,54589.6,150366.9,376977.9,307441.0,307294.9,272669.8,191972.5,517174.1,258084.4,272954.3,272847.9,247768.7,179297.4,486835.8,258088.2,266011.8,265911.6,243690.6,170060.8,501187.7,54.67%,49.05%,49.01%,43.84%,35.25%,38.07%,141091.8,130470.1,130330.5,106842.7,59950.0,190784.1,430.78%,51.45%,51.44%,46.32%,40.43%,33.49%,1623953.9,158175.0,158068.4,126303.5,77620.2,173213.9,263674.7,264562.7,265140.4,230872.7,113659.2,473746.8,204135.9,239402.1,240531.5,216330.3,102800.9,456695.2,225628.8,235639.4,236023.7,217265.3,117365.3,451039.0,48.43%,42.43%,42.28%,36.19%,43.32%,26.60%,109274.9,99971.4,99783.6,78617.9,50838.2,119981.6,69.40%,47.07%,46.84%,36.38%,44.56%,27.89%,182985.1,124533.2,124178.9,83991.2,50642.2,132140.1,616780.2,625713.8,626895.7,516951.2,75733.9,1300275.4,449490.7,547386.3,549330.8,479442.8,73623.9,1264792.1,515562.3,548326.4,549237.4,500960.3,80531.9,1189140.8,57.33%,48.36%,48.26%,41.83%,22.99%,19.03%,295582.0,265175.3,265067.6,209540.4,18511.5,226334.4,80.12%,55.13%,54.97%,36.69%,21.85%,26.47%,494186.2,344976.7,344605.7,189692.1,16549.2,344231.2
01-KO2-A3,,54850,44285,44179,37654,43,5760,100.00%,80.74%,80.55%,68.65%,0.08%,10.50%,100.00%,80.74%,99.76%,85.23%,0.10%,13.04%,355287.3,363908.4,364213.6,332279.9,226457.5,561596.7,275298.6,345519.4,345855.8,321437.9,222623.6,542027.3,316998.4,335669.7,335951.7,319618.1,222607.2,549236.3,37.91%,29.13%,29.10%,24.96%,18.01%,26.53%,120189.6,97769.6,97763.7,79772.2,40080.8,145722.4,168.52%,34.53%,34.49%,26.59%,18.84%,26.00%,598739.8,125646.0,125608.2,88348.3,42661.7,145994.6,366224.1,279719.7,279625.6,245529.0,229758.1,490487.6,233074.0,246858.4,246800.3,223046.5,213280.0,457917.3,231372.4,237693.6,237624.5,218338.0,205081.3,470221.6,54.97%,48.17%,48.16%,42.93%,39.05%,39.88%,127178.5,114500.7,114449.0,93729.7,80089.0,187528.4,499.02%,54.04%,54.03%,47.26%,42.16%,35.93%,1827522.6,151171.6,151094.7,116031.3,96859.7,176235.6,232849.9,229612.9,230066.7,199892.4,126156.5,417406.0,178380.0,208711.1,209589.0,188543.5,118075.9,400649.3,197365.4,202748.9,202985.4,188647.4,134637.9,395471.6,45.10%,39.52%,39.43%,33.35%,37.68%,27.76%,89021.2,80128.1,80032.8,62919.3,50735.6,109801.8,73.18%,47.29%,47.08%,34.77%,34.89%,30.01%,170400.2,108582.1,108311.0,69503.9,44010.8,125260.8,622882.7,633739.8,634906.5,525036.1,74788.8,1317329.0,451636.2,560656.2,562727.9,492473.2,72121.2,1280084.6,519233.6,549534.6,550288.7,506606.5,81234.2,1208929.5,53.65%,45.60%,45.50%,38.60%,25.17%,20.21%,278571.4,250613.3,250389.3,195560.6,20447.4,244300.8,79.58%,54.09%,53.92%,34.41%,24.86%,26.90%,495691.5,342776.6,342325.4,180677.7,18590.6,354300.6
01-KO2-B3,,47496,37793,37671,31870,52,5070,100.00%,79.57%,79.31%,67.10%,0.11%,10.67%,100.00%,79.57%,99.68%,84.60%,0.14%,13.46%,368682.3,371387.0,371826.4,341056.3,218221.8,553138.9,284315.5,353803.8,354301.3,330304.1,214718.5,534079.1,326492.9,344830.9,345103.9,328422.4,214494.4,541141.8,38.46%,28.77%,28.70%,24.69%,15.92%,25.61%,125573.3,99206.4,99049.1,81089.0,34155.9,138612.0,179.72%,33.02%,32.96%,25.95%,18.41%,25.79%,662587.4,122633.1,122542.6,88490.8,40168.8,142671.3,413200.0,301898.2,301757.0,267361.7,216489.8,504075.7,255209.0,267648.0,267549.5,242755.9,204287.9,471148.7,254265.3,260102.8,260016.5,238920.5,216030.4,484143.8,55.54%,48.14%,48.13%,43.41%,34.10%,40.82%,141231.1,125210.8,125140.3,103703.6,73674.6,197618.7,500.25%,52.12%,52.11%,46.76%,34.40%,35.48%,2067047.4,157363.1,157256.6,125031.2,74474.9,178830.4,237616.9,232742.4,233366.4,203248.2,138003.6,411750.1,181760.8,212178.4,213396.0,192035.9,122111.2,395457.9,201824.6,207964.2,208370.6,192641.5,130848.6,387513.1,45.40%,39.19%,39.08%,33.27%,35.43%,27.28%,91623.8,81501.2,81424.4,64088.4,46364.1,105707.0,72.90%,45.93%,45.64%,33.92%,54.55%,29.65%,173212.8,106898.3,106500.7,68946.2,75287.3,122095.1,635501.3,641866.3,643468.8,532979.9,68999.2,1302132.4,459064.1,568270.0,571081.9,499295.7,65475.9,1268101.8,532968.3,563967.0,565078.9,516240.6,72586.6,1199147.8,54.56%,45.80%,45.60%,39.06%,27.96%,19.62%,290775.5,258304.2,257699.7,201641.3,20294.8,235246.1,77.91%,52.75%,52.52%,34.37%,29.19%,25.53%,495124.8,338586.8,337925.5,183204.6,20139.8,332416.3
01-KO2-C3,,52215,41781,41651,34852,51,6038,100.00%,80.02%,79.77%,66.75%,0.10%,11.56%,100.00%,80.02%,99.69%,83.68%,0.12%,14.50%,364446.0,376196.9,376646.9,343328.2,220868.8,559646.9,291180.9,357984.1,358498.9,332455.1,217858.2,541072.1,330394.3,348554.3,348860.4,330760.7,215168.0,547340.4,37.98%,28.70%,28.65%,24.34%,17.38%,25.81%,125479.0,100047.9,99932.3,80523.0,37387.5,141274.7,151.47%,33.46%,33.40%,26.13%,17.04%,25.45%,552023.0,125887.7,125787.7,89711.3,37628.9,142433.7,375302.2,306121.9,305999.0,269371.7,227924.6,505453.9,261172.1,271746.0,271658.7,244951.2,209212.8,474766.5,259871.2,264270.9,264166.8,241163.5,200525.2,487623.0,55.18%,48.52%,48.48%,43.27%,26.47%,39.11%,143409.1,128226.5,128073.1,104342.5,53069.2,190731.1,383.02%,51.58%,51.58%,46.37%,48.34%,34.23%,1437499.6,157891.6,157824.7,124901.0,110188.8,173020.7,238848.6,234924.3,235540.5,203502.8,144039.8,411162.2,185957.4,213599.1,214829.8,192024.7,127464.1,394514.0,203212.1,209156.3,209507.4,192969.0,140968.8,388596.9,45.48%,39.78%,39.63%,33.30%,20.73%,27.28%,92424.7,83200.6,83026.9,64266.5,29226.5,106026.0,71.77%,46.65%,46.36%,34.33%,54.15%,30.47%,171432.7,109595.9,109204.8,69859.6,77999.9,125300.3,646370.4,653282.0,654838.6,535695.8,72548.1,1312092.9,471882.4,577061.4,579805.3,502206.9,67650.6,1275925.3,539473.9,571741.2,572864.9,519058.9,81352.1,1205033.5,54.92%,46.11%,46.00%,38.91%,24.64%,19.56%,296282.2,263625.7,263506.5,201943.1,20042.1,235736.2,77.53%,53.57%,53.35%,34.23%,30.11%,26.43%,501117.8,349938.8,349329.4,183358.6,21842.0,346833.0
01-KO2_AZ-D3,,51750,42154,42061,33213,46,7949,100.00%,81.46%,81.28%,64.18%,0.09%,15.36%,100.00%,81.46%,99.78%,78.96%,0.11%,18.90%,371835.8,366104.3,366380.8,326430.8,203918.9,526713.0,290821.2,348767.4,349079.0,317511.1,201342.2,509149.3,324532.7,339939.6,340155.0,316966.1,198601.8,507912.6,36.43%,28.60%,28.57%,23.30%,12.65%,25.33%,118218.0,97230.2,97175.7,73845.3,25129.4,128653.4,194.19%,33.20%,33.16%,23.97%,16.57%,25.90%,722053.6,121539.6,121491.0,78259.0,33794.2,136392.9,411383.6,294678.8,294518.4,249245.1,225301.6,476178.8,254804.7,261089.3,260968.1,228247.4,214762.4,443865.3,249289.3,251854.3,251624.0,224362.7,214885.8,448743.6,53.90%,47.73%,47.74%,40.72%,23.60%,40.86%,134356.0,120205.8,120114.6,91366.3,50712.2,183348.2,511.46%,52.79%,52.79%,45.19%,32.49%,36.79%,2104064.0,155573.4,155473.0,112625.3,73197.7,175199.1,279403.9,273496.3,273996.4,229475.9,139400.3,453433.1,216400.9,249487.5,250459.4,218172.7,123682.1,433959.3,234352.3,241384.8,241679.8,217593.2,148101.3,424971.5,44.26%,39.05%,38.96%,30.61%,38.85%,28.23%,103721.8,94251.5,94154.6,66615.6,57541.3,119972.6,73.50%,46.29%,46.10%,32.14%,46.37%,31.13%,205362.1,126614.3,126302.3,73750.0,64644.6,141156.2,723572.4,722639.4,723821.4,567268.6,71515.8,1356913.9,533224.8,639535.2,641614.1,536764.1,69437.2,1312526.0,597868.0,627772.5,628565.1,555829.4,72816.8,1233001.5,52.94%,45.18%,45.06%,36.02%,25.80%,21.97%,316517.7,283610.9,283244.9,200185.5,18784.2,270857.1,79.29%,53.78%,53.63%,31.51%,23.04%,28.77%,573740.0,388609.0,388178.8,178763.3,16477.7,390359.7
01-KO2_AZ-E3,,47059,37373,37270,28658,37,7743,100.00%,79.42%,79.20%,60.90%,0.08%,16.45%,100.00%,79.42%,99.72%,76.89%,0.10%,20.78%,358129.0,369877.3,370254.4,328642.2,204024.3,519411.2,285387.8,352207.3,352633.4,319389.3,199773.1,501463.7,325438.5,343547.9,343902.6,319175.0,193357.3,503618.3,38.52%,28.86%,28.77%,23.04%,21.64%,25.73%,125352.5,99151.4,98952.8,73541.6,41840.2,129604.3,138.06%,33.18%,33.13%,24.46%,21.63%,26.23%,494447.2,122736.7,122659.8,80385.3,44131.5,136239.2,395054.7,312207.9,312089.4,263820.3,216488.3,484247.4,265309.0,277025.0,276914.4,241048.6,198173.2,451642.3,264055.7,268853.7,268760.3,237099.6,183038.2,458366.1,55.58%,48.74%,48.72%,41.51%,38.08%,40.79%,146757.4,131047.9,130949.5,98409.9,69692.4,186964.1,414.27%,51.63%,51.65%,45.38%,46.85%,36.38%,1636598.6,161203.2,161189.3,119712.7,101431.4,176146.5,286260.7,282502.6,283166.4,234501.0,156604.8,457458.7,218289.2,256948.9,258295.6,222424.1,139715.9,438162.1,242412.6,251290.7,251760.9,224032.1,151656.6,429678.6,46.40%,40.14%,39.98%,31.19%,20.99%,28.42%,112490.8,100876.8,100642.0,69873.3,31825.5,122116.7,73.69%,46.26%,46.00%,32.53%,50.81%,30.80%,210945.4,130695.6,130259.8,76284.2,79565.6,140915.8,739583.5,742609.3,744172.8,571806.4,74417.6,1362626.0,531591.2,652884.3,655600.6,538533.9,72093.3,1317722.6,613605.2,648056.4,649325.4,567270.9,76986.0,1239548.6,55.99%,46.74%,46.57%,36.63%,27.21%,22.61%,343566.0,302887.6,302376.7,207784.8,20947.7,280215.5,80.93%,54.22%,54.03%,32.23%,23.89%,28.70%,598572.4,402654.0,402065.8,184314.4,17782.0,391132.5
01-KO2_AZ-F3,,44438,35122,35027,27526,30,6737,100.00%,79.04%,78.82%,61.94%,0.07%,15.16%,100.00%,79.04%,99.73%,78.59%,0.09%,19.23%,369242.9,377082.8,377450.6,335522.4,212135.5,542308.8,284782.7,358925.8,359342.7,326155.2,208336.7,524464.6,329818.9,348994.6,349258.1,325598.8,206518.2,522879.9,38.51%,28.77%,28.71%,23.26%,20.07%,25.62%,127027.1,100419.0,100278.9,75750.1,41451.0,133978.0,157.97%,33.43%,33.38%,24.27%,19.64%,25.70%,583306.6,126063.6,125990.7,81437.1,41655.0,139387.9,419168.0,312157.0,311970.3,265458.5,203256.6,494772.1,263158.3,277728.8,277574.9,243313.8,188626.0,462752.2,264126.6,269147.3,268984.3,238949.8,182689.1,470146.8,55.02%,47.45%,47.41%,40.56%,44.78%,40.87%,145332.6,127716.1,127522.6,96921.8,81809.6,192161.1,464.82%,51.27%,51.28%,44.54%,41.95%,35.69%,1948391.4,160046.2,159977.6,118224.4,85269.2,176606.8,282573.3,279996.9,280633.1,234819.6,153983.8,461081.2,211061.6,255331.9,256596.5,223223.2,131667.3,441017.2,238710.8,248641.3,248932.0,222902.6,143142.9,432627.5,45.63%,39.33%,39.18%,31.11%,46.96%,29.19%,108920.2,97796.2,97536.3,69353.8,67214.9,126304.9,75.11%,46.24%,45.99%,32.17%,59.78%,31.38%,212246.7,129458.2,129050.5,75534.6,92046.7,144672.0,718901.1,725185.1,726655.9,567416.9,71637.4,1355357.5,509350.6,641518.3,644051.9,536861.1,68691.1,1311148.3,595196.0,630832.4,631691.0,558847.1,70312.2,1232956.8,55.10%,45.63%,45.48%,36.20%,34.08%,22.09%,327978.9,287848.5,287312.2,202292.1,23962.2,272366.0,82.15%,53.80%,53.62%,31.53%,26.65%,28.77%,590570.9,390161.5,389620.8,178893.0,19090.5,389941.6
01-KO7-A4,,83817,65059,64462,59054,189,4526,100.00%,77.62%,76.91%,70.46%,0.23%,5.40%,100.00%,77.62%,99.08%,91.61%,0.29%,7.02%,380763.6,391680.3,392785.8,370215.2,216452.2,663686.3,280868.8,366929.8,368119.8,351443.0,211948.8,643797.8,331344.7,358533.5,359518.3,348532.4,206368.1,665313.8,48.49%,34.15%,34.01%,31.08%,18.58%,25.00%,160674.0,122436.8,122261.8,108309.6,38351.6,166296.8,174.99%,37.94%,37.82%,33.42%,21.38%,23.31%,666312.1,148611.5,148564.2,123732.2,46286.4,154737.8,441699.8,348271.6,348093.9,326506.9,215197.7,606211.4,270891.0,311235.9,311164.5,295224.1,199796.0,583118.6,289133.2,307322.1,307156.5,293226.9,201350.8,604612.7,58.25%,49.19%,49.13%,45.79%,39.16%,30.43%,168408.5,151181.0,150898.4,134274.2,78853.3,183993.7,510.08%,48.59%,48.54%,46.27%,43.12%,26.41%,2253039.0,169215.7,168975.3,151066.6,92793.5,160099.7,192828.7,197962.0,199396.7,182668.9,115308.6,400803.3,137649.3,174988.9,177453.3,166300.3,104065.6,386308.4,165552.9,175449.6,176536.5,168382.8,110250.8,390326.9,56.14%,47.99%,47.49%,43.98%,45.46%,25.32%,92934.6,84200.6,83841.9,74048.8,50114.8,98814.9,71.47%,50.90%,50.19%,43.49%,45.42%,27.31%,137812.0,100756.7,100085.5,79439.6,52376.9,109446.6,484475.8,515786.2,518980.5,461244.6,71790.5,1224432.4,328153.0,451172.4,455995.7,422267.8,67046.3,1203654.8,410517.0,452919.2,455580.8,433348.1,78739.1,1151897.0,62.26%,49.56%,49.08%,45.12%,26.37%,15.76%,255587.8,224452.0,223596.8,195523.6,20765.1,181562.9,76.98%,54.09%,53.60%,40.80%,30.39%,20.20%,372965.7,279013.1,278148.7,188188.8,21819.8,247298.9
01-KO7-B4,,75811,58138,57554,52097,163,4594,100.00%,76.69%,75.92%,68.72%,0.22%,6.06%,100.00%,76.69%,99.00%,90.52%,0.28%,7.98%,391316.1,409093.6,410460.2,384418.0,226187.9,682879.6,297249.5,383712.4,385212.6,365723.4,221026.1,663999.5,350806.1,375927.9,377255.7,363589.0,220750.0,687835.5,48.83%,33.91%,33.78%,30.51%,24.75%,23.34%,171293.7,127486.6,127421.4,110947.7,54631.3,160518.2,119.76%,37.33%,37.18%,32.48%,22.20%,22.22%,468634.7,152726.8,152591.3,124873.7,50219.5,151763.4,411237.1,368296.2,368132.6,343679.8,234078.1,621779.0,291616.7,330217.1,330140.5,311607.2,214888.8,600537.1,311528.0,328651.3,328411.6,310731.0,205108.7,624670.5,59.26%,49.22%,49.15%,45.71%,43.13%,28.09%,184620.5,161753.8,161413.5,142032.1,88459.9,175460.6,294.65%,47.27%,47.25%,45.20%,45.30%,24.89%,1211696.1,174106.4,173939.2,155359.6,106033.4,154781.2,204945.7,205363.5,207004.8,188835.6,126080.4,397092.5,145615.6,182573.6,185446.1,172908.6,114461.4,383931.1,175187.0,183924.9,184963.7,175157.3,128360.6,389550.3,56.76%,46.73%,46.15%,42.27%,44.05%,23.97%,99427.6,85954.1,85353.8,74036.3,56547.1,93362.7,70.83%,49.02%,48.22%,41.68%,42.98%,26.44%,145158.7,100660.9,99813.3,78715.8,54191.1,104983.4,517542.0,536387.5,540103.6,476480.6,73397.4,1214981.6,351519.4,470640.5,476555.7,437938.5,70300.9,1196241.1,435934.0,472876.1,476066.4,450281.7,76217.9,1144802.3,62.96%,49.05%,48.49%,44.27%,26.01%,15.06%,274465.6,231956.8,230821.9,199348.5,19821.2,172373.8,77.09%,52.70%,52.11%,39.57%,25.63%,19.16%,398966.8,282668.2,281471.5,188528.7,18810.8,232740.1
01-KO7-C4,,78404,61419,60832,55399,158,4515,100.00%,78.34%,77.59%,70.66%,0.20%,5.76%,100.00%,78.34%,99.04%,91.07%,0.26%,7.42%,389076.0,402655.0,403812.2,379065.2,218265.7,679574.6,306582.9,377543.1,378828.3,360464.4,213300.0,660106.3,346866.2,368631.4,369645.6,357524.8,208269.2,684421.3,46.53%,33.79%,33.61%,30.55%,21.80%,23.52%,161406.3,124554.4,124244.4,109241.4,45401.7,160962.9,112.03%,37.63%,37.49%,32.80%,22.54%,22.65%,435880.8,151510.0,151370.2,124334.0,49189.3,153905.1,404751.9,363796.6,363485.1,340270.5,227714.5,620690.6,300312.2,326272.4,326075.3,308627.5,209950.2,598548.4,311179.9,325116.5,324898.7,308695.8,202911.0,629914.0,57.14%,48.74%,48.66%,45.53%,35.40%,28.51%,177805.0,158474.8,158087.3,140535.4,71831.0,179619.2,280.48%,47.37%,47.32%,45.15%,45.41%,25.44%,1135248.8,172329.0,172007.0,153633.5,103409.9,157912.3,205841.3,202996.7,204517.8,187156.8,117869.9,398631.6,154693.0,180354.2,183002.3,171153.6,106217.7,384874.6,175356.0,181221.5,182366.8,173746.1,115600.2,392043.3,54.50%,46.99%,46.43%,42.96%,46.16%,25.45%,95573.7,85160.0,84679.0,74648.2,53357.5,99777.5,73.43%,49.27%,48.54%,42.10%,48.31%,26.26%,151157.6,100023.3,99263.7,78794.4,56938.1,104675.9,517307.3,526463.6,529793.5,468938.7,71204.7,1220950.9,374862.0,461891.2,467082.3,430618.9,68085.9,1200915.0,430999.6,461760.2,464361.1,440677.9,72705.3,1148042.8,60.21%,49.01%,48.52%,44.46%,31.55%,14.96%,259491.1,226287.0,225315.8,195906.9,22941.8,171798.1,75.91%,53.30%,52.78%,40.07%,27.08%,19.94%,392681.0,280612.3,279634.9,187920.6,19280.0,243487.0
01-KO7_AZ-D4,,58581,42214,41776,34701,133,6161,100.00%,72.06%,71.31%,59.24%,0.23%,10.52%,100.00%,72.06%,98.96%,83.06%,0.32%,14.75%,421688.0,426828.2,428530.7,384800.1,213843.5,661803.9,300011.6,398564.4,400451.0,366598.0,209354.8,641496.6,361123.7,391594.3,393258.4,367129.8,204432.4,664465.1,56.77%,36.27%,36.03%,30.52%,18.86%,25.07%,205015.5,142046.6,141679.0,112030.0,38557.1,166596.4,152.06%,38.19%,37.99%,31.80%,21.87%,23.54%,641206.7,163000.9,162783.7,122356.7,46764.3,155767.8,492335.4,385150.3,384827.4,343694.8,229542.0,603143.7,304387.7,344827.1,344490.7,312122.3,212148.0,580347.6,327306.1,346103.4,345723.8,312272.8,208875.0,601305.5,63.84%,50.21%,50.21%,44.93%,32.76%,30.50%,208947.9,173785.2,173588.7,140314.9,68419.9,183371.4,405.09%,47.01%,47.05%,44.75%,46.35%,26.47%,1994399.1,181057.4,181080.5,153817.7,106383.2,159644.9,269378.6,267548.7,269867.4,232466.5,115011.1,470237.9,179705.0,236008.8,240341.3,213469.9,101579.4,452904.8,226396.0,240799.5,242388.8,219261.0,107647.4,455035.8,62.02%,48.43%,47.85%,41.65%,56.88%,25.66%,140412.3,116628.6,115988.3,91314.8,61230.0,116758.9,77.24%,49.93%,49.03%,40.63%,51.49%,27.89%,208078.6,133581.9,132316.0,94455.5,59219.1,131161.9,623108.4,636480.9,641208.9,526117.8,67926.6,1261993.9,397909.7,554576.9,562106.1,486937.7,63285.4,1236647.4,514475.6,565964.9,569580.8,511858.4,71027.4,1184049.9,69.21%,50.69%,50.08%,42.74%,37.36%,17.85%,356047.9,286904.0,285244.8,218748.1,26536.8,211354.4,83.25%,53.23%,52.59%,36.93%,32.91%,22.26%,518744.3,338821.3,337223.7,194280.9,22353.5,280885.0
01-KO7_AZ-E4,,56508,40041,39591,32182,132,6477,100.00%,70.86%,70.06%,56.95%,0.23%,11.46%,100.00%,70.86%,98.88%,81.29%,0.33%,16.36%,426573.6,437026.3,438929.8,391408.9,235943.1,662478.9,302363.0,408497.9,410651.4,373388.2,229003.7,642088.1,369043.9,401781.0,403406.6,373855.3,224495.9,662806.5,58.17%,35.89%,35.66%,29.57%,26.35%,25.38%,214660.7,144216.7,143869.4,110531.2,59164.0,168187.8,139.58%,37.78%,37.55%,31.35%,25.68%,23.63%,595411.9,165127.1,164808.4,122723.2,60591.7,156513.8,486639.9,396702.2,396401.6,350884.3,254800.3,609527.3,308753.0,356067.6,355818.0,319585.8,230478.2,586746.0,337822.4,357745.6,357338.9,319949.3,223254.4,605674.0,65.17%,49.94%,49.90%,44.28%,39.38%,30.69%,220146.5,178646.2,178308.9,141688.9,87911.2,185874.6,389.51%,46.32%,46.32%,44.08%,50.83%,26.25%,1895502.9,183751.9,183626.7,154669.5,129523.2,160012.0,274026.4,272529.5,275093.3,234017.9,129001.9,469480.2,177800.1,240677.8,245487.0,215501.0,114762.4,453042.3,231076.9,245513.8,247314.6,222457.7,126115.9,459576.4,64.08%,48.46%,47.77%,40.29%,48.92%,25.35%,148064.8,118979.7,118134.2,89630.5,61697.7,116488.3,78.42%,49.23%,48.24%,39.56%,47.57%,27.14%,214887.9,134164.7,132716.8,92587.6,61372.6,127396.2,639549.3,656198.4,661444.6,533701.1,70003.0,1272013.6,396911.9,570771.9,578956.9,494515.4,65018.6,1246313.8,528129.4,582043.9,586205.3,521495.8,74237.9,1195836.3,71.53%,51.19%,50.51%,42.29%,27.65%,18.65%,377780.6,297975.6,296098.8,220565.1,20529.1,223064.7,83.41%,53.21%,52.53%,36.47%,32.07%,21.94%,533447.4,349168.2,347445.0,194631.0,22450.5,279104.6
