Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
NTAN1	4	0.077833	0.16746	0.70863	0.9648	0.867	0.93817
JMJD7	4	0.20203	1.6602	0.47549	0.91472	0.096878	0.67313
ONECUT1	4	0.055822	0.34959	0.75204	0.97101	0.72665	0.86659
SLC39A11	4	-0.013704	-0.065465	0.89732	0.98877	0.9478	0.97536
XAGE2	4	0.21019	0.46881	0.46032	0.90952	0.63921	0.82397
SNX33	4	0.091381	0.41214	0.68183	0.95909	0.68024	0.84211
ITIH1	4	0.15459	0.91715	0.56165	0.93441	0.35906	0.71196
COG6	4	-0.35999	-0.93824	0.47081	0.91454	0.34812	0.70541
GULP1	4	0.72674	1.267	0.019739	0.32702	0.20514	0.69021
RBFOX1	4	0.45697	1.0462	0.1429	0.72102	0.29547	0.69252
KLRC2	4	0.45894	0.95854	0.14126	0.71894	0.33779	0.70148
NANOS1	4	0.25571	1.0945	0.38335	0.87551	0.27374	0.69021
MLLT6	4	-0.54556	-1.918	0.26526	0.81951	0.055111	0.53276
UBL4B	4	0.0040956	0.018987	0.85879	0.98502	0.98485	0.99304
BCL2L2	4	-0.087988	-0.35698	0.94819	0.99536	0.7211	0.86405
APOL3	4	0.27354	0.68814	0.3572	0.86791	0.49136	0.77091
ZNF319	4	-0.65551	-1.9711	0.18288	0.76561	0.048712	0.5089
CDK10	4	-1.5756	-2.9038	0.0040274	0.15028	0.003687	0.15913
ZNF461	4	0.34711	1.227	0.25756	0.81511	0.21983	0.69021
TAAR9	4	-0.32332	-1.2119	0.52446	0.92779	0.22557	0.69021
ERGIC1	4	0.12604	0.61522	0.61625	0.94709	0.53841	0.78959
PPP4C	4	-2.0359	-3.6676	0.00044749	0.047619	0.00024486	0.040038
COBL	4	0.075505	0.42876	0.71286	0.96558	0.6681	0.83559
DNALI1	4	0.26038	0.99265	0.37475	0.87356	0.32088	0.69816
TMEM185B	4	0.27058	0.6914	0.36128	0.86995	0.48931	0.77038
OLFML3	4	-0.51745	-1.4354	0.29037	0.83794	0.15117	0.69021
OR4S1	4	0.033047	0.64491	0.79853	0.97549	0.51899	0.7827
C4orf22	4	0.48308	1.1707	0.12137	0.68731	0.2417	0.69021
DHX57	4	-0.38797	-1.2559	0.43347	0.90034	0.20914	0.69021
SPINT2	4	-0.07414	-0.2766	0.97847	0.99763	0.78209	0.8958
DACH1	4	0.070203	0.44682	0.7236	0.96653	0.655	0.83012
NUP153	4	0.47238	1.0192	0.12967	0.69938	0.30812	0.69347
PPP1R14A	4	-0.20469	-0.77491	0.72405	0.9668	0.43839	0.74726
USP4	4	0.34705	1.4906	0.25761	0.81514	0.13606	0.69021
KRTAP19-3	4	-0.3861	-1.1834	0.43616	0.90167	0.23664	0.69021
ZFP64	4	-0.38577	-0.92685	0.43675	0.90194	0.354	0.70928
KIAA1671	4	-0.50501	-1.725	0.30052	0.84198	0.084519	0.63262
GIPR	4	-0.0016127	-0.0042067	0.87057	0.9862	0.99664	0.99823
TPP1	4	0.14633	0.54542	0.57672	0.93498	0.58546	0.80617
NOMO2	4	-0.094621	-0.65008	0.93372	0.99323	0.51564	0.78092
FCN3	4	-0.038913	-0.1963	0.95013	0.99573	0.84438	0.92652
ISPD	4	0.35225	1.0407	0.25139	0.81276	0.29801	0.69292
BRPF1	4	-0.6023	-2.0856	0.22066	0.79556	0.037015	0.45227
MDH2	4	-0.53772	-1.6449	0.27223	0.82303	0.099994	0.68159
UBE3B	4	0.38868	0.86212	0.20953	0.78659	0.38862	0.72463
GPR6	4	-0.3035	-0.93012	0.55599	0.93441	0.35231	0.70836
OR4C45	4	0.036902	0.12884	0.79037	0.97475	0.89748	0.95293
PSORS1C1	4	-0.10981	-0.74664	0.90404	0.99022	0.45528	0.75462
AMBP	4	0.51107	0.90795	0.10178	0.6484	0.3639	0.71425
SGMS1	4	-0.29148	-0.68577	0.57478	0.93498	0.49286	0.77189
CLCA4	4	-0.18594	-0.99421	0.75746	0.97125	0.32012	0.69816
CSTL1	4	0.13661	0.66913	0.59591	0.94244	0.50341	0.7755
HDDC2	4	-0.27112	-0.63571	0.60675	0.94524	0.52497	0.78556
C17orf49	4	0.040077	0.085999	0.78341	0.97393	0.93147	0.9686
MAP1LC3B	4	0.29243	0.77947	0.33174	0.85776	0.4357	0.74631
GDPD5	4	0.012607	0.060738	0.84109	0.98362	0.95157	0.97738
TTC7A	4	-0.20378	-0.41003	0.72593	0.9676	0.68178	0.84283
OR5M1	4	0.3609	1.2687	0.24035	0.80292	0.20456	0.69021
UBB	4	-0.11948	-0.53089	0.88574	0.98745	0.59549	0.80795
STEAP2	4	0.45466	1.0536	0.14474	0.72373	0.29208	0.69235
DHRS13	4	-0.15365	-0.71714	0.82016	0.97975	0.47329	0.76292
FBXO17	4	0.32068	0.92166	0.29241	0.83794	0.35671	0.70977
GTF3C5	4	-1.3306	-2.8977	0.012281	0.26333	0.0037592	0.16116
OR2A42	4	-0.071493	-0.20482	0.98324	0.99763	0.83771	0.92307
HLA-DRA	4	0.10287	0.90145	0.65831	0.95293	0.36735	0.71618
KLF4	4	0.34669	0.84053	0.25845	0.81657	0.40061	0.73059
NEK1	4	0.48451	1.2731	0.12072	0.68731	0.20298	0.69021
GNL3L	4	-0.4019	-1.8423	0.41706	0.89348	0.065428	0.57196
PPM1G	4	-1.5909	-2.6199	0.0038783	0.14971	0.0087952	0.23679
ADRA2A	4	0.35717	1.4616	0.24443	0.80458	0.14385	0.69021
MAPKAPK2	4	0.097421	0.42973	0.67	0.95547	0.6674	0.83542
ISCU	4	-0.2688	-0.78308	0.61148	0.94647	0.43358	0.74594
PRDX3	4	-0.19728	-0.4754	0.73757	0.96907	0.6345	0.82227
IGF1	4	-0.19061	-0.72518	0.74866	0.97059	0.46834	0.76002
ZNF839	4	-0.304	-1.1712	0.55514	0.93441	0.24153	0.69021
ATG4A	4	-0.018513	-0.072036	0.90652	0.99028	0.94257	0.9732
LILRB3	4	0.44319	1.4666	0.15424	0.73717	0.14249	0.69021
ZNF573	4	0.12266	0.36788	0.62266	0.94784	0.71297	0.85951
COL9A2	4	0.61222	1.2611	0.050815	0.49709	0.20726	0.69021
NXPE1	4	0.061896	0.57853	0.7408	0.96907	0.5629	0.79851
S100A7	4	0.22331	0.42124	0.43765	0.90221	0.67358	0.83877
CYP17A1	4	-0.11792	-0.45518	0.88852	0.98746	0.64898	0.8271
EIF4E	4	-0.91615	-2.2789	0.070356	0.56052	0.022676	0.36749
TRPM4	4	-0.62822	-1.7646	0.20147	0.78103	0.077624	0.61086
FAM206A	4	-0.84125	-2.0381	0.094521	0.62648	0.041535	0.48037
GIT2	4	-0.088133	-0.24225	0.94784	0.99536	0.80858	0.90809
POT1	4	-0.91808	-2.1527	0.069958	0.56052	0.031341	0.42189
DEFB110	4	0.54326	1.3617	0.081394	0.58938	0.1733	0.69021
TRIM67	4	0.81075	1.1513	0.0088007	0.22167	0.2496	0.69021
FPGT-TNNI3K	4	0.10169	0.27538	0.6606	0.9538	0.78303	0.89616
ITPR2	4	0.0017941	0.004466	0.86411	0.98507	0.99644	0.99821
NLRX1	4	-0.10573	-0.3515	0.9113	0.99123	0.72521	0.86593
ENTPD2	4	-0.036429	-0.15372	0.94491	0.99508	0.87783	0.94366
CCIN	4	0.54573	0.95305	0.079903	0.58628	0.34057	0.70335
TMEM150C	4	-0.40053	-1.0318	0.4188	0.89473	0.30217	0.69322
TFAP2A	4	-0.061339	-0.1506	0.99577	0.9997	0.88029	0.9449
LY6D	4	0.080049	0.21224	0.70455	0.96457	0.83192	0.92028
ARMC5	4	-0.86488	-1.7675	0.085074	0.59596	0.077152	0.60969
TFCP2L1	4	0.071458	0.36515	0.72086	0.96639	0.715	0.86049
KLC4	4	-0.29756	-0.9527	0.56558	0.93441	0.34074	0.70349
ELP6	4	-0.19686	-0.42037	0.73807	0.96907	0.67422	0.83885
BPIFB2	4	0.33876	1.0969	0.26745	0.8214	0.27267	0.69021
OTUD3	4	0.075616	0.40138	0.71266	0.96558	0.68814	0.84565
