Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
TRIM49B	4	-0.22887	-1.2268	0.53659	0.91227	0.21988	0.46437
SPANXN2	4	0.1617	1.3966	0.14094	0.54601	0.16253	0.43526
HNRNPA1L2	4	-0.31068	-1.2497	0.37107	0.82606	0.2114	0.45806
TPBGL	4	-0.021047	-0.28177	0.83228	0.98442	0.77812	0.87262
ANKRD13A	4	0.15461	1.2626	0.15742	0.57633	0.20673	0.45417
EXOSC7	4	-1.0487	-2.5963	0.0035574	0.043928	0.0094229	0.12113
CNFN	4	-0.071476	-1.0169	0.9728	0.99732	0.30922	0.53212
SNX4	4	0.071563	0.7154	0.43584	0.8659	0.47436	0.66307
FAM127A	4	-0.036099	-0.31928	0.89359	0.98998	0.74951	0.85325
DENND2C	4	0.1454	0.96634	0.18033	0.61455	0.33387	0.55212
OR1D2	4	0.10851	0.53905	0.29192	0.74876	0.58985	0.74594
ZNF354B	4	0.11982	1.3441	0.25629	0.71717	0.17892	0.43801
SYT10	4	0.16451	1.0928	0.13513	0.53667	0.27448	0.50517
MUC13	4	-0.11649	-1.2737	0.82359	0.98376	0.20277	0.45193
ATP2C2	4	-0.11405	-1.2288	0.83066	0.98442	0.21913	0.46425
NEUROD6	4	0.032806	0.34471	0.59791	0.93458	0.73031	0.84055
IBSP	4	0.15403	0.9914	0.15851	0.57758	0.32149	0.54206
TEX33	4	-0.062842	-0.67731	0.99618	0.99921	0.49821	0.68049
ZNF433	4	-0.08205	-1.1616	0.93278	0.99392	0.2454	0.48217
DLX5	4	0.069046	0.49911	0.44551	0.87059	0.6177	0.76454
SMURF1	4	0.06306	1.1384	0.4711	0.8862	0.25495	0.48948
RNF40	4	-0.47889	-1.8308	0.14674	0.55874	0.067133	0.42478
FAM160A1	4	0.093058	0.75024	0.35061	0.8083	0.45311	0.64689
ZNF420	4	-0.0519	-0.51701	0.9549	0.9964	0.60515	0.7559
ANKRD23	4	0.0093742	0.11329	0.70238	0.96641	0.9098	0.95178
BLZF1	4	0.11922	1.2233	0.25823	0.71843	0.22122	0.46544
DNAI1	4	0.1506	1.5596	0.16688	0.59504	0.11885	0.43501
TRIM66	4	-0.13141	-1.0504	0.77834	0.97985	0.29352	0.51964
DGKZ	4	0.19892	1.4573	0.074444	0.39288	0.14505	0.43501
FDX1	4	-0.49647	-2.1616	0.1322	0.53066	0.030652	0.27001
PSTK	4	-0.25927	-1.7881	0.47204	0.88645	0.073759	0.43501
FABP4	4	0.20635	1.4663	0.064818	0.36133	0.14256	0.43501
BIVM	4	-0.19177	-1.8537	0.6193	0.9398	0.063787	0.41249
SERPINB8	4	0.15218	1.6326	0.16317	0.58694	0.10255	0.43501
DAGLA	4	-0.091586	-0.78203	0.90065	0.99119	0.4342	0.63207
SIGLEC7	4	-0.010719	-0.22977	0.78938	0.98082	0.81827	0.8981
GOLGA8M	4	-0.69818	-1.9451	0.042427	0.28072	0.051757	0.37037
LMNTD2	4	-0.4933	-1.9032	0.13492	0.53638	0.057013	0.39118
IGFBP1	4	0.021409	0.41698	0.64672	0.94822	0.67669	0.80551
COL9A3	4	0.010153	0.16192	0.69867	0.96572	0.87137	0.92815
ZBTB12	4	-0.0090857	-0.092812	0.78295	0.98024	0.92605	0.96102
GRIFIN	4	-0.19251	-1.3855	0.61679	0.9398	0.16588	0.43526
DPP9-AS1	4	-0.018263	-0.52122	0.8204	0.98376	0.60222	0.75445
UBE2G1	4	-0.30259	-1.9825	0.38708	0.83671	0.047426	0.35343
S100A8	4	0.19156	1.18	0.085587	0.42449	0.238	0.47754
HPS6	4	0.16639	1.6856	0.13042	0.5265	0.091872	0.43501
SPACA3	4	0.060372	0.45884	0.48182	0.89011	0.64635	0.78443
PGF	4	-0.13142	-1.4834	0.77834	0.97985	0.13796	0.43501
LOC81691	4	0.10403	1.4931	0.30813	0.76464	0.13541	0.43501
ZNF549	4	0.20991	1.6489	0.061261	0.3506	0.099165	0.43501
SLC22A17	4	-0.1594	-0.98765	0.7029	0.96641	0.32332	0.5434
KCNH6	4	0.13761	1.513	0.20199	0.6463	0.13027	0.43501
POU2F2	4	0.00034916	0.0070553	0.7424	0.97515	0.99437	0.99758
RPTOR	4	-1.7731	-3.7134	0	0	0.00020445	0.013929
PADI2	4	-0.11094	-0.9523	0.83934	0.98442	0.34095	0.55775
SPR	4	0.086972	1.3511	0.3741	0.82901	0.17666	0.43722
TJP1	4	0.19073	1.0958	0.086634	0.42747	0.27318	0.50439
OLIG1	4	0.14145	1.0727	0.19194	0.63313	0.28343	0.51114
S100PBP	4	-0.010498	-0.31026	0.78828	0.9808	0.75636	0.85778
PPP4R2	4	-0.18194	-1.5634	0.64426	0.94772	0.11795	0.43501
IRX2	4	0.10197	1.4856	0.31624	0.77312	0.13737	0.43501
GSTP1	4	-0.104	-1.8075	0.86194	0.98764	0.070686	0.43501
IFNLR1	4	-0.012313	-0.089354	0.79571	0.98188	0.9288	0.96226
TPST1	4	0.038766	0.60273	0.57102	0.92425	0.54669	0.71472
MAP2K6	4	0.24223	1.4146	0.032488	0.23775	0.15718	0.43526
C9orf135	4	-0.055116	-0.68067	0.96819	0.99732	0.49608	0.67957
FGF10	4	-0.0333	-0.80596	0.88219	0.98839	0.42027	0.6202
USP46	4	0.29849	1.5647	0.0073764	0.07842	0.11764	0.43501
MCIDAS	4	0.25629	1.4908	0.023123	0.1865	0.136	0.43501
FAM102A	4	0.052766	1.0264	0.51394	0.9048	0.30472	0.52909
GALNT13	4	0.18896	1.5329	0.089092	0.43355	0.1253	0.43501
DOCK4	4	-0.0080668	-0.098583	0.77813	0.97985	0.92147	0.95847
AMN	4	-0.10202	-1.1976	0.86764	0.98824	0.23107	0.47294
EFCAB5	4	0.067052	1.0058	0.45441	0.87693	0.31452	0.53626
