sgRNA,Gene,DLD1-Ts10.21.initial,DLD1-Ts10.21.final
TRPS1_E6_102.5,TRPS1,1498,1201
TRPS1_E6_102.7,TRPS1,2248,2253
TRPS1_E7_69.1,TRPS1,3120,2490
TRPS1_E7_69.2,TRPS1,2970,4321
TSC22D1_E3_138.1,TSC22D1,4100,2558
TSC22D1_E3_138.4,TSC22D1,1039,592
TSC22D1_E3_138.5,TSC22D1,4349,2369
TSC22D1_E3_138.6,TSC22D1,3802,2471
TSC22D1_E3_138.7,TSC22D1,2271,1565
TSC22D1_E3_138.9,TSC22D1,2214,2064
TSC22D2_E4_168.0,TSC22D2,1786,899
TSC22D2_E4_168.1,TSC22D2,3170,2500
TSC22D2_E4_168.2,TSC22D2,4173,4211
TSC22D2_E4_168.3,TSC22D2,1264,1467
TSC22D2_E4_168.4,TSC22D2,3670,4100
TSC22D3_E3_168.12,TSC22D3,1225,1441
TSC22D3_E3_168.13,TSC22D3,1915,2564
TSC22D3_E3_168.14,TSC22D3,1231,1037
TSC22D3_E3_168.15,TSC22D3,1156,1127
