Gene	sgRNA	Cont3|beta	Cont3|z	Cont3|p-value	Cont3|fdr	Cont3|wald-p-value	Cont3|wald-fdr
AAK1	6	-0.14144	-0.95042	0.82935	0.96047	0.3419	0.60148
AATK	6	-0.049146	-0.31021	0.86832	0.97169	0.7564	0.86713
ABL1	6	0.22154	1.3468	0.13225	0.54302	0.17804	0.45286
ABL2	6	0.17465	0.93216	0.20392	0.62565	0.35125	0.60897
ACVR1	6	-0.19965	-0.91552	0.66382	0.90676	0.35992	0.61441
ACVR1B	6	-0.048362	-0.81422	0.86547	0.97099	0.41552	0.66048
ACVR1C	6	0.049045	0.49823	0.53385	0.84754	0.61832	0.77487
ACVR2A	6	0.099356	0.49016	0.38197	0.75365	0.62402	0.77859
ACVRL1	6	-0.26586	-1.0836	0.50654	0.83023	0.27856	0.54808
ADCK1	6	-0.097321	-0.43772	0.97469	0.99192	0.66159	0.80529
ADCK2	6	-0.11672	-0.86673	0.91325	0.9797	0.38609	0.63464
ADCK3	6	0.1776	1.1844	0.19994	0.62335	0.23626	0.50929
ADCK4	6	-0.22475	-1.3002	0.6004	0.87922	0.19355	0.4706
ADCK5	6	-0.27155	-2.3884	0.49516	0.82392	0.016924	0.16083
ADRBK1	6	-0.46872	-2.0893	0.19852	0.62335	0.036679	0.27265
ADRBK2	6	0.093175	0.5849	0.39846	0.76599	0.55861	0.74544
AK1	6	-0.0095915	-0.042458	0.72497	0.92894	0.96613	0.98805
AK2	6	-0.25515	-1.1114	0.52816	0.84371	0.2664	0.53614
AK3	6	-0.33971	-1.2249	0.36121	0.74113	0.22061	0.49288
AKT1	6	-0.75834	-2.9271	0.045506	0.32323	0.0034212	0.049707
AKT2	6	-0.92764	-2.9769	0.018771	0.19186	0.0029119	0.043382
AKT3	6	0.32798	1.7402	0.038965	0.30995	0.081825	0.35783
ALK	6	0.081908	0.98235	0.43515	0.79152	0.32593	0.58636
AMHR2	6	0.14765	1.3652	0.26479	0.67172	0.1722	0.4453
ANKK1	6	0.094125	0.62524	0.39676	0.7659	0.53182	0.73357
ARAF	6	-0.0086386	-0.13857	0.72156	0.92894	0.88979	0.94826
ATM	6	-0.4496	-1.603	0.21416	0.63598	0.10894	0.38298
ATR	6	-2.9656	-4.9314	0	0	8.1653e-07	3.8279e-05
AURKA	6	-1.1188	-2.5948	0.0062571	0.084942	0.0094645	0.1084
AURKB	6	-2.4741	-3.878	0	0	0.00010533	0.0026264
AURKC	6	-0.38964	-1.1425	0.28242	0.68269	0.25326	0.52139
AXL	6	-0.16455	-0.52695	0.76308	0.94074	0.59823	0.76553
BCR	6	-0.0029823	-0.019728	0.70449	0.92348	0.98426	0.9953
BLK	6	-0.059396	-0.47594	0.90102	0.9797	0.63411	0.7876
BMP2K	6	0.042571	0.27075	0.55631	0.85984	0.78658	0.88358
BMPR1A	6	0.014012	0.057889	0.65102	0.9051	0.95384	0.98195
BMPR1B	6	0.077302	0.51398	0.44909	0.79919	0.60726	0.76968
BMPR2	6	-0.15871	-0.81887	0.77929	0.94619	0.41286	0.65752
BRAF	6	0.10852	1.0242	0.35779	0.73885	0.30574	0.57321
BRSK1	6	-0.10521	-0.51387	0.94596	0.98577	0.60734	0.76968
BRSK2	6	-0.62045	-1.6909	0.088453	0.46097	0.090863	0.36522
BTK	6	0.10897	0.44656	0.35666	0.73885	0.65519	0.80081
BUB1	6	-1.383	-2.9536	0.0019909	0.033981	0.0031412	0.04621
BUB1B	6	-2.2739	-3.976	0	0	7.0095e-05	0.0018121
CAMK1	6	-0.14312	-1.0565	0.82708	0.96047	0.29073	0.55955
CAMK1D	6	0.29155	1.5891	0.057736	0.36057	0.11203	0.38376
CAMK1G	6	0.21118	0.92351	0.14704	0.56	0.35574	0.61223
CAMK2A	6	0.20541	1.81	0.15415	0.56681	0.070302	0.3522
CAMK2B	6	-0.0053875	-0.047247	0.71132	0.92495	0.96232	0.986
CAMK2D	6	-0.33938	-2.0368	0.36234	0.74113	0.041668	0.29126
CAMK2G	6	-0.19074	-0.85035	0.68743	0.91904	0.39513	0.64319
CAMK4	6	0.082986	0.46196	0.43146	0.78805	0.64411	0.79491
CAMKK1	6	0.021788	0.26898	0.624	0.89191	0.78795	0.88483
CAMKK2	6	0.17924	0.67363	0.19596	0.62016	0.50055	0.71837
CAMKV	6	0.19382	1.1929	0.17349	0.58908	0.23291	0.50613
CASK	6	0.31698	1.5232	0.044369	0.32323	0.12772	0.40169
CDC42BPA	6	0.2097	1.2696	0.14875	0.56237	0.20423	0.4809
CDC42BPB	6	-0.25235	-1.0226	0.53441	0.84754	0.30649	0.57321
CDC42BPG	6	-0.23371	-1.9839	0.57907	0.86977	0.047265	0.30492
CDC7	6	-2.5083	-4.341	0	0	1.4181e-05	0.00048409
CDK1	8	-2.8976	-6.5015	0	0	7.9517e-11	1.3355e-08
CDK10	6	-0.5615	-2.3771	0.12088	0.52276	0.017447	0.16315
CDK11A	6	-0.34612	-1.032	0.34784	0.73004	0.30206	0.57161
CDK11B	6	-0.54982	-2.1459	0.1314	0.54302	0.031883	0.25134
CDK12	6	-1.3229	-2.6873	0.0028441	0.045249	0.0072026	0.091095
CDK13	6	-0.21063	-0.93627	0.63424	0.89379	0.34913	0.607
CDK14	6	-0.18767	-0.94207	0.69881	0.92302	0.34616	0.60557
CDK15	6	0.11894	0.98494	0.3302	0.7203	0.32465	0.58598
CDK16	6	-0.33512	-1.6888	0.36917	0.74427	0.091267	0.36522
CDK17	6	0.042264	0.27774	0.55717	0.85989	0.78122	0.8806
CDK18	6	0.03257	0.17279	0.59044	0.87558	0.86282	0.93
CDK2	6	-0.73375	-2.399	0.051479	0.34345	0.016438	0.15878
CDK20	6	0.31063	1.1508	0.046359	0.32665	0.2498	0.51857
CDK3	6	-0.29777	-2.3679	0.44397	0.79532	0.017891	0.16642
CDK4	6	-0.28062	-1.6086	0.4781	0.81326	0.1077	0.38249
CDK5	6	0.1627	0.81172	0.22952	0.64715	0.41695	0.66156
CDK6	6	0.25696	1.3865	0.092719	0.46676	0.16561	0.43781
CDK7	6	-2.1756	-3.6851	0	0	0.00022857	0.0051848
CDK9	11	-1.9924	-5.5989	0	0	2.1568e-08	1.5476e-06
CDKL1	6	-0.055164	-0.25026	0.8868	0.97743	0.80239	0.89306
CDKL2	6	-0.17074	-1.0324	0.7446	0.93433	0.30189	0.57158
CDKL3	6	0.15954	0.77423	0.2372	0.65316	0.43879	0.68055
CDKL4	6	-0.18534	-1.0173	0.70506	0.92348	0.30902	0.57518
CDKL5	6	0.36309	1.8241	0.022469	0.22067	0.068144	0.34907
CHEK1	6	-2.8143	-5.2157	0	0	1.8313e-07	1.1101e-05
CHEK2	6	-0.13802	-0.65598	0.83959	0.96345	0.51184	0.72216
CHUK	6	0.26732	1.3013	0.083049	0.44717	0.19316	0.4706
CIT	6	0.0057048	0.03581	0.67662	0.91324	0.97143	0.98973
CLK1	6	-0.32706	-1.8075	0.38311	0.75462	0.070686	0.35303
CLK2	6	-0.31103	-2.0011	0.41809	0.7779	0.045376	0.30159
CLK3	6	0.053015	0.77569	0.52048	0.8376	0.43793	0.68007
CLK4	6	0.38198	1.8533	0.017634	0.18731	0.063834	0.33799
CSF1R	6	-0.062763	-0.53906	0.91013	0.9797	0.58985	0.76023
CSK	6	-0.28596	-1.5255	0.46644	0.80822	0.12713	0.40125
CSNK1A1	6	-2.0928	-3.8117	0	0	0.00013801	0.0033466
CSNK1D	6	-0.097031	-0.71577	0.97611	0.99192	0.47414	0.70549
CSNK1E	6	0.25944	1.5268	0.090728	0.46299	0.12681	0.40125
CSNK1G1	6	0.10104	0.62588	0.37799	0.74902	0.53139	0.73344
CSNK1G2	6	-0.23056	-0.91287	0.58675	0.87553	0.36131	0.61578
CSNK1G3	6	0.21953	1.1085	0.1351	0.54724	0.26763	0.53739
CSNK2A1	5	-0.627	-1.817	0.12344	0.52542	0.069211	0.35064
CSNK2A2	6	-0.38049	-2.4704	0.29352	0.69215	0.013497	0.13875
DAPK1	6	0.1083	1.0022	0.35808	0.73885	0.31623	0.57871
DAPK2	6	0.22285	1.4917	0.13083	0.54302	0.13579	0.40773
DAPK3	6	-0.07194	-0.36591	0.94539	0.98547	0.71443	0.83932
DCLK1	6	0.26157	1.4008	0.089022	0.46097	0.16127	0.43185
DCLK2	6	0.31766	1.7216	0.044084	0.32323	0.085134	0.35987
DCLK3	6	0.039092	0.19952	0.56826	0.86336	0.84185	0.91441
DDR1	6	0.10092	0.81034	0.37799	0.74902	0.41774	0.66191
DDR2	6	0.40538	1.5852	0.011661	0.13667	0.11293	0.38376
DMPK	6	-0.14074	-0.90504	0.8302	0.96115	0.36545	0.61983
DSTYK	6	-0.12758	-0.9886	0.87912	0.97543	0.32286	0.58424
DYRK1A	6	-0.74087	-2.6641	0.049204	0.33592	0.0077198	0.095569
DYRK1B	6	-0.078685	-0.50056	0.96587	0.99192	0.61668	0.77463
DYRK2	6	0.10217	0.67894	0.37372	0.74631	0.49718	0.71666
DYRK3	6	0.34972	1.2508	0.028441	0.2551	0.211	0.48596
DYRK4	6	0.3622	1.7086	0.023038	0.22438	0.087534	0.36465
EEF2K	6	-0.19175	-1.1806	0.68373	0.91721	0.23775	0.5099
EGFR	6	-1.2501	-3.1799	0.0031286	0.048246	0.001473	0.026157
EIF2AK1	6	0.10417	0.59401	0.36718	0.74324	0.55251	0.74109
EIF2AK2	6	-0.17208	-0.93359	0.74061	0.93338	0.35051	0.60889
EIF2AK3	6	0.357	1.2025	0.025313	0.23925	0.22915	0.50229
EIF2AK4	12	-0.5087	-3.1108	0.057736	0.36057	0.0018658	0.030655
EPHA1	6	0.18311	1.5456	0.18857	0.61029	0.12221	0.39487
EPHA10	6	-0.24933	-1.1732	0.53982	0.8496	0.24071	0.51356
EPHA2	6	-0.03263	-0.18051	0.80575	0.9558	0.85675	0.92659
EPHA3	6	0.44455	1.4777	0.0076792	0.10037	0.13948	0.41112
EPHA4	6	0.43854	1.3349	0.008248	0.10701	0.18191	0.45774
EPHA5	6	0.17273	1.0125	0.20848	0.63058	0.31131	0.5773
EPHA6	6	0.036329	0.37327	0.57679	0.86746	0.70895	0.83716
EPHA7	6	0.31534	1.605	0.044937	0.32323	0.1085	0.38298
EPHA8	6	-0.12393	-0.88262	0.88908	0.97751	0.37744	0.6296
EPHB1	6	-0.040503	-0.2862	0.83504	0.96308	0.77472	0.87982
EPHB2	6	-0.2182	-1.9345	0.61661	0.88816	0.053056	0.32052
EPHB3	6	-0.079355	-0.53973	0.96701	0.99192	0.58938	0.76019
EPHB4	6	-0.039141	-0.22123	0.8285	0.96047	0.82491	0.90524
EPHB6	6	0.13811	1.0414	0.28271	0.68269	0.29771	0.56704
ERBB2	6	-0.019272	-0.16571	0.75768	0.93849	0.86839	0.93392
ERBB3	6	-0.51219	-1.7793	0.16212	0.57762	0.075195	0.35446
ERBB4	6	0.27382	1.6558	0.077361	0.43396	0.097754	0.37272
ERN1	6	-0.059306	-0.28529	0.90046	0.9797	0.77542	0.88031
FASTK	6	0.16976	1.7565	0.21274	0.63283	0.079002	0.35447
FER	6	0.17263	0.92382	0.20876	0.63058	0.35558	0.61223
FES	6	0.17165	1.3188	0.21018	0.63162	0.18724	0.46263
FGFR1	6	-0.11018	-0.61647	0.93003	0.98022	0.53759	0.73656
FGFR2	6	0.21045	1.4446	0.14733	0.56	0.14858	0.42198
FGFR3	6	-0.3686	-1.4939	0.30859	0.70409	0.13521	0.40773
FGFR4	6	0.06821	0.7709	0.47383	0.81138	0.44077	0.68181
FGR	6	-0.28062	-1.6788	0.4781	0.81326	0.093189	0.36527
FLT1	6	-0.43771	-1.4912	0.22696	0.64715	0.13592	0.40773
FLT3	6	-0.2054	-1.6176	0.64932	0.9051	0.10574	0.3796
FLT4	6	-0.22568	-1.587	0.59699	0.87912	0.11251	0.38376
FRK	6	-0.31467	-1.7702	0.40927	0.77166	0.076689	0.35446
FYN	6	-0.10376	-0.91976	0.95222	0.98965	0.3577	0.61441
GAK	6	-0.85129	-2.2994	0.028726	0.25635	0.021481	0.19267
GCK	6	0.041492	0.36569	0.55973	0.86052	0.7146	0.83932
GRK4	6	-0.13317	-1.1208	0.85637	0.96786	0.26237	0.53155
GRK5	6	0.071386	0.88828	0.46587	0.80769	0.37439	0.62716
GRK6	6	0.32111	1.343	0.041809	0.32096	0.17926	0.45442
GSG2	6	-0.34104	-1.2443	0.35808	0.73885	0.21339	0.48751
GSK3A	6	-0.14535	-0.75276	0.81684	0.95925	0.45159	0.69012
GSK3B	6	0.38345	1.7588	0.01678	0.18043	0.078619	0.35446
GUCY2D	6	0.097222	0.62098	0.38794	0.75971	0.53461	0.73569
GUCY2F	6	0.081403	0.45937	0.43743	0.79341	0.64597	0.79554
HCK	6	-0.13452	-1.1066	0.85267	0.9671	0.26849	0.53773
HIPK1	6	-0.57936	-1.6987	0.1095	0.5	0.089381	0.36482
HIPK2	6	0.2317	1.8726	0.12116	0.52334	0.061119	0.3372
HIPK3	6	0.25688	1.3228	0.092719	0.46676	0.18591	0.46253
HIPK4	6	-0.15482	-0.69804	0.79067	0.95109	0.48515	0.71071
HUNK	6	0.43089	1.7037	0.0093857	0.11871	0.08843	0.36482
ICK	6	0.033454	0.15247	0.58845	0.87553	0.87882	0.94021
IGF1R	6	-0.33711	-1.8529	0.36576	0.74324	0.063895	0.33799
IKBKB	6	0.21059	0.82593	0.14733	0.56	0.40884	0.6544
IKBKE	6	0.094934	0.78806	0.39391	0.76309	0.43066	0.67158
ILK	6	-0.10009	-0.85848	0.96416	0.99192	0.39063	0.63792
INSR	6	0.092525	0.87431	0.3996	0.7673	0.38195	0.63257
INSRR	6	0.1301	1.0265	0.30432	0.69889	0.30465	0.57321
IRAK1	6	-0.022616	-0.07172	0.76906	0.9422	0.94282	0.9759
IRAK2	6	0.042603	0.40495	0.55631	0.85984	0.68551	0.82066
IRAK3	6	0.26023	1.5057	0.090159	0.46299	0.13215	0.40652
IRAK4	6	-0.26153	-1.11	0.51593	0.83448	0.26702	0.53679
ITK	6	0.30945	1.6682	0.047782	0.33202	0.095281	0.36934
JAK1	12	0.030938	0.28476	0.43686	0.79298	0.77583	0.88031
JAK2	12	-0.016871	-0.17936	0.63908	0.89736	0.85765	0.92699
JAK3	12	-0.0032939	-0.029405	0.57708	0.86746	0.97654	0.99235
KALRN	5	0.19788	1.155	0.21672	0.63796	0.2481	0.51826
KDR	6	0.25071	1.367	0.098407	0.47593	0.17163	0.4447
KIAA1804	6	-0.10764	-0.58115	0.93771	0.98447	0.56114	0.74655
KIT	6	0.22344	1.0247	0.12969	0.54028	0.30549	0.57321
KSR1	6	0.033994	0.16036	0.58732	0.87553	0.8726	0.93652
KSR2	6	-0.053049	-0.27127	0.87969	0.97543	0.78618	0.88358
LATS1	6	0.22805	1.4823	0.12429	0.52714	0.13826	0.41006
