Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
KIAA1644	4	0.12915	0.78703	0.27362	0.84476	0.43127	0.71772
TRMT61A	4	-0.53114	-1.4044	0.053351	0.48075	0.1602	0.58307
HLA-B	4	-0.014008	-0.19705	0.9012	0.99113	0.84379	0.92163
SNX30	4	-0.03694	-0.43098	0.98827	0.99884	0.66648	0.81823
CLVS2	4	-0.06746	-0.43036	0.85009	0.98924	0.66694	0.81844
MTHFD2L	4	-0.036259	-0.2569	0.9914	0.9989	0.79726	0.89799
ADAMTSL5	4	-0.078267	-0.80575	0.80435	0.98347	0.42038	0.71075
CFAP97	4	0.080358	0.7601	0.45381	0.92885	0.44719	0.72822
PRDX6	4	0.13536	1.0694	0.25393	0.82812	0.2849	0.62425
TM4SF20	4	0.04185	0.35537	0.62813	0.96393	0.72232	0.85425
SPRR4	4	-0.051743	-0.43867	0.92025	0.99334	0.6609	0.8146
ZNF709	4	-0.01224	-0.10459	0.8928	0.99062	0.9167	0.9591
C22orf24	4	0.37877	1.4785	0.0024364	0.079032	0.13928	0.58307
FUT5	4	-0.22992	-1.6135	0.34462	0.8851	0.10663	0.58307
OPA1	4	-0.4058	-2.183	0.11804	0.67348	0.029038	0.58307
ZDHHC4	4	0.0087965	0.093268	0.79306	0.98347	0.92569	0.96404
PHIP	4	-0.29113	-0.95786	0.23837	0.81804	0.33813	0.65778
E2F5	4	-0.080996	-0.54744	0.79276	0.98347	0.58408	0.76736
PIP5K1B	4	0.27427	1.1052	0.027993	0.34689	0.26905	0.61445
PPP1CA	4	-0.050407	-0.43726	0.92681	0.99381	0.66192	0.81522
ETS1	4	0.04692	0.50048	0.60442	0.96315	0.61674	0.78799
COBLL1	4	-0.20997	-1.5037	0.38629	0.90281	0.13266	0.58307
G3BP1	4	-0.73432	-2.5186	0.012778	0.2325	0.011781	0.53205
CCDC107	4	-0.2393	-1.5653	0.32478	0.8755	0.11751	0.58307
TRIM42	4	-0.090533	-0.43503	0.75557	0.98228	0.66354	0.81612
OR2A2	4	0.063378	0.86828	0.52799	0.94893	0.38524	0.68927
LIAS	4	-0.27233	-1.7265	0.26641	0.83719	0.084256	0.58307
CDC42	4	-1.2152	-2.7011	0.00044749	0.031579	0.006912	0.46444
LOC149373	4	-0.2421	-1.1556	0.31991	0.87182	0.24785	0.60318
NPIPA5	4	-0.46769	-1.3471	0.080052	0.56797	0.17794	0.58307
EIF2B2	4	-0.8282	-2.0309	0.0061655	0.14486	0.042265	0.58307
CLUH	4	-0.28011	-1.5102	0.25457	0.8284	0.13099	0.58307
HAUS2	4	0.1901	0.68433	0.12256	0.68455	0.49376	0.74686
SPATA31E1	4	0.020626	0.17252	0.73409	0.98072	0.86303	0.93173
PGLYRP3	4	0.084385	1.0853	0.43636	0.92282	0.2778	0.61921
PNPLA4	4	0.12059	1.3451	0.30161	0.86091	0.1786	0.58307
TRIM29	4	0.17802	0.93003	0.14663	0.71839	0.35235	0.66867
CSHL1	4	-0.60605	-2.0456	0.031822	0.36994	0.0408	0.58307
SLC25A41	4	-0.16945	-0.88279	0.48876	0.93727	0.37735	0.68464
LILRA5	4	-0.10964	-0.7358	0.68288	0.97092	0.46185	0.73645
CALHM3	4	0.12754	0.81269	0.27849	0.8481	0.4164	0.70845
KRT74	4	0.088736	0.51737	0.4195	0.91462	0.6049	0.78042
POLDIP2	4	-0.23312	-1.7333	0.33796	0.88271	0.083048	0.58307
DYTN	4	0.2529	1.2989	0.043109	0.43307	0.19396	0.58512
OR10A7	4	0.20322	1.4361	0.099543	0.63312	0.15098	0.58307
DYNLRB2	4	0.14426	1.2452	0.22792	0.81004	0.21307	0.58701
MINOS1-NBL1	4	-0.18557	-1.3378	0.4471	0.92805	0.18095	0.58382
TRIM14	4	0.011506	0.072435	0.77968	0.98347	0.94226	0.97098
ARF5	4	-0.15351	-0.75179	0.53481	0.95034	0.45218	0.73144
ZNF32	4	0.063784	0.50324	0.5264	0.94893	0.6148	0.78689
CGREF1	4	0.22075	1.4813	0.073936	0.55197	0.13852	0.58307
SEBOX	4	0.047836	0.3901	0.60009	0.96295	0.69646	0.8384
H2AFB3	4	0.10253	0.72591	0.36709	0.89312	0.46789	0.73934
ZAR1	4	0.26878	1.4266	0.031275	0.36719	0.15368	0.58307
MTHFD2	4	-0.029313	-0.24683	0.97648	0.99792	0.80504	0.90243
ADAMTS4	4	-0.087117	-0.71999	0.76919	0.9827	0.47153	0.74095
SLC12A6	4	0.030614	0.13128	0.68422	0.97093	0.89556	0.94847
HDLBP	4	-0.2882	-1.6499	0.24259	0.82041	0.098966	0.58307
FAM149B1	4	-0.10123	-1.7304	0.7137	0.97779	0.083558	0.58307
NCLN	4	-0.23576	-0.98037	0.33209	0.8799	0.3269	0.64941
TAF10	4	-0.68017	-2.017	0.018944	0.28475	0.043698	0.58307
EHHADH	4	-0.017437	-0.49506	0.91736	0.99285	0.62056	0.79003
ACPT	4	-0.29232	-1.7356	0.23682	0.8175	0.082642	0.58307
MRPS10	4	-0.7083	-1.9187	0.015215	0.25248	0.055019	0.58307
INTS7	4	-0.50237	-1.2499	0.06434	0.51905	0.21134	0.58595
DEDD2	4	-0.011225	-0.12611	0.88823	0.99062	0.89965	0.9501
DNAH6	4	0.018857	0.31163	0.74299	0.98072	0.75532	0.87348
LYZL6	4	0.04251	0.30833	0.6249	0.96377	0.75783	0.87489
CCDC102B	4	0.15138	1.6076	0.20828	0.79477	0.10793	0.58307
SLC35G3	4	-0.22882	-0.92825	0.34696	0.8851	0.35328	0.66932
SLC26A1	4	0.052031	0.68108	0.5804	0.96003	0.49582	0.74686
DCBLD2	4	-0.086588	-1.3857	0.77123	0.9827	0.16585	0.58307
ANPEP	4	-0.058425	-0.54806	0.88952	0.99062	0.58365	0.76723
ABCB7	4	-1.3338	-2.207	9.9443e-05	0.010363	0.027316	0.58307
TANC2	4	0.15361	1.3229	0.20232	0.78788	0.18586	0.58382
ZMYND15	4	-0.19597	-1.2892	0.41985	0.91462	0.19733	0.58558
DOCK8	4	-0.070487	-0.4712	0.83766	0.98712	0.6375	0.80044
CLEC1A	4	-0.093886	-1.2119	0.74274	0.98072	0.22556	0.59408
SLC16A1	4	-0.0039654	-0.034697	0.85571	0.98974	0.97232	0.98585
CKMT1A	4	-0.23839	-0.57735	0.32642	0.8764	0.5637	0.75758
MOCS2	4	0.12229	1.1449	0.29569	0.85716	0.25227	0.60524
NF1	4	-0.038524	-0.48349	0.98051	0.99818	0.62875	0.79571
UQCRHL	4	-0.40708	-1.7728	0.11724	0.67103	0.076263	0.58307
DMKN	4	-0.22826	-1.3452	0.3481	0.8851	0.17856	0.58307
NCKIPSD	4	0.081326	0.63696	0.44993	0.92805	0.52415	0.74753
FLAD1	4	-0.062976	-0.83574	0.87067	0.99062	0.4033	0.70059
HDAC11	4	-0.21697	-1.9977	0.37112	0.89542	0.045753	0.58307
MAP3K15	4	0.0096281	0.27724	0.78893	0.98347	0.78159	0.88906
CTSG	4	-0.076754	-0.33316	0.81026	0.98434	0.73901	0.864
CCDC6	4	-0.043606	-1.2598	0.95749	0.99611	0.20774	0.58595
HOOK2	4	-0.084801	-0.92699	0.77909	0.98347	0.35393	0.66996
DMRTA1	4	-0.0065597	-0.03588	0.86695	0.99062	0.97138	0.98553
ATG5	4	-0.063893	-0.39415	0.8664	0.99062	0.69347	0.83651
CYP3A4	4	0.15794	1.2086	0.19038	0.77027	0.22681	0.59463
DNAJC25-GNG10	4	0.10361	0.30806	0.36237	0.8903	0.75803	0.87502
RWDD3	4	-0.2723	-1.523	0.26641	0.83719	0.12775	0.58307
SUCLA2	4	-0.32498	-1.325	0.19337	0.77486	0.18517	0.58382
PKLR	4	0.00081128	0.0076097	0.83249	0.98647	0.99393	0.9973
MMP24	4	0.17203	0.99839	0.15906	0.73841	0.31809	0.64343
WSB1	4	-0.19748	-1.3272	0.41622	0.91452	0.18446	0.58382
ZEB1	4	0.086582	0.43229	0.42751	0.91684	0.66553	0.81752
MAP1LC3B2	4	-0.0021399	-0.020921	0.8478	0.98923	0.98331	0.9915
ATL1	4	-0.35453	-1.2269	0.16055	0.74026	0.21986	0.59141
SUPT20HL1	4	-0.17954	-1.307	0.46181	0.93122	0.1912	0.58512
PFKFB4	4	-0.14132	-1.3963	0.57205	0.95836	0.16264	0.58307
CLIP2	4	-0.062112	-0.74775	0.87371	0.99062	0.45461	0.73269
WDSUB1	4	0.093428	0.77473	0.4012	0.90757	0.4385	0.72249
RPL7A	4	-0.87531	-1.8919	0.0042263	0.11184	0.058501	0.58307
SLC7A8	4	-0.16175	-1.2079	0.50994	0.94442	0.22707	0.59484
PPFIBP1	4	0.0087789	0.16278	0.79321	0.98347	0.87069	0.93559
POPDC2	4	-0.13178	-0.92366	0.60491	0.96315	0.35566	0.67146
HEPN1	4	0.035305	0.38957	0.66075	0.96804	0.69686	0.83864
NDUFA4	4	-0.30652	-1.09	0.21664	0.8021	0.27571	0.61832
KLRK1	4	-0.12009	-1.4871	0.6435	0.96474	0.13698	0.58307
MCPH1	4	-0.056353	-0.41843	0.89822	0.99084	0.67563	0.82493
SOST	4	-0.14001	-1.1796	0.57662	0.95999	0.23816	0.60012
SETDB2	4	-0.36329	-1.4212	0.1523	0.72693	0.15525	0.58307
PPIB	4	-0.011115	-0.16904	0.88803	0.99062	0.86577	0.93298
R3HCC1	4	0.097927	0.74984	0.3845	0.90182	0.45335	0.73228
CD46	4	0.13799	1.3637	0.24617	0.82133	0.17265	0.58307
VCX3B	4	0.051347	0.32798	0.58348	0.96086	0.74293	0.86634
PSG2	4	-0.10666	-1.051	0.69342	0.97273	0.29326	0.62823
PCDHGA11	4	0.1693	0.62667	0.16498	0.74528	0.53088	0.74797
GPR173	4	0.063473	0.61923	0.52774	0.94893	0.53577	0.7481
FAM167B	4	-0.072244	-1.4945	0.82911	0.98517	0.13504	0.58307
KIAA0907	4	-0.10502	-1.0296	0.69943	0.97559	0.3032	0.63293
ITGA4	4	0.0060776	0.049999	0.80574	0.98409	0.96012	0.97976
SYMPK	4	-0.67823	-2.5259	0.019193	0.28742	0.01154	0.52942
MTRNR2L9	4	-0.13908	-1.4037	0.57975	0.96003	0.16041	0.58307
NRG3	4	0.11066	0.73026	0.33602	0.88252	0.46523	0.73809
KRT15	4	-0.042401	-0.35534	0.96271	0.99611	0.72234	0.85425
POLL	4	-0.12537	-1.2433	0.62575	0.96378	0.21377	0.58701
CRABP2	4	-0.080705	-0.69355	0.79371	0.98347	0.48796	0.74686
RBBP4	4	-0.72568	-2.1831	0.013126	0.23301	0.029026	0.58307
MCMBP	4	-0.90682	-2.1744	0.0034805	0.10249	0.029675	0.58307
RRAGD	4	0.07496	0.84196	0.47653	0.93357	0.39981	0.6987
ZDBF2	4	0.10471	1.0118	0.35819	0.88766	0.31162	0.63961
RAD54L2	4	0.23621	1.3339	0.056881	0.4912	0.18225	0.58382
OR51B2	4	0.11696	0.95257	0.31349	0.86702	0.34081	0.65996
KIAA1211	4	0.01368	0.13602	0.76939	0.9827	0.89181	0.94644
TET3	4	0.34145	1.2372	0.0065135	0.14853	0.21603	0.58879
PCYT1B	4	0.14746	1.4121	0.21912	0.80363	0.15792	0.58307
GAGE12C	4	-0.61414	-1.9149	0.030231	0.36057	0.0555	0.58307
TAF4B	4	0.0036346	0.033905	0.81747	0.98477	0.97295	0.98629
LIPA	4	-0.028328	-0.15077	0.97216	0.9972	0.88015	0.94093
CACNG3	4	-0.11921	-1.4726	0.64742	0.96596	0.14087	0.58307
RAMP1	4	-0.037516	-0.42569	0.98493	0.99834	0.67033	0.82104
HSD17B1	4	-0.22488	-1.6177	0.35471	0.88748	0.10572	0.58307
HS3ST3B1	4	-0.33776	-1.6766	0.178	0.7581	0.093623	0.58307
DNAJA4	4	0.30947	1.4619	0.013972	0.24079	0.14377	0.58307
DTD1	4	0.012041	0.032784	0.77685	0.98347	0.97385	0.98685
FOXE1	4	0.28704	1.3847	0.021778	0.30459	0.16615	0.58307
ADSS	4	0.12787	1.2149	0.27735	0.84708	0.22442	0.59376
KDM8	4	-0.39808	-1.6356	0.12396	0.68554	0.10192	0.58307
CCSER1	4	-0.055275	-1.1425	0.90319	0.99113	0.25325	0.60585
CRTAM	4	-0.029766	-0.35217	0.97872	0.99792	0.72471	0.85572
ZNF273	4	0.074235	0.7604	0.47942	0.93509	0.44701	0.72814
CYP1A1	4	0.049707	0.43624	0.59189	0.96217	0.66266	0.81548
SLC23A3	4	-0.11335	-0.73651	0.66945	0.9688	0.46142	0.73628
BARHL2	4	0.044993	0.27225	0.61277	0.96355	0.78543	0.89131
OR7E24	4	-1.2061	-1.8681	0.00049722	0.032362	0.061742	0.58307
AACS	4	0.1265	1.0355	0.28207	0.84874	0.30044	0.63146
PIGV	4	-0.25133	-1.6791	0.30246	0.86157	0.093132	0.58307
NT5C2	4	0.18464	1.409	0.13271	0.69589	0.15885	0.58307
PRRX2	4	0.13819	1.0769	0.24567	0.82116	0.28153	0.6215
HIST3H2BB	4	-0.074865	-0.34493	0.81762	0.98477	0.73015	0.85857
CENPV	4	-0.14281	-1.0651	0.56732	0.95731	0.28683	0.62569
SP100	4	0.059873	0.44752	0.5438	0.95346	0.6545	0.8111
PIK3R5	4	0.040249	0.24743	0.63549	0.96424	0.80457	0.90222
FAM71C	4	0.2073	1.5649	0.092582	0.61009	0.1176	0.58307
MRPS22	4	-0.45523	-1.7889	0.086565	0.58818	0.073639	0.58307
MEA1	4	0.065985	1.5227	0.51616	0.94701	0.12784	0.58307
CAMKV	4	0.14542	1.6149	0.22434	0.80919	0.10634	0.58307
HPR	4	-0.025755	-0.34943	0.95948	0.99611	0.72677	0.85703
OR4D2	4	0.032506	0.25628	0.67497	0.96889	0.79774	0.89827
IGF2R	4	0.13832	1.1265	0.24553	0.82116	0.25996	0.60885
CDKN2B	4	0.0079554	0.056693	0.79679	0.98347	0.95479	0.97712
ALDH7A1	4	-0.024825	-0.29927	0.9555	0.99611	0.76473	0.87903
CYP3A43	4	-0.086836	-1.0433	0.77034	0.9827	0.29683	0.6302
MEX3A	4	0.0019035	0.016541	0.82722	0.98514	0.9868	0.99297
PDE2A	4	0.18472	1.0595	0.13251	0.69589	0.28936	0.62709
HCAR2	4	0.061577	0.8839	0.53605	0.95054	0.37675	0.68433
ALPL	4	-0.053329	-0.4869	0.91249	0.99261	0.62633	0.79379
SAPCD2	4	-0.049517	-0.39247	0.93069	0.99381	0.69471	0.83745
MMS19	4	-1.3494	-2.8093	9.9443e-05	0.010363	0.0049646	0.42237
MMRN1	4	0.054197	0.43457	0.57095	0.9579	0.66387	0.81633
GAGE2B	4	-0.49617	-1.6328	0.066875	0.5289	0.10251	0.58307
SUCNR1	4	0.14464	1.317	0.22673	0.81004	0.18783	0.58382
VSTM2B	4	0.059165	0.38456	0.54788	0.95531	0.70056	0.84082
NAV1	4	0.23659	1.1857	0.056633	0.4901	0.23573	0.59853
GSKIP	4	0.076962	1.0298	0.46897	0.93231	0.30311	0.63293
SH3D21	4	-0.16454	-0.9723	0.50229	0.94271	0.3309	0.65214
PPTC7	4	-0.048468	-1.4329	0.93591	0.9943	0.15188	0.58307
GBA2	4	-0.07614	-0.52317	0.81295	0.98452	0.60086	0.77794
DEFB107A	4	0.25244	1.2932	0.043307	0.43362	0.19593	0.58558
ZNF804A	4	0.30622	1.5105	0.014966	0.25062	0.13092	0.58307
PELI2	4	-0.11791	-1.3872	0.65175	0.966	0.16537	0.58307
COPS8	4	-0.58962	-1.6516	0.035551	0.3904	0.098625	0.58307
GLO1	4	-0.085461	-0.92252	0.77586	0.98347	0.35625	0.67167
WWTR1	4	-0.18192	-1.7718	0.45565	0.92891	0.076431	0.58307
ADAM12	4	-0.056925	-0.44696	0.89554	0.99062	0.6549	0.8114
RETNLB	4	-0.086906	-0.73223	0.76994	0.9827	0.46403	0.73746
CUL7	4	0.0063691	0.060968	0.80415	0.98347	0.95139	0.9759
E2F3	4	-1.9636	-3.4911	0	0	0.00048108	0.32251
NUP205	4	-0.66811	-2.101	0.020833	0.29886	0.035641	0.58307
PAX1	4	0.14786	1.6007	0.21803	0.80311	0.10945	0.58307
TCEAL5	4	-0.020314	-0.35727	0.93233	0.99381	0.72089	0.85398
CAPNS2	4	0.07249	0.98229	0.48707	0.93661	0.32596	0.64876
FAM124A	4	0.1668	0.7518	0.1703	0.7488	0.45217	0.73144
FGF4	4	0.12866	1.7096	0.27481	0.84549	0.087336	0.58307
CCDC132	4	0.025583	0.31759	0.70828	0.97642	0.75079	0.87092
LRRC37B	4	-0.1774	-0.9634	0.46703	0.93231	0.33535	0.65532
KRT19	4	-0.099729	-0.5532	0.71927	0.97784	0.58013	0.76591
PEX11B	4	-0.082868	-0.51947	0.786	0.98347	0.60343	0.77952
OR14I1	4	0.079711	0.96566	0.45664	0.92916	0.33421	0.65437
IKBKG	4	-0.25995	-1.2192	0.28709	0.85301	0.22278	0.59233
ALAD	4	-0.04536	-0.48143	0.94963	0.99568	0.63021	0.79681
LRIG1	4	0.078885	0.70428	0.46012	0.93014	0.48126	0.74553
PSMD3	4	-1.0206	-2.9544	0.001243	0.049801	0.0031329	0.37232
TRPM7	4	-0.25071	-0.8319	0.3033	0.8617	0.40547	0.7019
SELE	4	-0.23065	-1.5586	0.34293	0.88456	0.11908	0.58307
OIP5	4	-0.20763	-0.79147	0.39151	0.90409	0.42867	0.71611
MYO3B	4	0.030016	0.50522	0.68685	0.97138	0.61341	0.78584
TRIM56	4	-0.051555	-0.62592	0.92114	0.99356	0.53137	0.74801
RHOG	4	0.18408	0.83424	0.13375	0.69743	0.40415	0.70135
STRN4	4	-0.23866	-1.9401	0.32588	0.8762	0.052369	0.58307
MNT	4	-0.27391	-0.62646	0.26422	0.8365	0.53101	0.74797
FAM209B	4	-0.1339	-0.61241	0.59681	0.96217	0.54026	0.7494
UNC45B	4	-0.035569	-0.21952	0.99443	0.9989	0.82624	0.91195
CPN1	4	0.16468	1.123	0.17537	0.75719	0.26143	0.60943
ZNF586	4	0.086457	0.77613	0.4279	0.91684	0.43767	0.72198
GP1BA	4	0.1055	0.65277	0.35566	0.88748	0.51391	0.74753
TWF1	4	-0.24728	-0.9829	0.30986	0.86586	0.32566	0.64844
SIX2	4	0.26998	1.0922	0.030579	0.36262	0.27475	0.61765
FAM171A2	4	-0.4548	-2.1508	0.086814	0.58927	0.031492	0.58307
MORC1	4	0.098641	0.98854	0.38136	0.89939	0.32289	0.64665
CRACR2A	4	0.16231	1.0851	0.18079	0.76099	0.27786	0.61927
ROCK1	4	0.072693	1.5397	0.48613	0.93605	0.12363	0.58307
GLIPR1	4	0.076643	0.99513	0.47022	0.93315	0.31967	0.64474
CAMK1D	4	0.25759	1.6184	0.03933	0.41307	0.10557	0.58307
JOSD1	4	-0.17824	-1.0592	0.4651	0.93231	0.28949	0.62709
FLNA	4	0.37781	1.4214	0.0024364	0.079032	0.15519	0.58307
GBGT1	4	-0.01619	-0.19787	0.91135	0.99261	0.84315	0.92135
C7orf60	4	0.027317	0.33303	0.69983	0.9758	0.73911	0.864
CPXM1	4	0.15467	1.5462	0.19933	0.78408	0.12207	0.58307
ZFP28	4	0.23108	1.1911	0.062599	0.5143	0.23362	0.59757
FAM127A	4	0.18686	1.4948	0.12883	0.69271	0.13496	0.58307
USP17L28	4	-0.83741	-2.5679	0.0058174	0.14046	0.010231	0.52502
ANP32E	4	-0.23922	-0.92536	0.32478	0.8755	0.35478	0.67038
C12orf77	4	0.00074925	0.0050379	0.83289	0.98647	0.99598	0.99812
TPCN1	4	0.025669	0.22763	0.70813	0.97642	0.81993	0.91038
ERAS	4	0.030211	0.28872	0.68566	0.97106	0.7728	0.88335
SCARF1	4	-0.16802	-1.1249	0.49274	0.9383	0.26063	0.60932
KCTD19	4	-0.015625	-0.17869	0.90841	0.99175	0.85818	0.92908
S100A12	4	-0.13334	-1.3	0.59875	0.96295	0.1936	0.58512
PHLDA2	4	0.34645	1.2004	0.0059169	0.14234	0.22999	0.597
EEF1E1	4	0.20278	1.3825	0.10039	0.63371	0.16683	0.58307
CSH1	4	-0.58181	-2.228	0.03744	0.4016	0.025881	0.58307
SPDYE6	4	-1.0657	-2.7681	0.00094471	0.042601	0.0056377	0.44648
SLC4A7	4	0.097082	0.68387	0.38778	0.90281	0.49406	0.74686
TAAR8	4	0.061452	0.93009	0.53664	0.95068	0.35233	0.66867
ITLN2	4	-0.14625	-1.9685	0.55673	0.95665	0.049009	0.58307
TSEN15	4	-0.20222	-1.013	0.40314	0.90805	0.31108	0.63919
GBP6	4	-0.19706	-1.1226	0.41701	0.91452	0.26161	0.60943
OR52N2	4	-0.018826	-0.12264	0.92477	0.99381	0.90239	0.95155
GNB2L1	4	-1.8812	-3.1136	0	0	0.001848	0.36927
HIF1AN	4	-0.1497	-1.3139	0.54689	0.95489	0.18888	0.58387
ERCC6L	4	-0.011031	-0.12253	0.88768	0.99062	0.90248	0.95155
KRBOX4	4	0.06352	0.91026	0.5274	0.94893	0.36269	0.67534
OR4M2	4	-0.18471	-1.6311	0.44943	0.92805	0.10287	0.58307
EMX1	4	-0.12385	-1.3184	0.63141	0.96398	0.18737	0.58382
KLF2	4	0.12456	0.76208	0.28863	0.8541	0.44602	0.72769
HIST1H1A	4	-0.18645	-1.4085	0.44531	0.9278	0.15898	0.58307
FAM136A	4	-0.23229	-1.4647	0.33985	0.88387	0.14301	0.58307
UGT2A2	4	-0.055854	-1.0141	0.90041	0.99113	0.31055	0.63842
OR51V1	4	-0.055046	-0.2214	0.90414	0.99113	0.82478	0.91134
WDR27	4	0.17009	0.80438	0.16324	0.74378	0.42118	0.711
SNRPD2	4	-1.2511	-2.6623	0.00039777	0.030189	0.0077618	0.47691
SERPINA12	4	0.026692	0.32885	0.70276	0.97591	0.74227	0.86583
AMZ1	4	0.062285	1.0353	0.53297	0.95002	0.30052	0.63146
PPL	4	0.028942	0.32579	0.69168	0.97251	0.74458	0.86727
PRPS1	4	0.013583	0.42792	0.76984	0.9827	0.66871	0.81972
WDR17	4	0.21659	1.6464	0.079405	0.56797	0.099687	0.58307
COL12A1	4	-0.089293	-0.74329	0.76034	0.98228	0.45731	0.7342
CD22	4	0.0348	0.74037	0.66294	0.96842	0.45907	0.73496
NIPSNAP3B	4	-0.037733	-0.48243	0.98369	0.99823	0.6295	0.7963
SAG	4	0.068033	0.50609	0.50691	0.94357	0.61279	0.7853
EID3	4	0.082962	0.39988	0.44307	0.92705	0.68924	0.83366
CCDC77	4	0.093197	1.5273	0.4019	0.90759	0.12668	0.58307
NPC1L1	4	-0.032473	-0.72118	0.99105	0.9989	0.4708	0.74044
VPS29	4	-0.82444	-1.8008	0.0063644	0.14679	0.071736	0.58307
KPNA3	4	0.23115	1.0748	0.0625	0.5143	0.28247	0.62244
NR6A1	4	0.062349	0.44776	0.53252	0.94997	0.65433	0.81104
ALDH1L2	4	-0.020185	-0.4171	0.93153	0.99381	0.67661	0.82587
TRIM64	4	0.029382	0.18821	0.68999	0.97224	0.85071	0.92559
TRIM8	4	0.081697	1.3862	0.44849	0.92805	0.16569	0.58307
CRELD1	4	0.089256	0.43992	0.41771	0.91452	0.65999	0.81439
ZYG11B	4	0.081811	0.6335	0.44824	0.92805	0.52641	0.74753
NDUFC2	4	-0.6241	-1.9826	0.027745	0.34592	0.047411	0.58307
C5orf34	4	0.00081418	0.0067798	0.83249	0.98647	0.99459	0.99762
KANK1	4	0.088656	1.0873	0.41975	0.91462	0.27689	0.61872
KRT16	4	0.030227	0.42289	0.68561	0.97106	0.67237	0.82231
E2F8	4	0.42739	1.4741	0.00059666	0.033803	0.14046	0.58307
MRPL49	4	-0.24615	-1.4965	0.31205	0.86685	0.13453	0.58307
APOA1BP	4	0.15987	1.1212	0.18591	0.76461	0.26222	0.60954
TCHP	4	0.1331	1.3351	0.26059	0.83344	0.18184	0.58382
CRIP2	4	-0.13577	-0.7747	0.59024	0.96161	0.43851	0.72249
KCNJ3	4	0.21194	1.4898	0.085074	0.58336	0.13629	0.58307
ZBTB41	4	-0.20453	-1.1376	0.39777	0.90641	0.25528	0.60714
CDHR4	4	-0.087337	-0.77824	0.768	0.9827	0.43643	0.72131
EID1	4	-0.017007	-0.17314	0.91503	0.99261	0.86254	0.93139
ZNF433	4	0.16728	1.1753	0.16935	0.74869	0.23989	0.60084
TMEM45A	4	-0.060327	-0.37354	0.88136	0.99062	0.70874	0.84635
HYAL4	4	-0.036161	-0.38835	0.99165	0.9989	0.69776	0.83912
TMEM91	4	0.16773	1.6207	0.16836	0.74869	0.10508	0.58307
FAM102B	4	-0.25193	-1.235	0.30111	0.86084	0.21683	0.58922
PPP1R12C	4	-0.043201	-0.5823	0.95928	0.99611	0.56037	0.75616
GIMAP7	4	0.19036	1.3617	0.12212	0.68364	0.17328	0.58307
NUPL2	4	-0.1877	-1.0026	0.44207	0.92703	0.31606	0.64259
TRIP6	4	0.16565	1.3719	0.17348	0.754	0.17009	0.58307
SEC22B	4	-1.0699	-2.1371	0.00094471	0.042601	0.032588	0.58307
ACTRT2	4	0.064741	1.342	0.52257	0.94893	0.17961	0.58307
SAMD9	4	0.13237	0.87281	0.26288	0.83536	0.38277	0.68789
BTNL10	4	0.13647	1.2299	0.25055	0.82512	0.21873	0.59016
YEATS2	4	-0.58801	-1.8744	0.035949	0.39315	0.060874	0.58307
ASPHD2	4	-0.045015	-0.29132	0.95097	0.99568	0.7708	0.88237
CACNA2D3	4	-0.0051265	-0.16915	0.86033	0.98987	0.86568	0.93294
BAHD1	4	0.17837	0.91243	0.14554	0.716	0.36154	0.675
CCL27	4	0.099302	1.1127	0.37893	0.89861	0.26583	0.61219
KIAA0368	4	0.026348	0.70365	0.70475	0.97591	0.48165	0.74553
VPS36	4	0.048772	0.22119	0.59561	0.96217	0.82494	0.91134
SAT1	4	-0.075488	-0.57574	0.81553	0.98464	0.56479	0.75794
WDR37	4	0.084926	0.5852	0.43427	0.92073	0.55841	0.75583
DEPTOR	4	0.072885	0.81469	0.48538	0.93577	0.41525	0.70801
C9orf16	4	-0.047172	-0.51138	0.94168	0.9945	0.60909	0.78259
RC3H1	4	-0.23588	-1.3373	0.33189	0.8799	0.18113	0.58382
RPSA	4	-1.5373	-3.0356	4.9722e-05	0.0063291	0.0024003	0.36927
KLHDC8B	4	-0.098618	-1.4388	0.72385	0.97863	0.15022	0.58307
PPP1R26	4	0.18043	1.5063	0.14131	0.70837	0.13199	0.58307
PARD6B	4	-0.063877	-0.28764	0.86645	0.99062	0.77363	0.88394
GLIS3	4	0.11938	1.3941	0.30529	0.86201	0.16328	0.58307
PRKRIR	4	-0.64196	-1.8203	0.024712	0.32551	0.068711	0.58307
ARVCF	4	0.23977	1.5561	0.05365	0.48084	0.11969	0.58307
YAP1	4	-0.014674	-0.094487	0.90399	0.99113	0.92472	0.96385
MOV10L1	4	0.26999	1.5885	0.030579	0.36262	0.11217	0.58307
ZNF335	4	-0.19278	-1.2439	0.42825	0.91686	0.21355	0.58701
NAA11	4	-0.10275	-1.4334	0.70759	0.97642	0.15174	0.58307
PLD1	4	0.11921	0.90781	0.30589	0.86247	0.36398	0.67624
NWD1	4	0.15863	1.1217	0.18869	0.76785	0.26199	0.60943
ZNF74	4	-0.13495	-0.91085	0.59333	0.96217	0.36238	0.67524
NUP54	4	0.031245	0.14454	0.68138	0.97092	0.88508	0.94365
PDZD9	4	-0.099781	-1.0089	0.71917	0.97784	0.31302	0.64048
ENO1	4	-1.3068	-3.0112	0.00019889	0.0181	0.0026021	0.36927
RNASE12	4	0.052392	1.4656	0.57851	0.95999	0.14276	0.58307
PNPLA1	4	-0.29408	-1.7392	0.23419	0.8153	0.082002	0.58307
