Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
HIST1H4G	4	0.081034	1.2539	0.45092	0.92805	0.20989	0.58595
TBX3	4	0.11874	1.1368	0.30753	0.86395	0.25563	0.60714
NLRP3	4	0.094289	0.7533	0.39832	0.90694	0.45127	0.73067
PHKG2	4	-0.18212	-1.2722	0.45525	0.92891	0.20331	0.58558
CES2	4	-0.089029	-0.91663	0.76129	0.98248	0.35934	0.67339
ZNF70	4	-0.21872	-1.4217	0.36794	0.8935	0.15511	0.58307
SELO	4	0.094473	0.47414	0.39718	0.90599	0.6354	0.79945
PRAMEF19	4	-0.07454	-0.66799	0.81886	0.98477	0.50414	0.74686
GHSR	4	0.15398	1.4279	0.20117	0.78663	0.15332	0.58307
SPIN3	4	-0.089598	-0.63406	0.75925	0.98228	0.52604	0.74753
CCDC71L	4	-0.38755	-2.1751	0.13136	0.69461	0.029622	0.58307
KCNE5	4	0.089903	0.53731	0.41508	0.9144	0.59106	0.77241
RIMBP3C	4	-0.27958	-1.5586	0.25532	0.82954	0.11908	0.58307
S100A10	4	-0.39944	-2.0954	0.12291	0.68455	0.036139	0.58307
CRYBB1	4	0.064027	0.5672	0.52546	0.94893	0.57058	0.76163
ALKBH8	4	-0.012064	-0.27597	0.892	0.99062	0.78257	0.88982
CHODL	4	-0.069649	-1.4611	0.84139	0.98832	0.14398	0.58307
RILP	4	-0.086666	-1.6258	0.77098	0.9827	0.104	0.58307
TOMM70A	4	-0.9518	-2.3817	0.0023369	0.076672	0.017234	0.58307
IFNK	4	-0.035852	-0.26455	0.99299	0.9989	0.79135	0.89479
EIF3M	4	-0.48533	-1.6554	0.071549	0.54358	0.09784	0.58307
TRPT1	4	0.12975	1.0872	0.27213	0.84386	0.27693	0.61872
OR10H4	4	0.0064084	0.15936	0.804	0.98347	0.87339	0.93728
TAS2R20	4	0.26406	1.5261	0.034457	0.38406	0.127	0.58307
GPR39	4	0.12244	1.2631	0.2953	0.85694	0.20656	0.58595
EDARADD	4	0.029511	0.61386	0.68919	0.97224	0.53931	0.7494
TRAPPC5	4	-0.64091	-1.9511	0.024761	0.32551	0.05104	0.58307
CHRNB4	4	-0.074534	-0.75359	0.81886	0.98477	0.4511	0.73059
SNAPC1	4	-0.2273	-1.034	0.34979	0.8851	0.30112	0.63195
SFRP4	4	0.058164	0.88738	0.5527	0.95665	0.37488	0.68343
