Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
BLOC1S1	4	-0.0098924	-0.20942	0.78739	0.98245	0.83412	0.91006
C6orf229	4	0.3061	1.4667	0.02328	0.20678	0.14246	0.4508
CNR2	4	0.2558	1.5308	0.058122	0.36379	0.12582	0.4508
CD69	4	0.16016	1.3344	0.21413	0.67934	0.18206	0.45386
OR52E4	4	0.24173	1.5127	0.070834	0.40298	0.13035	0.4508
OR11A1	4	0.16693	1.5302	0.19838	0.66081	0.12597	0.4508
GCM2	4	0.18419	1.4654	0.16191	0.61227	0.1428	0.4508
HELZ	4	-0.084988	-0.60647	0.95742	0.99668	0.5442	0.71642
LPAR3	4	0.15951	1.2218	0.21585	0.68237	0.22179	0.47279
SON	4	-0.90621	-2.5489	0.042427	0.29897	0.010808	0.13406
KLHL1	4	0.031906	0.23102	0.63521	0.95758	0.8173	0.89964
SEPT14	4	0.028796	0.47577	0.64598	0.95817	0.63424	0.7832
PLA2G12A	4	-0.21663	-1.9827	0.62637	0.95464	0.047397	0.35418
FAM133B	4	-0.21387	-1.1964	0.63254	0.95683	0.23154	0.47955
NEU3	4	0.21726	1.4644	0.10118	0.48398	0.14308	0.4508
SLC10A3	4	0.051024	0.88368	0.56343	0.93417	0.37687	0.58926
ZMIZ1	4	-0.096324	-0.8886	0.92289	0.99529	0.37422	0.5872
MZB1	4	0.015737	0.086767	0.69385	0.96846	0.93086	0.96418
CD70	4	-0.094852	-0.88885	0.92775	0.99529	0.37408	0.58717
PTBP3	4	-0.025684	-0.20653	0.8463	0.98954	0.83637	0.91138
SLFN13	4	-0.012265	-0.1481	0.79613	0.98359	0.88226	0.93793
KCTD14	4	-0.032118	-0.63736	0.86838	0.99261	0.52389	0.70132
SLURP1	4	-0.23463	-1.3756	0.59074	0.94352	0.16896	0.4508
EEF2KMT	4	-0.4135	-1.6568	0.31614	0.78812	0.097565	0.4508
HLA-DRB5	4	0.41728	1.3353	0.0025111	0.046021	0.18177	0.45386
ANO2	4	-0.23439	-1.2712	0.59105	0.94362	0.20366	0.46325
TESPA1	4	0.11768	1.4302	0.33063	0.80071	0.15265	0.4508
FAM150B	4	0.21104	1.2374	0.11086	0.50609	0.21592	0.46924
HNRNPAB	4	-0.24533	-1.7094	0.57081	0.93777	0.087376	0.4508
B3GAT1	4	0.1604	1.613	0.2136	0.67929	0.10675	0.4508
PHF3	4	0.23005	1.3173	0.083965	0.43949	0.18773	0.4559
ETV3	4	0.36371	1.1334	0.0078996	0.1021	0.25706	0.49437
MIER3	4	0.027847	0.92025	0.65048	0.95989	0.35744	0.57191
CPXM1	4	0.010766	0.10444	0.71326	0.97245	0.91682	0.95666
TRIM44	4	0.19759	1.1711	0.13414	0.5571	0.24156	0.48513
VMAC	4	-0.28485	-2.0696	0.50243	0.90399	0.038485	0.31317
LHFPL4	4	-0.015045	-0.13982	0.80696	0.98649	0.8888	0.94177
SYNJ2BP	4	0.058417	0.62953	0.53539	0.92182	0.529	0.70461
SPEN	4	-0.052419	-0.27805	0.93816	0.99529	0.78097	0.87808
ASPG	4	0.092128	1.103	0.41549	0.85628	0.27004	0.5039
ZCCHC24	4	0.059671	0.49233	0.53079	0.9191	0.62249	0.77455
FBXO15	4	0.1739	1.4278	0.18368	0.64257	0.15335	0.4508
CBX5	4	0.069362	0.56621	0.49479	0.8999	0.57125	0.7374
NICN1	4	-0.34607	-1.5671	0.4046	0.85031	0.11708	0.4508
RBM11	4	0.094522	0.67208	0.40649	0.85123	0.50153	0.68487
ZMYM3	4	-0.24418	-1.2145	0.57233	0.93849	0.22455	0.47486
LAMTOR3	4	-0.55122	-1.5239	0.18274	0.64092	0.12754	0.4508
RGS2	4	0.089447	0.65905	0.42417	0.86025	0.50986	0.69096
LMAN1L	4	0.031915	0.27606	0.63521	0.95758	0.7825	0.87918
CSNK1E	4	-0.20294	-1.1134	0.65498	0.95989	0.26555	0.5013
ADIPOQ	4	0.098466	0.70853	0.39299	0.84267	0.47861	0.66936
DCAF5	4	-0.03649	-0.18184	0.88412	0.99298	0.85571	0.92333
TRIML1	4	-0.045372	-0.81875	0.9153	0.99432	0.41293	0.6176
KALRN	4	0.020833	0.32338	0.6746	0.96426	0.74641	0.856
IGSF9B	4	0.10676	1.1814	0.36511	0.82465	0.23745	0.48234
KCMF1	4	-1.7709	-3.4681	0.0013079	0.029797	0.00052422	0.015931
KRTAP13-3	4	0.18764	1.5585	0.15428	0.5983	0.11911	0.4508
ATG14	4	-0.46697	-2.0434	0.25666	0.73421	0.041014	0.32471
RHOXF2	4	-0.073926	-1.2569	0.99179	0.99853	0.20879	0.46618
APTX	4	-0.26733	-1.9143	0.53194	0.91993	0.055583	0.38691
SERPINB2	4	0.28744	1.3149	0.033325	0.26043	0.18856	0.4559
GSTA3	4	-0.14347	-0.68634	0.79325	0.98264	0.4925	0.6787
WNT8B	4	0.11846	0.90578	0.32859	0.8	0.36505	0.57936
LOX	4	0.013458	0.23751	0.70317	0.97183	0.81226	0.89629
ZNF441	4	-0.078711	-1.2336	0.97709	0.99755	0.21737	0.47028
ISM1	4	-0.048583	-0.556	0.9265	0.99529	0.57821	0.74267
ITM2B	4	0.109	1.5895	0.35799	0.82024	0.11194	0.4508
MMP26	4	-0.050221	-1.1417	0.93157	0.99529	0.25359	0.49189
SHISA3	4	0.067129	0.6131	0.50385	0.90416	0.53981	0.71323
EN2	4	0.2719	1.4269	0.042951	0.30095	0.1536	0.4508
OR6M1	4	0.18701	1.1163	0.15511	0.59887	0.26428	0.50066
FUT4	4	-0.086094	-0.79048	0.95391	0.99668	0.42925	0.63087
KRR1	4	-1.2993	-2.3648	0.0093121	0.11174	0.018039	0.18874
CCL23	4	-0.13493	-1.1724	0.81705	0.98699	0.24105	0.48508
ZNF534	4	0.18614	1.6119	0.1571	0.60289	0.10698	0.4508
FLNB	4	-0.014942	-0.08658	0.80685	0.98649	0.93101	0.9642
MUTYH	4	0.033914	0.4141	0.6272	0.95477	0.6788	0.81264
AP4B1	4	0.12082	1.6288	0.32064	0.79081	0.10335	0.4508
PIP4K2B	4	-0.081694	-0.42734	0.96866	0.99699	0.66913	0.80694
ISPD	4	0.023219	0.46782	0.66623	0.9629	0.63991	0.78753
AQP4	4	-0.052308	-0.97059	0.9378	0.99529	0.33175	0.55076
CCDC142	4	-0.17959	-0.9955	0.70594	0.97233	0.31949	0.54002
C19orf48	4	0.19038	1.1787	0.14831	0.58586	0.23851	0.48313
GGTLC1	4	-0.11221	-1.1114	0.87805	0.99298	0.26642	0.50188
IGFBP5	4	0.12568	1.0879	0.30615	0.77809	0.27662	0.5075
GCNT4	4	-0.033619	-0.15786	0.87335	0.9927	0.87457	0.93373
ODF1	4	0.17081	1.3128	0.19058	0.65042	0.18926	0.4559
CELF6	4	-0.059141	-0.77423	0.95993	0.99699	0.4388	0.6392
PRTG	4	0.18287	1.2516	0.16453	0.61546	0.21072	0.46678
NDUFA4	4	-0.59135	-2.1346	0.15459	0.59887	0.03279	0.28568
PCDHGA10	4	0.11327	0.9065	0.3447	0.80951	0.36467	0.5791
SRRM4	4	0.013062	0.1391	0.70426	0.97199	0.88937	0.94211
TNFRSF8	4	0.17006	1.3136	0.192	0.65163	0.18898	0.4559
TGIF2-C20orf24	4	-0.30547	-1.4701	0.4689	0.89005	0.14153	0.4508
AZGP1	4	0.18455	1.1718	0.16097	0.61039	0.24126	0.48512
HIST1H4L	4	0.057549	0.29719	0.53879	0.92293	0.76632	0.86892
PES1	4	-2.0922	-3.9757	0.00020926	0.007874	7.0169e-05	0.0040918
SLC6A17	4	-0.10838	-0.71875	0.88862	0.99298	0.47229	0.66455
NEK6	4	0.041599	0.31001	0.59812	0.94562	0.75656	0.8626
LYPD6B	4	0.094983	1.3489	0.40476	0.85031	0.17736	0.45219
NCOA4	4	-1.6634	-3.7254	0.0020926	0.041667	0.00019504	0.0081223
WIPI1	4	-0.030268	-0.22197	0.86205	0.99175	0.82434	0.90413
ZNF705A	4	0.12747	0.7259	0.30118	0.77244	0.4679	0.66127
BICD1	4	-0.03154	-0.53042	0.86644	0.99239	0.59582	0.75547
RTN4	4	-0.12251	-1.164	0.84928	0.98994	0.24443	0.4874
GDNF-AS1	4	0.040877	0.32544	0.60115	0.94668	0.74485	0.85538
GALNT18	4	0.21055	1.3819	0.11164	0.50713	0.16699	0.4508
CITED4	4	0.047033	0.31698	0.57886	0.94012	0.75126	0.85954
TACC2	4	0.099311	1.0629	0.39064	0.84097	0.28785	0.51601
MSANTD3	4	-0.048851	-0.43476	0.92718	0.99529	0.66374	0.80342
ARMC12	4	-0.1316	-0.8937	0.82595	0.9885	0.37148	0.58472
FRRS1L	4	0.076109	0.74303	0.47167	0.8907	0.45746	0.65347
CDC26	4	-0.56254	-2.2182	0.17494	0.63124	0.026543	0.24815
