Gene	sgRNA	Cont|beta	Cont|z	Cont|p-value	Cont|fdr	Cont|wald-p-value	Cont|wald-fdr
CLLU1OS	4	-0.0016984	-0.018819	0.80096	0.9583	0.98499	0.99353
CLMN	4	0.13816	1.6908	0.056981	0.5394	0.090883	0.52186
CLMP	4	0.086283	1.189	0.21345	0.71443	0.23445	0.54767
CLN3	4	0.0053665	0.089568	0.74647	0.94579	0.92863	0.96366
CLN5	4	-0.10044	-1.5029	0.53938	0.88653	0.13285	0.52186
CLN6	4	-0.058491	-0.59166	0.78466	0.95454	0.55408	0.73131
CLN8	4	0.064418	1.4419	0.32712	0.79219	0.14934	0.52186
CLNK	4	0.037032	1.1105	0.50994	0.87744	0.26679	0.56303
CLNS1A	4	-0.3277	-1.5096	0.05708	0.5394	0.13115	0.52186
CLOCK	4	0.12714	1.453	0.079654	0.59338	0.14623	0.52186
CLP1	4	-0.0081297	-0.1279	0.85183	0.97254	0.89823	0.94696
CLPB	4	-0.29474	-1.7806	0.078113	0.59038	0.074981	0.52186
CLPP	4	-0.5017	-2.2346	0.0093974	0.28855	0.025447	0.52186
CLPS	4	0.030756	0.32811	0.55693	0.89329	0.74283	0.85396
CLPSL1	4	0.18741	1.5373	0.01069	0.3125	0.12422	0.52186
CLPSL2	4	-0.19012	-1.7995	0.22484	0.7234	0.071939	0.52186
CLPTM1	4	0.068965	1.653	0.30231	0.77833	0.098335	0.52186
CLPTM1L	4	-0.031578	-0.49442	0.97419	0.99809	0.62101	0.77512
CLPX	4	-0.026433	-0.38741	0.99055	0.999	0.69846	0.82704
CLRN1	4	-0.12123	-1.2738	0.44212	0.85099	0.20272	0.53029
CLRN2	4	-0.21645	-1.7946	0.17109	0.68206	0.072717	0.52186
CLRN3	4	-0.051985	-1.6765	0.82906	0.96628	0.09364	0.52186
CLSPN	4	-0.3178	-1.8627	0.062102	0.55013	0.062507	0.52186
CLSTN1	4	0.051515	0.90598	0.41025	0.83488	0.36495	0.64014
CLSTN2	4	-0.039183	-0.36913	0.9201	0.98657	0.71203	0.83413
CLSTN3	4	-0.0022511	-0.048458	0.80534	0.96017	0.96135	0.98056
CLTA	4	-0.0050342	-0.055291	0.82821	0.96602	0.95591	0.97754
CLTB	4	-0.064046	-1.0064	0.7494	0.94619	0.31422	0.5997
CLTC	4	-0.41872	-1.7141	0.022375	0.40214	0.086504	0.52186
CLTCL1	4	0.10126	1.131	0.15314	0.6653	0.25805	0.55917
CLU	4	-0.083146	-0.91705	0.63201	0.91466	0.35912	0.6354
CLUAP1	4	-0.066003	-0.73338	0.73722	0.94337	0.46333	0.71422
CLUH	4	-0.22998	-2.0048	0.14792	0.66076	0.044982	0.52186
CLUL1	4	0.13519	1.5098	0.062599	0.55154	0.1311	0.52186
CLVS1	4	-0.13231	-0.88957	0.39862	0.82861	0.3737	0.64701
CLVS2	4	-0.066307	-0.81903	0.73523	0.94284	0.41277	0.67659
CLYBL	4	0.11469	1.5795	0.10954	0.62614	0.11421	0.52186
CMA1	4	-0.049127	-0.51765	0.8483	0.97137	0.6047	0.76504
CMAS	4	-0.072164	-0.5963	0.69794	0.93288	0.55098	0.72926
CMBL	4	0.08726	0.85297	0.20888	0.71035	0.39367	0.66137
CMC1	4	0.025124	0.22805	0.59795	0.90742	0.8196	0.90066
CMC2	4	0.103	1.3057	0.14703	0.66076	0.19166	0.52591
CMC4	4	0.067133	1.7071	0.3133	0.78527	0.087795	0.52186
CMIP	4	-0.013243	-0.14055	0.89166	0.98006	0.88822	0.94129
CMKLR1	4	-0.011142	-0.18071	0.87599	0.97742	0.85659	0.92305
CMPK1	4	-0.61196	-2.1696	0.0027844	0.15599	0.030038	0.52186
CMPK2	4	-0.0070283	-0.075029	0.84243	0.97017	0.94019	0.97
CMSS1	4	0.15755	1.4629	0.030628	0.45215	0.14349	0.52186
CMTM1	4	-0.12266	-1.4694	0.43641	0.8497	0.14173	0.52186
CMTM2	4	-0.11578	-1.6641	0.46873	0.8632	0.096094	0.52186
CMTM3	4	-0.19889	-0.98575	0.20446	0.70617	0.32425	0.60789
CMTM4	4	-0.32038	-1.8081	0.06071	0.54913	0.070585	0.52186
CMTM5	4	-0.34965	-1.9706	0.045396	0.50722	0.048769	0.52186
CMTM6	4	0.049597	0.65318	0.42268	0.84319	0.51364	0.71937
CMTM7	4	-0.044291	-0.73308	0.88236	0.97856	0.46351	0.71438
CMTM8	4	0.023422	0.72307	0.60974	0.91072	0.46964	0.71854
CMTR1	4	-0.25817	-1.5496	0.11242	0.62899	0.12123	0.52186
CMTR2	4	0.11501	1.7205	0.10854	0.62382	0.085341	0.52186
CMYA5	4	-0.0092756	-0.1608	0.86113	0.97457	0.87225	0.93253
CNBD1	4	0.046188	0.66682	0.4462	0.85345	0.50489	0.71937
CNBD2	4	-0.010134	-0.17546	0.86849	0.9756	0.86072	0.92581
CNBP	4	-0.01481	-0.32282	0.90424	0.98303	0.74683	0.85692
CNDP1	4	0.068911	0.7389	0.30251	0.77833	0.45997	0.71166
CNDP2	4	0.072018	1.0705	0.2853	0.76415	0.28439	0.57562
CNEP1R1	4	0.088499	1.6409	0.20371	0.70562	0.10081	0.52186
CNFN	4	-0.20867	-1.7065	0.18452	0.69238	0.087908	0.52186
CNGA1	4	-0.078083	-0.79223	0.66214	0.92376	0.42823	0.68876
CNGA2	4	0.21449	1.3896	0.0034308	0.17829	0.16466	0.52186
CNGA3	4	-0.21211	-1.8161	0.17895	0.68795	0.069355	0.52186
CNGA4	4	0.094404	1.5103	0.18029	0.6885	0.13098	0.52186
CNGB1	4	0.022187	0.41902	0.62023	0.91303	0.6752	0.81306
CNGB3	4	0.029437	0.37778	0.56688	0.89645	0.7056	0.83072
CNIH1	4	-0.16654	-1.9391	0.28326	0.7625	0.052484	0.52186
CNIH2	4	-0.27862	-1.9633	0.090891	0.60411	0.049609	0.52186
CNIH3	4	0.044392	1.5688	0.45804	0.85785	0.11669	0.52186
CNIH4	4	0.022365	0.43935	0.61844	0.91281	0.66041	0.80158
CNKSR1	4	0.10345	1.7248	0.14593	0.66076	0.084563	0.52186
CNKSR2	4	-0.0354	-0.74759	0.94799	0.99272	0.45471	0.70835
CNKSR3	4	0.0018189	0.013027	0.77387	0.95233	0.98961	0.99535
CNN1	4	0.041053	0.58073	0.48145	0.8683	0.56143	0.73668
CNN2	4	0.018873	0.25446	0.64375	0.91868	0.79914	0.88783
CNN3	4	0.055016	1.5322	0.38783	0.82533	0.12547	0.52186
CNNM1	4	-0.014796	-0.51074	0.90409	0.98303	0.60953	0.76843
CNNM2	4	0.012868	0.15887	0.68835	0.93073	0.87377	0.93376
CNNM3	4	-0.26066	-1.71	0.10934	0.62614	0.087268	0.52186
CNNM4	4	-0.033276	-0.4381	0.9636	0.99579	0.66131	0.80213
CNOT1	4	-0.5627	-2.1135	0.0049722	0.20866	0.034559	0.52186
CNOT10	4	0.0072887	0.11042	0.73145	0.94186	0.91207	0.95414
CNOT11	4	-0.3801	-2.0176	0.033463	0.46773	0.043638	0.52186
CNOT2	4	-0.31473	-2.0337	0.06434	0.55627	0.041978	0.52186
CNOT3	4	-0.46775	-1.9515	0.013723	0.34198	0.050992	0.52186
CNOT4	4	0.081944	1.1121	0.23334	0.72916	0.26609	0.563
CNOT6	4	0.057462	1.5963	0.37053	0.81603	0.11043	0.52186
CNOT6L	4	0.021469	0.80756	0.62575	0.91359	0.41935	0.68191
CNOT7	4	0.12105	1.3773	0.093924	0.60525	0.16842	0.52186
CNOT8	4	0.0068556	0.31318	0.73464	0.94284	0.75414	0.86163
CNP	4	-0.01547	-0.42712	0.90811	0.984	0.66929	0.80812
CNPPD1	4	-0.071108	-0.80963	0.70505	0.93538	0.41816	0.68087
CNPY1	4	0.048792	0.90341	0.42785	0.8458	0.36631	0.64169
CNPY2	4	-0.16735	-1.0941	0.28132	0.7625	0.27391	0.56782
CNPY3	4	0.08666	0.73252	0.21161	0.71436	0.46385	0.71463
CNPY4	4	-0.066053	-0.65841	0.73662	0.94297	0.51028	0.71937
CNR1	4	0.057576	1.1559	0.36968	0.81532	0.24771	0.55354
CNR2	4	0.068392	0.95027	0.30549	0.77931	0.34197	0.62093
CNRIP1	4	-0.0075963	-0.12578	0.84775	0.97129	0.89991	0.94759
CNST	4	0.11183	1.485	0.11829	0.63271	0.13754	0.52186
CNTD1	4	-0.030799	-0.48126	0.97981	0.99809	0.63033	0.78138
CNTD2	4	-0.15148	-1.3025	0.32826	0.79277	0.19275	0.52602
CNTF	4	-0.17922	-1.641	0.2505	0.73997	0.1008	0.52186
CNTFR	4	0.085161	1.7469	0.21848	0.71953	0.080656	0.52186
CNTLN	4	0.071458	1.4563	0.28898	0.76648	0.14531	0.52186
CNTN1	4	0.064744	1.1866	0.32548	0.79029	0.23539	0.54767
CNTN2	4	-0.14378	-1.2107	0.35586	0.80897	0.22601	0.5437
CNTN3	4	-0.017513	-0.38253	0.92278	0.98719	0.70207	0.82894
CNTN4	4	-0.0023469	-0.047258	0.80589	0.96019	0.96231	0.98089
CNTN5	4	0.091709	0.97635	0.19108	0.69654	0.32889	0.61172
CNTN6	4	0.021764	0.38363	0.62336	0.91351	0.70125	0.82862
CNTNAP1	4	-0.10197	-1.4909	0.53207	0.88388	0.13599	0.52186
CNTNAP2	4	-0.052776	-1.2774	0.82329	0.96548	0.20146	0.52903
CNTNAP3	4	-0.17633	-1.8861	0.25845	0.74716	0.059281	0.52186
CNTNAP3B	4	-0.094049	-1.4237	0.57215	0.89761	0.15454	0.52186
CNTNAP4	4	-0.076971	-1.3068	0.66841	0.92691	0.19127	0.52591
CNTNAP5	4	-0.11282	-1.1259	0.4824	0.8683	0.2602	0.55984
CNTRL	4	0.057917	0.77815	0.36804	0.81524	0.43648	0.69456
CNTROB	4	0.097154	1.1449	0.1692	0.68178	0.25224	0.55601
COA1	4	-0.033252	-0.45951	0.9638	0.99579	0.64587	0.79184
COA3	4	-0.42451	-1.4551	0.020535	0.38915	0.14564	0.52186
COA4	4	0.066704	1.0451	0.31578	0.78662	0.29599	0.58534
COA5	4	-0.37997	-1.8854	0.033463	0.46773	0.059381	0.52186
COA6	4	-0.45072	-1.6716	0.016358	0.36966	0.094605	0.52186
COA7	4	-0.12826	-1.082	0.41403	0.83789	0.27926	0.57205
COASY	4	-0.89929	-2.3077	0.00014916	0.026087	0.021017	0.52186
COBL	4	-0.045147	-0.70336	0.87594	0.97742	0.48183	0.71937
COBLL1	4	0.0042412	0.071534	0.75497	0.94797	0.94297	0.97132
COCH	4	-0.074208	-1.2335	0.68526	0.92979	0.21739	0.53769
COG1	4	-0.3113	-1.1818	0.066229	0.56061	0.23727	0.54864
COG2	4	0.027394	0.56094	0.58179	0.90164	0.57484	0.74495
COG3	4	-0.271	-1.68	0.097753	0.61189	0.092953	0.52186
COG4	4	-0.26801	-2.0774	0.10123	0.61657	0.037764	0.52186
COG5	4	0.062506	1.1507	0.33935	0.80077	0.24987	0.55388
COG6	4	-0.0076516	-0.083725	0.848	0.97137	0.93328	0.96593
COG7	4	0.014975	0.34039	0.67308	0.92716	0.73356	0.84855
COG8	4	-0.85228	-2.171	0.00024861	0.037313	0.029933	0.52186
COIL	4	-0.43833	-1.8988	0.018298	0.38105	0.057594	0.52186
COL10A1	4	-0.074112	-0.79593	0.68611	0.93035	0.42607	0.6868
COL11A1	4	0.091132	1.5617	0.19297	0.69843	0.11837	0.52186
COL11A2	4	0.060934	1.0409	0.34944	0.80523	0.29793	0.58658
COL12A1	4	0.091266	1.1245	0.19252	0.69829	0.26082	0.56031
COL13A1	4	-0.046175	-0.58526	0.86878	0.9756	0.55837	0.73464
COL14A1	4	0.039022	1.5081	0.49557	0.87155	0.13154	0.52186
COL15A1	4	-0.0048462	-0.05819	0.82672	0.96581	0.9536	0.97647
COL16A1	4	-0.12644	-1.1605	0.42179	0.84299	0.24584	0.55335
COL17A1	4	-0.15887	-1.0208	0.30703	0.78057	0.30735	0.59413
COL18A1	4	0.091823	1.2951	0.19073	0.69654	0.19527	0.52723
COL19A1	4	-0.057086	-0.46449	0.79445	0.9566	0.6423	0.7895
COL1A1	4	0.053594	1.1269	0.39633	0.82861	0.25977	0.55965
COL1A2	4	-0.076725	-1.3726	0.67	0.92716	0.16989	0.52186
COL20A1	4	-0.073876	-1.2608	0.6876	0.93064	0.20736	0.53284
COL21A1	4	0.021298	0.42305	0.62689	0.91359	0.67226	0.81043
COL22A1	4	-0.048936	-0.85446	0.84969	0.9719	0.39285	0.66081
COL23A1	4	-0.17911	-2.0249	0.25075	0.73997	0.042873	0.52186
COL24A1	4	0.031724	0.73979	0.54977	0.8898	0.45943	0.71134
COL25A1	4	0.013635	0.26974	0.68317	0.92913	0.78736	0.88067
COL26A1	4	-0.15154	-1.2416	0.32806	0.79255	0.21439	0.53649
COL27A1	4	0.031577	0.69887	0.55091	0.89017	0.48463	0.71937
COL28A1	4	-0.035535	-0.64529	0.9468	0.99272	0.51874	0.71937
COL2A1	4	0.07188	0.85291	0.2862	0.7644	0.39371	0.66137
COL3A1	4	0.017029	0.6367	0.65737	0.92324	0.52432	0.71937
COL4A1	4	0.010082	0.3971	0.71042	0.93744	0.6913	0.82264
COL4A2	4	0.10983	1.6771	0.12505	0.63669	0.093519	0.52186
COL4A3	4	-0.069484	-1.2133	0.71604	0.93844	0.225	0.5435
COL4A3BP	4	-0.10384	-1.4789	0.52337	0.8802	0.13916	0.52186
COL4A4	4	-0.10903	-1.8841	0.4994	0.87258	0.059546	0.52186
COL4A5	4	0.054223	1.3551	0.3924	0.82786	0.1754	0.52207
COL4A6	4	0.008985	0.16637	0.71808	0.93853	0.86786	0.92984
COL5A1	4	0.071811	1.1661	0.28674	0.76489	0.24357	0.55173
COL5A2	4	0.014574	0.14195	0.67562	0.92716	0.88712	0.94112
COL5A3	4	0.04025	0.58418	0.48643	0.8683	0.5591	0.73515
COL6A1	4	0.034779	0.4954	0.52586	0.88086	0.62032	0.77461
COL6A2	4	-0.086837	-1.074	0.61177	0.91107	0.2828	0.57477
COL6A3	4	0.01233	0.17754	0.69193	0.93112	0.85908	0.92469
COL6A5	4	0.041406	0.62356	0.47872	0.86668	0.53291	0.71965
COL6A6	4	0.10434	1.4886	0.1428	0.659	0.13659	0.52186
COL7A1	4	0.052845	0.56963	0.40071	0.82903	0.56893	0.74108
COL8A1	4	0.052225	0.83053	0.40493	0.83127	0.40624	0.6719
COL8A2	4	-0.043644	-0.50626	0.88599	0.97875	0.61267	0.76989
COL9A1	4	0.077659	0.97379	0.25487	0.74294	0.33016	0.61281
COL9A2	4	0.014498	0.18393	0.67616	0.92716	0.85407	0.92176
COL9A3	4	-0.24241	-1.9291	0.13107	0.64696	0.053713	0.52186
COLCA1	4	-0.040793	-0.87151	0.90672	0.98366	0.38347	0.65349
COLCA2	4	-0.062869	-0.81475	0.75681	0.9487	0.41521	0.6787
COLEC10	4	0.055076	0.69377	0.38763	0.82533	0.48783	0.71937
COLEC11	4	-0.033778	-0.49696	0.95973	0.995	0.61922	0.77391
COLEC12	4	0.047215	0.85717	0.43919	0.85088	0.39135	0.66021
COLGALT1	4	-0.033899	-0.52243	0.95908	0.99469	0.60137	0.76322
COLGALT2	4	0.017241	0.36634	0.65608	0.92291	0.71411	0.83508
COLQ	4	-0.046126	-0.72617	0.86923	0.97594	0.46774	0.71721
COMMD1	4	-0.29398	-1.8746	0.07861	0.59244	0.060852	0.52186
COMMD10	4	0.1422	1.5639	0.04997	0.52287	0.11785	0.52186
COMMD2	4	-0.24803	-1.6291	0.12381	0.63669	0.1033	0.52186
COMMD3	4	-0.080123	-0.7651	0.64961	0.92082	0.44421	0.7003
COMMD3-BMI1	4	0.0066192	0.12291	0.73633	0.94296	0.90218	0.94914
COMMD4	4	0.024775	0.93702	0.60029	0.9083	0.34875	0.62663
COMMD5	4	-0.18054	-1.7512	0.24761	0.73876	0.079907	0.52186
COMMD6	4	0.17728	1.1309	0.014916	0.35253	0.25808	0.55917
COMMD7	4	-0.052373	-0.60785	0.82627	0.96581	0.54329	0.72383
COMMD8	4	0.1311	1.7268	0.070754	0.5708	0.084198	0.52186
COMMD9	4	-0.01391	-0.27095	0.89807	0.98163	0.78643	0.88023
COMP	4	-0.073156	-1.0719	0.69193	0.93112	0.28375	0.5754
COMT	4	-0.41046	-2.1635	0.024314	0.41336	0.030507	0.52186
COMTD1	4	-0.28722	-1.7606	0.082985	0.59628	0.078311	0.52186
COPA	4	-0.11224	-1.5598	0.48503	0.8683	0.1188	0.52186
COPB1	4	-0.085524	-0.65944	0.61859	0.91285	0.50961	0.71937
COPB2	4	-0.15964	-0.90362	0.3042	0.7792	0.36619	0.6416
COPE	4	-0.39724	-2.1755	0.028142	0.4374	0.029593	0.52186
COPG1	4	-0.166	-1.0951	0.28426	0.76318	0.27348	0.56749
COPG2	4	-0.0046581	-0.089672	0.82488	0.96577	0.92855	0.96362
COPRS	4	-0.079631	-0.71884	0.65294	0.92172	0.47224	0.71937
COPS2	4	-0.23506	-1.8975	0.14111	0.65688	0.057762	0.52186
COPS3	4	-0.051311	-1.3385	0.83393	0.96789	0.18073	0.52335
COPS4	4	0.14145	1.2105	0.051313	0.52734	0.22608	0.5437
COPS5	4	0.025096	0.26258	0.59815	0.90751	0.79287	0.88425
COPS6	4	-0.30688	-2.0595	0.069461	0.56804	0.039447	0.52186
COPS7A	4	0.019386	0.36647	0.64007	0.91683	0.71401	0.83508
COPS7B	4	0.11741	1.5682	0.10243	0.61695	0.11684	0.52186
COPS8	4	-0.27884	-1.4289	0.090593	0.60331	0.15304	0.52186
COPZ1	4	-0.066306	-0.76171	0.73523	0.94284	0.44624	0.702
COPZ2	4	0.032667	0.65964	0.54172	0.88667	0.50949	0.71937
COQ10A	4	-0.21467	-0.70107	0.17403	0.68465	0.48326	0.71937
COQ10B	4	-0.10221	-0.85975	0.53098	0.88348	0.38993	0.6588
COQ2	4	-0.43101	-1.2348	0.019491	0.38529	0.21689	0.53734
COQ3	4	-0.38418	-1.9572	0.032021	0.45771	0.050326	0.52186
COQ5	4	-0.23343	-1.3229	0.14335	0.659	0.18586	0.52551
COQ6	4	-0.16738	-1.4334	0.28123	0.7625	0.15174	0.52186
COQ7	4	0.036101	0.53694	0.51616	0.87919	0.59131	0.75623
COQ9	4	-0.10982	-1.4211	0.49528	0.87151	0.15528	0.52186
CORIN	4	-0.047464	-0.85533	0.86063	0.9745	0.39237	0.66057
CORO1A	4	-0.23976	-1.3143	0.13465	0.65065	0.18873	0.52591
CORO1B	4	-0.034987	-0.48689	0.95063	0.99273	0.62633	0.77898
CORO1C	4	0.052931	1.4341	0.40001	0.82861	0.15153	0.52186
CORO2A	4	0.061713	1.0561	0.34422	0.80341	0.29094	0.58074
CORO2B	4	0.039915	0.75726	0.48941	0.86975	0.44889	0.70395
CORO6	4	-0.29551	-1.852	0.077317	0.58742	0.064025	0.52186
CORO7	4	-0.048581	-1.3943	0.85208	0.97254	0.16323	0.52186
CORO7-PAM16	4	-0.32888	-1.8686	0.056285	0.53799	0.061675	0.52186
CORT	4	-0.16752	-1.4314	0.28108	0.7625	0.15232	0.52186
COTL1	4	-0.002252	-0.034215	0.80534	0.96017	0.97271	0.98644
COX10	4	0.00061833	0.009922	0.78366	0.95454	0.99208	0.99664
COX11	4	-1.4559	-3.0689	0	0	0.0021487	0.52186
COX14	4	-0.046716	-0.44411	0.86545	0.9756	0.65696	0.79889
COX15	4	-0.29818	-1.734	0.075527	0.584	0.082924	0.52186
COX16	4	-0.091998	-0.85139	0.58318	0.90196	0.39455	0.66221
COX17	4	-0.79669	-2.6413	0.00039777	0.047619	0.0082598	0.52186
COX18	4	-0.56807	-2.0809	0.0046241	0.2044	0.037442	0.52186
COX19	4	0.039345	0.6342	0.49329	0.87097	0.52595	0.71937
COX20	4	-0.28187	-1.845	0.087957	0.60235	0.065044	0.52186
COX4I1	4	-0.33321	-2.0439	0.053699	0.53176	0.040959	0.52186
COX4I2	4	-0.41101	-2.1785	0.024065	0.41227	0.029372	0.52186
COX5A	4	-0.064387	-0.73204	0.74727	0.94588	0.46414	0.71471
COX5B	4	-0.037435	-0.60487	0.93347	0.99053	0.54527	0.72491
COX6A1	4	-0.3134	-1.7795	0.064936	0.55717	0.075161	0.52186
COX6A2	4	-0.21183	-1.574	0.1794	0.68795	0.11548	0.52186
COX6B1	4	-0.090374	-1.3305	0.59238	0.90527	0.18336	0.52433
COX6B2	4	-0.10426	-1.2407	0.52173	0.8802	0.21472	0.53657
COX6C	4	0.0061144	0.071356	0.74085	0.94484	0.94311	0.97137
COX7A1	4	0.10885	1.5805	0.12803	0.64273	0.11399	0.52186
COX7A2	4	-0.12629	-1.2668	0.42238	0.84302	0.20521	0.53135
COX7A2L	4	-0.057492	-1.199	0.79152	0.95633	0.23053	0.54499
COX7B	4	-0.22206	-1.5204	0.1613	0.67177	0.1284	0.52186
COX7B2	4	0.1105	1.4728	0.12276	0.63669	0.1408	0.52186
COX7C	4	-0.46018	-1.7824	0.014519	0.34803	0.074691	0.52186
COX8A	4	-0.01639	-0.34734	0.91468	0.98538	0.72834	0.84458
COX8C	4	0.1851	1.6393	0.011635	0.32911	0.10115	0.52186
CP	4	0.12334	1.4088	0.088803	0.60235	0.15889	0.52186
CPA1	4	-0.061092	-0.91883	0.76775	0.95166	0.35819	0.63481
CPA2	4	0.098309	1.2361	0.16448	0.67634	0.21642	0.53723
CPA3	4	0.02774	0.41686	0.57921	0.90048	0.67678	0.81382
CPA4	4	0.095753	1.7205	0.17427	0.68487	0.085348	0.52186
CPA5	4	0.045864	0.79377	0.44834	0.85498	0.42733	0.68767
CPA6	4	-0.0019004	-0.067831	0.80236	0.95933	0.94592	0.97291
CPAMD8	4	-0.027645	-0.41124	0.99915	0.99995	0.6809	0.8163
CPB1	4	0.15045	1.1394	0.038335	0.4846	0.25456	0.55717
CPB2	4	0.015471	0.39602	0.6696	0.92716	0.69209	0.82319
CPD	4	-0.26191	-2.1129	0.10795	0.62382	0.034612	0.52186
CPE	4	0.11065	1.3608	0.12197	0.63533	0.17359	0.52186
CPEB1	4	0.084498	1.1815	0.22131	0.72174	0.2374	0.54864
CPEB2	4	0.016861	0.16095	0.65871	0.92333	0.87213	0.93253
CPEB3	4	-0.084466	-1.361	0.6249	0.91359	0.17351	0.52186
CPEB4	4	0.14741	1.653	0.042064	0.49649	0.09833	0.52186
CPED1	4	0.025425	0.88459	0.59522	0.90618	0.37638	0.64876
CPLX1	4	-0.068306	-1.0367	0.7231	0.93984	0.29988	0.58801
CPLX2	4	0.097765	1.7542	0.16706	0.68029	0.079401	0.52186
CPLX3	4	-0.093051	-0.73884	0.57752	0.89984	0.46	0.71166
CPLX4	4	0.052375	0.64024	0.40414	0.83056	0.52201	0.71937
CPM	4	0.045447	0.65883	0.45142	0.85579	0.51	0.71937
CPN1	4	0.11426	1.6723	0.11093	0.62898	0.094466	0.52186
CPN2	4	0.082175	1.2626	0.23185	0.72916	0.20674	0.53231
CPNE1	4	-0.021023	-0.4003	0.95003	0.99273	0.68893	0.82104
CPNE2	4	0.081354	1.3597	0.23613	0.73231	0.17392	0.52186
CPNE3	4	-0.084148	-1.2463	0.62674	0.91359	0.21264	0.53587
CPNE4	4	-0.039047	-1.2456	0.92124	0.98684	0.21293	0.536
CPNE5	4	-0.15655	-1.6737	0.31409	0.78602	0.094195	0.52186
CPNE6	4	-0.31858	-1.9576	0.061506	0.54925	0.05028	0.52186
CPNE7	4	-0.17897	-1.7179	0.25124	0.73997	0.085819	0.52186
CPNE8	4	0.11174	1.4046	0.11854	0.63275	0.16013	0.52186
CPNE9	4	-0.016423	-0.3658	0.91488	0.98538	0.71452	0.83544
CPO	4	0.13819	1.6191	0.056931	0.5394	0.10543	0.52186
CPOX	4	-0.26026	-1.6535	0.10998	0.62691	0.098239	0.52186
CPPED1	4	-0.02145	-1.163	0.95306	0.99316	0.24484	0.55316
CPQ	4	-0.015719	-0.40564	0.91025	0.98494	0.685	0.81907
CPS1	4	0.091547	1.361	0.19128	0.69654	0.17351	0.52186
CPSF1	4	-0.10411	-1.7394	0.52223	0.8802	0.081969	0.52186
CPSF2	4	-0.0057903	-0.1269	0.83304	0.96789	0.89902	0.9473
CPSF3	4	0.007719	0.22234	0.72797	0.94106	0.82405	0.90332
CPSF3L	4	-0.37121	-2.0532	0.036794	0.47804	0.040057	0.52186
CPSF4	4	-0.19741	-1.6754	0.20774	0.70903	0.093855	0.52186
CPSF4L	4	0.015144	0.22491	0.67204	0.92716	0.82205	0.9021
CPSF6	4	-0.055769	-0.68113	0.80335	0.95933	0.49579	0.71937
CPSF7	4	-0.34363	-2.1189	0.048528	0.52027	0.034096	0.52186
CPT1A	4	0.046242	1.0821	0.44605	0.85345	0.27922	0.57205
CPT1B	4	-0.1463	-1.5091	0.34621	0.80427	0.13129	0.52186
CPT1C	4	-0.15375	-1.6007	0.3221	0.78945	0.10944	0.52186
CPT2	4	-0.061919	-0.81308	0.76258	0.95019	0.41617	0.67906
CPTP	4	-0.033617	-0.83482	0.96147	0.99563	0.40382	0.67016
CPVL	4	-0.0079235	-0.090768	0.85014	0.97203	0.92768	0.96323
CPXCR1	4	0.16698	1.6479	0.022027	0.39946	0.099368	0.52186
CPXM1	4	-0.069995	-0.95184	0.71271	0.93763	0.34118	0.62075
CPXM2	4	0.079245	1.0486	0.24597	0.73671	0.29435	0.58394
CPZ	4	0.080929	1.7203	0.23832	0.734	0.085384	0.52186
CR1	4	0.030424	1.3226	0.55967	0.89408	0.18597	0.52551
CR1L	4	0.087186	1.1385	0.20933	0.71132	0.25489	0.55717
CR2	4	0.091693	1.4865	0.19108	0.69654	0.13715	0.52186
CRABP1	4	0.018104	0.28969	0.64976	0.92082	0.77205	0.87209
CRABP2	4	-0.15466	-0.84493	0.31951	0.7879	0.39815	0.66491
CRACR2A	4	0.033515	0.50429	0.53476	0.88453	0.61405	0.77085
CRACR2B	4	-0.44271	-2.2634	0.0178	0.37924	0.023614	0.52186
CRADD	4	-0.0052024	-0.069048	0.82921	0.96628	0.94495	0.97249
CRAMP1L	4	0.080497	1.2998	0.24025	0.734	0.19368	0.52679
CRAT	4	0.039605	0.36921	0.4917	0.87059	0.71197	0.83411
CRB1	4	-0.087578	-0.90664	0.6076	0.90988	0.3646	0.63992
CRB2	4	-0.044735	-0.60736	0.87943	0.97854	0.54361	0.72398
CRB3	4	-0.042535	-0.50823	0.89419	0.9806	0.61129	0.76917
CRBN	4	0.03487	1.1204	0.52531	0.88086	0.26254	0.56098
CRCP	4	-0.031948	-0.29023	0.97235	0.99809	0.77164	0.87191
CRCT1	4	0.026752	0.47829	0.58597	0.90307	0.63244	0.78285
CREB1	4	-0.1655	-1.7339	0.28585	0.76424	0.082937	0.52186
CREB3	4	-0.3446	-1.6804	0.047981	0.51908	0.092886	0.52186
CREB3L1	4	0.015787	0.25161	0.66696	0.92606	0.80134	0.88904
CREB3L2	4	0.015563	0.27932	0.669	0.92716	0.78	0.87678
CREB3L3	4	0.036124	1.2288	0.51596	0.87919	0.21914	0.53887
CREB3L4	4	-0.11739	-1.3302	0.46022	0.8582	0.18344	0.52442
CREB5	4	-0.18721	-1.4864	0.2316	0.72916	0.13717	0.52186
CREBBP	4	0.016694	0.13477	0.6599	0.92342	0.8928	0.94387
CREBL2	4	0.12328	1.5961	0.088902	0.60235	0.11046	0.52186
CREBRF	4	0.053712	0.67881	0.39554	0.82861	0.49726	0.71937
CREBZF	4	-0.68402	-2.5609	0.0013425	0.10385	0.010441	0.52186
CREG1	4	-0.11813	-1.4809	0.45694	0.85785	0.13863	0.52186
CREG2	4	-0.14171	-1.2442	0.36272	0.81164	0.21342	0.536
CRELD1	4	-0.054514	-1.3171	0.81225	0.9619	0.1878	0.52577
