Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
PTGES2	4	-0.42918	-1.6436	0.19008	0.6288	0.10026	0.45658
IRAK1	4	0.10912	1.0463	0.30393	0.75681	0.2954	0.5457
SLC6A15	4	0.16981	1.2829	0.13121	0.53207	0.19951	0.47187
LRRC40	4	-0.028083	-0.34809	0.87361	0.98706	0.72778	0.83216
HLA-DQB1	4	-0.032778	-0.38008	0.89171	0.98806	0.70388	0.81537
SMYD2	4	-0.052296	-0.49401	0.96564	0.99585	0.6213	0.75789
WAS	4	0.075216	0.72355	0.4334	0.85494	0.46934	0.68864
PTPRA	4	0.028268	0.30902	0.6364	0.94256	0.75731	0.85179
ZNF546	4	-0.0094786	-0.14667	0.79784	0.97833	0.8834	0.93387
GBA	4	0.059699	0.76429	0.49779	0.88885	0.44469	0.66983
ZBTB4	4	0.00041374	0.0058601	0.75638	0.9721	0.99532	0.99761
C9orf84	4	0.0217	0.25505	0.66619	0.95217	0.79868	0.88128
PRPS1L1	4	0.08562	1.2047	0.39179	0.82939	0.22834	0.49245
CADM3	4	0.20093	1.1951	0.078208	0.41438	0.23205	0.49591
Non-Targeting_Control-N525	1	0.33179	0.59936	0.14274	0.55233	0.54893	0.71532
DRG2	4	-0.08899	-0.99392	0.90136	0.99001	0.32026	0.56573
RAB4A	4	0.0057627	0.08103	0.734	0.96832	0.93542	0.96339
MCM10	4	-0.84228	-2.7335	0.016606	0.15622	0.0062674	0.095714
ADGRL1	4	0.20376	1.6207	0.074628	0.4036	0.10508	0.45658
NUCB1	4	-0.095005	-1.7911	0.88192	0.98722	0.073285	0.45658
TGM6	4	-0.0029965	-0.03695	0.77025	0.97325	0.97052	0.98406
GPR18	4	0.25143	1.4167	0.030229	0.23778	0.15657	0.45658
LRRC27	4	0.097329	1.3474	0.34664	0.79616	0.17784	0.45963
KRTAP10-7	4	-0.18895	-1.7788	0.6191	0.93808	0.075279	0.45658
FBXL21	4	0.17508	1.1644	0.12122	0.51554	0.24426	0.50395
IRG1	4	0.17608	1.3023	0.11913	0.51066	0.19283	0.46592
RFXANK	4	-0.079366	-0.70098	0.93422	0.99278	0.48332	0.6979
MRC2	4	0.088796	0.9331	0.3797	0.82278	0.35077	0.59196
RSPO1	4	0.043016	0.37475	0.57038	0.91985	0.70784	0.81812
ZNF45	4	0.087442	0.17653	0.38398	0.82405	0.85988	0.91952
OPCML	4	0.13121	1.5923	0.22945	0.67698	0.11131	0.45658
NPHP1	4	-0.0022745	-0.064737	0.76707	0.97283	0.94838	0.972
NFYA	4	-0.35049	-1.4134	0.29528	0.74921	0.15755	0.45658
FREM1	4	0.033185	0.98449	0.61582	0.93808	0.32488	0.57023
JPH2	4	0.19077	1.4139	0.093124	0.45296	0.1574	0.45658
WDR6	4	-0.17632	-1.2922	0.65047	0.94763	0.19628	0.46838
NKX6-1	4	0.17802	1.3809	0.11555	0.50249	0.16732	0.45726
GPR137B	4	0.15853	1.5435	0.15781	0.57951	0.1227	0.45658
MAP4K4	4	0.010413	0.35651	0.71496	0.96446	0.72146	0.82767
BRPF1	4	-0.30417	-1.6969	0.37722	0.82173	0.089724	0.45658
TMEM126B	4	0.049244	0.78416	0.54408	0.90936	0.43295	0.66053
KCNJ14	4	-0.3063	-2.0123	0.37319	0.81997	0.044187	0.36054
SPANXD	4	-0.17296	-1.161	0.65928	0.94972	0.24565	0.50524
CER1	4	0.1725	0.89908	0.12609	0.52548	0.36861	0.60715
TNNI2	4	-0.0026628	-0.019735	0.76871	0.97325	0.98425	0.99155
C1orf127	4	0.0053281	0.21454	0.73574	0.96879	0.83013	0.90235
KIF20A	4	-0.084212	-1.0591	0.91767	0.99278	0.28955	0.54063
RAP1GDS1	4	0.049475	0.56866	0.54273	0.90871	0.56959	0.72286
DENND4A	4	0.093245	0.97126	0.3628	0.81008	0.33142	0.57617
SOST	4	0.098636	1.2837	0.34127	0.79069	0.19923	0.47165
OR51B6	4	-0.02511	-0.39666	0.86074	0.9845	0.69162	0.80604
GSTA5	4	-0.12261	-0.70265	0.79441	0.9775	0.48227	0.69713
CWC15	4	-1.0813	-2.8238	0.0028837	0.039726	0.0047458	0.078304
GH1	4	0.047839	0.58453	0.54999	0.91132	0.55886	0.71927
MYOT	4	0.10464	1.1214	0.32069	0.7732	0.2621	0.51906
PTPRU	4	0.065692	0.54519	0.47149	0.8749	0.58562	0.73246
RFX1	4	0.21492	1.3007	0.060806	0.35981	0.19335	0.46628
IP6K3	4	0.019432	0.22159	0.67563	0.95368	0.82464	0.89853
HNRNPDL	4	-0.12247	-1.1697	0.79481	0.9775	0.24213	0.5031
LSM6	4	-1.4666	-3.3065	0.0002486	0.005988	0.00094459	0.029639
NUDT12	4	0.23031	1.3607	0.046686	0.3125	0.1736	0.45857
KLHL5	4	0.17224	1.2662	0.12668	0.52612	0.20545	0.47666
F8A2	4	-0.4247	-2.1422	0.19415	0.63239	0.032181	0.29461
DYTN	4	0.12707	1.515	0.24273	0.69532	0.12977	0.45658
STK24	4	0.059491	0.42079	0.49878	0.88885	0.67391	0.79404
TVP23A	4	-0.07591	-1.7504	0.94635	0.99431	0.080048	0.45658
B3GNT4	4	-0.19699	-1.7187	0.59996	0.93045	0.085678	0.45658
ERVMER34-1	4	0.048511	0.61781	0.54736	0.91089	0.5367	0.71261
T	4	-0.013133	-0.12278	0.81425	0.98115	0.90228	0.94415
RPUSD4	4	-1.438	-3.457	0.0002486	0.005988	0.00054626	0.021799
TMEM125	4	-0.082124	-0.50842	0.92497	0.99278	0.61116	0.75103
ARSK	4	-0.064485	-1.6265	0.98797	0.99724	0.10383	0.45658
CDRT15	4	-0.020387	-0.22594	0.84264	0.98261	0.82125	0.89633
Non-Targeting_Control-N22	1	0.22906	0.63246	0.33033	0.78257	0.52709	0.70993
FADS6	4	-0.03957	-0.36523	0.91886	0.99278	0.71494	0.82279
IL4	4	0.14465	1.5456	0.19266	0.63111	0.12219	0.45658
TNNI1	4	0.19453	1.1957	0.087207	0.43697	0.2318	0.49586
ANKRD34C	4	0.21613	1.4926	0.059762	0.35753	0.13553	0.45658
STOML2	4	-0.58879	-2.0352	0.081241	0.42266	0.041835	0.34914
PRSS56	4	-0.00070455	-0.0081912	0.76065	0.97235	0.99346	0.99671
DCDC5	4	0.12186	1.159	0.26013	0.71401	0.24644	0.50598
KCNA2	4	0.13413	1.5976	0.2211	0.66587	0.11014	0.45658
Non-Targeting_Control-N965	1	0.20109	0.64169	0.3983	0.83422	0.52107	0.70944
KHSRP	4	-0.67852	-2.2204	0.049669	0.32278	0.026389	0.26013
UBAP2L	4	-0.46545	-2.3059	0.15761	0.57951	0.021114	0.22386
GUCY1A3	4	0.17575	1.6283	0.11992	0.51242	0.10346	0.45658
RHOBTB2	4	0.078652	0.57911	0.42023	0.84868	0.56251	0.7204
GJB7	4	0.24418	1.3812	0.03545	0.26525	0.16722	0.45726
SEMA6C	4	-0.060275	-0.57906	0.99736	0.9993	0.56255	0.7204
AIM1	4	0.060542	0.93591	0.49466	0.88745	0.34932	0.59132
DEPDC7	4	0.0033148	0.053418	0.7432	0.96952	0.9574	0.97663
PFKL	4	-0.10177	-0.43805	0.85954	0.9845	0.66135	0.78552
PSMD9	4	0.0012065	0.033812	0.75255	0.97107	0.97303	0.98547
FXYD5	4	-0.24601	-1.654	0.49252	0.88628	0.098123	0.45658
Non-Targeting_Control-N86	1	0.10995	0.67235	0.67409	0.95353	0.50136	0.70535
PCDHA10	4	0.068999	0.83033	0.45856	0.8698	0.40635	0.63871
DAZ4	4	0.002869	0.024242	0.74539	0.9698	0.98066	0.98996
CHGB	4	-0.11928	-0.70497	0.80485	0.97967	0.48083	0.69667
IDI1	4	-0.59683	-1.4501	0.077661	0.41323	0.14704	0.45658
ELF4	4	0.070227	0.56381	0.45394	0.86673	0.57288	0.72463
SYTL4	4	0.19438	1.5031	0.087506	0.43814	0.13281	0.45658
CHRM2	4	0.14071	1.3378	0.2028	0.64409	0.18097	0.46119
CAPN11	4	0.058537	0.67661	0.50266	0.89044	0.49865	0.70456
PPHLN1	4	-0.10924	-1.4183	0.83767	0.98254	0.15611	0.45658
C17orf62	4	0.085156	1.6164	0.39348	0.83139	0.106	0.45658
CTF1	4	-0.19269	-1.35	0.61085	0.93621	0.177	0.45963
TERT	4	-0.10054	-0.64837	0.86332	0.9847	0.51675	0.70937
ALDH7A1	4	0.05744	0.61514	0.50733	0.89313	0.53846	0.71275
KRTAP3-3	4	0.22517	1.3429	0.051559	0.33004	0.17931	0.46054
C12orf60	4	0.011217	0.17915	0.71148	0.96384	0.85782	0.91878
ZNF750	4	0.053129	0.52159	0.52478	0.89938	0.60196	0.74423
PDK2	4	0.024357	0.32466	0.6543	0.94895	0.74543	0.84391
COX6A1	4	-0.37583	-1.6851	0.25735	0.71148	0.091964	0.45658
SIGLEC10	4	0.077287	1.4106	0.42574	0.85111	0.15835	0.45658
SGIP1	4	0.027155	0.25448	0.64197	0.94478	0.79913	0.88167
UHMK1	4	0.107	1.1314	0.31159	0.7638	0.25789	0.51498
PGAP1	4	0.074088	1.214	0.43817	0.85755	0.22475	0.49001
TAGLN3	4	0.0092276	0.072434	0.71978	0.96578	0.94226	0.96825
NFE2	4	0.010157	0.10957	0.71591	0.96463	0.91275	0.95036
BACE2	4	0.11592	0.78146	0.27982	0.73339	0.43453	0.66175
Non-Targeting_Control-N314	1	0.23594	0.63021	0.31442	0.7671	0.52856	0.7103
FAM214A	4	0.07241	0.78628	0.44454	0.86062	0.4317	0.65964
AP3D1	4	-0.031926	-0.35897	0.88853	0.98751	0.71962	0.82654
OR1A1	4	0.10856	1.0289	0.30602	0.75903	0.30353	0.55232
LAMTOR4	4	-0.62802	-2.3639	0.065977	0.37699	0.018083	0.20089
LRTM2	4	0.065254	0.51989	0.47362	0.87662	0.60314	0.74499
NDRG2	4	0.12192	1.0677	0.25983	0.71374	0.28563	0.53696
DFFA	4	0.081773	0.81878	0.4073	0.8415	0.41291	0.64465
SLC25A44	4	-0.09937	-1.2338	0.8672	0.98532	0.21726	0.48352
TNFRSF11B	4	0.040287	0.5976	0.58236	0.92346	0.5501	0.71558
OR52L1	4	0.072401	0.68103	0.44459	0.86062	0.49585	0.70323
ANKRD63	4	-0.1854	-1.4709	0.62815	0.94019	0.14132	0.45658
MROH2A	4	0.13209	1.2382	0.22607	0.67025	0.21564	0.48235
OSR2	4	0.080787	0.80992	0.41093	0.84268	0.41799	0.64846
NLRP4	4	0.082314	0.75543	0.40466	0.83968	0.44999	0.67352
C2CD4C	4	-0.083625	-0.66172	0.9198	0.99278	0.50815	0.70716
PNPLA1	4	-0.22375	-1.8	0.54119	0.90814	0.071857	0.45658
YBX2	4	0.040262	0.39186	0.58241	0.92346	0.69516	0.80875
RNF180	4	-0.048815	-0.9774	0.95321	0.99531	0.32837	0.57366
SH3PXD2A	4	0.04579	0.44503	0.55909	0.91558	0.65629	0.78186
TPRX1	4	0.21529	1.4044	0.060458	0.35891	0.16021	0.45658
Non-Targeting_Control-N110	1	0.18124	0.64826	0.45428	0.86697	0.51681	0.70937
RNF10	4	0.2541	1.3316	0.028489	0.22801	0.18298	0.46213
RERE	4	0.097928	0.95353	0.34401	0.7941	0.34032	0.58329
TWSG1	4	0.10981	1.1116	0.30189	0.75569	0.26629	0.52299
FLVCR2	4	0.13005	1.4086	0.23338	0.68286	0.15895	0.45658
DCUN1D2	4	-0.061761	-0.59506	0.99717	0.9992	0.5518	0.7163
