Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
TMPRSS2	6	-0.1991	-1.3877	0.54807	0.90469	0.16521	0.51778
TMPRSS3	6	-0.033198	-0.26068	0.95848	0.99122	0.79434	0.9108
TMPRSS4	6	0.020935	0.43434	0.78441	0.9774	0.66404	0.84181
TMPRSS5	6	0.25623	1.0046	0.17577	0.64479	0.31508	0.62734
TMPRSS6	6	0.068604	0.33751	0.624	0.93006	0.73573	0.87646
TMPRSS7	6	0.17633	1.8048	0.33532	0.80809	0.071109	0.46228
TMPRSS9	18	-0.052196	-0.46121	0.99659	0.99943	0.64465	0.83176
TPSAB1	6	-0.084573	-0.4649	0.86832	0.98362	0.642	0.83019
TPSB2	6	0.028388	0.23369	0.75995	0.97342	0.81522	0.92329
TPSD1	6	-0.24655	-1.237	0.44056	0.86392	0.21608	0.56027
TPSG1	6	0.048392	0.1967	0.69027	0.94768	0.84407	0.93649
TPP2	12	0.18185	1.5349	0.15586	0.61991	0.12481	0.48816
HTRA1	12	0.28436	1.998	0.035836	0.32225	0.04572	0.39304
HTRA3	12	0.096888	1.0346	0.36035	0.82211	0.30087	0.61683
HTRA4	12	0.21028	1.4475	0.10353	0.52443	0.14775	0.50858
HTRA2	12	-0.18959	-1.7096	0.43089	0.85836	0.087342	0.47326
IMMP1L	6	0.21954	1.3466	0.23635	0.72328	0.17811	0.52959
IMMP2L	6	0.18698	0.98198	0.30546	0.78821	0.32611	0.63524
SEC11A	12	0.14378	1.1327	0.22981	0.71378	0.25733	0.58618
SEC11C	6	0.27355	1.0656	0.15188	0.61806	0.28661	0.60844
CLPP	6	-0.070443	-0.34054	0.91382	0.98455	0.73345	0.87573
RHBDF1	6	-0.48989	-2.4309	0.10836	0.53278	0.015062	0.20932
RHBDF2	12	-0.076834	-0.58076	0.86974	0.98362	0.5614	0.7888
RHBDD2	6	-0.20796	-1.8185	0.52702	0.89908	0.068986	0.46131
PSMB10	6	0.21613	0.90892	0.24204	0.72985	0.36339	0.66408
PSMB7	6	-1.7085	-3.5446	0	0	0.00039326	0.017284
PSMB6	6	-1.221	-2.9062	0.00085324	0.024194	0.0036588	0.083535
PSMB9	6	-0.11027	-0.68273	0.7901	0.9774	0.49478	0.76479
PSMB5	6	-1.8338	-4.008	0	0	6.1247e-05	0.0044148
PSMB8	6	0.19445	0.89999	0.28754	0.77353	0.36812	0.66842
PSMB4	6	-1.5	-2.4422	0	0	0.0146	0.20932
PSMB3	6	-1.6779	-1.8095	0	0	0.070376	0.46228
PSMB2	6	-1.8089	-4.2694	0	0	1.96e-05	0.0020359
PSMB1	6	-1.1859	-2.3429	0.0011377	0.028777	0.019133	0.24199
PSMA7	6	-1.6092	-3.8548	0	0	0.00011582	0.0066758
PSMA8	6	0.18311	1.3436	0.31399	0.79539	0.17906	0.52959
PSMA6	6	-1.4721	-4.0778	0	0	4.5462e-05	0.0037173
PSMA5	6	-0.74433	-1.9095	0.012799	0.16544	0.056198	0.43365
PSMA4	6	-1.8897	-4.2549	0	0	2.0913e-05	0.0021009
PSMA3	6	-0.4895	-1.9353	0.10865	0.53278	0.052951	0.42506
PSMA2	6	-1.5351	-3.2252	0	0	0.0012588	0.039048
PSMA1	6	-1.4858	-3.3364	0	0	0.00084861	0.031032
TPP1	6	0.16563	1.4905	0.35893	0.82211	0.13609	0.50052
DPP10	6	0.54616	1.5654	0.0091013	0.12903	0.11749	0.48646
DPP4	6	0.34665	1.2062	0.077076	0.47049	0.22773	0.56909
DPP6	6	-0.095297	-0.53661	0.83532	0.97907	0.59154	0.79692
DPP8	6	-0.054754	-0.25936	0.96445	0.99152	0.79536	0.91089
DPP9	6	0.23912	1.8653	0.20392	0.68744	0.062145	0.44711
PREP	6	0.013915	0.41907	0.81058	0.9774	0.67516	0.84842
PCSK1	6	-0.018835	-0.2632	0.91411	0.98455	0.79239	0.9103
PCSK2	6	0.046176	0.30938	0.69824	0.95166	0.75703	0.8905
PCSK4	6	-0.15423	-0.92715	0.66837	0.94471	0.35385	0.65585
PCSK5	6	0.2808	1.5581	0.14249	0.60432	0.11921	0.48646
PCSK6	6	0.18005	0.78953	0.32395	0.79986	0.4298	0.71162
PCSK7	6	-0.018306	-0.12867	0.91155	0.98455	0.89762	0.96045
PCSK9	6	-0.28079	-1.7389	0.36974	0.82383	0.082061	0.47234
MBTPS1	6	-1.1909	-3.2886	0.00085324	0.024194	0.001007	0.033579
FURIN	6	3.4895	1.2304	0	0	0.21854	0.56258
PRSS16	6	0.11423	0.38173	0.49716	0.8867	0.70266	0.8603
DPP7	6	0.090353	0.66409	0.562	0.90851	0.50663	0.77058
PRCP	6	0.19837	0.99135	0.28043	0.77152	0.32151	0.63212
CPVL	6	0.057352	0.29629	0.66013	0.94465	0.767	0.89553
CTSA	6	-0.28861	-2.1137	0.35609	0.82187	0.034543	0.33737
SCPEP1	6	-0.26179	-1.7438	0.40984	0.84552	0.081192	0.47234
AGA	6	0.51538	1.5292	0.012799	0.16544	0.12621	0.48816
OVGP1	6	0.23079	1.0421	0.21843	0.70293	0.29738	0.61683
GGT1	6	-0.40932	-1.912	0.17861	0.64943	0.055879	0.43365
GGT5	12	0.091085	0.6896	0.38111	0.83178	0.49045	0.76302
GGT7	6	-0.10767	-0.68466	0.79693	0.9774	0.49356	0.76462
GGTLC2	6	-1.1698	-2.5319	0.0011377	0.028777	0.011344	0.19083
STEAP1	6	-0.091529	-0.53941	0.84954	0.98033	0.58961	0.79686
MEST	6	-0.098551	-0.62761	0.82565	0.97745	0.53026	0.7812
ABHD12	15	0.019047	0.15919	0.64818	0.93924	0.87352	0.95146
ABHD12B	12	-0.024765	-0.2341	0.89249	0.98437	0.81491	0.92329
ABHD13	6	0.2256	1.3867	0.22497	0.70942	0.16554	0.51778
ABHD17B	6	-0.11929	-0.77624	0.76564	0.97496	0.43761	0.71932
ABHD4	6	0.14973	1.4051	0.39647	0.83885	0.15998	0.51583
ABHD5	6	0.14779	0.71936	0.40159	0.84399	0.47192	0.74978
APEH	6	0.1326	0.59702	0.44511	0.86608	0.55049	0.78795
EPHX4	6	0.27133	1.6549	0.15501	0.61991	0.097936	0.47566
LACTB	6	-0.039646	-0.39058	0.98038	0.99711	0.69611	0.85783
ASRGL1	6	-0.23391	-1.137	0.46189	0.87253	0.25555	0.58618
FAP	6	0.14414	1.5583	0.41098	0.84552	0.11916	0.48646
EPHX1	6	0.17389	1.0936	0.33931	0.81156	0.27413	0.59915
LONP1	6	-1.6736	-3.6436	0	0	0.00026881	0.013127
LONP2	6	-0.11889	-0.75628	0.76706	0.97496	0.44948	0.7304
GGT2	6	0.24549	0.9862	0.19454	0.67389	0.32403	0.63294
HGF	6	0.15058	0.86944	0.39505	0.83885	0.38461	0.67971
KLK8	6	-0.13959	-1.1092	0.70876	0.95442	0.26734	0.5949
PLG	6	0.0033656	0.021746	0.84016	0.97912	0.98265	0.99596
PRSS2	6	0.037978	0.22429	0.72327	0.95783	0.82253	0.9275
RHBDL1	6	-0.023168	-0.13773	0.92747	0.98493	0.89045	0.95783
MASP2	6	0.26319	0.86809	0.16553	0.63468	0.38535	0.68
PARL	6	-0.038871	-0.19199	0.97867	0.99652	0.84775	0.93792
ATG4A	6	-0.027116	-0.25687	0.94141	0.98954	0.79728	0.91133
ATG4B	6	-0.16405	-0.92549	0.64221	0.93924	0.35471	0.65675
ATG4C	6	-0.16127	-0.97824	0.64932	0.93924	0.32796	0.63637
ATG4D	6	0.21897	1.3845	0.23777	0.72328	0.16621	0.51854
ATXN3	6	-0.11389	-1.0102	0.78129	0.97621	0.31239	0.62608
ATXN3L	6	0.32476	1.2207	0.091013	0.49844	0.22218	0.56439
BAP1	6	-0.40427	-2.1817	0.18487	0.65657	0.02913	0.30071
BLMH	6	-0.082351	-0.65691	0.8777	0.98437	0.51124	0.77251
CAPN1	6	0.16282	1.3191	0.36462	0.82211	0.18713	0.53885
CAPN10	6	-0.0088063	-0.058492	0.88481	0.98437	0.95336	0.98415
CAPN11	6	0.387	1.8158	0.049488	0.37744	0.069407	0.46131
CAPN12	6	-0.0039471	-0.023442	0.86604	0.98321	0.9813	0.99553
CAPN13	6	0.16566	1.035	0.35893	0.82211	0.30066	0.61683
CAPN14	6	-0.052961	-0.71456	0.96928	0.99417	0.47488	0.75278
CAPN2	6	-0.096334	-1.0776	0.83305	0.97907	0.28122	0.60365
CAPN5	6	-0.04199	-0.52591	0.99147	0.99943	0.59895	0.79917
