sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
KDM3A_e21_131.0,KDM3A,2030,4787,2757,2757,2757
PSMB5_792.92,PSMB5,641,743,102,102,102
ARID2_E3_98.2,ARID2,779,1576,797,797,797
MAP3K9_PKc_E5_68.2,MAP3K9,481,1111,630,630,630
SH3RF1_2667.442,SH3RF1,1338,2983,1645,1645,1645
IMMP2L_528.62,IMMP2L,1528,2232,704,704,704
MMP27_1542.151,MMP27,1717,3920,2203,2203,2203
UBE2F_558.52,UBE2F,573,1493,920,920,920
IRX6_E4_180.0,IRX6,1960,4244,2284,2284,2284
ABHD17B_882.53,ABHD17B,1623,3080,1457,1457,1457
ZSCAN31_E4_492.10,ZSCAN31,1783,3300,1517,1517,1517
ALK_PKc_E22_65.1,ALK,585,938,353,353,353
FOXP3_E11_102.1,FOXP3,5561,13829,8268,8268,8268
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,1012,2405,1393,1393,1393
FBXO48_468.6,FBXO48,612,1142,530,530,530
ARNTL2__158.7,ARNTL2,3672,11812,8140,8140,8140
ZNF75D_E7_405.21,ZNF75D,2060,4435,2375,2375,2375
RNF180_1779.95,RNF180,782,1721,939,939,939
IPP_BTB28134_E1_1755.152,IPP,1193,2069,876,876,876
CRAMP1_SANT_E2_48.2,CRAMP1,503,745,242,242,242
TYK2_PKc_E18_135.4,TYK2,293,795,502,502,502
SOCS2_597.39,SOCS2,1189,2479,1290,1290,1290
USP17L2_1593.179,USP17L2,2242,6725,4483,4483,4483
ZFP2_E5_1059.49,ZFP2,3108,9017,5909,5909,5909
NFIL3_E2_156.5,NFIL3,1809,2778,969,969,969
MMP26_786.44,MMP26,2316,4957,2641,2641,2641
ADAMTS13_4284.886,ADAMTS13,1325,3100,1775,1775,1775
RFX6_E4_62.7,RFX6,1242,2633,1391,1391,1391
KDM4B_tudor9751030_E1_3291.35,KDM4B,323,604,281,281,281
PRKCB_PKc_E5_55.3,PRKCB,1260,2577,1317,1317,1317
UBE4A_3201.25,UBE4A,996,1908,912,912,912
BRWD3_BD_e32_126.5,BRWD3,1409,2634,1225,1225,1225
VPS11_2825.164,VPS11,1290,3261,1971,1971,1971
PRSS1_744.88,PRSS1,1389,2542,1153,1153,1153
PIAS4_E9_132.3,PIAS4,975,1654,679,679,679
TOX4_E5_144.1,TOX4,2529,4178,1649,1649,1649
TRIM38_1398.156,TRIM38,1376,2674,1298,1298,1298
USP38_3129.204,USP38,758,1063,305,305,305
PIAS2_E9_129.8,PIAS2,3113,8118,5005,5005,5005
PIAS2_1866.123,PIAS2,3113,8118,5005,5005,5005
FBXO34_3,FBXO34,1205,2280,1075,1075,1075
MIER3_E10_81.1,MIER3,2021,4326,2305,2305,2305
MIER3_SANT_E10_87.1,MIER3,2021,4326,2305,2305,2305
ARID4A_E13_95.1,ARID4A,1097,2041,944,944,944
ANAPC7_1800.61,ANAPC7,579,1032,453,453,453
KMT2C_e58_117.5,KMT2C,6104,14944,8840,8840,8840
KMT2C_14736.745,KMT2C,6104,14944,8840,8840,8840
CDK9_e4.2,CDK9,5472,5698,226,226,226
STKLD1_PKc_E3_45,STKLD1,689,1243,554,554,554
T_E3_265.10,T,1707,4113,2406,2406,2406
RXRG_E4_180.16,RXRG,2921,8391,5470,5470,5470
ASB7_957.59,ASB7,633,1386,753,753,753
SNAPC4_SANT4_E14_68.5,SNAPC4,744,1308,564,564,564
TDRD15_Tudor_E4_336.8,TDRD15,904,1897,993,993,993
ZNF844_E4_318.18,ZNF844,1787,2590,803,803,803
NCOR2_E19_95.0,NCOR2,1210,3241,2031,2031,2031
NCOR2_SANT2_E19_101.0,NCOR2,1210,3241,2031,2031,2031
USP2_1818.109,USP2,667,1068,401,401,401
STK32B_PKc_E8_117.15,STK32B,498,898,400,400,400
ADNP_E6_126.3,ADNP,2679,4127,1448,1448,1448
ZNF660_E3_825.44,ZNF660,2977,6154,3177,3177,3177
PRMT5_e12_106.3,PRMT5,1593,1938,345,345,345
PSMA2_705.42,PSMA2,859,935,76,76,76
GGT7_1989.233,GGT7,652,1081,429,429,429
FBXO40_5,FBXO40,574,1548,974,974,974
SH3RF2_2190.404,SH3RF2,665,1538,873,873,873
SETDB1_E13_186.3,SETDB1,896,1164,268,268,268
neg69,neg69,1894,2735,841,841,841
ADAM18_39.0,ADAM18,1167,1861,694,694,694
UBE2E2_606.51,UBE2E2,321,575,254,254,254
HMGB2_E2_126.14,HMGB2,2134,5153,3019,3019,3019
CREB3_E6_67.3,CREB3,1344,2298,954,954,954
PMS1_E9_143.2,PMS1,2161,4838,2677,2677,2677
SPZ1_E1_66.1,SPZ1,3848,9001,5153,5153,5153
ZNF449_E5_573.1,ZNF449,502,639,137,137,137
UNCX_E2_135.0,UNCX,3511,6391,2880,2880,2880
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,1391,2540,1149,1149,1149
