"","sgRNA","Gene","mergeD0","Vaco.Ts13.final"
"4182",110403610,"ANAPC7",3456.49703138253,1445
"4183",110404846,"DDO",3855.85496183206,924
"4184",110406338,"LAMTOR5",1321.34944868533,150
"4186",110407700,"LAMTOR5",851.851569126378,210
"4187",110407746,"LAMTOR5",5669.26463104326,451
"4188",110411480,"SVEP1",4479.60220525869,697
"4189",110413379,"DDO",2572.93214588634,804
"4190",110413438,"DDO",5770.24257845632,1005
"4191",110430216,"FDX1",549.52417302799,17
"4192",110430289,"FDX1",747.956743002544,698
"4193",110435870,"FDX1",454.155216284987,86
"4194",110436606,"ARPC3",1193.84139100933,156
"4195",110436646,"ARPC3",269.70737913486,1
"4196",110442340,"SLC22A16",10134.2536047498,539
"4197",110443583,"SVEP1",4127.96268023749,870
"4198",110445457,"ARPC3",310.373197625106,118
"4199",110445514,"ARPC3",2222.89821882952,359
"4200",110451078,"RGAG1",2210.59711620017,372
"4201",110451233,"PROK1",3262.31806615776,651
"4202",110451255,"PROK1",7456.33333333333,1906
"4203",110451510,"RGAG1",3909.62595419847,648
"4204",110452020,"RGAG1",3368.43172179813,615
"4205",110452720,"RGAG1",364.567430025445,499
"4206",110453983,"PROK1",1512.70229007634,911
"4207",110454045,"PROK1",2541.90670059372,431
"4208",110455629,"SVEP1",2554.15012722646,608
"4209",110455874,"GPN3",4168.72858354538,988
"4210",110456571,"SLC22A16",2733.9262086514,1019
"4211",110456669,"SLC22A16",6665.28159457167,1753
"4212",110456926,"SLC22A16",6888.98812553011,1443
"4213",110456939,"FDX1",1824.75063613232,3
"4214",110465151,"GPN3",659.750636132316,488
"4215",110465199,"GPN3",650.522476675148,1
"4216",110465521,"COL4A2",559.156912637829,1
"4217",11046587,"MASP2",3511.08651399491,586
"4218",110468955,"FAM216A",457.793893129771,153
"4219",110468988,"SVEP1",9238.05513146734,1699
"4220",11046910,"MASP2",1162.69296013571,111
"4221",110472677,"LIMS3L",1744.94147582697,258
"4222",110472700,"LIMS3L",2742.0203562341,418
"4223",110472719,"LIMS3L",3329.95843935539,983
"4224",110472759,"LIMS3L",4040.43596268024,152
"4225",110472946,"COL4A2",7917.53011026293,969
"4226",110477016,"ENPEP",2216.46564885496,828
"4227",110482653,"COL4A2",625.373197625106,331
"4228",110485802,"COL4A2",3813.6064461408,396
"4229",110486344,"FAM216A",3072.36386768448,1157
"4230",110486562,"FAM216A",2888.21289228159,419
"4231",110491092,"ENPEP",2505.97031382528,585
"4232",110493123,"VPS29",2051.05682782019,365
"4233",110496168,"VPS29",824.41475826972,12
"4234",110498456,"DUSP5",1126.2417302799,362
"4235",110502739,"DUSP5",2399.24512298558,762
"4236",110502865,"DUSP5",8288.52756573367,815
"4237",110505680,"RAD9B",1579.5614927905,423
"4238",110507053,"DUSP5",5966.57760814249,1311
"4239",110509770,"ENPEP",3139.10432569975,528
"4240",110512874,"RAD9B",5377.75148430874,1699
"4241",110515152,"RAD9B",3614.50466497031,387
"4242",110517951,"KCNA10",1907.2866836302,726
"4243",110518377,"KCNA10",2120.67345207803,337
"4244",110518697,"KCNA10",1495.57760814249,373
"4245",110520286,"ENPEP",1707.5326547922,662
"4246",1105226,"GPX4",190.373197625106,96
"4247",110523961,"RAB20",4893.89906700594,1438
"4248",110524040,"RAB20",6451.7582697201,199
"4249",110524121,"RAB20",4012.40203562341,1008
"4250",1105279,"GPX4",1192.48685326548,212
"4251",110535530,"RGPD6",3537.87446988974,771
"4252",1105419,"GPX4",2985.87446988974,895
"4253",110543419,"RGPD6",2282.65733672604,282
"4254",110544722,"RGPD6",3925.02544529262,360
"4255",110546012,"PPTC7",1726.9219677693,122
"4256",110546929,"RGPD6",1441.52502120441,1
"4257",110551848,"PPTC7",1026.80831212892,374
"4258",110561442,"RAB20",4582.80661577608,394
"4259",11056609,"SRM",1136.94741306192,95
"4260",11056685,"SRM",327.821034775233,335
"4261",1105692,"GPX4",6276.04749787956,1334
"4262",110577439,"SMC3",117.721798134012,235
"4263",110580939,"ARHGAP20",2516.1272264631,185
"4264",110580986,"SMC3",490.373197625106,123
"4265",110582860,"PPTC7",1416.68956743003,128
"4266",110582919,"PPTC7",429.361323155216,477
"4268",110583709,"ARHGAP20",8281.94910941476,1747
"4269",11058805,"SRM",6745.98897370653,1303
"4270",110592047,"ARHGAP20",6615.50975402884,1333
"4271",11059302,"SRM",1166.84478371501,175
"4272",110593194,"SMC3",10.6123833757422,1
"4273",110604199,"KCNA2",2575.4877014419,603
"4274",110604275,"KCNA2",8064.44614079729,1689
"4275",110604383,"KCNA2",1635.37404580153,1036
"4276",110604535,"KCNA2",5256.42578456319,1058
"4277",110606238,"TMEM232",1979.79643765903,724
"4278",110606643,"ARHGAP20",2443.63019508058,1164
"4279",11060948,"CLEC16A",5129.54028837998,209
