Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
TAOK3	4	-0.032897	-0.19412	0.89321	0.98079	0.84608	0.91754
SRPK1	4	-0.08256	-0.65109	0.95774	0.99146	0.51499	0.73926
FAM155A	4	0.047167	0.59963	0.63906	0.92524	0.54875	0.74862
TCEANC2	4	0.15167	1.5539	0.33424	0.79337	0.12022	0.53615
DCTN2	4	-1.3544	-3.3691	0.004027	0.066612	0.00075415	0.033634
ERICH6	4	0.085631	0.69095	0.51735	0.88637	0.4896	0.72752
ZNF334	4	-0.37841	-1.1875	0.34608	0.80028	0.23502	0.55057
LOC101060321	4	-0.79836	-1.8152	0.054788	0.36379	0.069499	0.48981
SERPINB9	4	0.17044	1.0247	0.28935	0.76118	0.3055	0.59357
RPL19	4	-2.8704	-4.6544	0	0	3.2496e-06	0.0010213
ZNF615	4	0.25829	0.78537	0.12916	0.56064	0.43224	0.68855
CLEC3A	4	0.14065	0.96813	0.36293	0.81243	0.33298	0.61293
STRIP1	4	-1.106	-2.9377	0.013125	0.14798	0.0033067	0.087978
PFN4	4	0.14734	1.1695	0.34493	0.79917	0.2422	0.55468
AGAP1	4	-0.020345	-0.36871	0.85378	0.9738	0.71234	0.83604
PIPOX	4	-0.2904	-2.1218	0.48275	0.8743	0.033851	0.33757
ANKRD13B	4	-0.20302	-1.1157	0.65193	0.93042	0.26456	0.56515
ZDHHC12	4	-0.29282	-1.5139	0.47857	0.87276	0.13005	0.53615
LCE1E	4	0.096307	0.92813	0.4831	0.8743	0.35334	0.62773
POLE	4	-1.7067	-2.4026	0.00074575	0.020353	0.016278	0.22322
TRAPPC3L	4	0.10911	0.6881	0.4469	0.85941	0.49139	0.72895
HLA-E	4	-0.072501	-0.5583	0.98782	0.99644	0.57664	0.75445
DR1	4	-1.6259	-3.0957	0.0012429	0.029727	0.0019635	0.06319
ARV1	4	-0.15317	-0.7906	0.76912	0.95986	0.42918	0.68597
TEX13B	4	0.11016	0.52388	0.44432	0.85801	0.60036	0.76531
SLC4A1AP	4	0.18717	1.2443	0.25271	0.72773	0.21339	0.54268
DIRAS3	4	0.17828	1.4788	0.2717	0.74761	0.13921	0.53615
CARD18	4	-0.074762	-0.40147	0.9816	0.99596	0.68808	0.82034
