Gene	sgRNA	Ts8|beta	Ts8|z	Ts8|p-value	Ts8|fdr	Ts8|wald-p-value	Ts8|wald-fdr
TMPRSS11B	6	-0.034315	-0.60773	0.95037	0.99285	0.54337	0.73243
ZNF212	6	0.053623	1.1668	0.50884	0.8135	0.2433	0.49246
PBX1	7	0.0016657	0.012484	0.72561	0.91136	0.99004	0.9983
NFATC3	6	0.10597	1.142	0.28779	0.68368	0.25345	0.50316
EN1	6	0.089318	1.5315	0.34797	0.71857	0.12564	0.36454
PBRM1	49	0	0	0.34541	0.71857	1	1
CUL3	16	-0.48823	-3.3587	0.0019966	0.035176	0.00078306	0.019751
NR2E3	6	0.18076	1.6833	0.096691	0.44488	0.092316	0.33711
ZIC5	7	0.017848	0.089946	0.62978	0.87803	0.92833	0.96322
HSFX2	6	0.025577	0.37319	0.64347	0.88194	0.70901	0.83667
DPP8	5	0.16742	1.4999	0.16743	0.56065	0.13365	0.37188
PRSS36	17	-0.06146	-0.82793	0.99173	0.99714	0.40771	0.64224
neg40	1	0.28185	0.61534	0.31489	0.69628	0.53833	0.73087
KCNA6	6	-0.099602	-0.98408	0.75442	0.92128	0.32508	0.57277
KDM4A	31	-0.042222	-0.76179	0.79293	0.93666	0.44618	0.6726
MEP1A	6	-0.032863	-0.30491	0.94495	0.99193	0.76043	0.87098
ADNP	6	-0.19698	-1.9233	0.42356	0.76035	0.054445	0.30414
ZNF639	5	0.022906	0.42255	0.68796	0.90086	0.67263	0.81346
LONP2	6	-0.12935	-1.2694	0.63548	0.87899	0.20429	0.45504
ZBTB20	11	-0.11071	-2.1965	0.67513	0.89388	0.028054	0.24192
HSF1	7	-0.65783	-3.0342	0.0068454	0.083916	0.002412	0.046721
ZNF563	6	0.33729	1.8278	0.0037079	0.053061	0.067578	0.31407
SPOPL	6	0.22298	1.6347	0.045066	0.29098	0.10211	0.34489
SEC11A	2	-0.026855	-0.19386	0.96292	0.99441	0.84628	0.92047
ATF2	12	0.044871	0.69201	0.36338	0.73303	0.48893	0.703
KDM4B	33	-0.071247	-1.4333	0.8996	0.97436	0.15178	0.39546
ESX1	6	0.10456	1.0178	0.29293	0.68467	0.30875	0.55512
ZNF354A	6	0.24104	1.6496	0.031375	0.23061	0.099023	0.34171
LACTB	6	-0.14001	-0.95221	0.5984	0.87025	0.34099	0.58372
POU4F3	6	0.17878	1.4319	0.099544	0.44859	0.15217	0.39577
TRIM59	8	0.083174	1.3925	0.30519	0.69345	0.16378	0.40831
USP16	12	-0.19308	-3.0182	0.30576	0.6943	0.0025424	0.048709
SKP2	16	-0.53785	-3.7929	0.00028523	0.0062112	0.00014891	0.0056749
ZNF382	6	0.20463	1.8992	0.062464	0.34537	0.057545	0.30661
NHLRC1	10	-0.089941	-0.86671	0.79778	0.93985	0.3861	0.62324
LMX1B	6	0.17881	1.6844	0.099544	0.44859	0.092113	0.33711
UBE2G1	8	0.18739	1.8648	0.051626	0.31153	0.062211	0.31407
ADAMTS14	6	0.074279	0.7202	0.41015	0.75314	0.4714	0.69181
KDM4C	34	0.16273	3.8927	0.0031375	0.047414	9.914e-05	0.004345
NPEPL1	6	0.11221	1.2703	0.26326	0.65788	0.20397	0.45462
AMBRA1	10	0.036878	0.71737	0.44638	0.77932	0.47315	0.69321
ZNF317	6	0.029065	0.28597	0.6275	0.87803	0.7749	0.88093
MPND	6	-0.22516	-2.0416	0.35739	0.72512	0.041189	0.29233
ZNF541	5	-0.084362	-0.7725	0.82487	0.95257	0.43982	0.66753
RFX7	6	0.047646	0.89824	0.53651	0.83267	0.36905	0.60939
KDM5A	28	-0.019325	-0.44088	0.58728	0.86318	0.6593	0.804
ZNF302	6	0.010767	0.18852	0.72248	0.91136	0.85047	0.92086
ZCWPW1	12	0.022491	0.18945	0.47804	0.79819	0.84974	0.92086
