Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
FGF4	4	0.099366	1.2655	0.51253	0.92941	0.20568	0.60247
CCDC132	4	-0.055359	-0.67068	0.98215	0.99879	0.50243	0.75075
LRRC37B	4	0.30165	1.4349	0.095366	0.57249	0.15133	0.60247
KRT19	4	0.44075	1.4431	0.017403	0.21712	0.14899	0.60247
PEX11B	4	-0.50669	-1.8856	0.15434	0.69096	0.059349	0.53926
OR14I1	4	0.056312	0.88925	0.65031	0.95962	0.37387	0.67542
IKBKG	4	-0.075222	-0.64353	0.9199	0.99308	0.51988	0.75567
ALAD	4	-0.21157	-1.131	0.55723	0.94014	0.25804	0.61112
LRIG1	4	-0.02462	-0.41518	0.92184	0.9933	0.67801	0.82428
PSMD3	4	-1.7112	-2.9647	0.00024861	0.011468	0.0030298	0.11099
TRPM7	4	-0.63654	-1.4565	0.081891	0.5318	0.14526	0.60247
SELE	4	-0.0046038	-0.025188	0.85501	0.98654	0.97991	0.99118
OIP5	4	-0.34391	-1.1941	0.32314	0.85234	0.23243	0.60476
MYO3B	4	0.032839	0.61376	0.72768	0.97191	0.53938	0.75994
TRIM56	4	-0.13311	-0.6417	0.74945	0.97377	0.52107	0.75606
RHOG	4	-0.54625	-1.7387	0.12664	0.64011	0.082086	0.60247
STRN4	4	-0.26782	-1.1526	0.44282	0.90525	0.24907	0.60793
MNT	4	0.50022	1.1379	0.007856	0.13069	0.25515	0.61034
FAM209B	4	0.047467	0.27075	0.67895	0.96388	0.78658	0.88681
UNC45B	4	0.034732	0.3391	0.72156	0.97045	0.73453	0.8561
CPN1	4	0.31507	1.0846	0.082339	0.53368	0.2781	0.6212
ZNF586	4	-0.0034688	-0.023205	0.85049	0.9863	0.98149	0.99166
GP1BA	4	0.19109	1.0568	0.27049	0.82603	0.29061	0.62619
TWF1	4	-0.18661	-0.63813	0.61237	0.9569	0.52339	0.75712
SIX2	4	-0.0084781	-0.055291	0.86779	0.98708	0.95591	0.97943
FAM171A2	4	-0.091694	-0.51593	0.86814	0.98708	0.6059	0.77825
MORC1	4	-0.17616	-0.91731	0.63644	0.9574	0.35898	0.66635
CRACR2A	4	0.40678	1.3732	0.027645	0.28928	0.1697	0.60247
ROCK1	4	-0.088303	-1.513	0.87868	0.98787	0.13027	0.60247
GLIPR1	4	-0.30839	-1.2591	0.37734	0.87899	0.20798	0.60247
CAMK1D	4	0.2347	0.67758	0.18606	0.74036	0.49804	0.74942
JOSD1	4	-0.22609	-1.3754	0.52451	0.93273	0.169	0.60247
FLNA	4	0.26787	1.145	0.13415	0.65581	0.2522	0.60943
GBGT1	4	-0.18689	-1.3197	0.61182	0.9569	0.18695	0.60247
C7orf60	4	0.32027	0.90701	0.077516	0.51639	0.3644	0.6693
CPXM1	4	0.14375	0.88658	0.38201	0.87997	0.3753	0.67661
ZFP28	4	0.21937	1.4347	0.2136	0.77614	0.15137	0.60247
FAM127A	4	0.36462	1.1372	0.047086	0.39508	0.25546	0.61034
USP17L28	4	-0.51226	-1.4057	0.15001	0.68196	0.15981	0.60247
ANP32E	4	-0.31553	-1.3016	0.3656	0.87403	0.19306	0.60247
C12orf77	4	0.27518	0.76244	0.12435	0.63461	0.4458	0.72238
TPCN1	4	0.023508	0.14414	0.75945	0.97467	0.88539	0.94232
