108157552	SLC25A24	558	1623
7867646	FASTKD3	988	3205
114575706	BCAS2	630	1189
99255304	GPR18	333	990
56577092	ZNF470	402	1636
67514079	CENPC	207	345
57434100	CIAPIN1	320	2177
95003616	NDUFA12	149	601
114065325	QTRTD1	236	686
67558888	STAP1	526	2109
88131108	ABCG2	979	3447
24999402	ENKUR	497	2189
201781107	NAV1	815	3214
108584520	COL4A5	221	828
27858534	RBKS	417	1647
127943981	MFSD8	546	1475
66129037	LLPH	255	577
206965821	FCAMR	795	3120
36894008	STRN	596	1752
13316574	TBC1D7	327	1250
26597977	ABT1	401	823
26199608	HIST1H2BF	517	1577
4069763	FAM217A	347	1235
172555897	SUCO	334	1441
73485895	AFM	513	1812
206116391	AVPR1B	220	731
56443818	MNS1	1183	4217
59503899	OR4D11	512	2580
20990594	METTL17	210	549
56074126	RPS20	393	485
94367787	MCTP2	252	822
99731064	CYP3A7-CYP3A51P	738	2468
99779997	CYP3A4	337	984
7313750	SYT9	408	1915
32953556	CCR4	503	1840
64616015	CYP7B1	961	3783
167340151	TTLL2	1162	4532
78118079	PGK1	824	1726
161306752	MPZ	590	2020
99900985	EML1	630	1602
74067385	ALDH6A1	465	1303
19806062	ZNF506	443	1193
53973604	HOXC11	514	1988
24748923	PIWIL3	471	2273
151102964	RPS3A	1239	1261
158398976	OR10T2	941	3866
53254417	TSHZ2	250	556
111912687	TRPC5	783	2289
32310903	KIF3B	223	1348
9938100	CRELD1	479	1895
229305138	SPHAR	265	1022
132588876	RAD50	627	892
48762584	CEP152	1087	2587
37499841	CCDC167	189	384
64989780	BATF2	325	1378
96208864	SLC25A13	868	3464
74041731	LRRIQ3	502	2230
35620153	FKBP5	363	1744
7828711	SLC2A14	525	1850
58211393	ACTR10	328	680
67404319	ETAA1	547	1738
123630254	EIF2B1	538	1140
122404319	FAM162A	539	1358
8097339	EEF1E1	306	1100
128335639	RBM28	863	1691
174303759	CEP44	504	2135
89113685	TIGD2	636	2731
63873259	CSH2	732	1674
78957338	NRXN3	328	725
102175664	PARPBP	464	1284
1N	Non-Targeting_Control	1063	4448
6197740	RPL22	636	1547
113759322	CAMK2D	445	1883
48306705	OR4S1	725	2717
147654261	ACP6	162	658
184732933	EDEM3	847	2516
29282556	EWSR1	368	713
52238880	IL17F	574	2471
107558114	COG5	331	1090
104491111	CXXC4	339	1856
144074733	OR2A25	609	2760
145446	DEFB126	305	788
87257668	ZNF292	478	1770
50015947	KCNRG	478	1435
139259366	UBN2	627	2144
36815199	PVALB	602	1937
55598538	SMEK2	565	1876
1288853	CSF2RA	623	2735
41907088	C2CD2	778	3769
179377149	MFN1	500	2719
44427668	NUDCD3	916	2093
145827838	TMEM257	867	3846
100380718	SLC17A8	629	2209
122303705	FEZF1	368	1527
8751483	NXPH1	643	2316
109781485	MAN2A1	1229	5030
38596193	ANKRD18A	661	3050
57064687	TMEM194A	363	722
138742713	PIK3CB	951	3334
200949619	ORC2	861	2406
7488154	OLFML1	831	3569
77278836	CCDC146	359	1435
116325348	CCDC172	576	1824
168512408	PALLD	1046	4130
84194968	CEP162	587	2081
64507873	RGS7BP	735	2412
17814958	NCAPG	740	156
48694402	CCNT1	541	1897
30653465	GTF2E2	594	1705
54337979	LILRA4	1141	4476
883408	GAK	998	2058
28113038	ELP3	720	2892
158804327	DAPL1	677	2101
59565052	CCDC175	595	1897
59315307	DAAM1	638	2316
75265348	GOLGA6C	708	2434
231187524	LOC149373	322	1660
49368470	RHOA	501	1181
219505273	GMPPA	613	2907
99691138	CYP46A1	1194	4886
125057961	RNF217	745	2117
42644183	MTA3	441	1174
101429914	ALDOB	355	694
133121417	ZNF891	1158	4303
32954067	CCR4	1007	3000
16693171	CTPS2	341	934
2N	Non-Targeting_Control	709	3022
78589853	CHRNA5	1163	4083
13751287	OFD1	859	2496
122663471	CADPS2	315	950
172659447	FASLG	341	1048
124570402	OR8A1	919	2844
3N	Non-Targeting_Control	877	2914
53073606	FBXO9	467	1534
112247467	HECTD4	371	1067
154437717	LOC100144595	804	2767
111555286	LAYN	1257	4682
48581862	STON1	738	3306
22409946	SLC39A14	512	1616
107167690	NUP62CL	1432	6327
103253934	TCEAL8	372	1197
27520052	GABRG3	807	2839
9961308	GRHL1	675	3372
41771670	JUP	998	3892
183897868	RGL1	687	2882
56466920	OGFOD1	614	2349
144096428	CYC1	818	1237
7730092	ITIH2	836	3778
23918572	RPL15	900	500
99210275	ADH6	1334	6665
93574729	SOCS2	816	4768
82152347	EFTUD1	469	2455
153057351	PNMA3	1170	4097
33455815	ZBTB9	553	1556
100246840	CWF19L1	640	1094
61300236	CLVS1	234	874
53426373	RIBC1	948	3404
10213330	IRAK2	1031	4422
74515698	TLX2	228	889
47365821	ITFG1	446	1291
73297226	RDH10	1362	4696
13043198	FAM9C	697	2961
94035430	ARL13B	653	1959
169674607	CCDC173	266	718
106009912	MSANTD4	405	1776
