Gene	sgRNA	7qDi|beta	7qDi|z	7qDi|p-value	7qDi|fdr	7qDi|wald-p-value	7qDi|wald-fdr
FBRSL1	4	0.040649	0.73556	0.51193	0.94755	0.462	0.70688
GPR34	4	0.13667	1.4957	0.085612	0.58973	0.13474	0.51558
SMYD5	4	-0.13141	-1.5153	0.52973	0.95321	0.12968	0.51558
STYK1	4	0.047518	0.59801	0.46798	0.94199	0.54983	0.72543
TOMM6	4	-0.092886	-1.4104	0.66675	0.96763	0.15844	0.51558
C17orf112	4	0.13542	1.7036	0.088844	0.60263	0.088458	0.51558
DEGS2	4	-0.040082	-0.86449	0.93572	0.99393	0.38732	0.65034
S100PBP	4	-0.017016	-0.38987	0.91444	0.99155	0.69664	0.82721
CD2	4	-0.033762	-0.50568	0.97494	0.99595	0.61308	0.77231
SULT2B1	4	0.14562	1.719	0.067515	0.52392	0.085621	0.51558
SCARB2	4	0.039063	1.5104	0.52133	0.94905	0.13095	0.51558
RAB40A	4	-0.14351	-1.9921	0.49349	0.94493	0.04636	0.51558
HDGF	4	-0.024841	-0.46477	0.96808	0.99595	0.64209	0.792
NEU3	4	0.14621	1.5069	0.065974	0.51775	0.13185	0.51558
POTEB	4	-0.28244	-1.3337	0.24182	0.83885	0.18231	0.51927
WDR41	4	-0.0082378	-0.26811	0.85269	0.98846	0.78861	0.88144
GALNT7	4	0.076072	1.255	0.30213	0.89055	0.20949	0.53063
CECR5	4	0.014693	0.24097	0.69225	0.96877	0.80958	0.89426
NBL1	4	-0.0075971	-0.095022	0.84861	0.98846	0.9243	0.95936
PHLDB3	4	0.02895	0.44495	0.59272	0.9627	0.65636	0.80138
CNOT11	4	-0.43728	-2.2838	0.10078	0.63166	0.022386	0.50649
PGP	4	-0.14002	-1.3319	0.50308	0.94581	0.1829	0.51927
N4BP1	4	0.017219	0.365	0.67465	0.96877	0.71511	0.83895
UPK2	4	0.049223	1.3803	0.45744	0.94053	0.16748	0.51558
ATP6V1H	4	-0.17553	-0.86984	0.41543	0.92749	0.38439	0.64788
C7orf61	4	-0.15204	-1.8444	0.47082	0.94199	0.06512	0.51558
LLPH	4	-0.15773	-1.0045	0.45719	0.94053	0.31512	0.59822
PKD2L1	4	-0.049704	-0.72961	0.88038	0.98867	0.46563	0.70908
LYNX1	4	0.036335	0.69651	0.54082	0.95638	0.48611	0.71148
TCEB3C	4	-0.25458	-1.9173	0.27866	0.87822	0.055198	0.51558
MICU1	4	0.059528	0.48711	0.39321	0.92321	0.62618	0.78111
ART3	4	0.089003	1.3098	0.2374	0.83596	0.19025	0.52206
C11orf98	4	-0.054975	-1.048	0.8515	0.98846	0.29462	0.58479
COL5A3	4	0.078274	1.2199	0.29049	0.88445	0.22249	0.53847
CASC10	4	0.18284	1.6502	0.022422	0.2803	0.098912	0.51558
PDXK	4	-0.093133	-0.88423	0.66561	0.96763	0.37657	0.64193
FGFRL1	4	0.038583	0.80264	0.52456	0.95038	0.42218	0.67635
ZNF684	4	-0.087987	-1.0688	0.68793	0.96877	0.28518	0.57844
PLCXD2	4	-0.0019546	-0.049726	0.8075	0.98491	0.96034	0.97893
IGSF23	4	-0.016714	-0.21201	0.91245	0.99155	0.8321	0.90714
GPX7	4	0.080295	1.3557	0.2809	0.87916	0.17518	0.51652
HIST1H2BG	4	0.11876	1.5056	0.12926	0.69002	0.13217	0.51558
PPIP5K2	4	-0.013806	-0.18418	0.89331	0.99074	0.85388	0.91912
NDRG1	4	-0.0057236	-0.16426	0.83415	0.98846	0.86953	0.92837
NPY5R	4	0.1752	1.4689	0.029035	0.32995	0.14187	0.51558
IL3RA	4	0.13707	1.207	0.084767	0.58732	0.22742	0.54191
DIMT1	4	-1.0532	-2.9191	0.0020881	0.061314	0.0035102	0.22187
POGK	4	-0.067127	-0.9937	0.78617	0.98379	0.32037	0.602
TFPT	4	-0.188	-1.8775	0.38938	0.92185	0.060454	0.51558
SCGB1C2	4	-0.24139	-1.8941	0.2978	0.88738	0.058206	0.51558
CDK6	4	-0.14359	-1.629	0.49339	0.94493	0.10331	0.51558
NPIPA8	4	-0.51991	-1.7469	0.055384	0.47284	0.080663	0.51558
ZC3H6	4	-0.11283	-1.5554	0.58899	0.96238	0.11986	0.51558
C11orf52	4	0.029003	0.49108	0.59217	0.9627	0.62337	0.77932
FAIM3	4	0.048341	1.0552	0.46266	0.94193	0.29131	0.58309
