Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
KLHL26	6	-0.22562	-1.3678	0.3514	0.77	0.17137	0.44805
neg22	1	0.21599	0.63673	0.44723	0.81159	0.5243	0.7306
ZNF598	15	-0.077165	-1.4329	0.84683	0.96564	0.15189	0.43136
PHF21A	6	-0.19212	-1.1867	0.43041	0.8035	0.23536	0.50937
ADAM29	5	0.039336	0.50489	0.64005	0.90813	0.61363	0.7734
PRKACA	6	-0.3368	-1.8963	0.16258	0.57172	0.057922	0.35195
PPARD	6	0.047735	0.68705	0.55277	0.86239	0.49205	0.71534
HIVEP1	6	-0.18333	-1.2532	0.45351	0.81559	0.21013	0.47674
PHF2	12	-0.045754	-0.41205	0.94894	0.98724	0.6803	0.81655
RNF152	8	0.17647	1.4555	0.065602	0.36683	0.14552	0.428
HOXA13	6	-0.01455	-0.2267	0.87022	0.96919	0.82065	0.90504
GZMK	6	-0.043936	-0.57135	0.98659	0.99654	0.56776	0.74525
RAB40B	14	-0.19624	-2.3163	0.25813	0.69296	0.020541	0.20467
LZTR1	12	0.023387	0.32739	0.50884	0.84126	0.74337	0.85914
ZNF354C	6	0.016004	0.17344	0.71306	0.93118	0.8623	0.92781
ZBED3	6	0.21977	1.4986	0.054193	0.32815	0.13398	0.41387
TRAF2	12	-0.25489	-2.615	0.15402	0.55328	0.0089219	0.11491
MAP3K9	6	0.01819	0.31347	0.70308	0.92868	0.75392	0.8659
IRF2BP2	7	-0.072165	-0.85432	0.87479	0.96996	0.39293	0.64045
KMT2E	6	0.077088	0.57548	0.41301	0.7943	0.56497	0.74282
RFPL4A	7	-0.088606	-0.9939	0.78865	0.95924	0.32027	0.58514
TBX21	7	-0.11484	-1.5161	0.67798	0.92418	0.12949	0.4079
OTX2	6	0.17669	1.4409	0.1158	0.48449	0.14961	0.43058
USP13	6	0.10875	0.92934	0.29521	0.73093	0.35271	0.60797
PSMA7	6	-2.007	-5.225	0	0	1.742e-07	1.9291e-05
IRX5	6	0.052573	0.99755	0.52539	0.85127	0.3185	0.58388
FBXW9	14	-0.29215	-2.5744	0.075014	0.39549	0.010041	0.12387
UBE2D2	8	0.021018	0.29425	0.61837	0.89624	0.76857	0.87428
CXXC5	6	0.36909	1.6246	0.0022818	0.035398	0.10424	0.3839
CSNK1A1	6	-1.2524	-3.5953	0	0	0.00032399	0.0074242
E2F4	6	0.10797	1.1229	0.29778	0.73096	0.26149	0.52823
neg97	1	0.39818	0.57858	0.16115	0.56841	0.56287	0.74126
KLHL21	6	0.13254	1.3146	0.21934	0.64465	0.18865	0.46052
PRKD2	6	-0.32855	-2.002	0.17256	0.58989	0.045283	0.32734
CELA2A	6	0.25989	1.6976	0.026526	0.21429	0.089583	0.37169
SPZ1	3	-0.012338	-0.071009	0.96092	0.99089	0.94339	0.97206
PLK3	6	-0.22683	-1.5488	0.34855	0.76904	0.12144	0.40033
ZNF579	6	0.2789	1.7372	0.015973	0.15259	0.082351	0.36785
MAPKAPK3	6	0.08518	0.63694	0.38106	0.78129	0.52417	0.7306
USP14	6	-0.52336	-2.8213	0.03765	0.27049	0.0047834	0.070169
TRIM47	11	-0.1194	-1.2383	0.61808	0.8962	0.21559	0.48369
MLLT6	12	-0.19677	-1.9579	0.28865	0.72441	0.050242	0.3394
SOLH	6	0.1981	1.8083	0.082145	0.41679	0.070565	0.35542
KLF7	6	-0.00023651	-0.0025972	0.79863	0.96068	0.99793	1
MAP2K5	6	0.12775	1.2987	0.22904	0.65338	0.19403	0.46626
GON4L	6	-0.83327	-2.9041	0.0022818	0.035398	0.0036835	0.057912
RPS6KA2	12	0.25941	2.0232	0.00085568	0.015625	0.043057	0.31581
BTBD2	6	0.062284	0.685	0.48374	0.83558	0.49335	0.71538
TRRAP	6	-1.4651	-3.5771	0	0	0.00034743	0.0079097
HPR	6	0.073217	1.2531	0.42784	0.8035	0.21016	0.47674
CFB	6	0.021327	0.22618	0.68454	0.92557	0.82106	0.90504
KCNB2	6	0.31149	1.8853	0.0091272	0.10959	0.059385	0.35542
KDM8	11	-0.71178	-3.9825	0.00057045	0.010695	6.8193e-05	0.0021158
USP33	12	0.058305	0.97629	0.31831	0.7435	0.32892	0.58866
neg26	1	0.30756	0.60701	0.27781	0.71189	0.54384	0.73495
PRKCQ	6	0.10841	1.1171	0.29663	0.73096	0.26395	0.52968
CLK1	6	-0.21343	-1.0912	0.37963	0.78019	0.27521	0.54115
ADCK2	6	0.35469	1.5191	0.0028523	0.042918	0.12875	0.40666
MID2	13	0.02363	0.35152	0.48403	0.83558	0.7252	0.8465
TULP1	8	-0.083705	-1.5054	0.80576	0.96293	0.13222	0.41168
EHMT2	7	-0.28712	-2.0985	0.20194	0.62621	0.035857	0.28251
C2	6	0.14729	1.8816	0.18026	0.59943	0.059896	0.35542
REN	6	-0.04321	-0.51117	0.99059	0.99742	0.60923	0.77083
RIOK3	6	-0.17941	-1.535	0.46321	0.82186	0.12478	0.4021
ZNF329	6	0.0359	0.31815	0.60468	0.88926	0.75037	0.86365
GMEB2	6	0.077	0.76537	0.41301	0.7943	0.44405	0.67835
