Gene	sgRNA	Ts8|beta	Ts8|z	Ts8|p-value	Ts8|fdr	Ts8|wald-p-value	Ts8|wald-fdr
KAT5	6	-1.4505	-2.571	0.026451	0.29808	0.010139	0.12824
KAT6A	6	-1.1189	-1.8979	0.0657	0.45941	0.057709	0.4388
KAT6B	12	0.025583	0.12107	0.98094	0.9911	0.90364	0.94503
KAT8	6	-0.86763	-1.4757	0.14164	0.62095	0.14002	0.65385
KBTBD11	6	1.1136	1.0244	0.035267	0.34637	0.30563	0.65385
KBTBD12	6	0.46025	1.0252	0.39505	0.83623	0.30529	0.65385
KBTBD13	6	-0.025294	-0.072893	0.95137	0.98585	0.94189	0.96635
KBTBD2	6	0.0023698	0.0062789	0.98805	0.99314	0.99499	1
KBTBD3	6	0.86603	1.1258	0.10239	0.54505	0.26025	0.65385
KBTBD4	6	-1.0202	-2.4359	0.091013	0.52033	0.014854	0.17067
KBTBD6	6	0.20885	0.35738	0.7099	0.92621	0.72081	0.8562
KBTBD7	6	-0.25086	-0.4521	0.63794	0.90277	0.6512	0.81762
KBTBD8	6	0.083024	0.26037	0.89107	0.97119	0.79458	0.88475
KCNA1	6	0.29857	0.57638	0.5876	0.89437	0.56436	0.76999
KCNA10	6	0.60144	0.76129	0.26422	0.751	0.44648	0.70135
KCNA2	6	0.6267	0.93272	0.2409	0.73356	0.35097	0.65563
KCNA3	6	-0.067386	-0.15828	0.89107	0.97119	0.87424	0.92809
KCNA4	6	0.45547	0.73003	0.40216	0.84317	0.46537	0.71018
KCNA5	6	-0.037501	-0.1238	0.93544	0.98239	0.90148	0.94404
KCNA6	6	0.11357	0.65474	0.84386	0.96315	0.51264	0.73629
KCNB1	6	0.44699	0.82859	0.41041	0.84478	0.40734	0.67625
KCNB2	6	0.24938	0.81848	0.65557	0.90884	0.41308	0.68124
KCNC1	6	0.35337	1.255	0.51735	0.87625	0.20947	0.65385
KCNC2	6	-0.41731	-1.245	0.45535	0.85699	0.21315	0.65385
KCNC3	6	-1.0878	-2.1636	0.072526	0.47575	0.030493	0.27847
KCNC4	6	0.098962	0.23414	0.8686	0.96861	0.81488	0.89395
KCND1	6	-0.92727	-2.5599	0.11604	0.57687	0.010469	0.13053
KCND2	6	-0.38899	-1.0156	0.48549	0.86839	0.30982	0.65385
KCND3	6	-0.090616	-0.17791	0.85722	0.96573	0.8588	0.91835
KCNG1	6	-0.25804	-0.55852	0.62941	0.90081	0.57649	0.77665
KCNG2	6	0.38143	0.8748	0.48606	0.86839	0.38168	0.66451
KCNG3	6	-0.97783	-2.0849	0.10182	0.54505	0.037083	0.32114
KCNG4	6	0.0046994	0.020132	0.99374	0.99658	0.98394	0.99281
KCNRG	6	0.5486	0.98287	0.30745	0.78066	0.32567	0.65385
KCNS1	6	-1.0043	-2.3433	0.095279	0.52913	0.019113	0.2018
KCNS2	6	0.89379	1.1301	0.088453	0.51223	0.25844	0.65385
KCNS3	6	-0.63837	-1.6241	0.26195	0.74777	0.10436	0.61568
KCNV1	6	0.29891	0.85731	0.5876	0.89437	0.39127	0.66631
KCNV2	6	0.10978	0.21209	0.84898	0.96321	0.83203	0.90403
KCTD1	6	-0.41376	-1.0611	0.45933	0.85699	0.28866	0.65385
KCTD10	6	-0.87096	-1.7115	0.14022	0.62047	0.086995	0.55412
KCTD11	6	-1.1129	-2.6641	0.067122	0.46275	0.0077183	0.10684
KCTD12	6	0.12421	0.24178	0.82964	0.9606	0.80895	0.89242
KCTD13	6	-0.01776	-0.033822	0.96274	0.98891	0.97302	0.98629
KCTD14	6	-0.13179	-0.38637	0.79152	0.95082	0.69922	0.84136
KCTD15	6	0.053369	0.13898	0.93345	0.98205	0.88946	0.93689
KCTD16	6	-0.1566	-0.56004	0.75512	0.94216	0.57545	0.7761
KCTD17	6	0.11648	0.27933	0.83845	0.96315	0.77999	0.88026
KCTD18	6	-0.47112	-0.98057	0.4033	0.84382	0.32681	0.65385
KCTD19	12	-0.36676	-1.4841	0.34158	0.80093	0.13778	0.65385
KCTD2	6	-0.48081	-1.0754	0.39477	0.83623	0.2822	0.65385
KCTD21	6	-0.0082517	-0.040329	0.9744	0.9911	0.96783	0.98264
KCTD3	6	0.59591	1.0416	0.26792	0.7518	0.29761	0.65385
KCTD4	6	0.98594	1.1208	0.058874	0.43487	0.26238	0.65385
KCTD5	6	-0.99442	-2.1585	0.098123	0.53571	0.030893	0.2814
KCTD6	6	0.73538	1.0252	0.17008	0.6557	0.30528	0.65385
KCTD7	6	-0.073658	-0.17091	0.88168	0.97098	0.86429	0.9217
KCTD8	6	0.37294	0.80074	0.49829	0.87289	0.42328	0.68706
KCTD9	6	-0.46274	-0.99962	0.41126	0.84478	0.31749	0.65385
KEAP1	6	-1.0732	-2.2892	0.076507	0.4882	0.022069	0.22215
KLHL1	6	0.065681	0.18969	0.9178	0.97612	0.84955	0.91428
KLHL10	6	0.96456	1.0581	0.066553	0.46063	0.28999	0.65385
KLHL11	6	0.005977	0.016031	0.99431	0.99658	0.98721	0.9946
KLHL12	6	0.029345	0.15548	0.97099	0.99014	0.87644	0.92987
KLHL13	6	0.08837	0.3224	0.88254	0.97098	0.74715	0.86475
KLHL14	6	0.9556	1.0981	0.068544	0.46615	0.27216	0.65385
KLHL15	6	0.4264	0.74743	0.43174	0.8471	0.45481	0.70371
KLHL17	6	0.90129	1.2092	0.085893	0.50754	0.22659	0.65385
KLHL18	6	1.0566	1.1178	0.044653	0.3848	0.26364	0.65385
KLHL2	6	0.59562	1.0462	0.26792	0.7518	0.29548	0.65385
KLHL20	6	-0.30466	-0.81867	0.57907	0.89225	0.41297	0.68124
KLHL21	6	0.66149	1.0864	0.21957	0.72295	0.27731	0.65385
KLHL22	6	0.61479	1.406	0.25313	0.74395	0.15973	0.65385
KLHL23	6	-0.45555	-0.95624	0.41724	0.84478	0.33895	0.65457
KLHL24	6	-0.26499	-0.57106	0.62287	0.90037	0.56796	0.77228
KLHL25	6	0.24778	0.57046	0.65728	0.90884	0.56837	0.77247
KLHL26	6	0.28336	0.62461	0.61092	0.89809	0.53223	0.74974
KLHL28	6	-0.17295	-0.4188	0.73493	0.93264	0.67536	0.83431
KLHL29	6	-0.85651	-1.8295	0.14619	0.62156	0.06733	0.48411
KLHL3	6	1.1284	1.0581	0.03413	0.34278	0.29	0.65385
KLHL30	6	0.074296	0.22072	0.90444	0.9719	0.82531	0.90062
KLHL31	6	-0.58598	-1.1544	0.30091	0.77276	0.24833	0.65385
KLHL32	6	0.58107	1.1095	0.28043	0.7573	0.26723	0.65385
KLHL34	6	0.30897	0.71233	0.57196	0.8912	0.47626	0.71672
KLHL35	6	0.11878	0.27182	0.83589	0.96304	0.78576	0.88236
KLHL36	6	-0.61226	-1.4769	0.28157	0.75804	0.13969	0.65385
KLHL38	6	-1.0972	-2.5667	0.069681	0.46958	0.010269	0.12941
KLHL4	6	0.076769	0.15292	0.90245	0.9719	0.87846	0.93139
KLHL40	6	1.0729	1.2053	0.041809	0.375	0.22809	0.65385
KLHL41	6	-0.92736	-1.7648	0.11604	0.57687	0.077595	0.52466
KLHL5	6	0.39638	0.85716	0.46587	0.86037	0.39136	0.66631
KLHL6	6	0.10301	0.25956	0.86092	0.96617	0.7952	0.88475
KLHL7	6	0.33998	0.85309	0.53271	0.8782	0.39361	0.66695
KLHL8	6	0.056811	0.28629	0.92861	0.9799	0.77466	0.87812
KLHL9	6	1.1247	0.96929	0.034414	0.34278	0.3324	0.65385
KMT2E	6	0.22335	0.54485	0.69113	0.92255	0.58586	0.78195
L3MBTL2	24	-0.18505	-0.99341	0.5	0.87289	0.32051	0.65385
L3MBTL3	18	-0.48092	-2.104	0.14278	0.62156	0.03538	0.31099
LBR	6	-0.010598	-0.028228	0.97127	0.99014	0.97748	0.98803
LZTR1	12	-0.66196	-2.3794	0.10097	0.54364	0.017341	0.18818
MACROD1	6	-0.6955	-1.343	0.22042	0.72295	0.17929	0.65385
MBD5	6	0.24031	0.65617	0.66724	0.91205	0.51172	0.73564
MBTD1	24	-1.038	-4.0978	0.0011377	0.095238	4.1713e-05	0.0014666
MIER1	6	0.15239	0.30602	0.78385	0.94854	0.75959	0.87011
MIER2	6	-0.67552	-1.3793	0.23436	0.73356	0.1678	0.65385
MIS18BP1	6	-3.3856	-5.6076	0.004835	0.12102	2.0512e-08	2.5757e-06
MLLT1	6	-1.6038	-3.3892	0.016212	0.22984	0.00070098	0.015308
MLLT10	6	0.76963	1.0321	0.15216	0.62954	0.30204	0.65385
MLLT3	6	-0.14325	-0.41201	0.77645	0.94759	0.68033	0.83628
MLLT6	12	0.35613	0.88731	0.3649	0.82033	0.37491	0.66123
MORC1	5	0.36023	1.082	0.55119	0.88318	0.27927	0.65385
MORC2	6	-0.097668	-0.25481	0.8467	0.96315	0.79887	0.88663
MORC3	6	-0.043929	-0.23906	0.92577	0.97955	0.81106	0.89301
MORC4	6	-0.37313	-0.79249	0.50114	0.87401	0.42807	0.68917
MORF4L1	6	-0.61429	-1.4519	0.27901	0.75692	0.14654	0.65385
MPHOSPH8	6	-0.54068	-1.2444	0.33874	0.80093	0.21336	0.65385
MSH6	6	-1.6097	-3.0138	0.015927	0.22672	0.0025802	0.04605
MSL3	6	-0.026481	-0.061139	0.95023	0.98555	0.95125	0.973
MTF2	17	0.27529	1.0658	0.41155	0.84478	0.28652	0.65385
MUM1	6	0.86422	1.1099	0.10296	0.54505	0.26703	0.65385
MYPOP	6	0.29876	0.55176	0.5876	0.89437	0.58111	0.77978
NACC1	6	-0.1461	-0.28808	0.7719	0.94696	0.77329	0.87793
NACC2	6	0.62124	0.89165	0.24488	0.73657	0.37258	0.6612
OARD1	6	0.40015	1.0249	0.46018	0.85699	0.30543	0.65385
ORC1	6	0.17062	1.119	0.76195	0.943	0.26312	0.65385
PARP14	18	0.014415	0.061863	0.99033	0.99486	0.95067	0.973
PARP15	12	0.42599	1.4817	0.27873	0.75692	0.13843	0.65385
PARP9	12	0.18293	0.75524	0.66183	0.91148	0.4501	0.70274
PHF1	18	0.05181	0.23594	0.89846	0.9719	0.81348	0.89338
PHF10	6	0.52994	1.1224	0.32509	0.791	0.26171	0.65385
PHF11	6	0.098252	0.23852	0.86945	0.96863	0.81148	0.89301
PHF12	6	-1.2751	-2.7211	0.042947	0.3775	0.0065056	0.093035
PHF13	6	0.24344	0.85403	0.66297	0.91197	0.39309	0.66671
PHF14	16	0.20628	0.78278	0.57253	0.8912	0.43376	0.69291
PHF19	18	-0.15344	-0.72669	0.6186	0.89876	0.46741	0.71201
PHF20	12	0.56583	1.3165	0.13908	0.62047	0.18801	0.65385
PHF20L1	12	-0.068711	-0.27434	0.82708	0.9606	0.78383	0.88134
PHF21A	6	-0.1605	-0.50609	0.74943	0.93806	0.61279	0.79711
PHF21B	6	0.36489	1.4278	0.50654	0.87488	0.15336	0.65385
PHF23	6	-2.5428	-1.9683	0.0054039	0.12102	0.049031	0.39359
PHF3	6	-1.1175	-2.372	0.065984	0.45941	0.01769	0.19138
PHF6	6	-0.64824	-1.3571	0.25341	0.74395	0.17476	0.65385
PHF7	24	0.18715	0.90262	0.54067	0.87943	0.36673	0.65921
PHRF1	15	0.28766	1.0075	0.4252	0.84478	0.31367	0.65385
PSIP1	6	0.046284	0.13451	0.94454	0.98342	0.893	0.93921
PWWP2A	6	0.40449	1.1089	0.45421	0.85699	0.26746	0.65385
PWWP2B	6	1.2273	1.0475	0.018771	0.24812	0.29488	0.65385
PYGO1	6	1.0134	1.1757	0.052617	0.41573	0.2397	0.65385
PYGO2	6	-2.7855	-5.1546	0.0051195	0.12102	2.5419e-07	2.2343e-05
RAI1	6	-0.75598	-1.4031	0.18771	0.68111	0.16058	0.65385
RCBTB1	6	-0.22004	-0.6644	0.67207	0.91306	0.50644	0.73222
RCBTB2	6	-0.49195	-1.0778	0.37998	0.82983	0.28112	0.65385
RHOBTB1	12	0.96523	1.6406	0.008248	0.14573	0.10089	0.60811
RHOBTB2	18	-0.62753	-2.5436	0.061149	0.44421	0.010971	0.13583
RHOBTB3	6	0.31565	0.65176	0.562	0.8865	0.51456	0.73746
RNF17	42	0	0	0.96018	0.98742	1	1
RSF1	4	0.054617	0.12456	0.96871	0.98983	0.90087	0.94382
SCMH1	12	0.58355	1.5712	0.12827	0.60133	0.11614	0.63805
SCML2	12	0.7969	1.5198	0.032423	0.3403	0.12857	0.65385
SFMBT1	24	-0.11226	-0.59271	0.67207	0.91306	0.55338	0.76211
SFMBT2	24	-0.19533	-1.0245	0.47298	0.86486	0.30558	0.65385
SHKBP1	6	-0.1753	-0.45894	0.73208	0.93264	0.64628	0.8151
SLX4	6	-0.84483	-2.0899	0.15188	0.62954	0.036631	0.31801
SMARCA1	6	1.6039	0.74325	0.0028441	0.12102	0.45733	0.70402
SMARCA5	6	-0.15009	-0.32759	0.76593	0.94458	0.74322	0.86475
SMARCC1	10	0.096573	0.23875	0.84642	0.96315	0.8113	0.89301
SMARCC2	12	-0.49314	-1.3795	0.20933	0.71292	0.16775	0.65385
SMN1	6	-1.6329	-3.1128	0.014221	0.21008	0.0018534	0.035224
SMNDC1	6	-1.002	-2.2921	0.095563	0.52913	0.021899	0.22209
SND1	6	-0.62517	-1.5594	0.27105	0.75534	0.1189	0.64214
SPIN1	18	0.72545	2.0322	0.019625	0.25556	0.042138	0.3536
SPIN2A	3	1.706	0.55185	0.019909	0.25641	0.58105	0.77978
SPIN2B	4	-0.49078	-1.4768	0.49317	0.87092	0.13973	0.65385
SPIN3	18	-0.27012	-1.188	0.3959	0.83623	0.23485	0.65385
SPIN4	18	0.034089	0.16521	0.94084	0.98248	0.86878	0.92424
SPOP	6	-0.62388	-1.5272	0.2719	0.75592	0.12672	0.65385
SPOPL	6	0.1847	0.47699	0.74175	0.93443	0.63337	0.80816
TAF3	6	-1.5558	-2.8448	0.019056	0.25094	0.0044434	0.070374
TCF19	6	-0.43068	-1.3002	0.44425	0.85215	0.19353	0.65385
TCF20	6	0.96446	1.2042	0.066553	0.46063	0.22851	0.65385
TDRD1	21	0.65685	2.0611	0.020193	0.25818	0.039298	0.33537
TDRD10	6	0.099955	0.18872	0.86803	0.96858	0.85032	0.91428
TDRD12	6	0.68014	1.0935	0.20876	0.71193	0.27418	0.65385
TDRD15	6	-0.24665	-1.0918	0.64192	0.90368	0.27494	0.65385
TDRD3	6	-0.054638	-0.26812	0.90927	0.97351	0.78861	0.88332
TDRD5	6	0.90622	1.1192	0.083902	0.50427	0.26307	0.65385
TDRD6	47	0	0	0.96018	0.98742	1	1
TDRD7	18	0.076659	0.44561	0.85068	0.96391	0.65588	0.82038
TDRD9	4	-0.099625	-0.25866	0.86035	0.96616	0.7959	0.88475
TDRKH	6	-0.88687	-2.6806	0.13311	0.61161	0.0073492	0.10295
TNFAIP1	6	0.12994	0.33752	0.82139	0.96016	0.73573	0.86286
TNRC18	12	-0.35257	-1.1301	0.36121	0.82033	0.25844	0.65385
TSNARE1	6	-1.2337	-2.5812	0.046644	0.39048	0.0098461	0.12635
UBR7	6	-0.53657	-1.2119	0.34158	0.80093	0.22554	0.65385
UHRF2	17	0.066331	0.26281	0.8632	0.96719	0.7927	0.88475
WHSC1L1	20	-0.26733	-1.2508	0.36718	0.82334	0.21102	0.65385
YEATS2	6	-2.2252	-3.8321	0.0056883	0.1227	0.00012704	0.0036314
YEATS4	6	-1.1395	-2.2191	0.060865	0.44306	0.026477	0.25488
ZBTB22	6	0.1385	1.1827	0.81001	0.95795	0.23694	0.65385
ZBTB39	6	0.66011	1.0017	0.22014	0.72295	0.31651	0.65385
ZBTB5	6	0.03312	0.093923	0.96587	0.98982	0.92517	0.95695
ZBTB8B	6	0.096572	0.31104	0.87201	0.96878	0.75577	0.86811
ZBTB9	6	0.93812	1.0091	0.074516	0.48519	0.3129	0.65385
ZCWPW1	12	0.20421	0.65609	0.61718	0.89855	0.51177	0.73564
ZCWPW2	12	-0.039705	-0.13543	0.88993	0.97119	0.89227	0.9388
ZKSANT2	12	0.092173	0.41037	0.84727	0.96315	0.68154	0.8363
ENDOU	6	0.17292	0.4831	0.75796	0.943	0.62902	0.80599
ACR	6	-0.14555	-0.38963	0.77304	0.94704	0.69681	0.84063
AZU1	6	0.17883	0.61908	0.74915	0.93803	0.53587	0.7522
C1R	6	0.31514	0.69114	0.56371	0.8871	0.48948	0.72366
C1RL	6	0.94254	1.1842	0.072241	0.47566	0.23633	0.65385
C1S	6	0.57388	1.2359	0.28754	0.76488	0.21649	0.65385
C2	6	0.30776	0.67669	0.57395	0.89134	0.4986	0.72863
CELA1	6	0.27838	0.67023	0.61633	0.89842	0.50271	0.73077
CELA2A	6	-0.28661	-0.91622	0.5967	0.89809	0.35955	0.65834
CELA2B	6	0.10855	0.32334	0.8521	0.96458	0.74644	0.86475
CELA3A	6	0.116	0.2618	0.83987	0.96315	0.79347	0.88475
CELA3B	6	0.090465	0.26176	0.88026	0.97098	0.79351	0.88475
CFB	6	-0.6575	-2.6476	0.24488	0.73657	0.0081073	0.11044
CFD	6	-16.951	-23.097	0.0036974	0.12102	4.9817e-118	2.1894e-115
CFI	6	0.93092	1.0727	0.075939	0.48545	0.2834	0.65385
CMA1	6	0.20574	0.5455	0.71445	0.9266	0.58541	0.78195
CORIN	6	-1.0037	-2.1838	0.095279	0.52913	0.02898	0.26921
CTRB1	6	0.21725	0.99134	0.69937	0.92478	0.32152	0.65385
CTRB2	6	-0.6158	-1.5946	0.27787	0.75692	0.1108	0.6286
CTRC	6	-0.097381	-0.21975	0.84699	0.96315	0.82607	0.90076
CTRL	6	0.74507	1.1873	0.16439	0.64509	0.23509	0.65385
CTSG	6	-0.36425	-0.97175	0.51479	0.87625	0.33118	0.65385
ELANE	6	-0.63933	-2.3438	0.25995	0.74673	0.019089	0.2018
F10	6	0.12345	0.35258	0.83077	0.9606	0.7244	0.8591
F11	6	-0.27043	-0.62459	0.61576	0.89842	0.53224	0.74974
F12	6	0.28302	0.86842	0.61092	0.89809	0.38516	0.66587
F2	6	-0.067881	-0.22332	0.8905	0.97119	0.82329	0.89897
F7	6	0.10438	0.29857	0.85922	0.9661	0.76527	0.87275
F9	6	0.40687	1.1619	0.45222	0.85699	0.24528	0.65385
GZMA	6	0.39483	1.3306	0.46758	0.86209	0.18332	0.65385
GZMB	6	0.079997	0.21625	0.89846	0.9719	0.82879	0.90218
GZMH	6	0.93635	1.0018	0.07537	0.48545	0.31644	0.65385
GZMK	6	0.68268	1.2932	0.20677	0.70858	0.19594	0.65385
GZMM	6	-0.32534	-1.267	0.55489	0.88366	0.20517	0.65385
HABP2	6	0.7659	1.0375	0.15273	0.62954	0.2995	0.65385
HGFAC	6	-0.075403	-0.21767	0.87912	0.97098	0.82769	0.90131
HP	6	-0.19556	-0.43822	0.70648	0.9261	0.66123	0.82359
HPN	6	0.86187	0.98786	0.10438	0.54858	0.32322	0.65385
HPR	6	0.19262	0.40427	0.73208	0.93264	0.68601	0.83743
KLK1	6	0.82729	1.1019	0.12173	0.58209	0.27052	0.65385
KLK10	6	0.47728	1.2953	0.37856	0.82983	0.19523	0.65385
KLK11	6	-0.056953	-0.13261	0.90557	0.97192	0.8945	0.93939
KLK12	6	0.036864	0.1089	0.95961	0.98742	0.91329	0.95088
KLK13	6	0.17014	0.54611	0.76223	0.943	0.58499	0.78195
KLK14	6	1.2053	0.99478	0.023038	0.27931	0.31984	0.65385
KLK15	6	0.057502	0.20329	0.92861	0.9799	0.83891	0.90813
KLK2	6	-0.13678	-0.27661	0.78612	0.94854	0.78208	0.88067
KLK3	6	0.44517	0.7914	0.4124	0.84478	0.42871	0.68923
KLK4	6	0.70373	1.1953	0.19113	0.68641	0.23196	0.65385
KLK5	6	0.52419	1.2224	0.32878	0.79398	0.22156	0.65385
KLK6	6	0.11287	0.37521	0.84443	0.96315	0.7075	0.84796
KLK7	6	-0.7013	-1.9929	0.21729	0.72144	0.046272	0.37924
KLK9	6	0.54734	1.0915	0.30916	0.78289	0.27506	0.65385
KLKB1	6	0.31537	0.95745	0.56342	0.8871	0.33834	0.65457
LPA	6	0.76925	1.2083	0.15216	0.62954	0.22693	0.65385
MASP1	6	0.93214	1.3347	0.075939	0.48545	0.18197	0.65385
MST1	6	-1.4268	-3.2124	0.02901	0.31776	0.0013161	0.026748
OVCH1	12	-0.18922	-0.75166	0.60978	0.89809	0.45225	0.70371
OVCH2	6	-0.0040827	-0.01123	0.98038	0.9911	0.99104	0.9977
PLAT	6	0.023089	0.09077	0.97895	0.9911	0.92768	0.95848
PLAU	6	0.2178	0.48777	0.69881	0.92478	0.62572	0.80368
