sgRNA,Gene,Vaco_Ts13_D0,Vaco_Ts13_D10
157780361,ACVR1,767,686
157780499,ACVR1,830,738
51981034,ACVR1B,389,460
51976333,ACVR1B,789,1003
51984059,ACVR1B,658,660
51975319,ACVR1B,427,374
147915221,ACVR2A,1386,1244
147918521,ACVR2A,969,852
147917386,ACVR2A,293,237
147915306,ACVR2A,1869,1779
38479822,ACVR2B,1033,594
38477490,ACVR2B,773,1015
38478269,ACVR2B,908,882
38477363,ACVR2B,451,331
51913235,ACVRL1,344,353
51914514,ACVRL1,1463,1518
51915252,ACVRL1,830,927
51913998,ACVRL1,877,703
51986314,ACY1,1124,811
51987036,ACY1,1043,522
51984127,ACY1,908,546
51987353,ACY1,1145,824
75053589,ACYP1,1451,1423
75053646,ACYP1,615,558
75053613,ACYP1,748,770
75053569,ACYP1,885,892
54138707,ACYP2,632,910
54115724,ACYP2,804,689
54115752,ACYP2,1422,1859
54138667,ACYP2,1283,940
44624318,ADA,1120,903
44623042,ADA,1720,1433
44629136,ADA,589,703
44622910,ADA,584,705
133273813,ADAM8,2590,2403
133271583,ADAM8,710,609
133272991,ADAM8,544,552
133275486,ADAM8,555,647
58665175,ADAM10,611,799
58621585,ADAM10,646,611
58679258,ADAM10,663,425
58682295,ADAM10,265,364
154602282,ADAR,639,568
154590308,ADAR,572,362
154597907,ADAR,1146,1096
154601175,ADAR,850,502
45182661,ADARB1,848,729
45180365,ADARB1,1096,1109
45183408,ADARB1,2303,2922
45176269,ADARB1,1524,1413
1233812,ADARB2,1139,1075
1363537,ADARB2,1086,976
1363155,ADARB2,1704,1475
1379095,ADARB2,604,569
45660115,ADCY1,1099,868
45657747,ADCY1,1294,1334
45686011,ADCY1,1953,2034
45677930,ADCY1,718,571
7709291,ADCY2,1344,1448
7520844,ADCY2,1469,1608
7626281,ADCY2,1081,1113
7690835,ADCY2,597,588
24828142,ADCY3,1696,1852
24918419,ADCY3,1328,887
24834507,ADCY3,1088,1102
24838542,ADCY3,9,2
123447877,ADCY5,567,601
123314240,ADCY5,707,565
123328737,ADCY5,955,879
123448298,ADCY5,920,1069
48776313,ADCY6,2295,2502
48774771,ADCY6,1219,1281
48783220,ADCY6,461,429
48782599,ADCY6,631,387
50293501,ADCY7,1103,700
50301093,ADCY7,507,556
50298970,ADCY7,251,244
50290550,ADCY7,1385,1081
130951969,ADCY8,761,637
130909833,ADCY8,1148,1218
130849618,ADCY8,703,874
131039415,ADCY8,845,920
4007526,ADCY9,1480,1338
3979193,ADCY9,1485,1450
4114104,ADCY9,1581,1615
4114927,ADCY9,1203,1198
907679,ADCYAP1,502,432
908345,ADCYAP1,1205,1268
907712,ADCYAP1,559,686
908279,ADCYAP1,682,624
31078094,ADCYAP1R1,761,712
31084168,ADCYAP1R1,1164,796
31084240,ADCYAP1R1,884,854
31078020,ADCYAP1R1,1427,1582
2899416,ADD1,2046,2630
2898221,ADD1,1956,2071
2884634,ADD1,1228,1651
2881960,ADD1,2500,4274
70692457,ADD2,1331,1461
70696250,ADD2,1450,1168
70683698,ADD2,1543,1205
70688101,ADD2,895,648
110119221,ADD3,939,827
110100765,ADD3,891,1047
110124053,ADD3,976,1346
110116355,ADD3,771,820
19123622,PLIN2,1217,1462
19126234,PLIN2,849,1188
19120986,PLIN2,988,1126
19118383,PLIN2,1104,1117
99284470,ADH1A,585,722
99284785,ADH1A,2084,1806
99284606,ADH1A,636,655
99286951,ADH1A,537,596
99316014,ADH1B,605,549
99318151,ADH1B,1183,1432
99315903,ADH1B,954,1045
99313988,ADH1B,881,945
99342959,ADH1C,1231,1304
99344978,ADH1C,527,543
99347771,ADH1C,1219,817
99343050,ADH1C,1375,1244
99141646,ADH4,553,688
99136582,ADH4,436,677
99142733,ADH4,222,264
99139084,ADH4,704,806
99082007,ADH5,671,604
99082091,ADH5,527,367
99076456,ADH5,955,394
99076386,ADH5,233,237
99210275,ADH6,1595,1538
99213673,ADH6,2458,2997
99213607,ADH6,2388,2064
99210087,ADH6,1557,1730
99420782,ADH7,916,1119
99428099,ADH7,234,169
99420643,ADH7,639,623
99427889,ADH7,189,173
74314709,ADK,1916,1735
74200798,ADK,2117,967
74394241,ADK,1551,1146
74398545,ADK,1384,889
10305768,ADM,610,573
10305736,ADM,806,573
10306419,ADM,1189,759
10306359,ADM,862,810
203165329,ADORA1,528,575
203165497,ADORA1,1125,674
203129165,ADORA1,1120,1063
203165404,ADORA1,1481,899
24440998,ADORA2A,1172,839
24440685,ADORA2A,699,508
24433566,ADORA2A,706,804
24440606,ADORA2A,612,441
15974927,ADORA2B,1325,1801
15974695,ADORA2B,661,899
15974850,ADORA2B,68,79
15974747,ADORA2B,1273,1225
111500337,ADORA3,2156,1427
111503275,ADORA3,877,1035
111500441,ADORA3,648,776
111503144,ADORA3,1907,2127
119586461,ADPRH,1728,1887
119582421,ADPRH,848,841
119586554,ADPRH,939,850
119582276,ADPRH,1259,1161
226390562,PARP1,1452,723
226385581,PARP1,1760,1102
226381125,PARP1,241,218
226377274,PARP1,1809,1082
24493600,PARP4,3195,2896
24460016,PARP4,938,763
24447066,PARP4,2172,2755
24486186,PARP4,39,37
4248374,ADRA1D,546,450
4248708,ADRA1D,619,644
4248233,ADRA1D,703,617
4248128,ADRA1D,490,553
159917111,ADRA1B,784,901
159917687,ADRA1B,574,530
159917339,ADRA1B,855,1217
159917583,ADRA1B,570,496
26864596,ADRA1A,520,502
26864196,ADRA1A,2506,2387
26864504,ADRA1A,625,670
26864294,ADRA1A,2147,2793
111078486,ADRA2A,1329,1498
111078187,ADRA2A,2112,2316
111078900,ADRA2A,664,663
111078603,ADRA2A,928,1147
96115476,ADRA2B,2033,1847
96115393,ADRA2B,2167,2135
96115800,ADRA2B,2807,2503
96115706,ADRA2B,2175,2672
3767019,ADRA2C,857,1085
3767105,ADRA2C,238,248
3767310,ADRA2C,609,695
3767221,ADRA2C,2158,2497
114045034,ADRB1,391,468
114044818,ADRB1,357,414
114044391,ADRB1,923,919
114044669,ADRB1,514,529
148827205,ADRB2,1471,1843
148827007,ADRB2,786,700
148826900,ADRB2,2112,2776
148827448,ADRB2,1443,1214
37966041,ADRB3,1341,1317
37966250,ADRB3,330,404
37966389,ADRB3,401,311
37965968,ADRB3,1109,873
67281134,ADRBK1,1638,1702
67282306,ADRBK1,701,642
67279257,ADRBK1,1307,1368
67279871,ADRBK1,2087,1627
25690276,ADRBK2,921,1023
25685216,ADRBK2,1614,1185
25674486,ADRBK2,1817,2162
25644648,ADRBK2,1226,1415
40354308,ADSL,638,140
40361523,ADSL,341,333
40346673,ADSL,514,28
40360461,ADSL,822,418
244418902,ADSS,469,635
244424028,ADSS,409,488
244432545,ADSS,1053,748
244437700,ADSS,610,602
49795687,AP2A1,1757,1370
49791980,AP2A1,1675,1388
49799647,AP2A1,638,438
49800090,AP2A1,812,859
988628,AP2A2,764,737
970295,AP2A2,424,617
992663,AP2A2,501,666
977193,AP2A2,569,660
29356451,AP1B1,750,643
29341633,AP1B1,712,376
29342356,AP1B1,398,537
29359888,AP1B1,612,564
35650785,AP2B1,1047,629
35626646,AP2B1,760,480
35624413,AP2B1,98,54
35639618,AP2B1,882,937
71773335,AP1G1,1142,633
71749975,AP1G1,2297,2168
71753872,AP1G1,1175,736
71761545,AP1G1,1178,1054
44110926,AEBP1,659,684
44111969,AEBP1,741,534
44107809,AEBP1,646,517
44110027,AEBP1,2251,1562
3057723,AES,446,616
3055669,AES,494,330
3054138,AES,587,434
3061237,AES,2382,1791
49846525,CRISP1,788,645
49846575,CRISP1,964,1091
49852046,CRISP1,462,421
49848226,CRISP1,1390,1144
73485895,AFM,820,837
73488756,AFM,1800,2023
73487095,AFM,507,431
73485987,AFM,1052,1056
73447541,AFP,627,720
73438197,AFP,534,533
73442424,AFP,267,217
73442330,AFP,687,540
177436333,AGA,396,729
177437494,AGA,658,643
177442288,AGA,1988,1946
177440408,AGA,468,527
88845839,ACAN,661,646
88838975,ACAN,625,558
88852011,ACAN,857,609
88855385,ACAN,529,405
32183015,AGER,1493,1225
32182634,AGER,1791,1345
32183959,AGER,1234,1493
32183560,AGER,1368,1729
99884180,AGL,809,751
99877713,AGL,1094,840
99880758,AGL,423,503
99862336,AGL,1509,1155
67482789,AGRP,698,519
67483048,AGRP,1279,1195
67482809,AGRP,1552,2089
67483334,AGRP,1269,1317
10646998,JAG1,1280,1421
10658473,JAG1,1195,999
10645226,JAG1,1708,1809
10652215,JAG1,1590,1469
230710154,AGT,835,290
230710007,AGT,1049,971
230710363,AGT,616,519
230710551,AGT,1731,1539
148741449,AGTR1,678,834
148741285,AGTR1,488,583
148741374,AGTR1,658,793
148741611,AGTR1,702,596
116172780,AGTR2,1274,1195
116172883,AGTR2,1833,2015
116172541,AGTR2,1915,2319
116172693,AGTR2,1235,1379
57236926,APLNR,522,362
57236497,APLNR,1344,1029
57236383,APLNR,466,540
57236740,APLNR,1229,956
240873045,AGXT,742,1037
240870675,AGXT,734,655
240871389,AGXT,594,854
240874038,AGXT,1029,1264
30308694,NR0B1,1061,1624
30309093,NR0B1,411,429
30308801,NR0B1,489,509
30308895,NR0B1,1353,1812
34292411,AHCY,1068,323
34291502,AHCY,1086,627
34290576,AHCY,1326,348
34290800,AHCY,576,679
17333993,AHR,2510,1302
17334985,AHR,2379,2063
17339165,AHR,1504,1329
17330776,AHR,2021,2187
186618558,AHSG,801,553
186613343,AHSG,606,601
186619892,AHSG,751,1012
186613213,AHSG,599,636
31615542,AIF1,744,1043
31616105,AIF1,734,837
31615681,AIF1,1497,1904
