Experiment Name:,Exp_20260609_HCT116_Mito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A
01-KO3-B4,,146641,131913,131899,130041,387,1153,100.00%,89.96%,89.95%,88.68%,0.26%,0.79%,100.00%,89.96%,99.99%,98.59%,0.29%,0.87%,282997.3,291192.7,291190.5,289893.4,88407.9,1097557.5,335614.7,337089.4,337090.6,329041.8,83719.3,1159772.8,130332.4,124220.2,124210,121794,10044,129163.8,67.14%,51.68%,51.69%,46.32%,17.49%,17.76%,305281,307271.6,307278.1,303758.9,197008.6,657241.8,268746.4,275653.1,275660.9,274811.7,190250.4,658272,83611.8,76792,76792.1,75329.4,30376.7,154513.3,116.37%,37.20%,37.20%,35.51%,20.96%,23.10%,355263.2,114295.2,114297.7,107868.4,41298.4,151825.7,31.11%,27.86%,27.86%,27.41%,15.97%,23.47%,266548.8,290452.9,290458.7,288283.9,193370.3,637765.1,354021,333949.2,333969.8,330403.3,195292.4,695528.6,294239.8,309272.1,309304.3,307106.1,190108.2,671153.8,291264.7,296992.6,297001.6,295960,186447.6,724025.8,37.90%,35.32%,35.32%,34.84%,19.82%,24.98%,110385.8,104908.6,104911.3,103098.2,36954.4,180827.3,247.08%,42.58%,42.57%,41.39%,25.29%,23.92%,874716.8,142182.1,142170,136752.4,49380.2,166385.5,175347.3,172946,172869.6,170258,83191.1,437507.9,150273.6,157611.5,157610.1,156270.7,70675.8,424925.2,150065,152038.3,152045.2,151393.5,70205.6,428637.5,40.39%,38.55%,38.54%,37.94%,45.82%,22.83%,60612.5,58613.7,58605.6,57444.1,32166.8,97861.8,63.00%,48.14%,46.51%,44.05%,74.52%,24.75%,110464.3,83249.8,80403.8,75006.8,61992.5,108262.2,276477.6,302365.7,302366.6,299137.6,82063.3,1145289.9,46.05%,42.66%,42.66%,42.01%,11.36%,11.77%,225327.1,174223.5,174227.7,152396.9,14638.9,205977.9
01-KO3-C4,,156647,137135,137109,133655,325,2540,100.00%,87.54%,87.53%,85.32%,0.21%,1.62%,100.00%,87.54%,99.98%,97.48%,0.24%,1.85%,307463.3,319393.7,319395,315791.9,87959.7,1099097.8,376393.6,377309.6,377318.2,360611.9,82429.2,1160181.9,157355.9,146737.1,146735.1,140957.9,11657.8,131217.3,73.87%,54.37%,54.37%,47.08%,18.65%,17.10%,330972.9,333564.8,333585.1,325649.5,201743.9,695748.9,283524.1,292404,292429.3,290148,191616.1,698549.8,101383.9,90787,90781.5,87134.5,35101.4,155014.2,104.60%,40.69%,40.69%,38.06%,22.58%,21.30%,346193.8,135719,135723.8,123944.9,45562.4,148161.9,35.76%,31.05%,31.04%,30.03%,18.32%,22.19%,274475.2,311543.2,311562.1,306386.4,197310.7,677917.9,368545,346230.3,346273.3,338920.2,198171.1,681702.4,289394.9,317247.1,317313.1,312376.1,192133.7,659753.2,293785.1,302967.3,303000,299855.3,189483.1,693335.4,42.89%,38.49%,38.49%,37.39%,22.73%,25.59%,125999.2,116617.6,116622.4,112120.9,43070,177446.7,254.43%,44.97%,44.96%,43.36%,26.66%,23.39%,937687.7,155690.4,155669.3,146965.7,52828.7,159458.6,187690.5,183780.2,183775.2,178542.5,100161.1,423549.2,154056.5,167254.1,167269.2,164128.5,82136.3,412598.7,155547.4,158320.9,158327.7,156550.8,83153.1,416716.8,42.64%,39.91%,39.91%,38.66%,44.48%,21.93%,66317.7,63192.1,63191.1,60515.7,36982.6,91380,66.45%,47.37%,47.20%,43.95%,97.23%,23.55%,124729.5,87054.3,86746.1,78464.8,97384.9,99738.3,288227.5,333912.4,333922.5,325804.1,80590.5,1146269.1,51.18%,45.94%,45.94%,44.64%,13.25%,11.94%,278050.1,205159.2,205160.2,169768.6,15374.2,198385.6
01-OE-A5,,151096,116666,116663,110313,5210,880,100.00%,77.21%,77.21%,73.01%,3.45%,0.58%,100.00%,77.21%,100.00%,94.56%,4.47%,0.75%,260146.8,260972.2,260974.1,267914,82463,1068623.5,366810.8,310084.4,310089.6,313011.9,78941.6,1121739,186133.2,151081.4,151081.8,145662.8,15135.6,97368.3,103.59%,61.03%,61.02%,54.11%,19.69%,20.11%,417030.2,372835.7,372839.5,376456,225828.4,700262.1,320978.1,324429.9,324439.3,329774,222395.8,704165.5,165598.5,120127.9,120128,119503.8,42473.7,134593.8,106.61%,40.74%,40.74%,39.42%,19.53%,18.95%,444616.7,151878.6,151878.8,148385,44108.5,132674.8,51.59%,37.03%,37.03%,36.24%,19.10%,19.11%,315409,346033.1,346036.9,350929.2,221687.8,686175.9,507572.7,414052.8,414061,419587.5,215300.2,792374.9,355683.8,374780.8,374794,382442.2,208294.1,782641.4,358045.6,359508.6,359515.3,367527.5,208669.3,814740,59.01%,46.07%,46.07%,44.87%,25.60%,13.09%,211293.5,165617.6,165620.3,164919.1,53428.5,106686.6,214.87%,45.75%,45.75%,44.15%,26.42%,14.24%,1090626.9,189427.7,189423.2,185254.1,56872,112820.4,202269.1,173989.8,173992.7,176057.8,81441.3,402888.2,142614.5,152172.8,152176.9,156062,72719.5,393411.1,152479.1,149984.7,149985.9,152902.4,77894.4,395959.6,59.96%,48.70%,48.69%,46.57%,46.29%,21.05%,91427.8,73035.5,73034.5,71213.1,36058.1,83352.4,86.27%,52.44%,52.44%,49.93%,47.21%,22.89%,174504.4,91248.5,91247.8,87908.8,38447.4,92227.4,238952.9,262016.8,262023.1,273602.3,77054.6,1109595,71.55%,57.89%,57.89%,54.37%,18.35%,9.11%,379994.2,189229.5,189229.1,169364.1,15547.1,225612.3
01-OE-B5,,128412,95577,95568,87375,7176,808,100.00%,74.43%,74.42%,68.04%,5.59%,0.63%,100.00%,74.43%,99.99%,91.43%,7.51%,0.85%,251460.7,246790.4,246815.5,260337.5,80021.5,1079801.3,381999.5,300127.1,300147.3,309200,76394.2,1139138.9,200833.7,154193.4,154208.4,147119.4,16607.8,105959.3,111.60%,65.47%,65.46%,56.10%,21.97%,17.80%,464392.4,386248,386263.4,394934.9,231274.5,737089.9,333425.7,331636.2,331646.1,343719,226703.1,754409.9,199147.2,136119.6,136120.5,138916,46742.5,131798.1,119.86%,43.24%,43.24%,41.34%,20.91%,18.00%,556610.9,167025.9,167026.1,163285,48352.2,132712.1,59.73%,41.04%,41.04%,40.42%,20.62%,17.47%,336829.7,354727.5,354743.3,365033.6,226457.4,723480.8,557323.2,410953.1,410980,422179.2,221284.9,789710.6,367142.5,368169.6,368209.7,381704.7,213650.9,780189.4,358861.9,352452.5,352472.4,368099.1,213326.3,815836.3,65.04%,49.51%,49.51%,48.10%,26.51%,12.73%,233414.6,174509.4,174499.1,177057.3,56552.3,103843.9,241.13%,47.84%,47.84%,45.62%,27.24%,14.40%,1343869.5,196612.3,196601.2,192618.4,60269.3,113701.4,211784.3,170382.6,170393.3,174965.2,80888,415935.9,141976.9,147300.7,147319.6,154336.8,72550.1,407147.2,148724.3,143939.3,143948.9,149623.2,76473.5,402231,65.93%,51.76%,51.75%,48.78%,45.37%,19.14%,98052.1,74499.5,74496.9,72993.4,34695.4,76977,94.93%,54.96%,54.95%,51.26%,46.56%,21.12%,201046.1,93640.9,93637.4,89694.3,37657.6,87826.8,230103.1,246741.5,246773.4,267741.7,74085.3,1125600.4,79.87%,62.48%,62.48%,56.51%,20.75%,9.81%,426308,196482,196479.3,173474.2,16782.1,202781.1
01-OE-C5,,164353,123695,123683,115158,7672,658,100.00%,75.26%,75.25%,70.07%,4.67%,0.40%,100.00%,75.26%,99.99%,93.11%,6.20%,0.53%,231074.2,241169.2,241176.7,251540.6,82098.1,1062544.8,323616.3,288096.3,288116,296264.2,78262.3,1111291,170857.9,141484.2,141487.9,136605.4,15381.4,92593.2,101.98%,61.99%,61.99%,54.93%,20.44%,13.57%,393105.4,368600.5,368615.1,375547.4,226347.2,717335.5,306615,318647.8,318669.8,326904.6,222200.3,725886.9,168937.1,119856.6,119869.4,121470.8,42563.9,145881.6,102.73%,41.91%,41.91%,40.46%,19.88%,18.76%,403831.8,154481.8,154482,151943.1,44986.9,134566.5,55.10%,37.61%,37.62%,37.16%,19.16%,20.10%,285611.9,340868.3,340883.3,348894.8,222111.4,703678.4,470450.6,403637.7,403666.9,413217.4,217030.2,797143.9,318027,364009.1,364054.5,375487.8,210154.6,788823.3,334632.4,347634.1,347651.1,359711.6,209880,817060.4,60.86%,46.57%,46.56%,45.37%,25.13%,12.23%,203644,161881.7,161869.7,163187.7,52743.6,99886.3,194.85%,46.86%,46.86%,45.01%,25.98%,13.47%,916663.6,189157.6,189143.3,185976.3,56381,107391.2,188849.5,168746,168756.2,172855.9,80667.1,414837.3,126754.4,147098.9,147115.6,153089.2,72470.9,405513.6,143971.9,144822,144826,149100.8,77842,408507.2,60.97%,49.00%,49.00%,46.64%,44.59%,20.23%,87785.5,70965,70967.3,69543.4,34708,82638.1,87.24%,53.54%,53.54%,50.62%,46.17%,21.66%,164758.4,90346.7,90344.2,87495.7,37242.3,89860.6,198629.1,242157.8,242190.6,258725.1,76216.3,1102619.3,73.94%,58.67%,58.67%,54.31%,18.74%,8.71%,330017.3,178597.2,178593.1,162741.6,16000.5,150770.5
01-KO1_OE-A6,,109472,75661,75654,74046,315,1039,100.00%,69.11%,69.11%,67.64%,0.29%,0.95%,100.00%,69.11%,99.99%,97.87%,0.42%,1.37%,315552.8,331567.3,331584.9,329000.2,84038.2,1083477.8,425195.4,383095,383109,371685.4,79664.8,1151272.8,215461.4,162139.5,162162.6,157285,15337.5,115303.5,105.04%,52.02%,52.01%,46.58%,21.25%,19.17%,394998.2,370162.2,370173.1,365311.9,208112,692875.4,314415.6,330073.9,330080.8,328063.3,197189.1,696675.4,186199.9,117380.7,117383.4,113719.8,42216,139327,136.53%,38.55%,38.55%,37.29%,25.43%,20.04%,539297.3,142687.8,142687.1,136235.9,52919.8,138862.1,59.22%,35.56%,35.56%,34.66%,21.41%,20.00%,264567.2,346097.3,346109.1,342898.2,202489.2,677414.6,561563.2,449190.1,449210.7,444922.6,227602.8,748507.2,345662.5,413271.7,413301.7,410335.9,216788.6,730081.6,390941.3,405917.3,405922.9,403210.1,213373.5,784595.7,60.67%,42.86%,42.86%,42.07%,27.85%,17.98%,237192.9,173982.7,173981.5,169624,59431.6,141037,269.81%,41.24%,41.24%,40.74%,34.00%,19.96%,1515166.3,185258.3,185249.9,181275.7,77374.1,149377.5,242032.2,213092.5,213040.1,209555.9,121177.5,442402.6,151314.4,194815.8,194833.1,192787.9,97978.8,428553.3,186514.7,190385.2,190392.5,188522.7,97332.8,437198.8,56.04%,44.41%,44.40%,43.60%,36.86%,20.47%,104517.5,84547.3,84538,82205.3,35878.3,89495.7,96.55%,45.18%,44.37%,42.52%,95.55%,26.60%,233681.6,96268.4,94531.1,89105.7,115779.8,117677.2,255089.5,339734,339754.3,335001.2,77259.8,1135829.8,68.28%,48.90%,48.91%,47.81%,18.25%,10.64%,446622.8,199272.9,199273.4,173114.8,16930.3,220701.6
01-KO1_OE-B6,,95102,67709,67703,65677,405,1289,100.00%,71.20%,71.19%,69.06%,0.43%,1.36%,100.00%,71.20%,99.99%,97.01%,0.60%,1.90%,338805.6,333070.5,333088.8,328809.7,84141.3,1091332.6,486576.3,390906.5,390930,374991.4,79381.6,1155857.6,235934.4,175861.8,175834.7,168313.3,13680.8,124674.1,107.49%,55.27%,55.27%,48.68%,21.06%,18.02%,475934.1,406567.1,406583.7,398904.5,213976.1,769002.4,356653.3,355818.8,355828.2,352634.3,205183.5,792577.5,224073.9,146226.8,146233.9,139949.6,43840,133045.3,113.04%,41.84%,41.83%,40.32%,23.72%,18.20%,537991.6,170090.6,170088.7,160854.2,50751.5,139987.1,62.83%,41.10%,41.10%,39.69%,21.37%,16.79%,343865.2,374829.9,374848.2,369802.3,208716.1,753583.3,607618.9,442256.8,442280.2,436626.4,228995,724356.6,410989.2,402118.5,402151.9,398082.1,217650.3,707416.8,405395.4,397005,397064.7,392524.9,210527.3,746341.1,63.68%,47.38%,47.37%,46.22%,28.05%,19.92%,258168.9,188098.5,188103.7,181409.9,59045.4,148656.6,231.44%,43.59%,43.59%,43.14%,34.68%,19.88%,1406286.5,192779.3,192770,188354.5,79421.7,144021.5,267792.8,209622.8,209613.4,205452.7,103592.7,410287.2,196535.1,190012.8,190032.6,187582.3,83608.5,399934.8,198510.2,187822.3,187831,185147.4,89185.4,404324.1,57.09%,46.82%,46.81%,45.61%,39.88%,20.19%,113329.6,87934.2,87927.4,84441.6,35571.6,81646.3,95.05%,46.06%,45.98%,44.30%,88.18%,23.41%,254539.1,96560.2,96389.5,91011.5,91351.6,96059.8,326206,340770.1,340804.5,334138.1,77089.2,1141055.9,69.64%,52.80%,52.79%,51.19%,16.26%,11.42%,523031.9,216060.4,216054.9,182557,16715.2,208249.8
01-KO1_OE-C6,,87703,65960,65958,64205,204,1224,100.00%,75.21%,75.21%,73.21%,0.23%,1.40%,100.00%,75.21%,100.00%,97.34%,0.31%,1.86%,355244.4,349450.2,349461.8,344808,84936.6,1087664.6,484046.4,403664.9,403676.8,387660.6,80763.7,1151197.9,223771,172866.5,172869.1,165857,13003,118435.8,96.32%,52.14%,52.14%,46.07%,18.69%,18.08%,450535.7,387413.6,387417.6,380055.5,207961,725546.9,346027.9,344428.3,344432.6,341085.5,198306.6,734488,182116.7,127979.3,127980.4,122313.8,37462.9,137906.8,138.15%,39.48%,39.48%,37.96%,24.14%,18.52%,622401.5,152940.4,152940.9,144272.4,50211.3,134397.1,52.63%,37.16%,37.16%,35.86%,18.89%,18.78%,339797.5,360765.8,360769.7,355675.9,202846.4,711430.5,604275.7,444455.8,444462.8,438042.1,223322.9,740512.8,417764.8,407839.6,407849.7,403098.3,213131.9,723445.6,409637.8,400338.3,400355.4,395837.1,210614.8,769415.6,55.52%,43.75%,43.76%,42.73%,27.96%,18.40%,227416.6,175156.5,175177,169124,58882.1,141540.8,274.10%,41.92%,41.92%,41.37%,34.74%,19.50%,1656306.9,186331.2,186328.6,181197.3,77586.5,144409.7,269488.5,222129.1,222135.6,217219.7,106946.6,447656.5,198778.5,202765.5,202774,199666.3,87584.5,436157.1,206690.8,199571.5,199574.8,196831,98689,440950.1,53.90%,45.11%,45.11%,44.07%,38.81%,18.92%,111416.5,90017.5,90021.3,86733.6,38302.8,83441.7,88.94%,44.67%,44.67%,42.70%,84.28%,23.44%,239696.5,99228.6,99223.1,92748.9,90139.9,104944.7,344574.6,357482.7,357500.5,349642.4,78992.6,1136506.4,62.99%,49.47%,49.47%,48.10%,15.31%,10.89%,466217.8,210465.9,210458,178593.5,15095.2,208094.9
01-KO2_OE-A7,,80755,61354,61349,59281,355,1396,100.00%,75.98%,75.97%,73.41%,0.44%,1.73%,100.00%,75.98%,99.99%,96.63%,0.58%,2.28%,360301.9,358565.8,358570.6,353147.1,81585.2,1094444,488710.8,411581,411592,393069.6,77843.2,1159588.6,232847.5,186578.9,186568.4,177649.6,16485.2,124467.7,102.34%,53.64%,53.64%,46.75%,22.01%,16.90%,421230.2,367809.8,367818.3,359747.3,199390,689569,325696.4,327564.8,327576.3,323748.7,191486.4,687338.9,171976.6,128227.4,128234.1,121850.8,41043.6,131637.6,125.78%,39.57%,39.57%,37.61%,23.94%,19.71%,529842.2,145553.9,145556,135283.1,47725.4,135885.1,52.80%,39.15%,39.15%,37.64%,21.43%,19.15%,332635.6,342336.3,342344.1,336937.8,194621.5,674825.8,587640.5,436051.6,436075.2,428780.3,204680.1,739006,418703.1,397879.4,397917.9,392790.9,198320.9,722859.3,399521,391494.3,391512.8,386248,195274.9,765000.4,55.76%,45.56%,45.55%,44.01%,26.13%,18.61%,222775.8,178351.4,178349.2,169988.4,51029,142377.7,268.59%,43.07%,43.07%,42.31%,25.91%,19.20%,1578331,187810.3,187797.2,181406.8,53040.4,141866.3,259180.6,214954.9,214905.9,209593.7,118147,424278.2,199962,196170.4,196172.6,192814.3,103600.9,412127.8,193625.8,188185.3,188187.8,184649.6,107163.8,415545.5,52.27%,45.04%,45.04%,43.72%,27.92%,20.72%,101204.6,84762.8,84757.1,80727.7,29919.9,86086.1,95.21%,45.55%,45.08%,42.84%,62.51%,26.06%,246771.1,97920.9,96876.6,89781.5,73856.2,110577,357538.1,360689.7,360703.2,352484.8,75333.2,1145895.4,64.63%,52.03%,52.03%,50.30%,20.21%,11.37%,500143.7,220762.6,220764.1,183751.7,17129.6,196003.7
01-KO2_OE-B7,,69564,53345,53333,50948,327,1652,100.00%,76.68%,76.67%,73.24%,0.47%,2.37%,100.00%,76.68%,99.98%,95.53%,0.61%,3.10%,379806.9,375075.3,375106.2,366337.8,82220.9,1097980,518365.5,431501.3,431548.8,406283.6,78502.2,1152342.6,250165.2,199177.4,199178.1,186487.1,15793.4,129072.2,100.91%,54.15%,54.15%,46.44%,20.61%,16.03%,438335.8,376544.4,376573.9,364674.9,201698.4,710763,336300.1,334472.1,334536.5,328724.7,191702.8,715175.9,179146.6,133352.6,133346.8,124672.7,39438.3,133599.9,128.52%,40.24%,40.24%,37.57%,24.65%,18.81%,563362.1,151516.5,151514.5,137015,49716.7,133672.7,53.27%,39.87%,39.86%,37.93%,20.57%,18.68%,346371.3,349535.6,349567.2,341450.2,196541.8,696961.4,595501.8,434532,434595.2,423912.9,205740.2,741374,423490.8,395701.8,395803.7,388136.1,197743.5,723404.2,401459.7,389565.1,389672.5,382355.1,192964.2,772943.4,55.76%,45.92%,45.90%,44.08%,26.79%,19.42%,223853,178892.7,178855.5,168534.7,51687.6,150088,264.47%,43.55%,43.54%,42.49%,31.88%,20.05%,1574906.6,189245.3,189210.7,180105.4,65581.6,148682.4,261860.2,215773.3,215745.4,208706.8,120888.4,412027.1,199583.3,196864,196900.1,192181.5,106322.7,402971.2,195074.3,189095.6,189112.6,183868.1,106120.3,411511.7,52.87%,45.35%,45.35%,43.41%,25.59%,20.08%,103131.1,85757.9,85763.2,79820.7,27156.9,82641.2,94.54%,45.28%,44.84%,42.57%,67.03%,21.14%,247569.4,97696.6,96742.4,88856.7,81026.8,87085,377010.8,376482.1,376552.6,364295.6,76471.4,1140086.8,65.87%,53.10%,53.10%,50.91%,19.21%,11.76%,523084.8,233670.8,233666.6,188658.3,16179.3,184715.5
01-KO2_OE-C7,,66031,48125,48119,45007,235,2369,100.00%,72.88%,72.87%,68.16%,0.36%,3.59%,100.00%,72.88%,99.99%,93.53%,0.49%,4.92%,408659.5,407963.9,408044,392263.2,80533.2,1118210.5,565765.8,470665.1,470694,430089.8,76291.8,1177544.5,286885.3,221050.2,221045.3,199334.1,16773.7,141357.3,104.75%,54.90%,54.90%,45.15%,22.31%,17.67%,461927.1,391888.1,391909.1,373789.1,202882.5,702323.1,347716.1,350127,350152.8,339150.2,197059.4,708431.6,207209.8,148385.3,148383.8,133554,41860.5,138315.6,140.77%,40.87%,40.87%,37.82%,23.42%,19.63%,650258.7,160182.7,160181.5,141362.9,47517.1,137831.7,59.59%,42.38%,42.38%,39.38%,21.24%,19.52%,345988.9,362343,362365,349317.7,198104.3,687203.4,617894.6,436379.6,436422.6,420633.7,207710,707819.8,414522.5,395633.5,395705.7,383592.9,199273.4,687390.9,401758.6,392521.3,392531.6,380086.5,192218.8,732479.3,60.59%,48.17%,48.17%,45.61%,26.62%,23.14%,243418.7,189087.7,189074.5,173355.2,51169.3,169528.7,284.46%,44.15%,44.14%,43.18%,31.99%,22.15%,1757659.4,192662.6,192636.2,181619.6,66456.1,156794.4,275988.8,224927.1,224946.3,213730.4,124223.6,416136.4,200961.3,204163,204191.4,196412,104735.9,403513.4,205310.6,200375.6,200407.3,190496.5,114540.2,408087.5,56.23%,47.16%,47.16%,44.51%,35.93%,22.48%,115451.2,94499.9,94503,84789.3,41153.7,91751.3,99.91%,45.98%,45.97%,42.48%,66.47%,27.48%,275730.1,103423.2,103415,90783.4,82576.6,114348.2,394439.3,408972,409001.2,386878.3,73872.6,1162448.8,70.20%,54.18%,54.17%,50.82%,20.83%,12.64%,592644.6,258403.3,258405.6,194192,17019.4,208056.9
01-KO3_OE-A8,,111001,88528,88507,85584,1550,1123,100.00%,79.75%,79.74%,77.10%,1.40%,1.01%,100.00%,79.75%,99.98%,96.70%,1.75%,1.27%,274883.3,279436.8,279454.2,279833.8,85016.8,1096243.8,372967.4,334721.2,334735.7,326808.5,81274.4,1151011.1,178442.5,150416.6,150444.1,145655.1,12219.8,125460,92.87%,59.61%,59.60%,52.65%,17.79%,16.44%,438068,399691.7,399724,396873.7,224487.7,778977.1,338726.6,344757.4,344786.1,345112.8,220242.6,803714.2,175351.7,135017.2,135019.8,131416.6,44410.6,129868.6,117.33%,42.53%,42.53%,41.18%,20.33%,17.99%,513971.4,170006.7,170006.5,163431.3,45642.6,140105.7,51.77%,39.16%,39.16%,38.08%,20.16%,16.16%,331837.9,368354.1,368387.5,367542.9,220166.4,763782.3,492515.4,402384.2,402443.3,400841.5,228091.5,700413.1,350076.2,364997.7,365098.1,364782.7,220606,682257.9,352869.8,356312.3,356345.8,356572.5,219591.2,717492.1,55.28%,44.95%,44.94%,43.93%,24.12%,21.81%,195052.1,160151,160126.5,156630,52955.1,156489.1,265.37%,45.14%,45.12%,44.42%,27.04%,21.10%,1306981,181625.2,181584.4,178057.8,61687.2,147810.4,211040.3,185538.7,185472.3,183699.3,94176.1,405421.6,160211.6,168032,168041.7,167730.2,88368.3,396157,162890.5,161458.6,161471.5,161530.2,87833.8,397786.6,51.79%,45.51%,45.50%,44.30%,23.36%,20.18%,84356.8,73478.5,73462.7,71560,20521.1,80265.9,82.11%,47.97%,46.98%,44.92%,41.25%,22.46%,173282.5,89003.9,87132.2,82514,38843.7,91041.6,257520.7,287225.3,287240.7,287717.4,79650.2,1138332.5,64.92%,53.83%,53.83%,52.05%,14.37%,11.44%,346387.5,199523.3,199516.9,172063.3,14455.5,189268.6
