Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
KIAA1644	4	-0.052284	-0.16327	0.99493	0.99985	0.87031	0.93773
TRMT61A	4	-0.79111	-1.7265	0.060909	0.46987	0.084265	0.60964
HLA-B	4	0.00083757	0.0058349	0.8576	0.99002	0.99534	0.99792
SNX30	4	0.0040219	0.011944	0.8485	0.98873	0.99047	0.99507
CLVS2	4	0.14222	0.55512	0.49607	0.92165	0.57881	0.78386
MTHFD2L	4	-0.20752	-0.87852	0.63987	0.95412	0.37966	0.68574
ADAMTSL5	4	-0.47793	-1.626	0.23145	0.76743	0.10395	0.634
CFAP97	4	-0.22535	-1.1766	0.60193	0.94713	0.23937	0.6342
PRDX6	4	-0.06565	-0.5325	0.97012	0.99826	0.59438	0.78947
TM4SF20	4	-0.15097	-1.018	0.76208	0.97894	0.3087	0.64874
SPRR4	4	0.2592	1.1435	0.25984	0.79568	0.25285	0.63489
ZNF709	4	-0.16791	-1.4036	0.72484	0.97375	0.16043	0.634
C22orf24	4	0.46686	0.9171	0.052257	0.4343	0.35909	0.67413
FUT5	4	-0.2211	-0.90476	0.61167	0.9486	0.36559	0.67745
OPA1	4	-0.82158	-2.1802	0.05176	0.43177	0.029245	0.38771
ZDHHC4	4	0.083822	0.52484	0.63778	0.95395	0.5997	0.792
PHIP	4	-0.30892	-1.4644	0.44884	0.90315	0.14308	0.634
E2F5	4	0.13956	0.9543	0.50194	0.92372	0.33993	0.66454
PIP5K1B	4	0.45844	1.1883	0.056335	0.45121	0.2347	0.634
PPP1CA	4	0.41538	1.1129	0.081693	0.53535	0.26576	0.63722
ETS1	4	-0.13533	-0.35653	0.79937	0.98373	0.72144	0.84971
COBLL1	4	-0.19403	-1.0153	0.66895	0.96056	0.30995	0.64955
G3BP1	4	-0.27827	-1.7975	0.50204	0.92372	0.072249	0.57181
CCDC107	4	-0.63652	-1.871	0.11933	0.62484	0.06135	0.535
TRIM42	4	-0.1791	-1.5866	0.69913	0.96739	0.11261	0.634
OR2A2	4	-0.25637	-1.5715	0.54291	0.93275	0.11607	0.634
LIAS	4	-1.0676	-2.559	0.017154	0.23942	0.010498	0.22874
CDC42	4	-1.1618	-2.3337	0.010591	0.17459	0.019613	0.31956
LOC149373	4	0.1039	0.53766	0.58766	0.94333	0.59081	0.78759
NPIPA5	4	-0.84354	-1.5612	0.047037	0.414	0.11848	0.634
EIF2B2	4	-1.3108	-2.5457	0.0047733	0.10655	0.010905	0.23197
CLUH	4	-0.6052	-2.3329	0.13639	0.6507	0.019652	0.31956
HAUS2	4	-0.41654	-1.094	0.29808	0.82765	0.27397	0.63891
SPATA31E1	4	-0.29191	-1.1173	0.47768	0.9146	0.26386	0.63643
PGLYRP3	4	-0.054939	-0.45283	0.99732	0.9999	0.65067	0.81073
PNPLA4	4	-0.02022	-0.080694	0.91572	0.99393	0.93569	0.97144
TRIM29	4	-0.31999	-0.90815	0.43024	0.89814	0.3638	0.67689
CSHL1	4	-0.16984	-0.5568	0.71992	0.97181	0.57766	0.78386
SLC25A41	4	0.097626	0.39471	0.60402	0.94767	0.69306	0.8339
LILRA5	4	-0.18357	-1.2434	0.69128	0.96665	0.21374	0.634
CALHM3	4	0.35432	1.4591	0.13241	0.64582	0.14455	0.634
KRT74	4	0.28305	1.0346	0.22101	0.75685	0.30085	0.64531
POLDIP2	4	-0.45094	-1.6327	0.26069	0.79669	0.10253	0.634
DYTN	4	-0.083616	-0.26407	0.92497	0.99393	0.79173	0.89044
OR10A7	4	0.19026	0.95685	0.39136	0.88255	0.33864	0.66361
DYNLRB2	4	-0.51303	-1.7939	0.20068	0.7369	0.072825	0.57392
MINOS1-NBL1	4	-0.086674	-0.91159	0.91736	0.99393	0.36199	0.67598
TRIM14	4	0.16988	1.0723	0.43447	0.89861	0.28358	0.63926
ARF5	4	0.015191	0.21474	0.81911	0.98694	0.82997	0.91345
ZNF32	4	-0.13301	-0.54014	0.80449	0.98555	0.5891	0.78739
CGREF1	4	-0.27688	-0.94053	0.50522	0.92457	0.34694	0.6683
SEBOX	4	-0.2275	-1.5735	0.59855	0.94683	0.11561	0.634
H2AFB3	4	-0.2253	-0.91966	0.60213	0.94713	0.35775	0.6737
ZAR1	4	-0.57464	-2.3417	0.15687	0.68201	0.019195	0.31623
MTHFD2	4	-0.21727	-1.5863	0.61968	0.95116	0.11268	0.634
ADAMTS4	4	0.0067917	0.059262	0.84169	0.98787	0.95274	0.97917
SLC12A6	4	0.24272	0.97978	0.28918	0.82077	0.3272	0.65876
HDLBP	4	-0.1611	-1.1488	0.73986	0.9775	0.25062	0.63489
FAM149B1	4	-0.4428	-2.2812	0.2679	0.8022	0.022537	0.34053
NCLN	4	0.67582	1.2497	0.0050716	0.11051	0.21141	0.634
TAF10	4	-0.18563	-0.53013	0.68705	0.96602	0.59602	0.7904
EHHADH	4	0.038112	0.15549	0.75825	0.978	0.87644	0.94041
ACPT	4	0.080502	0.33353	0.64618	0.95475	0.73874	0.85981
MRPS10	4	-0.92071	-2.1201	0.033015	0.34708	0.033998	0.41788
INTS7	4	-0.83577	-1.9803	0.048876	0.42407	0.047669	0.48025
DEDD2	4	0.42804	1.0776	0.073588	0.5144	0.28122	0.639
DNAH6	4	0.26679	1.462	0.24637	0.78298	0.14373	0.634
LYZL6	4	-0.16054	-0.90231	0.74085	0.9775	0.36689	0.67822
CCDC102B	4	-0.23693	-0.83132	0.57931	0.93929	0.40579	0.70308
SLC35G3	4	-0.39455	-1.1196	0.32483	0.84646	0.26286	0.63562
SLC26A1	4	0.31165	1.1901	0.18054	0.71375	0.234	0.634
DCBLD2	4	-0.24972	-1.43	0.554	0.93544	0.15273	0.634
ANPEP	4	0.19197	1.4563	0.38857	0.88086	0.14531	0.634
ABCB7	4	-2.0713	-2.9065	4.9722e-05	0.0044248	0.0036547	0.12895
TANC2	4	0.38708	1.3847	0.10357	0.59805	0.16615	0.634
ZMYND15	4	0.13105	1.0984	0.52133	0.92668	0.27203	0.63891
DOCK8	4	0.30328	0.84945	0.19217	0.72392	0.39563	0.69589
CLEC1A	4	0.065779	0.25135	0.68223	0.96457	0.80154	0.89647
SLC16A1	4	0.39932	1.4408	0.094272	0.57527	0.14963	0.634
CKMT1A	4	-0.27801	-0.64833	0.50264	0.92372	0.51677	0.76472
MOCS2	4	-0.13262	-0.68719	0.80514	0.98555	0.49197	0.75512
NF1	4	-0.20298	-0.7285	0.64902	0.95475	0.46631	0.74026
UQCRHL	4	-0.4113	-1.4092	0.304	0.83367	0.15879	0.634
DMKN	4	-0.25181	-1.1224	0.54997	0.93455	0.26168	0.63562
NCKIPSD	4	0.101	0.31198	0.59527	0.94528	0.75506	0.86973
FLAD1	4	-0.023296	-0.20791	0.92283	0.99393	0.8353	0.91587
HDAC11	4	-0.27652	-1.7342	0.50592	0.92466	0.082874	0.60575
MAP3K15	4	0.036467	0.26261	0.76308	0.97926	0.79285	0.89113
CTSG	4	0.16059	0.57268	0.45441	0.9044	0.56686	0.78121
CCDC6	4	-0.32301	-1.7749	0.42591	0.89606	0.075913	0.58552
HOOK2	4	-0.036339	-0.29584	0.95436	0.99777	0.76736	0.87776
DMRTA1	4	0.24688	1.3604	0.28167	0.81299	0.17369	0.634
ATG5	4	0.30086	1.2165	0.19595	0.73036	0.22378	0.634
CYP3A4	4	0.063602	0.42374	0.6882	0.96648	0.67176	0.82174
DNAJC25-GNG10	4	-0.25836	-0.55918	0.53913	0.9326	0.57604	0.78332
RWDD3	4	-0.28208	-0.92091	0.49408	0.92079	0.3571	0.67322
SUCLA2	4	-0.6181	-1.9515	0.12933	0.64263	0.050996	0.49167
PKLR	4	0.17911	1.0805	0.41403	0.89203	0.27993	0.63891
MMP24	4	-0.3913	-2.1965	0.32856	0.84664	0.028058	0.38184
WSB1	4	-0.44528	-0.95106	0.26566	0.80009	0.34157	0.66528
ZEB1	4	-0.08398	-0.28963	0.92408	0.99393	0.7721	0.88074
MAP1LC3B2	4	-0.22402	-0.68519	0.60471	0.94786	0.49322	0.75548
ATL1	4	0.35978	1.396	0.12704	0.63788	0.1627	0.634
SUPT20HL1	4	-0.10879	-0.45747	0.86158	0.99062	0.64734	0.80889
PFKFB4	4	-0.32798	-1.8579	0.41851	0.89381	0.063178	0.54231
CLIP2	4	0.16838	1.2877	0.4376	0.89981	0.19784	0.634
WDSUB1	4	0.00784	0.031201	0.83845	0.98743	0.97511	0.98931
RPL7A	4	-1.6745	-2.8512	0.00079554	0.037209	0.0043548	0.14264
SLC7A8	4	-0.30407	-1.1737	0.45684	0.90576	0.24052	0.6342
PPFIBP1	4	-0.38234	-1.5512	0.3396	0.85584	0.12085	0.634
POPDC2	4	0.25822	1.5233	0.26228	0.79843	0.12769	0.634
HEPN1	4	-0.025688	-0.20954	0.9283	0.99393	0.83403	0.91537
NDUFA4	4	-0.45148	-1.0893	0.26009	0.79583	0.27604	0.63891
KLRK1	4	-0.3926	-1.2442	0.32702	0.84648	0.21342	0.634
MCPH1	4	-0.31653	-1.386	0.43531	0.89861	0.16574	0.634
SOST	4	0.30506	1.0135	0.18979	0.7217	0.31084	0.6504
SETDB2	4	0.20528	1.0617	0.35969	0.867	0.28837	0.64203
PPIB	4	0.16512	0.8107	0.44481	0.90077	0.41754	0.71226
R3HCC1	4	-0.34871	-2.0711	0.38678	0.87978	0.038347	0.44096
CD46	4	0.40272	1.3657	0.09114	0.56309	0.17203	0.634
VCX3B	4	-0.62893	-1.9668	0.12346	0.63147	0.049206	0.48711
PSG2	4	-0.079893	-0.69356	0.93472	0.99482	0.48796	0.75352
PCDHGA11	4	0.23289	1.0199	0.30653	0.83482	0.30779	0.64869
GPR173	4	0.022245	0.15021	0.79828	0.98352	0.8806	0.94259
FAM167B	4	0.17092	0.62879	0.43273	0.89825	0.52948	0.76868
KIAA0907	4	-0.66421	-2.2161	0.1064	0.60197	0.026684	0.36987
ITGA4	4	0.093296	0.37648	0.61327	0.94899	0.70656	0.84155
SYMPK	4	-0.80297	-2.1268	0.056285	0.45121	0.033437	0.4152
MTRNR2L9	4	-0.024485	-0.29445	0.92532	0.99393	0.76841	0.87837
NRG3	4	0.19665	0.72422	0.37788	0.87655	0.46893	0.74109
KRT15	4	-0.24124	-0.82295	0.57075	0.93746	0.41053	0.70695
POLL	4	0.36332	1.1334	0.12376	0.63157	0.25706	0.63496
CRABP2	4	-0.33285	-2.0816	0.41169	0.89092	0.037382	0.4366
RBBP4	4	-0.89963	-2.5642	0.036048	0.36155	0.010341	0.2263
MCMBP	4	-1.0854	-2.2121	0.015513	0.2223	0.026963	0.37194
RRAGD	4	-0.5601	-1.7784	0.16612	0.6933	0.07534	0.58358
ZDBF2	4	0.12545	1.022	0.5354	0.9323	0.3068	0.64812
RAD54L2	4	-0.0002456	-0.0036757	0.85993	0.99056	0.99707	0.99881
OR51B2	4	0.018194	0.1067	0.81041	0.98555	0.91503	0.96073
KIAA1211	4	0.16855	0.81042	0.43725	0.89976	0.4177	0.71241
TET3	4	-0.099385	-0.51494	0.8848	0.99309	0.60659	0.79281
PCYT1B	4	0.80429	1.0863	0.0011933	0.047151	0.27736	0.63891
GAGE12C	4	-1.2967	-2.521	0.005171	0.11159	0.011702	0.24163
TAF4B	4	0.062907	0.2499	0.69063	0.96665	0.80267	0.897
LIPA	4	0.31384	0.89774	0.17756	0.70839	0.36933	0.67953
CACNG3	4	-0.2687	-0.68694	0.51989	0.9265	0.49212	0.75512
RAMP1	4	-0.0054306	-0.028697	0.8744	0.99232	0.97711	0.9901
HSD17B1	4	0.19435	1.1796	0.38201	0.87712	0.23814	0.634
HS3ST3B1	4	0.24482	1.0118	0.28515	0.81521	0.31165	0.65087
DNAJA4	4	0.17564	1.2684	0.42174	0.89407	0.20466	0.634
DTD1	4	-0.084945	-0.32023	0.92174	0.99393	0.7488	0.8664
FOXE1	4	-0.20727	-0.96796	0.64041	0.95412	0.33306	0.66126
ADSS	4	0.058224	0.28024	0.70316	0.96869	0.77929	0.88445
KDM8	4	-0.89881	-2.0675	0.036098	0.36155	0.038689	0.44311
CCSER1	4	0.057801	0.34625	0.70431	0.96869	0.72915	0.85486
CRTAM	4	-0.28804	-1.0284	0.48449	0.91786	0.30377	0.64667
ZNF273	4	0.42257	1.175	0.076273	0.51958	0.23998	0.6342
CYP1A1	4	0.069752	0.83768	0.67114	0.96086	0.40221	0.70007
SLC23A3	4	0.037436	0.2126	0.76034	0.97869	0.83164	0.91389
BARHL2	4	0.059443	0.45142	0.69918	0.96739	0.65169	0.81096
OR7E24	4	-1.058	-1.5778	0.017552	0.24261	0.11461	0.634
AACS	4	0.51429	1.3123	0.032866	0.3468	0.18942	0.634
PIGV	4	-0.96275	-2.3376	0.02685	0.30721	0.019409	0.31752
NT5C2	4	0.10535	0.29978	0.58423	0.94156	0.76434	0.87553
PRRX2	4	-0.14317	-0.83566	0.78058	0.98108	0.40334	0.70096
HIST3H2BB	4	-0.38669	-1.6599	0.33403	0.85024	0.09693	0.634
CENPV	4	-0.03606	-0.23734	0.95371	0.99776	0.81239	0.90325
SP100	4	0.19342	1.1819	0.3847	0.8791	0.23726	0.634
PIK3R5	4	0.32102	1.4154	0.1695	0.69806	0.15696	0.634
FAM71C	4	0.30848	0.89031	0.18541	0.72002	0.3733	0.68185
MRPS22	4	-1.3047	-2.844	0.0048727	0.10769	0.0044546	0.14526
MEA1	4	0.15772	0.68564	0.46161	0.90953	0.49294	0.7553
CAMKV	4	0.041927	0.25332	0.74771	0.9778	0.80002	0.89543
HPR	4	0.27524	0.7275	0.23384	0.7706	0.46692	0.7404
OR4D2	4	0.046643	0.20971	0.73384	0.976	0.83389	0.91536
IGF2R	4	-0.041389	-0.23715	0.96728	0.99826	0.81254	0.90325
CDKN2B	4	0.20321	1.0312	0.36406	0.86945	0.30244	0.64602
ALDH7A1	4	-0.13986	-0.50116	0.78888	0.98321	0.61626	0.79531
CYP3A43	4	-0.20257	-0.88106	0.64946	0.95475	0.37828	0.68528
MEX3A	4	0.19824	1.0566	0.37475	0.87578	0.29068	0.64292
PDE2A	4	-0.16368	-1.1129	0.73459	0.97602	0.26575	0.63722
HCAR2	4	0.32427	1.299	0.16532	0.69263	0.19394	0.634
ALPL	4	0.37354	1.2533	0.11416	0.61313	0.2101	0.634
SAPCD2	4	0.19948	1.062	0.37227	0.87445	0.28825	0.64203
MMS19	4	-1.8694	-3.0788	0.00044749	0.026946	0.002078	0.094128
MMRN1	4	0.28105	1.5332	0.22449	0.76085	0.12523	0.634
GAGE2B	4	-0.48306	-1.4003	0.22693	0.76308	0.16142	0.634
SUCNR1	4	0.24596	1.3842	0.28302	0.81299	0.16628	0.634
VSTM2B	4	0.13824	0.41591	0.50443	0.92415	0.67747	0.82513
NAV1	4	0.23698	1.2158	0.29898	0.82812	0.22407	0.634
GSKIP	4	0.54555	1.2533	0.023469	0.28537	0.2101	0.634
SH3D21	4	-0.17432	-1.1029	0.70953	0.97055	0.27005	0.63805
PPTC7	4	-0.1908	-0.55266	0.67537	0.96228	0.5805	0.78429
GBA2	4	0.076015	0.42037	0.65623	0.95707	0.67422	0.82337
DEFB107A	4	0.1064	0.52611	0.58184	0.9409	0.59881	0.79175
ZNF804A	4	-0.039746	-0.20048	0.96291	0.99826	0.84111	0.91927
PELI2	4	-0.1244	-0.85126	0.82349	0.98743	0.39462	0.69538
COPS8	4	-0.47065	-1.6705	0.23931	0.77719	0.094828	0.634
GLO1	4	0.46516	1.3084	0.052605	0.43432	0.19074	0.634
WWTR1	4	-0.54021	-1.4647	0.18034	0.71375	0.14299	0.634
ADAM12	4	0.21065	0.6775	0.3491	0.85989	0.49809	0.75771
RETNLB	4	0.10814	0.65927	0.57727	0.93818	0.50972	0.76255
CUL7	4	-0.34942	-1.8313	0.38604	0.87978	0.06705	0.55231
E2F3	4	-0.85751	-2.1437	0.044153	0.40199	0.032059	0.40663
NUP205	4	-0.66643	-1.3472	0.10571	0.60085	0.17792	0.634
PAX1	4	0.069298	0.33553	0.67233	0.96133	0.73723	0.85875
TCEAL5	4	-0.61219	-1.8345	0.13181	0.64582	0.066578	0.55176
CAPNS2	4	0.34493	1.2548	0.14265	0.66213	0.20957	0.634
FAM124A	4	0.54975	1.3726	0.022524	0.27998	0.16987	0.634
FGF4	4	0.28818	1.306	0.2141	0.7507	0.19157	0.634
CCDC132	4	-0.14681	-1.2761	0.77282	0.98089	0.20192	0.634
LRRC37B	4	-0.27028	-1.1429	0.51691	0.92508	0.2531	0.63489
KRT19	4	-0.36333	-1.0999	0.3663	0.87061	0.27136	0.63891
PEX11B	4	-0.31537	-0.61071	0.43805	0.89992	0.54139	0.77386
OR14I1	4	0.3423	1.4557	0.14534	0.66644	0.14546	0.634
IKBKG	4	0.01674	0.079085	0.81434	0.98582	0.93697	0.97216
ALAD	4	-0.98156	-2.7456	0.024612	0.29211	0.0060405	0.1696
LRIG1	4	0.26643	1.5634	0.24697	0.78298	0.11795	0.634
PSMD3	4	-1.6834	-3.6573	0.00079554	0.037209	0.00025493	0.027714
TRPM7	4	-1.2926	-2.2731	0.0053699	0.11273	0.023019	0.34472
SELE	4	-0.13825	-0.89281	0.79236	0.98321	0.37196	0.68112
OIP5	4	-0.65043	-1.324	0.11217	0.61149	0.18551	0.634
MYO3B	4	0.26515	1.3127	0.24876	0.78454	0.18928	0.634
TRIM56	4	0.069532	0.56965	0.67184	0.96116	0.56892	0.78173
RHOG	4	-0.050058	-0.14119	0.98941	0.99965	0.88772	0.94596
STRN4	4	-0.40491	-1.5848	0.3121	0.83962	0.11302	0.634
MNT	4	-0.24856	-1.8601	0.55713	0.93601	0.062876	0.5411
FAM209B	4	0.55447	1.174	0.021231	0.26974	0.24038	0.6342
UNC45B	4	0.16285	0.68618	0.44923	0.90359	0.4926	0.75512
CPN1	4	0.35998	1.2809	0.12679	0.63759	0.20024	0.634
ZNF586	4	-0.071266	-0.45712	0.95659	0.99777	0.64759	0.80891
GP1BA	4	0.48451	1.2742	0.044153	0.40199	0.20258	0.634
TWF1	4	-0.4472	-1.5855	0.26467	0.80006	0.11284	0.634
SIX2	4	-0.086386	-0.27076	0.91791	0.99393	0.78657	0.88774
FAM171A2	4	-0.40988	-0.91924	0.30594	0.83482	0.35797	0.67376
MORC1	4	0.16122	0.71907	0.45296	0.9044	0.4721	0.74365
CRACR2A	4	0.09372	0.50544	0.61272	0.94888	0.61325	0.7947
ROCK1	4	-0.30077	-1.0919	0.46236	0.90953	0.27487	0.63891
GLIPR1	4	-0.10617	-0.50168	0.86744	0.99176	0.6159	0.7953
CAMK1D	4	0.04606	0.094332	0.73548	0.97676	0.92485	0.96572
JOSD1	4	-0.57588	-1.877	0.15613	0.67965	0.060524	0.53151
FLNA	4	0.24977	1.1034	0.2773	0.80988	0.26987	0.63805
GBGT1	4	0.39696	1.1444	0.095565	0.57743	0.25248	0.63489
C7orf60	4	-0.010649	-0.041848	0.88872	0.99393	0.96662	0.98548
CPXM1	4	0.301	1.3396	0.1958	0.73036	0.18038	0.634
ZFP28	4	0.18431	0.92543	0.40289	0.88782	0.35474	0.67262
FAM127A	4	0.21567	1.1417	0.33935	0.8558	0.25359	0.63489
USP17L28	4	-1.5348	-3.3994	0.0015911	0.054187	0.00067546	0.051458
ANP32E	4	-0.42899	-1.3367	0.28311	0.81299	0.18131	0.634
C12orf77	4	-0.38578	-0.71417	0.33527	0.85139	0.47512	0.74466
TPCN1	4	-0.17748	-1.2352	0.70296	0.96869	0.21674	0.634
ERAS	4	0.21592	1.1906	0.33895	0.85576	0.23382	0.634
SCARF1	4	-0.66259	-2.0446	0.1072	0.60403	0.04089	0.45136
KCTD19	4	-0.15316	-1.031	0.75726	0.9778	0.30255	0.64613
S100A12	4	-0.24275	-0.91215	0.56807	0.93746	0.36169	0.67589
PHLDA2	4	-0.39575	-1.9428	0.32379	0.8456	0.052037	0.49623
EEF1E1	4	0.19606	0.60563	0.37903	0.87704	0.54476	0.77508
CSH1	4	-0.28323	-1.2366	0.49229	0.91951	0.21622	0.634
SPDYE6	4	-1.381	-3.1625	0.00358	0.090566	0.001564	0.080449
SLC4A7	4	-0.048554	-0.096363	0.98508	0.99965	0.92323	0.9651
TAAR8	4	-0.14905	-0.88035	0.76755	0.98	0.37867	0.68538
ITLN2	4	-0.075206	-0.61793	0.94764	0.99776	0.53662	0.77192
TSEN15	4	-0.29231	-1.2188	0.47668	0.91404	0.22293	0.634
GBP6	4	-0.086118	-0.4746	0.9189	0.99393	0.63507	0.80314
OR52N2	4	-0.0076698	-0.065534	0.88042	0.99232	0.94775	0.97699
GNB2L1	4	-1.5803	-2.9011	0.001243	0.04771	0.0037182	0.12983
HIF1AN	4	-0.11627	-0.40093	0.84303	0.988	0.68847	0.83112
ERCC6L	4	0.030933	0.072582	0.77705	0.98101	0.94214	0.97436
KRBOX4	4	0.17048	0.7524	0.43357	0.89851	0.45181	0.73186
OR4M2	4	-0.13315	-0.7703	0.8041	0.98555	0.44112	0.72604
EMX1	4	-0.17277	-0.91512	0.71306	0.97086	0.36013	0.6752
KLF2	4	0.59057	1.3505	0.013773	0.2084	0.17686	0.634
HIST1H1A	4	-0.52924	-1.6421	0.18745	0.72089	0.10057	0.634
FAM136A	4	-0.64063	-2.0394	0.1167	0.61725	0.041409	0.45301
UGT2A2	4	0.036839	0.086777	0.76223	0.97894	0.93085	0.96896
OR51V1	4	-0.099788	-0.23892	0.88375	0.99309	0.81117	0.90261
WDR27	4	0.086432	0.54628	0.63102	0.95163	0.58487	0.78587
SNRPD2	4	-2.0583	-3.9315	4.9722e-05	0.0044248	8.442e-05	0.017872
SERPINA12	4	-0.028477	-0.094837	0.93452	0.99482	0.92444	0.96554
AMZ1	4	0.12427	0.44699	0.53863	0.9326	0.65488	0.81232
PPL	4	-0.21443	-1.3892	0.62535	0.95125	0.16478	0.634
PRPS1	4	0.4066	1.0483	0.088504	0.55747	0.29451	0.64423
WDR17	4	-0.31701	-1.7421	0.43472	0.89861	0.081495	0.60158
COL12A1	4	-0.096676	-0.33857	0.89101	0.99393	0.73493	0.85752
CD22	4	0.094668	0.72573	0.61008	0.94841	0.46801	0.7404
NIPSNAP3B	4	-0.28537	-0.65863	0.48881	0.91923	0.51014	0.76255
SAG	4	-0.31222	-0.81844	0.44312	0.90077	0.41311	0.7091
EID3	4	-0.46032	-1.7059	0.2499	0.78458	0.088031	0.62231
CCDC77	4	0.13676	0.51998	0.50771	0.92468	0.60308	0.79239
NPC1L1	4	0.091377	0.50721	0.61839	0.95019	0.61201	0.79452
VPS29	4	-0.1355	-0.59105	0.79898	0.98354	0.55449	0.77875
KPNA3	4	-0.13144	-0.75092	0.80803	0.98555	0.4527	0.73243
NR6A1	4	-0.092505	-0.57794	0.90195	0.99393	0.5633	0.78033
ALDH1L2	4	-0.50073	-1.4857	0.21107	0.74829	0.13737	0.634
TRIM64	4	-0.24656	-0.7567	0.56121	0.93746	0.44923	0.7307
TRIM8	4	-0.31633	-0.89728	0.43571	0.89877	0.36957	0.67969
CRELD1	4	-0.1177	-0.37556	0.83965	0.98743	0.70724	0.8418
ZYG11B	4	-0.023153	-0.19407	0.92243	0.99393	0.84612	0.92221
NDUFC2	4	-0.78327	-1.5888	0.062649	0.47493	0.1121	0.634
C5orf34	4	0.064617	1.3023	0.68521	0.9656	0.19282	0.634
KANK1	4	-0.010478	-0.042037	0.88818	0.99366	0.96647	0.98548
KRT16	4	-0.23221	-1.8872	0.58885	0.94361	0.059136	0.52633
E2F8	4	0.34418	1.3683	0.1434	0.66299	0.17122	0.634
MRPL49	4	-0.87245	-1.9924	0.040772	0.38606	0.046324	0.47413
APOA1BP	4	-0.30972	-1.4382	0.44744	0.90197	0.15038	0.634
TCHP	4	0.043381	0.26563	0.74334	0.9778	0.79052	0.8897
CRIP2	4	0.24091	1.3531	0.29221	0.8221	0.17601	0.634
KCNJ3	4	0.46182	0.95294	0.054843	0.44619	0.34062	0.66475
ZBTB41	4	0.41003	1.1628	0.085521	0.54597	0.24491	0.63489
CDHR4	4	-0.02723	-0.105	0.93193	0.99453	0.91638	0.96146
EID1	4	0.051688	0.46377	0.72081	0.97217	0.64281	0.80649
ZNF433	4	0.0074781	0.03953	0.83945	0.98743	0.96847	0.98617
TMEM45A	4	0.15774	0.5505	0.46157	0.90953	0.58198	0.78475
HYAL4	4	0.094708	0.4825	0.61003	0.94841	0.62945	0.80109
TMEM91	4	-0.081622	-1.291	0.92989	0.9941	0.19671	0.634
FAM102B	4	0.062721	0.40003	0.69128	0.96665	0.68913	0.83145
PPP1R12C	4	0.31533	1.3516	0.17572	0.70593	0.17652	0.634
GIMAP7	4	-0.24766	-1.4272	0.55887	0.9366	0.15352	0.634
NUPL2	4	-0.21337	-1.6972	0.62714	0.95136	0.089659	0.62808
TRIP6	4	0.034102	0.083544	0.76959	0.98035	0.93342	0.97038
SEC22B	4	-0.59855	-1.1197	0.14051	0.66013	0.26286	0.63562
ACTRT2	4	0.1124	0.88181	0.56678	0.93746	0.37788	0.68492
SAMD9	4	0.23146	1.0815	0.30917	0.83654	0.27948	0.63891
BTNL10	4	0.038577	0.2191	0.75696	0.9778	0.82657	0.91191
YEATS2	4	-0.73939	-2.1149	0.075825	0.51871	0.034438	0.41899
ASPHD2	4	-0.309	-1.5813	0.44869	0.90315	0.1138	0.634
CACNA2D3	4	0.17717	0.81209	0.41871	0.89381	0.41674	0.71144
BAHD1	4	0.036711	0.092065	0.76248	0.97894	0.92665	0.96668
CCL27	4	0.36133	1.3719	0.12565	0.63481	0.17009	0.634
KIAA0368	4	0.021414	0.14533	0.80121	0.98484	0.88445	0.94462
VPS36	4	-0.65253	-1.821	0.11118	0.6106	0.068608	0.55774
SAT1	4	-0.40315	-1.008	0.31414	0.84119	0.31344	0.65208
WDR37	4	0.062061	0.51308	0.69262	0.96676	0.60789	0.79343
DEPTOR	4	0.18265	0.97863	0.40637	0.88934	0.32776	0.65876
C9orf16	4	-0.059122	-1.4242	0.98662	0.99965	0.15438	0.634
RC3H1	4	-0.3487	-1.1463	0.38678	0.87978	0.25166	0.63489
RPSA	4	-1.9797	-3.0789	9.9443e-05	0.0081633	0.0020776	0.094128
KLHDC8B	4	-0.25558	-1.8089	0.54375	0.93275	0.070461	0.56594
PPP1R26	4	-0.082045	-0.28227	0.9288	0.99399	0.77774	0.88379
PARD6B	4	-0.20472	-1.0411	0.64573	0.95475	0.29784	0.64531
GLIS3	4	-0.044803	-0.25438	0.97564	0.99883	0.7992	0.89496
PRKRIR	4	-0.56545	-1.4126	0.16244	0.68937	0.15777	0.634
ARVCF	4	0.11746	0.6105	0.55474	0.93554	0.54153	0.77386
YAP1	4	-0.42718	-1.7492	0.28515	0.81521	0.080255	0.59892
MOV10L1	4	-0.023816	-0.11222	0.92398	0.99393	0.91065	0.95874
ZNF335	4	-0.332	-1.1459	0.41269	0.89142	0.25183	0.63489
NAA11	4	0.014356	0.068374	0.8211	0.98743	0.94549	0.97536
PLD1	4	-0.12342	-0.43166	0.82597	0.98743	0.66599	0.81831
NWD1	4	0.070998	0.8004	0.66866	0.96056	0.42348	0.71602
ZNF74	4	-0.015629	-0.21369	0.90324	0.99393	0.83079	0.9137
NUP54	4	-0.16034	-0.6486	0.74135	0.97758	0.5166	0.76472
PDZD9	4	-0.033897	-0.1542	0.94834	0.99776	0.87745	0.94114
ENO1	4	-1.7945	-3.6108	0.00049722	0.0271	0.00030528	0.030954
RNASE12	4	0.092146	0.73717	0.61645	0.94967	0.46102	0.73743
PNPLA1	4	0.53462	1.3228	0.026303	0.3035	0.18589	0.634
HIST1H2AL	4	0.024301	0.064981	0.79346	0.98321	0.94819	0.97716
MPND	4	-0.15425	-1.0369	0.75487	0.9778	0.29979	0.64531
