Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
ZSCAN25	4	0.27378	1.207	0.23613	0.77484	0.22742	0.634
SYBU	4	-0.035522	-0.12217	0.95217	0.99776	0.90277	0.95389
ODF2	4	0.50129	1.3035	0.037291	0.36747	0.19239	0.634
CAPS	4	0.089803	1.2267	0.62256	0.95125	0.21994	0.634
C17orf75	4	-0.22177	-1.1141	0.61013	0.94841	0.26523	0.63675
ARHGEF4	4	0.079826	0.82127	0.64782	0.95475	0.41149	0.70765
ZNF695	4	0.55021	1.2909	0.022375	0.27998	0.19674	0.634
KLHL22	4	0.10116	0.40938	0.59487	0.9451	0.68226	0.82753
DLL4	4	0.51672	1.2098	0.031772	0.33899	0.22634	0.634
TSPAN17	4	-0.14177	-0.7234	0.78431	0.98195	0.46943	0.74136
KCNK10	4	-0.25865	-1.3751	0.53863	0.9326	0.16911	0.634
KCNH2	4	0.36585	1.4995	0.12202	0.631	0.13375	0.634
PHYHIPL	4	-0.014456	-0.17033	0.90026	0.99393	0.86475	0.93424
GLIPR2	4	0.041542	0.21511	0.74906	0.9778	0.82968	0.91337
NME6	4	-1.5742	-3.2066	0.0012928	0.048237	0.0013434	0.072628
RPS16	4	-1.6166	-3.1052	0.0010442	0.04375	0.0019013	0.08976
PCYT2	4	0.051829	0.63143	0.72042	0.97202	0.52776	0.76846
TMEM236	4	-0.3847	-0.95817	0.33661	0.85243	0.33798	0.66316
STAT5A	4	0.047574	0.44197	0.7314	0.97482	0.65851	0.81468
MANSC1	4	-0.049563	-0.28665	0.98822	0.99965	0.77438	0.882
ADM5	4	0.0070098	0.013731	0.84089	0.98762	0.98904	0.99443
YPEL3	4	-0.64355	-1.7707	0.11525	0.61485	0.076617	0.58672
EXOC2	4	-0.37177	-0.92589	0.35362	0.86196	0.3545	0.67246
ZMYND12	4	0.10354	0.80213	0.58845	0.94355	0.42248	0.71517
NKX2-6	4	-0.013619	-0.098906	0.89812	0.99393	0.92121	0.96387
APLP2	4	0.31123	1.4651	0.18114	0.71431	0.14289	0.634
UPB1	4	0.4891	1.4218	0.042164	0.39332	0.15507	0.634
CD3E	4	0.080278	0.4752	0.64703	0.95475	0.63465	0.80307
SPRED1	4	0.18431	1.2551	0.40294	0.88782	0.20943	0.634
KLHL15	4	0.16029	0.89873	0.4552	0.9044	0.3688	0.6792
MTMR2	4	0.19607	0.53799	0.37898	0.87704	0.59059	0.78751
KIRREL2	4	-0.088605	-0.40639	0.91189	0.99393	0.68445	0.82866
MGST3	4	0.0065454	0.045055	0.84213	0.98787	0.96406	0.98452
FAM53C	4	-0.36032	-1.7906	0.37057	0.87313	0.073351	0.57558
GDAP1	4	0.17865	1.0184	0.41518	0.89262	0.30849	0.64874
ZRSR2	4	-0.64195	-2.2836	0.1161	0.61593	0.022395	0.34019
CNTNAP3	4	-0.29157	-1.5337	0.47837	0.91492	0.12511	0.634
LPPR4	4	-0.022475	-0.17351	0.92084	0.99393	0.86225	0.93274
TM9SF3	4	0.53257	1.3162	0.026999	0.30817	0.1881	0.634
