"","GeneID","MeanBeta","AneuScore.lm","AneuScore.lm.R2","AneuScore.P"
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)290","ADAR..103.",-0.450897716613884,-0.00484409488390762,0.300149579925566,0.0049818892506034
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6779","HSP90B1..7184.",-0.648111937805594,-0.00483458998222006,0.274178662873121,0.000279767818682908
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2522","CDCA5..113130.",-0.875689581485833,-0.00483109493246745,0.26207411552787,0.00354629541533761
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7084","ILK..3611.",-0.330018728755158,-0.0048250579772701,0.428005367727599,0.000389826329892669
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)544","ALG11..440138.",-1.53359075338854,-0.00479339515680632,0.199184211788152,0.0110963229629015
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11683","PSMB5..5693.",-1.48199673685197,-0.00478496517823019,0.369211935111111,0.085489765170122
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)9546","NCKAP1..10787.",-0.420012729348931,-0.00476601154214963,0.442592948114376,0.000704959286034373
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2940","CKAP5..9793.",-1.63952305667288,-0.00472297246753789,0.203509332223907,0.005347419525661
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)9645","NEDD1..121441.",-1.93472944224521,-0.00472166633857791,0.178356068794633,0.00141119450883163
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16354","VPS4B..9525.",-0.174296047189916,-0.00470428412932423,0.162410492683493,0.00044191447337845
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16544","WTAP..9589.",-0.680936229907919,-0.00468909990804642,0.239165897299811,0.00302591946868445
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6613","HMGCS1..3157.",-1.5855268874935,-0.00468010530961751,0.190375032034645,0.0399386837067457
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13901","SNRPD1..6632.",-2.2061818301355,-0.0046636365712961,0.242146960072998,0.000658212850331272
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7613","KIF4A..24137.",NA,-0.00460401205405573,0.207858364359691,0.00756290139843347
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7759","KPNB1..3837.",-1.9964839137614,-0.00457819492866232,0.207533706529992,0.00144610821901755
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)867","ARCN1..372.",-1.39611163541629,-0.00457008077881107,0.313725308279731,0.00336647674774235
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13912","SNUPN..10073.",-0.876604062047323,-0.00456460616769246,0.282201326110491,0.00601286754668738
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)441","AHCYL1..10768.",-0.397096752367159,-0.00456387007204192,0.301117901970753,0.00120111353052276
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)12765","RUVBL2..10856.",-1.73648166950145,-0.00442650515963785,0.206622562360892,0.00906279965044181
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13149","SF3B1..23451.",-1.65263963000339,-0.00439242490127005,0.15867333920363,0.0126140579380913
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16168","URI1..8725.",-1.5970794993527,-0.00436633579984729,0.234115053209084,0.0192079624098701
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11394","PPP2CA..5515.",-0.844997528242528,-0.00436486965204067,0.178091539066349,0.0692607371440835
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)5193","FBXO42..54455.",-0.228358833002485,-0.00435685644711844,0.24402767954045,0.00538148737835246
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)9000","MOB4..25843.",-0.97120219752623,-0.00432420797714693,0.239791674738143,0.0140491239485492
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11685","PSMB7..5695.",-1.40838226566583,-0.00427983598697379,0.423713111385599,0.0195913034319877
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4356","DYNLRB1..83658.",-1.53141391416385,-0.0042619526301842,0.275450431334174,0.0449672028507739
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)870","ARF1..375.",-0.313534588927888,-0.00421901673569542,0.216555103585223,0.000814944969747827
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13903","SNRPF..6636.",-2.3421582417172,-0.00419887079242743,0.173305715972645,0.00451219595616511
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7401","KCMF1..56888.",-0.950443423113696,-0.00418810053470693,0.338622869773832,0.0182217734272064
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)12993","SEC13..6396.",-1.26436773834056,-0.00417483978233091,0.241308175132529,0.00558338127932132
