Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
ZKSCAN7	6	0.26934	1.9141	0.028458	0.18315	0.05561	0.26696
SOCS6	6	0.60152	1.7043	0	0	0.088321	0.28649
CBX7	6	-0.29288	-1.2548	0.27547	0.63021	0.20956	0.41278
TRIP12	12	0.20731	2.5726	0.014798	0.11899	0.010094	0.10914
TFAP2C	7	0.066109	1.4492	0.43085	0.76426	0.14728	0.34307
PCGF3	7	-0.071882	-0.93556	0.92601	0.98308	0.3495	0.54877
FOLH1	5	0.17353	1.4283	0.18469	0.51962	0.15321	0.34936
MMP15	6	-0.13612	-1.1917	0.68241	0.88324	0.23337	0.43573
MLX	6	-0.43214	-2.6632	0.11013	0.39897	0.007739	0.090953
TMPRSS12	6	0.20645	1.3825	0.089072	0.35528	0.16681	0.36362
OTUD1	6	-0.079032	-0.93758	0.90979	0.97678	0.34846	0.54763
MTA2	17	-0.26093	-2.5589	0.12123	0.41888	0.010499	0.11239
USP24	6	0.092466	0.62898	0.37706	0.72882	0.52936	0.70382
ZNF222	6	0.11317	1.0621	0.30137	0.65776	0.2882	0.49025
L3MBTL3	18	-0.16144	-2.9695	0.41577	0.75387	0.0029831	0.044231
RFFL	9	-0.04033	-0.68052	0.88645	0.96868	0.49618	0.68161
PSMB5	6	-2.1616	-5.2508	0	0	1.5148e-07	2.1292e-05
BHLHE22	6	-0.035095	-0.30961	0.90438	0.97425	0.75686	0.85107
RNF208	7	-0.070632	-0.74485	0.93256	0.98451	0.45636	0.64637
NEDD4	12	0.054601	0.8172	0.34946	0.70252	0.41381	0.60438
BTBD18	6	-0.0045042	-0.088372	0.77575	0.92157	0.92958	0.96209
TRIM42	14	0.046383	0.85779	0.32925	0.68543	0.39101	0.5832
YBX1	6	-0.8422	-3.1805	0.0059761	0.063444	0.0014702	0.027066
TMPRSS2	6	-0.17773	-2.0112	0.54582	0.82285	0.044309	0.24944
neg44	1	0.4577	0.56045	0.11867	0.41567	0.57517	0.72403
RCHY1	10	0.040768	0.68471	0.46813	0.78445	0.49353	0.6792
BAHD1	6	-0.066914	-0.61394	0.96187	0.99091	0.53925	0.70723
CDK1	8	-1.7879	-4.6151	0	0	3.9293e-06	0.00028179
CTSS	6	0.021978	0.31489	0.65908	0.87651	0.75284	0.84864
SENP1	6	-0.89072	-3.481	0.0042686	0.04902	0.00049956	0.01182
SP8	5	0.20304	1.4597	0.11981	0.41642	0.14437	0.34026
BUB1B	6	-0.85875	-2.6597	0.0056915	0.06079	0.0078218	0.091619
ZNF296	6	-0.097691	-0.82198	0.83068	0.94652	0.41109	0.60215
TBK1	6	-0.071839	-0.66348	0.93682	0.98451	0.50703	0.69031
KCND3	6	-0.029746	-0.30532	0.88503	0.96868	0.76013	0.85284
FBXL3	15	-0.012994	-0.20887	0.65851	0.87651	0.83455	0.90597
CTSZ	6	0.21705	1.3993	0.072282	0.31281	0.16171	0.35808
ZBTB10	9	-0.054887	-0.58833	0.95874	0.98885	0.55631	0.7145
E2F1	6	-0.14183	-1.5909	0.66448	0.87692	0.11164	0.30626
GCM1	6	-0.14017	-1.1893	0.66875	0.87728	0.23431	0.4368
ZNF581	6	-0.2065	-1.6377	0.46585	0.78363	0.10148	0.29713
RCBTB2	6	0.034698	0.21039	0.59846	0.84795	0.83336	0.90552
RNF122	7	0.16678	2.0097	0.12664	0.4312	0.044468	0.24944
ZNF398	6	0.049171	0.59478	0.54439	0.8228	0.55199	0.71293
KLK2	5	-0.20412	-0.91123	0.48833	0.7886	0.36217	0.56016
ORC1	6	-1.5608	-3.64	0	0	0.00027266	0.0074275
NHLH2	6	-0.065941	-0.35238	0.96699	0.99155	0.72456	0.83028
43527	7	0.22714	1.7408	0.046955	0.24554	0.081726	0.28155
ZBTB33	12	0.14998	2.5169	0.069437	0.30615	0.011839	0.11852
ISX	6	-0.049853	-0.4093	0.96813	0.99155	0.68232	0.79923
UBE2J2	8	-0.16928	-1.2008	0.52903	0.81417	0.22984	0.43223
ZSCAN26	6	0.12606	1.478	0.26466	0.61712	0.13941	0.33656
CAPN8	6	0.20039	1.4068	0.09704	0.37309	0.15948	0.35627
DPRX	6	0.30411	1.6717	0.014229	0.11682	0.094592	0.29229
MYSM1	18	0.2429	3.0067	0.00028458	0.0052083	0.0026408	0.040347
ZNF527	6	0.1944	1.7272	0.10586	0.38994	0.084138	0.28469
ZNF268	6	0.19623	1.2744	0.1033	0.38576	0.20251	0.40536
MEF2D	6	-0.53971	-2.3967	0.052362	0.26361	0.016544	0.1423
CXXC1	12	-1.1487	-5.0118	0	0	5.3934e-07	6.7687e-05
RPS6KB2	6	0.1608	1.8123	0.17331	0.50248	0.069936	0.27258
ZNF865	6	-0.19124	-1.9071	0.50711	0.80234	0.056503	0.26895
FBXW7	16	-0.33916	-3.0283	0.04354	0.23869	0.0024597	0.038491
ZNF879	6	0.18364	1.9904	0.13005	0.43798	0.046552	0.25401
CHEK2	6	0.39906	1.5824	0.0017075	0.024096	0.11356	0.30742
