Gene	sgRNA	Ts5|beta	Ts5|z	Ts5|p-value	Ts5|fdr	Ts5|wald-p-value	Ts5|wald-fdr
MME	6	0.040456	0.67904	0.50683	0.81923	0.49711	0.68937
UBC	4	-0.51665	-1.8079	0.011668	0.11389	0.070629	0.28593
TTF1	12	-0.74304	-4.4762	0	0	7.5978e-06	0.0015705
RNF19B	16	0.078879	1.2356	0.074559	0.33938	0.2166	0.4342
CDYL2	6	0.14479	1.1101	0.070575	0.32761	0.26695	0.48504
DOT1L	12	-0.14476	-2.0293	0.22994	0.59064	0.042425	0.26074
CUL3	16	-0.01696	-0.29159	0.78571	0.93634	0.7706	0.87206
CPA6	6	0.0020863	0.049526	0.75526	0.92474	0.9605	0.98374
ARAF	6	0.048993	0.81218	0.45589	0.79111	0.41669	0.62123
CDK12	6	1.3156	0.9411	0	0	0.34665	0.56014
NAALADL2	12	0.1341	2.5678	0.021343	0.16968	0.010233	0.15046
PCSK4	6	-0.026379	-0.39492	0.95589	0.98775	0.6929	0.82314
KMT2C	67	0	0	0.38816	0.7373	1	1
ZNF264	6	0.16653	1.4655	0.042686	0.25168	0.14279	0.35585
KLF6	6	-0.043829	-0.84987	0.92117	0.97383	0.3954	0.60471
ZNF555	6	0.14555	1.8521	0.069721	0.32537	0.064007	0.27795
MLLT10	6	-0.086279	-1.0249	0.65652	0.88731	0.3054	0.52052
CAPN14	6	0.072312	1.6673	0.31417	0.68444	0.095453	0.30616
LTK	6	-0.16996	-1.4775	0.286	0.65558	0.13955	0.35219
FBXW9	14	-0.16575	-2.1557	0.12265	0.44139	0.031107	0.23711
USP13	6	0.065439	0.94388	0.35287	0.71143	0.34523	0.55972
PROZ	6	-0.081872	-0.89224	0.6827	0.89753	0.37227	0.58337
ZSCAN22	6	0.090974	1.3385	0.23051	0.59124	0.18072	0.3974
YBX3	4	-0.16556	-1.0987	0.37849	0.73198	0.27189	0.49087
CDKL2	6	-0.018609	-0.22248	0.90068	0.96967	0.82394	0.90479
NFATC2	6	0.050856	0.89208	0.44451	0.78178	0.37235	0.58337
CYLD	6	0.31235	1.8558	0.0011383	0.020408	0.063485	0.27747
VPS11	13	-0.072173	-0.82597	0.66278	0.88995	0.40882	0.61393
TGIF2	6	-0.19482	-2.3448	0.21941	0.58465	0.019038	0.2001
PCSK6	6	0.01541	0.36199	0.66306	0.88999	0.71736	0.83781
SHH	6	-0.07471	-1.0684	0.72795	0.91676	0.28532	0.50459
FGR	6	-0.0051034	-0.059762	0.80592	0.94164	0.95234	0.98118
SMN1	6	-0.26086	-1.7634	0.090495	0.38313	0.07784	0.28945
ZNF257	6	0.1889	2.021	0.026466	0.19415	0.043281	0.26074
TRIM33	27	-0.043863	-1.1976	0.93199	0.97967	0.23107	0.44787
BRWD3	17	0.14973	3.1342	0.0017075	0.029268	0.001723	0.069153
IKBKE	5	0.18303	1.2463	0.04724	0.26349	0.21267	0.43185
neg3	1	0.18742	0.64619	0.3543	0.71143	0.51816	0.69733
NR1I2	6	-0.029798	-0.38551	0.98008	0.99108	0.69986	0.82638
ZNF587	6	0.13048	1.6108	0.10131	0.40686	0.10723	0.31703
PMS1	7	0.12687	2.2165	0.086227	0.37407	0.026658	0.22455
GGTLC2	6	-0.38808	-1.935	0.020489	0.1659	0.052995	0.2677
ZKSCAN8	6	0.15013	1.9584	0.062607	0.3103	0.050182	0.26584
DCAF16	7	-0.0040185	-0.051159	0.78287	0.93512	0.9592	0.98326
KDM2A	42	0	0	0.38816	0.7373	1	1
NEK7	6	0.039891	0.42605	0.51195	0.82141	0.67007	0.8061
PCGF5	6	-0.029737	-0.4443	0.98008	0.99108	0.65683	0.79754
RNF217	13	0.17805	2.7441	0.001992	0.03139	0.0060683	0.12019
MMP27	6	0.008982	0.15225	0.70774	0.90979	0.87899	0.93941
TRIM50	8	-0.072389	-0.9989	0.70803	0.90979	0.31784	0.53364
KCNC4	6	-0.13401	-1.1703	0.42089	0.76237	0.24189	0.45951
GATA1	6	-0.04258	-0.52241	0.93227	0.97967	0.60139	0.75152
ZMIZ1	14	-0.012131	-0.36025	0.73677	0.91874	0.71866	0.83899
HIVEP3	6	0.12489	1.9033	0.11411	0.42827	0.057004	0.27143
ZMYND8	20	0.10411	2.0896	0.018213	0.15459	0.036658	0.25448
HABP2	6	-0.13169	-1.2384	0.43056	0.76958	0.21556	0.43287
TBX21	7	-0.25416	-2.3511	0.084234	0.36908	0.018716	0.2001
ZNF140	6	0.078644	1.6886	0.286	0.65558	0.091293	0.30267
CSF1R	6	-0.094838	-1.2679	0.61298	0.87159	0.20485	0.42418
CFLAR	6	-0.15533	-1.7407	0.33324	0.69869	0.081745	0.29254
POU3F1	6	-0.0001561	-0.0016191	0.77063	0.9297	0.99871	1
CHD1L	13	-0.033704	-0.62323	0.97268	0.9893	0.53314	0.70404
MEIS1	5	0.30532	1.7198	0.0034149	0.047059	0.08546	0.2971
SMAD4	5	-0.032207	-0.87114	0.96841	0.9893	0.38368	0.59446
USP48	6	-0.047552	-0.87861	0.89613	0.96776	0.37961	0.59051
SIRT6	10	-0.036456	-1.0573	0.98036	0.99108	0.29037	0.50841
SEBOX	7	-0.083962	-1.214	0.64513	0.88073	0.22474	0.44208
CUX1	6	0.077813	1.5862	0.28884	0.65738	0.1127	0.32146
ZNF780A	6	0.12436	1.6071	0.11554	0.42827	0.10802	0.31865
GUCY2D	6	0.022702	0.46137	0.61668	0.87159	0.64453	0.78779
LHX1	6	0.042206	0.21788	0.49744	0.81662	0.82752	0.90702
KDM5C	19	0.15483	3.2901	0.00085373	0.01676	0.0010016	0.051746
MEOX1	6	-0.039732	-0.89058	0.95532	0.98775	0.37316	0.58337
USP17L20	6	-0.95697	-3.5418	0	0	0.00039745	0.033878
USP17L21	6	-0.70602	-2.6422	0	0	0.008236	0.14118
USP17L24	6	-0.76255	-3.1197	0	0	0.0018105	0.069153
USP17L25	6	-0.76255	-3.1197	0	0	0.0018105	0.069153
USP17L26	6	-0.76255	-3.1197	0	0	0.0018105	0.069153
