sgRNA,Gene,Vaco_Control_D0,Vaco_Control_D10
58351502,A1BG,1672,1902
58350637,A1BG,1806,1849
58351668,A1BG,52,41
58351593,A1BG,3031,3125
9090399,A2M,1021,1035
9101535,A2M,1836,2014
9106521,A2M,911,1000
9110031,A2M,457,472
18222483,NAT1,734,823
18222178,NAT1,1012,1304
18222239,NAT1,567,683
18222438,NAT1,1240,1295
18400195,NAT2,619,573
18400314,NAT2,1192,1622
18400392,NAT2,1304,1441
18400248,NAT2,1172,1520
94619236,SERPINA3,501,502
94614585,SERPINA3,1259,1385
94614866,SERPINA3,995,1224
94619355,SERPINA3,589,579
151817539,AADAC,1418,1275
151824724,AADAC,1166,1578
151827706,AADAC,414,488
151824798,AADAC,1183,1273
218267537,AAMP,1822,1920
218269414,AAMP,966,848
218266904,AAMP,1275,1083
218266511,AAMP,693,600
76468895,AANAT,475,472
76469257,AANAT,1624,1636
76468853,AANAT,1006,1170
76468820,AANAT,2029,2193
70270295,AARS,1855,1898
70262386,AARS,1668,1143
70259155,AARS,2544,2601
70269716,AARS,1577,1381
8764819,ABAT,571,578
8772875,ABAT,362,479
8768843,ABAT,922,1224
8750463,ABAT,414,640
104819703,ABCA1,1481,1306
104822641,ABCA1,685,740
104826976,ABCA1,236,174
104832696,ABCA1,664,632
137017246,ABCA2,1424,1570
137020695,ABCA2,255,297
137016128,ABCA2,691,724
137013505,ABCA2,600,625
2292140,ABCA3,2105,2589
2323662,ABCA3,629,837
2298507,ABCA3,1678,1581
2304112,ABCA3,528,620
75114808,ABCB7,170,171
75069409,ABCB7,1841,1322
75075423,ABCB7,340,379
75073876,ABCB7,755,436
30584469,ABCF1,1531,1189
30583082,ABCF1,1608,1600
30583862,ABCF1,1233,1439
30585666,ABCF1,1118,1229
94048910,ABCA4,510,504
94036747,ABCA4,334,378
94029620,ABCA4,616,556
94063146,ABCA4,412,497
130854834,ABL1,1173,1414
130862824,ABL1,1380,1318
130872883,ABL1,1360,1340
130884018,ABL1,1866,2387
150857589,AOC1,500,459
150857067,AOC1,345,374
150857427,AOC1,936,955
150857797,AOC1,454,685
179109075,ABL2,1083,1188
179131462,ABL2,392,600
179114919,ABL2,661,666
179121807,ABL2,635,712
133258102,ABO,765,683
133256075,ABO,1008,1178
133256248,ABO,611,699
133256143,ABO,1294,1617
1067082,ABR,1172,1256
1072623,ABR,442,502
1073626,ABR,583,529
1058016,ABR,756,955
38129350,ACAA1,381,426
38136672,ACAA1,949,716
38126639,ACAA1,835,917
38131957,ACAA1,986,1070
37283355,ACACA,1528,1340
37206821,ACACA,1442,695
37240559,ACACA,1526,1329
37191140,ACACA,837,447
109166953,ACACB,696,745
109191728,ACACB,1197,1398
109179272,ACACB,601,774
109235327,ACACB,383,590
210205715,ACADL,439,441
210217984,ACADL,1012,971
210220655,ACADL,652,842
210205637,ACADL,507,520
75740093,ACADM,678,650
75733590,ACADM,1050,1518
75745890,ACADM,476,599
75734852,ACADM,741,820
120727071,ACADS,2109,2686
120737113,ACADS,1593,1388
120737460,ACADS,1255,1324
120727179,ACADS,869,855
123040563,ACADSB,694,766
123037826,ACADSB,382,548
123034426,ACADSB,536,667
123043146,ACADSB,1287,1649
7223161,ACADVL,711,1102
7221990,ACADVL,296,261
7220980,ACADVL,427,260
7220496,ACADVL,544,437
108133856,ACAT1,120,198
108134252,ACAT1,221,260
108138973,ACAT1,1308,1277
108138905,ACAT1,1086,1165
159767036,ACAT2,460,473
159767135,ACAT2,904,1121
159768520,ACAT2,452,522
159776185,ACAT2,903,898
34156057,ASIC2,2288,2708
34156259,ASIC2,501,660
33088975,ASIC2,803,782
33028309,ASIC2,1414,1471
50077248,ASIC1,1616,1949
50058999,ASIC1,971,1007
50058876,ASIC1,1326,1531
50059779,ASIC1,1075,1014
100893686,ACHE,554,592
100893910,ACHE,530,619
100893338,ACHE,582,651
100893785,ACHE,895,1222
41901788,ACLY,517,628
41906538,ACLY,739,552
41912508,ACLY,848,1081
41898632,ACLY,305,280
32425982,ACO1,436,555
32429424,ACO1,692,730
32418455,ACO1,872,1120
32430516,ACO1,382,479
50739866,ACR,749,1013
50738309,ACR,575,346
50744709,ACR,672,639
50739711,ACR,87,104
41507807,ACO2,2349,3100
41511883,ACO2,1569,1600
41522832,ACO2,1773,1697
41523899,ACO2,91,75
75951455,ACOX1,381,404
75957554,ACOX1,1322,1520
75978965,ACOX1,1074,612
75950895,ACOX1,853,1166
275165,ACP1,228,272
264993,ACP1,237,205
272094,ACP1,2205,2479
272068,ACP1,408,504
47245368,ACP2,291,340
47248094,ACP2,528,538
47247646,ACP2,781,1126
47245540,ACP2,1176,1435
11577239,ACP5,1067,1184
11576499,ACP5,1614,1958
11576355,ACP5,1210,1315
11576807,ACP5,714,925
132337456,ACPP,1193,907
132317543,ACPP,1199,1277
132342640,ACPP,869,1042
132328320,ACPP,1491,1615
125677960,ACRV1,393,352
125678024,ACRV1,722,978
125678115,ACRV1,829,903
125677842,ACRV1,574,706
229432721,ACTA1,453,644
229432847,ACTA1,440,570
229433046,ACTA1,419,330
229432329,ACTA1,1137,1505
88941824,ACTA2,603,646
88943894,ACTA2,806,1016
88948802,ACTA2,757,826
88941238,ACTA2,618,731
5528355,ACTB,1132,1102
5528670,ACTB,543,535
5529358,ACTB,1068,1050
5529174,ACTB,1641,792
34794717,ACTC1,1045,1136
34793533,ACTC1,531,475
34793266,ACTC1,1469,1716
34792461,ACTC1,1148,1300
81511409,ACTG1,1644,1510
81512271,ACTG1,499,292
81511908,ACTG1,529,351
81511983,ACTG1,544,438
73914799,ACTG2,1625,1762
73913638,ACTG2,1701,2105
73913485,ACTG2,3010,3295
73902449,ACTG2,2086,2412
38700661,ACTN4,804,718
38723648,ACTN4,1268,1231
38724064,ACTN4,771,873
38717193,ACTN4,710,516
179570082,ACTL6A,1860,2116
179576289,ACTL6A,1613,1411
179576884,ACTL6A,3708,4962
179570209,ACTL6A,1216,1291
68890273,ACTN1,497,478
68885527,ACTN1,1932,2427
68892257,ACTN1,358,480
68884792,ACTN1,798,742
236739404,ACTN2,530,377
236731244,ACTN2,698,857
236744674,ACTN2,553,722
236720139,ACTN2,1132,1275
66559982,ACTN3,1733,1693
66557743,ACTN3,491,444
66551585,ACTN3,612,841
66560222,ACTN3,530,420
157774093,ACVR1,1132,1197
157770440,ACVR1,1058,1275
157780361,ACVR1,654,852
157780499,ACVR1,700,883
51981034,ACVR1B,326,463
51976333,ACVR1B,663,913
51984059,ACVR1B,522,648
51975319,ACVR1B,366,395
147915221,ACVR2A,1271,1425
147918521,ACVR2A,811,842
147917386,ACVR2A,241,184
147915306,ACVR2A,1580,1701
38479822,ACVR2B,953,855
38477490,ACVR2B,724,818
38478269,ACVR2B,832,909
38477363,ACVR2B,445,559
51913235,ACVRL1,385,198
51914514,ACVRL1,1344,1438
51915252,ACVRL1,766,913
51913998,ACVRL1,728,708
51986314,ACY1,974,1052
51987036,ACY1,875,644
51984127,ACY1,845,670
51987353,ACY1,1079,873
75053589,ACYP1,1347,1652
75053646,ACYP1,548,646
75053613,ACYP1,654,821
75053569,ACYP1,772,806
54138707,ACYP2,595,699
54115724,ACYP2,768,672
54115752,ACYP2,1287,1311
54138667,ACYP2,1064,1096
44624318,ADA,894,1045
44623042,ADA,1470,1879
44629136,ADA,538,568
44622910,ADA,513,562
133273813,ADAM8,2394,2843
133271583,ADAM8,612,668
133272991,ADAM8,461,637
133275486,ADAM8,484,570
58665175,ADAM10,544,652
58621585,ADAM10,577,658
58679258,ADAM10,585,512
58682295,ADAM10,252,389
154602282,ADAR,690,644
154590308,ADAR,475,579
154597907,ADAR,1021,1118
154601175,ADAR,729,606
45182661,ADARB1,822,996
45180365,ADARB1,912,1102
45183408,ADARB1,2033,2810
45176269,ADARB1,1399,1776
1233812,ADARB2,1019,1332
1363537,ADARB2,982,1052
1363155,ADARB2,1467,1758
1379095,ADARB2,513,599
45660115,ADCY1,981,994
45657747,ADCY1,1236,1272
45686011,ADCY1,1822,1985
45677930,ADCY1,595,611
7709291,ADCY2,1157,1641
7520844,ADCY2,1266,1215
7626281,ADCY2,881,1167
7690835,ADCY2,615,616
24828142,ADCY3,1506,1752
24918419,ADCY3,1202,1015
24834507,ADCY3,916,998
24838542,ADCY3,1,3
123447877,ADCY5,555,615
123314240,ADCY5,692,812
123328737,ADCY5,901,680
123448298,ADCY5,874,938
48776313,ADCY6,2015,2683
48774771,ADCY6,1046,1351
48783220,ADCY6,371,501
48782599,ADCY6,586,607
50293501,ADCY7,964,1172
50301093,ADCY7,409,516
50298970,ADCY7,229,203
50290550,ADCY7,1347,1340
130951969,ADCY8,665,556
130909833,ADCY8,1041,1348
130849618,ADCY8,625,751
131039415,ADCY8,895,929
4007526,ADCY9,1284,1536
3979193,ADCY9,1307,1447
4114104,ADCY9,1489,1387
4114927,ADCY9,1053,1316
907679,ADCYAP1,441,521
908345,ADCYAP1,1050,1188
907712,ADCYAP1,520,444
908279,ADCYAP1,589,569
31078094,ADCYAP1R1,618,652
31084168,ADCYAP1R1,1046,729
31084240,ADCYAP1R1,724,990
31078020,ADCYAP1R1,1255,1405
2899416,ADD1,1917,2210
2898221,ADD1,1688,2152
2884634,ADD1,1139,1485
2881960,ADD1,2313,2982
70692457,ADD2,1176,1537
70696250,ADD2,1198,1200
70683698,ADD2,1352,1593
70688101,ADD2,805,579
110119221,ADD3,868,1077
110100765,ADD3,809,899
110124053,ADD3,969,1208
110116355,ADD3,680,714
19123622,PLIN2,1105,1358
19126234,PLIN2,799,986
19120986,PLIN2,926,1257
19118383,PLIN2,1024,1121
99284470,ADH1A,582,754
99284785,ADH1A,1959,1542
99284606,ADH1A,632,703
99286951,ADH1A,527,491
99316014,ADH1B,496,442
99318151,ADH1B,1029,1208
99315903,ADH1B,846,988
99313988,ADH1B,787,780
99342959,ADH1C,1076,1442
99344978,ADH1C,435,491
99347771,ADH1C,995,1033
99343050,ADH1C,1238,1367
99141646,ADH4,519,729
99136582,ADH4,399,340
99142733,ADH4,203,244
99139084,ADH4,626,895
99082007,ADH5,615,657
99082091,ADH5,522,485
99076456,ADH5,878,659
99076386,ADH5,197,232
99210275,ADH6,1416,1597
99213673,ADH6,2199,2673
99213607,ADH6,2144,2305
99210087,ADH6,1328,1775
99420782,ADH7,895,860
99428099,ADH7,202,343
99420643,ADH7,553,618
99427889,ADH7,150,210
74314709,ADK,1730,1917
74200798,ADK,2036,1653
74394241,ADK,1402,1272
74398545,ADK,1177,1006
10305768,ADM,521,589
10305736,ADM,697,761
10306419,ADM,1049,924
10306359,ADM,675,975
203165329,ADORA1,551,614
203165497,ADORA1,999,867
203129165,ADORA1,995,823
203165404,ADORA1,1304,910
24440998,ADORA2A,1070,1133
24440685,ADORA2A,642,637
24433566,ADORA2A,516,830
24440606,ADORA2A,567,540
15974927,ADORA2B,1194,1310
15974695,ADORA2B,625,673
15974850,ADORA2B,58,33
15974747,ADORA2B,1199,1341
111500337,ADORA3,2045,1986
111503275,ADORA3,855,1012
111500441,ADORA3,574,743
111503144,ADORA3,1732,1667
119586461,ADPRH,1496,1956
119582421,ADPRH,766,911
119586554,ADPRH,817,740
119582276,ADPRH,1064,1193
226390562,PARP1,1351,1222
226385581,PARP1,1542,1653
226381125,PARP1,210,309
226377274,PARP1,1595,1707
24493600,PARP4,2968,3508
24460016,PARP4,764,976
24447066,PARP4,1986,2445
24486186,PARP4,47,36
4248374,ADRA1D,512,451
4248708,ADRA1D,522,628
4248233,ADRA1D,599,767
4248128,ADRA1D,494,400
159917111,ADRA1B,670,894
159917687,ADRA1B,542,552
159917339,ADRA1B,791,991
159917583,ADRA1B,490,608
26864596,ADRA1A,462,571
26864196,ADRA1A,2208,2302
26864504,ADRA1A,592,524
26864294,ADRA1A,1885,2435
111078486,ADRA2A,1158,1405
111078187,ADRA2A,1965,2328
111078900,ADRA2A,544,663
111078603,ADRA2A,721,1111
96115476,ADRA2B,1854,2025
96115393,ADRA2B,2062,2079
96115800,ADRA2B,2378,2785
96115706,ADRA2B,1920,2232
3767019,ADRA2C,858,879
3767105,ADRA2C,213,286
3767310,ADRA2C,453,576
3767221,ADRA2C,1902,2230
114045034,ADRB1,363,589
114044818,ADRB1,373,324
114044391,ADRB1,777,875
114044669,ADRB1,458,526
148827205,ADRB2,1310,1700
148827007,ADRB2,653,685
148826900,ADRB2,1810,2291
148827448,ADRB2,1316,1500
37966041,ADRB3,1224,1293
37966250,ADRB3,283,349
37966389,ADRB3,354,367
37965968,ADRB3,1024,918
67281134,ADRBK1,1474,1714
67282306,ADRBK1,620,810
67279257,ADRBK1,1201,1565
67279871,ADRBK1,1836,2013
25690276,ADRBK2,805,865
25685216,ADRBK2,1564,1414
25674486,ADRBK2,1714,2070
25644648,ADRBK2,1052,1343
40354308,ADSL,582,458
40361523,ADSL,231,329
40346673,ADSL,436,241
40360461,ADSL,722,680
244418902,ADSS,421,569
244424028,ADSS,362,544
244432545,ADSS,966,1062
244437700,ADSS,475,600
49795687,AP2A1,1487,1813
49791980,AP2A1,1489,1642
49799647,AP2A1,554,698
49800090,AP2A1,675,770
988628,AP2A2,596,915
970295,AP2A2,402,414
992663,AP2A2,427,612
977193,AP2A2,484,572
29356451,AP1B1,703,799
29341633,AP1B1,691,627
29342356,AP1B1,375,383
29359888,AP1B1,553,568
35650785,AP2B1,883,974
35626646,AP2B1,679,664
35624413,AP2B1,95,124
35639618,AP2B1,739,1004
71773335,AP1G1,976,885
71749975,AP1G1,2081,2340
71753872,AP1G1,1049,1066
71761545,AP1G1,1093,1263
44110926,AEBP1,596,702
44111969,AEBP1,646,606
44107809,AEBP1,690,574
44110027,AEBP1,1992,2190
3057723,AES,481,598
3055669,AES,466,406
3054138,AES,578,527
3061237,AES,2142,1742
49846525,CRISP1,652,653
49846575,CRISP1,916,1347
49852046,CRISP1,422,471
49848226,CRISP1,1245,1338
73485895,AFM,738,829
73488756,AFM,1550,1845
73487095,AFM,379,518
73485987,AFM,890,1244
73447541,AFP,549,719
73438197,AFP,409,524
73442424,AFP,224,236
73442330,AFP,616,724
177436333,AGA,350,479
177437494,AGA,553,648
177442288,AGA,1793,1598
177440408,AGA,461,487
88845839,ACAN,591,547
88838975,ACAN,578,682
88852011,ACAN,668,753
88855385,ACAN,537,414
32183015,AGER,1415,1660
32182634,AGER,1583,1867
32183959,AGER,980,1354
32183560,AGER,1122,1497
99884180,AGL,734,731
99877713,AGL,1036,1076
99880758,AGL,396,448
99862336,AGL,1328,1415
67482789,AGRP,605,570
67483048,AGRP,1206,1265
67482809,AGRP,1342,1840
67483334,AGRP,1152,1323
10646998,JAG1,1084,1464
10658473,JAG1,1108,1278
10645226,JAG1,1485,1846
10652215,JAG1,1397,1569
230710154,AGT,737,459
230710007,AGT,878,1028
230710363,AGT,461,546
230710551,AGT,1608,1728
148741449,AGTR1,572,784
148741285,AGTR1,436,601
148741374,AGTR1,605,686
148741611,AGTR1,613,755
116172780,AGTR2,1040,1271
116172883,AGTR2,1717,1894
116172541,AGTR2,1584,2066
116172693,AGTR2,1059,1239
57236926,APLNR,488,307
57236497,APLNR,1120,1139
57236383,APLNR,457,583
57236740,APLNR,1088,901
240873045,AGXT,626,1076
240870675,AGXT,645,794
240871389,AGXT,514,678
240874038,AGXT,931,908
30308694,NR0B1,934,1123
30309093,NR0B1,283,399
30308801,NR0B1,451,562
30308895,NR0B1,1242,1771
34292411,AHCY,851,654
34291502,AHCY,931,889
34290576,AHCY,1097,942
34290800,AHCY,530,620
17333993,AHR,2240,1756
17334985,AHR,1953,2102
17339165,AHR,1341,1638
17330776,AHR,1796,2146
186618558,AHSG,691,677
186613343,AHSG,560,614
186619892,AHSG,641,867
186613213,AHSG,522,674
31615542,AIF1,739,977
31616105,AIF1,582,715
31615681,AIF1,1305,1569
31616344,AIF1,1767,1851
106520635,AIM1,723,806
106519472,AIM1,918,1143
106513003,AIM1,633,681
106521072,AIM1,626,849
127871823,AK1,2224,3036
127871906,AK1,1976,2344
127871858,AK1,550,649
127868459,AK1,1216,1092
33014580,AK2,790,548
33024443,AK2,2088,2112
33036757,AK2,1295,1578
33021594,AK2,1749,1553
65218918,AK4,1346,1802
65148548,AK4,1799,1312
65148450,AK4,1581,1399
65190804,AK4,1092,1095
104773478,AKT1,1164,1098
104776699,AKT1,1626,1516
104773923,AKT1,1448,1656
104780120,AKT1,1398,1713
40237999,AKT2,2593,3034
40242607,AKT2,1897,2039
40256965,AKT2,4,7
40255176,AKT2,30,57
113393456,ALAD,710,596
113390894,ALAD,646,584
113391614,ALAD,1143,1141
113390455,ALAD,964,1048
52199426,ALAS1,929,842
52206708,ALAS1,1633,1967
52206611,ALAS1,1346,1309
52204874,ALAS1,1261,1291
55025835,ALAS2,344,408
55015726,ALAS2,675,1002
55020437,ALAS2,880,1174
55017608,ALAS2,913,921
73415150,ALB,637,844
73408737,ALB,1209,1181
73408644,ALB,444,554
73413632,ALB,567,660
105533648,ALCAM,1374,1663
105541681,ALCAM,1805,2360
105520123,ALCAM,1310,1592
105524464,ALCAM,757,870
153729343,ABCD1,1407,1517
153726123,ABCD1,1561,1899
153736250,ABCD1,1124,1165
153725586,ABCD1,1069,1081
72930962,ALDH1A1,1744,2280
72924024,ALDH1A1,1422,1444
72940221,ALDH1A1,1579,1691
72917078,ALDH1A1,880,1270
111790492,ALDH2,2127,2164
111781971,ALDH2,2573,2820
111783238,ALDH2,1739,2216
111792598,ALDH2,2120,2135
19742041,ALDH3A1,1122,1227
19742193,ALDH3A1,755,896
19743424,ALDH3A1,987,994
19740471,ALDH3A1,1210,1705
38396113,ALDH1B1,877,763
38396026,ALDH1B1,1121,1151
38395933,ALDH1B1,1401,1429
38396315,ALDH1B1,563,802
100894057,ALDH1A3,1316,1546
100898163,ALDH1A3,832,1023
100885299,ALDH1A3,942,1227
100887656,ALDH1A3,802,908
68019245,ALDH3B1,840,856
68018861,ALDH3B1,637,593
68018540,ALDH3B1,1098,1104
68021575,ALDH3B1,600,708
67666368,ALDH3B2,1408,1158
67665539,ALDH3B2,1620,1694
67666168,ALDH3B2,1306,1259
67666632,ALDH3B2,1606,1722
165679481,ALDH9A1,752,742
165698468,ALDH9A1,994,787
165682219,ALDH9A1,978,1419
165680534,ALDH9A1,827,751
19661264,ALDH3A2,674,784
19652628,ALDH3A2,17,12
19657772,ALDH3A2,1081,1359
19651721,ALDH3A2,2244,3122
39604777,ABCD2,696,889
39618985,ABCD2,1446,1408
39619138,ABCD2,1712,1999
39607626,ABCD2,1613,1852
30068696,ALDOA,2160,1248
30067557,ALDOA,2155,2180
30067640,ALDOA,1586,1403
30069584,ALDOA,2699,1893
101429914,ALDOB,773,700
101426614,ALDOB,1096,1243
101428516,ALDOB,1211,1094
101429858,ALDOB,439,429
28575137,ALDOC,1780,2092
28575469,ALDOC,2042,2223
28575305,ALDOC,1188,1039
28574214,ALDOC,2415,2305
134449728,AKR1B1,364,454
134451695,AKR1B1,507,596
134450883,AKR1B1,1223,1454
134449049,AKR1B1,1304,1725
29233576,ALK,1438,1741
29275222,ALK,578,766
29318368,ALK,1661,2231
29383813,ALK,523,604
7005282,ALOX12,819,946
6998795,ALOX12,1286,1532
7000429,ALOX12,1656,1910
6999425,ALOX12,1366,2131
45382609,ALOX5,1080,1311
45412241,ALOX5,320,513
45382502,ALOX5,793,1018
45424974,ALOX5,1073,953
30744104,ALOX5AP,1551,1801
30752079,ALOX5AP,2545,2028
30752118,ALOX5AP,1526,2141
30744141,ALOX5AP,2017,2541
8077106,ALOX12B,1460,1663
8080916,ALOX12B,2016,2350
8079822,ALOX12B,1229,1077
8086122,ALOX12B,1447,1670
4641527,ALOX15,576,655
4638911,ALOX15,1056,1169
4637168,ALOX15,1061,1318
4633485,ALOX15,1451,1595
8044899,ALOX15B,854,817
8039270,ALOX15B,1297,1559
8045589,ALOX15B,1699,2262
8045317,ALOX15B,904,1273
232457035,ALPI,913,1167
232458227,ALPI,681,756
232456906,ALPI,372,497
232458046,ALPI,652,801
21568214,ALPL,1465,2024
21563169,ALPL,1587,1727
21560713,ALPL,1441,1752
21564068,ALPL,835,901
232379001,ALPP,1351,1494
232380221,ALPP,321,496
232379846,ALPP,1581,1769
232379513,ALPP,2039,2616
232407927,ALPPL2,1329,1294
232408007,ALPPL2,1264,1663
232407169,ALPPL2,1116,1390
232407594,ALPPL2,1607,2184
110070341,ALX3,1199,1606
110064850,ALX3,1692,1848
110064708,ALX3,2165,2322
110070409,ALX3,1899,2061
70603887,AMBN,2411,2627
70597011,AMBN,2127,2390
70602974,AMBN,1406,1775
70602626,AMBN,1671,1862
114069734,AMBP,953,1134
114074055,AMBP,595,501
114074141,AMBP,671,545
114075026,AMBP,728,813
110888962,AMD1,562,533
110890301,AMD1,886,1198
110875214,AMD1,724,582
110892784,AMD1,513,568
11298595,AMELX,2365,2696
11298694,AMELX,1769,2282
11298724,AMELX,2112,2868
11298556,AMELX,740,895
6868317,AMELY,1068,1374
6868461,AMELY,1003,1307
6868369,AMELY,789,968
6868408,AMELY,728,917
56408079,AMFR,2138,1568
56405004,AMFR,2068,2172
56403010,AMFR,1465,1593
56414270,AMFR,1185,1305
2251263,AMH,1569,1760
2250754,AMH,1037,1318
2250360,AMH,1543,1171
2249462,AMH,1057,1398
53425838,AMHR2,973,869
53429463,AMHR2,440,535
53425697,AMHR2,680,709
53425483,AMHR2,1184,1682
114679696,AMPD1,784,693
114686747,AMPD1,353,275
114677356,AMPD1,355,297
114680394,AMPD1,380,368
109626884,AMPD2,572,530
109627298,AMPD2,563,778
109628416,AMPD2,551,681
109625720,AMPD2,490,559
10495000,AMPD3,1096,1394
10495729,AMPD3,1088,1163
10487343,AMPD3,630,668
10482132,AMPD3,528,576
38491109,AMPH,620,1000
38432194,AMPH,606,548
38463098,AMPH,444,552
38494522,AMPH,877,887
127070763,BIN1,1516,1116
127069017,BIN1,2018,1716
127059016,BIN1,1888,1916
127070558,BIN1,854,795
49420321,AMT,1904,1828
49420215,AMT,1856,2110
49419376,AMT,1340,1486
49419297,AMT,575,682
103660394,AMY1A,2840,3275
103658529,AMY1A,361,431
103656984,AMY1A,1043,950
103656476,AMY1A,1359,1748
103693331,AMY1B,1443,1792
103691527,AMY1B,1135,1394
103694985,AMY1B,1861,1128
103693492,AMY1B,1344,1209
103752674,AMY1C,768,1031
103752126,AMY1C,489,584
103751968,AMY1C,737,622
103750626,AMY1C,917,950
103619104,AMY2A,625,667
103617587,AMY2A,281,388
103621657,AMY2A,860,741
103618964,AMY2A,716,932
103575257,AMY2B,731,826
103573721,AMY2B,1160,1355
103573803,AMY2B,662,910
103572252,AMY2B,1733,1063
20693754,ANG,2364,2798
20693626,ANG,1731,2064
20693690,ANG,841,976
20693724,ANG,2361,2291
107497449,ANGPT1,596,727
107497342,ANGPT1,2118,2156
107347085,ANGPT1,1796,2186
107294016,ANGPT1,886,1078
6521262,ANGPT2,1190,1205
6532362,ANGPT2,332,436
6562722,ANGPT2,1016,1254
6519911,ANGPT2,1860,2375
41733976,ANK1,751,712
41718120,ANK1,1572,1231
41706163,ANK1,1853,2086
41694721,ANK1,1409,1707
113288482,ANK2,326,341
113240531,ANK2,566,501
113311297,ANK2,544,660
113274549,ANK2,805,1090
60073203,ANK3,1581,1362
60075277,ANK3,1263,1195
60173167,ANK3,1778,2050
60108970,ANK3,895,1155
89805360,ANPEP,879,1060
89806377,ANPEP,403,455
89804574,ANPEP,298,402
89801506,ANPEP,398,567
185144822,SLC25A4,529,675
185145108,SLC25A4,485,490
185144885,SLC25A4,431,556
185145011,SLC25A4,485,584
119469920,SLC25A5,603,716
119469981,SLC25A5,457,311
119470116,SLC25A5,453,329
119469762,SLC25A5,564,589
1389453,SLC25A6,2176,2192
1389588,SLC25A6,1978,1987
1389265,SLC25A6,400,594
1389687,SLC25A6,1612,1713
73158764,ANXA1,693,929
73160876,ANXA1,444,635
73160306,ANXA1,849,934
73163487,ANXA1,578,747
60357224,ANXA2,960,770
60382343,ANXA2,1531,1382
60364452,ANXA2,1177,1278
60355924,ANXA2,1120,1106
78579077,ANXA3,384,431
78595805,ANXA3,309,357
78595859,ANXA3,419,424
78582252,ANXA3,707,727
69816190,ANXA4,1595,1717
69804623,ANXA4,1271,1122
69807961,ANXA4,1583,1663
69806461,ANXA4,773,1105
121678416,ANXA5,333,375
121686299,ANXA5,380,424
121672600,ANXA5,1912,2117
121683402,ANXA5,1036,1386
151132481,ANXA6,575,763
151126434,ANXA6,1142,1303
151137293,ANXA6,1762,1656
151122186,ANXA6,1767,2187
73396523,ANXA7,568,502
73387694,ANXA7,979,1005
73383613,ANXA7,580,644
73398288,ANXA7,898,805
80167266,ANXA11,761,702
80170836,ANXA11,1338,1227
80169011,ANXA11,880,860
80169204,ANXA11,946,1359
123698508,ANXA13,1434,1791
123695554,ANXA13,1409,1569
123698394,ANXA13,1425,1809
123702647,ANXA13,1490,1731
36621722,AOAH,1793,2057
36548652,AOAH,838,878
36594377,AOAH,643,688
36686744,AOAH,390,444
42845412,AOC2,1278,1529
42845549,AOC2,1013,996
42845065,AOC2,1459,1491
42845837,AOC2,1443,1461
200599744,AOX1,419,509
200620725,AOX1,510,535
200612734,AOX1,999,1300
200604838,AOX1,258,260
98667560,APAF1,1580,1745
98686788,APAF1,1018,1399
98662697,APAF1,1386,1825
98671621,APAF1,412,524
34339092,NUDT2,1821,2159
34343241,NUDT2,1520,1963
34339162,NUDT2,1811,1875
34343216,NUDT2,1396,1792
56362105,APOF,1148,1492
56361923,APOF,796,936
56361862,APOF,1222,1353
56361589,APOF,973,1201
69456413,APBA1,1093,1224
69516032,APBA1,795,674
69516642,APBA1,1194,1284
69467947,APBA1,960,1213
29054091,APBA2,1185,1201
29054480,APBA2,778,845
29093106,APBA2,466,432
29054217,APBA2,464,557
6410665,APBB1,1131,998
6411095,APBB1,927,1212
6403169,APBB1,520,600
6403749,APBB1,636,744
40934681,APBB2,447,548
41013872,APBB2,548,537
40890427,APBB2,764,897
41014192,APBB2,790,862
112839472,APC,1133,910
112838936,APC,507,562
112841127,APC,1641,1766
112840130,APC,827,950
159588200,APCS,683,768
159588260,APCS,1438,1700
159588315,APCS,969,1084
159588453,APCS,2310,2430
44289725,AIRE,524,691
44287585,AIRE,1071,1189
44286113,AIRE,632,737
44287030,AIRE,14,4
49676805,APEH,1354,1768
49677601,APEH,1596,1149
49674607,APEH,1126,1528
49679616,APEH,1229,1501
20457073,APEX1,533,543
20456842,APEX1,769,943
20456040,APEX1,1335,821
20456792,APEX1,1175,1140
102350027,BIRC2,1144,1061
102350575,BIRC2,964,979
102350282,BIRC2,954,1016
102350385,BIRC2,1074,1208
102324874,BIRC3,1390,1703
102325312,BIRC3,800,1098
102325552,BIRC3,513,588
102325001,BIRC3,499,636
123885847,XIAP,267,473
123886501,XIAP,693,936
123886125,XIAP,1147,1134
123886302,XIAP,1056,1317
78214356,BIRC5,446,508
78214714,BIRC5,648,255
78216685,BIRC5,222,228
78214422,BIRC5,837,540
35871326,APLP1,788,855
35873697,APLP1,1048,1321
35874766,APLP1,1917,2373
35872554,APLP1,1340,1374
130130044,APLP2,1172,1113
130126826,APLP2,437,486
130121667,APLP2,529,641
130110608,APLP2,592,737
116837032,APOA1,390,474
116836395,APOA1,797,956
116837080,APOA1,247,240
116836161,APOA1,437,447
161223018,APOA2,1747,1738
161223362,APOA2,659,894
161222970,APOA2,1204,1441
161223043,APOA2,879,912
116821478,APOA4,1138,1461
116821412,APOA4,2012,2068
116821843,APOA4,1085,1277
116821688,APOA4,2503,2828
21032363,APOB,1479,1911
21009833,APOB,1958,2151
21015095,APOB,1842,2001
21019874,APOB,961,1025
7652497,APOBEC1,664,951
7652699,APOBEC1,772,994
7652560,APOBEC1,1569,1582
