Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
TMPRSS11B	6	0.031335	0.44223	0.64604	0.91404	0.65833	0.82906
ZNF212	6	-0.026551	-0.70985	0.93697	0.98183	0.4778	0.72897
PBX1	7	0.1017	1.0722	0.31346	0.75845	0.28363	0.5682
NFATC3	6	-0.045367	-0.48774	0.96863	0.98893	0.62573	0.80242
EN1	6	0.20416	1.2266	0.091557	0.45597	0.21996	0.50569
PBRM1	49	0	0	0.44866	0.82184	1	1
CUL3	16	-0.073131	-1.3477	0.80776	0.95514	0.17775	0.47034
NR2E3	6	0.093971	0.82724	0.38192	0.79419	0.4081	0.67907
ZIC5	7	0.070161	0.36339	0.44581	0.82184	0.71631	0.86357
HSFX2	6	0.010416	0.17652	0.75699	0.94853	0.85988	0.93859
DPP8	5	0.17624	1.4916	0.18483	0.63281	0.13579	0.42886
PRSS36	17	-0.073142	-0.96325	0.79435	0.9541	0.33542	0.61538
neg40	1	0.37497	0.58594	0.23702	0.68508	0.55792	0.76782
KCNA6	6	0.097538	1.2795	0.37222	0.78881	0.20071	0.49004
KDM4A	31	-0.015349	-0.34127	0.63719	0.91221	0.7329	0.87165
MEP1A	6	0.042945	0.36285	0.59184	0.89526	0.71672	0.86357
ADNP	6	-0.03104	-0.50906	0.95665	0.98619	0.61071	0.79214
ZNF639	5	-0.21195	-1.7731	0.36908	0.7871	0.076218	0.37469
LONP2	6	-0.22312	-2.0112	0.31974	0.76518	0.044306	0.34388
ZBTB20	11	-0.18322	-2.1103	0.31204	0.75812	0.034829	0.31893
HSF1	7	-0.73062	-3.2719	0.0028523	0.044843	0.0010683	0.031741
ZNF563	6	0.11844	1.6903	0.29663	0.74892	0.090962	0.38585
SPOPL	6	0.18396	1.4581	0.12892	0.54458	0.1448	0.4369
SEC11A	2	-0.11973	-0.73188	0.69566	0.93127	0.46424	0.72015
ATF2	12	0.14282	1.4962	0.073303	0.416	0.1346	0.4276
KDM4B	33	0.049521	1.0308	0.15402	0.59933	0.30266	0.58528
ESX1	6	0.21456	1.7547	0.079293	0.43302	0.079307	0.37473
ZNF354A	6	0.14485	1.8768	0.21021	0.6607	0.06055	0.37206
LACTB	6	0.053169	0.59817	0.54535	0.87546	0.54973	0.76623
POU4F3	6	0.067895	1.1276	0.47519	0.83217	0.25949	0.55105
TRIM59	8	0.15789	1.2825	0.11808	0.52207	0.19965	0.48916
USP16	12	-0.12267	-1.5007	0.53366	0.87268	0.13344	0.42531
SKP2	16	-0.50734	-3.714	0.00057045	0.011905	0.000204	0.011004
ZNF382	6	0.23586	1.756	0.056475	0.35805	0.079084	0.37469
NHLRC1	10	0.24246	2.0667	0.0099829	0.11745	0.038762	0.3314
LMX1B	6	0.20028	1.7631	0.097262	0.47295	0.07788	0.37469
UBE2G1	8	-0.25328	-2.5005	0.19395	0.6444	0.012401	0.17391
ADAMTS14	6	0.028831	0.41737	0.65716	0.9172	0.67641	0.84094
KDM4C	34	0.18715	3.3446	0.0014261	0.026042	0.00082401	0.027
NPEPL1	6	0.15178	1.8133	0.19281	0.6444	0.069789	0.37469
AMBRA1	10	0.5371	2.2369	0	0	0.025295	0.26863
ZNF317	6	0.11165	1.2149	0.32288	0.76518	0.22442	0.51191
MPND	6	-0.010248	-0.081683	0.85796	0.96511	0.9349	0.97237
ZNF541	5	0.15595	1.2564	0.23531	0.68508	0.20896	0.49556
RFX7	6	-0.33176	-2.2291	0.13948	0.57126	0.025808	0.26863
KDM5A	28	-0.067898	-1.3394	0.8223	0.95876	0.18044	0.47316
ZNF302	6	-0.094085	-1.8811	0.74159	0.94638	0.059959	0.37206
ZCWPW1	12	-0.0085203	-0.033896	0.75242	0.94671	0.97296	0.99227
NR1D1	6	-0.098017	-1.0163	0.7239	0.94035	0.30947	0.59258
NKX6	13	0.13805	1.482	0.071021	0.40954	0.13834	0.43253
ZNF219	5	0.078825	0.90575	0.49287	0.8477	0.36507	0.64075
SUV39H1	15	0.12565	1.4148	0.071021	0.40954	0.15712	0.45124
ENDOU	5	-0.087783	-0.99365	0.76783	0.94989	0.32039	0.60327
RPS6KA1	12	0.062527	0.75029	0.32915	0.77139	0.45308	0.71265
SHPRH	17	-0.035557	-0.65324	0.90673	0.97725	0.5136	0.75262
F7	6	0.030218	0.24698	0.65231	0.91573	0.80492	0.90917
ASCL2	6	0.57267	1.5619	0	0	0.11831	0.40922
neg18	1	0.31872	0.60366	0.31204	0.75812	0.54607	0.76459
HKR1	6	0.038399	0.28011	0.61266	0.90252	0.77939	0.89551
FBXL12	16	-0.11842	-1.4448	0.51341	0.85592	0.14852	0.44128
ANKIB1	9	-0.080055	-1.3418	0.78009	0.95304	0.17968	0.47222
ASB6	17	-0.15344	-1.8392	0.3223	0.76518	0.065879	0.37417
KLHL20	6	-0.1429	-1.5833	0.54649	0.87609	0.11335	0.4034
ZNF25	6	-0.030745	-0.59388	0.95608	0.98619	0.55259	0.76774
TMPRSS4	6	-0.074601	-0.84198	0.82487	0.96081	0.3998	0.67268
MLL5	9	0.058332	0.58782	0.43468	0.81891	0.55665	0.76782
NFKB1	7	0.054473	1.2125	0.51027	0.85557	0.22531	0.51195
ZNF586	6	0.19224	1.8973	0.11295	0.51697	0.057785	0.36635
PLAG1	6	0.082848	0.99598	0.4227	0.81028	0.31926	0.6017
ZMYND8	20	0.18539	2.4777	0.0057045	0.078431	0.013222	0.18322
FBXO40	14	0.058676	0.7822	0.31061	0.75812	0.4341	0.70011
FOXQ1	6	0.19686	1.7095	0.10325	0.48856	0.087365	0.38068
ZNF197	4	0.021161	1.1276	0.79806	0.9541	0.25948	0.55105
TPSD1	6	-0.2749	-0.6641	0.21706	0.66842	0.50662	0.75004
ZNF580	6	-0.26157	-1.7769	0.23987	0.6873	0.075591	0.37469
ZNF10	6	0.19407	1.6486	0.10867	0.50531	0.099223	0.39168
ZNF358	6	0.087208	0.66149	0.40702	0.8	0.5083	0.75004
RCHY1	10	-0.011696	-0.13027	0.79464	0.9541	0.89635	0.95693
ZNF519	6	0.19123	1.4291	0.11552	0.52191	0.15299	0.4481
TRIM63	12	0.18754	1.4751	0.0251	0.21945	0.14019	0.43253
FBXO34	12	-0.058449	-1.3181	0.91244	0.97907	0.18746	0.4802
PITX3	6	-0.1569	-0.80033	0.50029	0.85201	0.42352	0.68935
JADE2	6	0.022804	0.15483	0.69082	0.92975	0.87695	0.94954
KLHL9	6	-0.11463	-1.3449	0.64832	0.91506	0.17867	0.47133
TRIM13	9	0.12798	1.5919	0.15773	0.60503	0.11141	0.40048
ZNF566	6	0.15233	1.6253	0.19167	0.64368	0.1041	0.39433
ZNF567	6	0.21665	1.8323	0.076726	0.42362	0.066902	0.37469
ASH1L	24	-0.073195	-1.5331	0.77496	0.95077	0.12526	0.41492
LEUTX	7	0.14878	1.9692	0.17541	0.62627	0.048932	0.35361
ZNF628	6	0.13855	1.285	0.22875	0.67966	0.19878	0.48824
NKX2	42	0	0	0.44866	0.82184	1	1
OVCH2	5	0.01799	0.12614	0.76868	0.95025	0.89962	0.95752
TAOK1	6	0.80787	1.457	0	0	0.14512	0.43747
MMP27	6	-0.075264	-0.7428	0.8223	0.95876	0.4576	0.71591
POU6F2	6	0.087061	1.1346	0.4073	0.8	0.25655	0.5479
ZNF660	6	0.30649	1.704	0.016828	0.17052	0.088387	0.38168
RING1	12	0.11292	1.0741	0.1409	0.57509	0.2828	0.56764
CAPN7	6	0.1147	1.54	0.3109	0.75812	0.12356	0.4131
ZIM3	6	0.12903	0.77638	0.26127	0.71229	0.43753	0.70306
ZNF552	6	-0.1098	-1.1105	0.67342	0.92374	0.26677	0.5563
FOXR1	6	0.13645	1.4013	0.23588	0.68508	0.16113	0.45411
ZNF585B	6	0.19012	1.8832	0.1178	0.52207	0.059671	0.37206
ACY1	6	-0.093958	-0.76536	0.74216	0.94638	0.44405	0.70734
MYO3B	6	0.030241	0.34702	0.65203	0.91573	0.72858	0.86974
ALK	6	-0.22538	-0.90637	0.31489	0.76033	0.36474	0.64075
KLKB1	6	-0.036686	-0.50594	0.98488	0.99253	0.6129	0.79359
UBR7	6	0.17881	1.5737	0.14176	0.57604	0.11556	0.40597
NFXL1	9	0.034639	0.55028	0.54136	0.87339	0.58213	0.77869
ZSCAN16	6	-0.075519	-0.95019	0.82088	0.95837	0.34202	0.62066
DMRTA1	6	0.011808	0.12909	0.74957	0.94671	0.89728	0.95693
RHOXF2B	7	0.046658	0.72834	0.54136	0.87339	0.46641	0.72068
RHOXF1	7	0.16584	1.5384	0.1332	0.55529	0.12395	0.41347
CBL	15	0.069784	0.81518	0.24729	0.69471	0.41497	0.68335
ZNF790	6	0.16916	1.4181	0.15916	0.60521	0.15615	0.45124
neg95	1	0.37457	0.58625	0.23702	0.68508	0.55771	0.76782
ZNF823	6	-0.18667	-1.2562	0.41044	0.80122	0.20905	0.49556
ZNF480	6	0.019417	0.40677	0.70993	0.93677	0.68418	0.84551
RHBDD2	6	0.029309	0.33982	0.65602	0.9171	0.73399	0.87203
AHRR	6	0.051644	0.4515	0.55077	0.87789	0.65163	0.82418
FOXR2	6	0.15086	1.0775	0.19481	0.6444	0.28124	0.56571
FBXL5	20	0.13173	2.3466	0.033086	0.25893	0.018947	0.22828
FOXB1	6	0.0044782	0.071703	0.78779	0.9541	0.94284	0.97596
MMP2	6	0.019726	0.41381	0.70821	0.93592	0.67901	0.8427
EBF1	8	0.16497	2.2443	0.10268	0.4878	0.024811	0.26683
TWIST2	6	0.43737	1.8164	0.00085568	0.01676	0.069315	0.37469
ZNF555	6	0.091681	1.7644	0.38962	0.79711	0.077661	0.37469
CXXC4	6	-0.01487	-0.32465	0.88306	0.97005	0.74545	0.87756
C1RL	6	0.036647	0.48712	0.62151	0.90452	0.62617	0.80269
ZNF557	6	0.055348	0.5659	0.53736	0.87269	0.57146	0.77226
ADAM15	6	0.14354	1.2116	0.21278	0.6637	0.22566	0.5124
TRIM23	10	-0.06988	-0.88492	0.82915	0.9626	0.3762	0.65069
TRERF1	8	-0.0067688	-0.058274	0.80462	0.95436	0.95353	0.9821
KLHL13	6	0.19854	1.6714	0.10068	0.48093	0.094642	0.38991
RNF213	11	0.053426	0.65917	0.40502	0.79989	0.50978	0.75081
ZNF286A	6	-0.10017	-0.59231	0.71506	0.94001	0.55364	0.76782
KLHL29	6	-0.023512	-0.13741	0.92299	0.97918	0.89071	0.95528
MAP3K2	6	-0.28865	-0.71115	0.19738	0.64552	0.47699	0.72897
ZFP42	6	0.13244	1.1119	0.24957	0.69769	0.2662	0.5563
SOX1	6	0.19898	1.3659	0.099829	0.48093	0.17197	0.46665
TLK1	6	0.03999	0.31301	0.60268	0.898	0.75427	0.88267
HERC1	28	-0.0039165	-0.10414	0.55476	0.8785	0.91706	0.96639
RFX2	6	0.068885	0.81485	0.47148	0.8294	0.41516	0.68335
UBE2S	7	-0.016714	-0.19473	0.8688	0.96737	0.8456	0.92985
CGRRF1	6	-0.018	-0.4114	0.89675	0.97428	0.68078	0.84424
ZFP36	13	-0.095655	-1.3997	0.6737	0.92374	0.16159	0.45436
CDK9	11	-0.71919	-3.2085	0	0	0.0013345	0.037441
PCSK5	6	0.16224	1.3617	0.17228	0.62332	0.17328	0.46733
EIF3F	4	-0.5434	-2.2761	0.066172	0.39794	0.022837	0.25499
SETD5	7	-0.45661	-2.4294	0.036794	0.28105	0.015124	0.20009
TDRD6	47	0	0	0.44866	0.82184	1	1
ZNF454	6	0.26048	2.0109	0.039361	0.29362	0.044333	0.34388
ZNF497	6	0.13041	1.4804	0.25642	0.70621	0.13877	0.43253
ADAMTS1	6	-0.042965	-0.33096	0.97918	0.99191	0.74068	0.87589
RNF17	41	0	0	0.44866	0.82184	1	1
ZNF92	5	0.37245	1.6675	0.010553	0.12131	0.095411	0.39077
CREB5	6	0.21551	1.4659	0.078437	0.43103	0.14267	0.43468
SND1	6	-0.011586	-0.14371	0.8648	0.96653	0.88573	0.95315
MEX3A	12	-0.035191	-0.53034	0.92299	0.97918	0.59587	0.78568
MXD1	6	0.16805	1.2999	0.16087	0.60776	0.19365	0.4844
BAZ1A	14	0.047629	0.84089	0.37051	0.78727	0.40041	0.67268
JDP2	6	0.11445	1.6398	0.3109	0.75812	0.10105	0.39168
INPP5E	6	-0.055126	-0.49063	0.91957	0.97907	0.62369	0.80084
DPEP3	6	-0.17581	-0.41015	0.4441	0.82184	0.6817	0.84424
neg32	1	0.30764	0.60713	0.33371	0.77192	0.54377	0.76459
ZNF304	6	0.01128	0.099806	0.75328	0.94671	0.9205	0.96799
NR1I3	6	-0.021752	-0.27356	0.917	0.97907	0.78442	0.89675
AURKB	6	-0.6486	-1.818	0.0085568	0.1049	0.069071	0.37469
PRSS45	6	-0.00021736	-0.00048021	0.80719	0.95514	0.99962	1
TTC3	9	0.18752	1.7129	0.047633	0.32302	0.086737	0.38068
ADAM11	6	-0.094433	-1.0807	0.73959	0.94638	0.27981	0.56562
RAD18	5	0.21791	1.6843	0.11751	0.52207	0.092131	0.38585
neg46	1	0.31447	0.60496	0.32088	0.76518	0.5452	0.76459
UBE4B	14	-0.17014	-1.646	0.3012	0.75231	0.099773	0.39168
UBE2Q2	9	-0.02142	-0.23142	0.87564	0.96849	0.81699	0.91397
PARL	6	-0.28643	-1.6464	0.19909	0.64635	0.099689	0.39168
MELK	6	0.20472	0.89353	0.090131	0.45533	0.37157	0.64813
CDYL2	6	0.13876	1.2273	0.2279	0.67884	0.2197	0.50569
UHRF1	14	-0.70019	-2.2879	0	0	0.022146	0.25175
KCTD1	6	0.0057764	0.069418	0.78095	0.95304	0.94466	0.97695
VPS11	13	-0.21813	-1.8722	0.17712	0.62967	0.061186	0.37206
ZNF430	5	0.12352	1.4419	0.33172	0.77173	0.14932	0.44257
ZBTB18	12	0.28308	2.6054	0.0028523	0.044843	0.009178	0.14175
TRIM49	7	-0.63548	-2.2871	0.0059897	0.08046	0.022188	0.25175
ZNF814	6	-0.077717	-0.69065	0.81318	0.95619	0.48978	0.74173
CHD8	11	-0.041077	-0.4862	0.97319	0.98957	0.62682	0.80294
SRY	6	0.17891	1.5424	0.14176	0.57604	0.12299	0.41262
SOCS3	14	0.20074	1.951	0.012835	0.14151	0.051053	0.35458
MNT	7	0.0013878	0.026334	0.76954	0.95025	0.97899	0.9924
CDK5	6	-0.061723	-0.50088	0.89047	0.97201	0.61646	0.79576
neg60	1	0.2543	0.62455	0.42983	0.81328	0.53227	0.76101
IBTK	12	-0.054682	-0.97847	0.93953	0.98183	0.32784	0.60847
CHD1L	13	-0.082185	-1.4088	0.75299	0.94671	0.15889	0.45124
IRAK4	6	0.19333	1.079	0.11095	0.51117	0.28059	0.56562
ZBTB43	12	0.0072868	0.10308	0.64775	0.91462	0.9179	0.9667
UBR1	9	0.056448	0.85486	0.44153	0.82184	0.39263	0.66532
BHLHE41	3	0.015148	0.092519	0.85197	0.96511	0.92629	0.96942
RAB40A	9	0.10606	1.4469	0.23189	0.68319	0.14793	0.44108
NEUROG1	6	0.098818	1.5074	0.36737	0.78489	0.13172	0.42366
PHF6	6	-0.30906	-1.9119	0.16828	0.61715	0.055888	0.36108
ZSCAN22	6	0.042419	0.57517	0.59469	0.89639	0.56518	0.77066
RPS6KA5	12	0.028439	0.34693	0.51255	0.85592	0.72864	0.86974
TLX1	6	0.16279	1.4097	0.17114	0.62112	0.15864	0.45124
ZNF117	6	0.14473	1.5172	0.2105	0.6607	0.12922	0.42067
