sgRNA,Gene,DLD1-Ts8.initial,DLD1-Ts8.final
ADAM15_2592.476,ADAM15,2424,2792
TRIM23_1725.82,TRIM23,1673,1542
TRERF1_SANT_E14_84.2,TRERF1,885,761
KLHL13_BTB85191_E1_1977.29,KLHL13,3180,4405
RNF213_15624.544,RNF213,2175,1774
FBXO34_2,FBXO34,2666,2199
ZNF286A_E6_744.34,ZNF286A,5997,4644
KLHL29_BTB319431_E1_2628.105,KLHL29,531,406
MAP3K2_PKc_E16_214.1,MAP3K2,364,311
ZFP42_E4_330.29,ZFP42,2733,2840
SOX1_E1_216.24,SOX1,356,366
TLK1_PKc_E14_72.3,TLK1,1770,4038
HERC1_14586.942,HERC1,1591,2034
RFX2_E7_182.12,RFX2,827,469
UBE2S_2,UBE2S,1026,928
TRIM59_1212.73,TRIM59,2847,4400
HERC1_14586.1034,HERC1,2915,3496
CGRRF1_999.44,CGRRF1,1583,1597
ZFP36_999.36,ZFP36,6497,7639
CDK9_e3.1,CDK9,10413,1642
PCSK5_5583.95,PCSK5,1305,1837
EIF3F_1074.83,EIF3F,3363,499
SETD5_e10_118.2,SETD5,2618,2603
TDRD6_tudor821866_E1_6291.214,TDRD6,3357,3483
ZNF454_E5_1011.58,ZNF454,4370,6328
ZNF497_E3_1158.36,ZNF497,4086,3692
ADAMTS1_2904.376,ADAMTS1,2689,3468
RNF17_4872.172,RNF17,1318,2590
ZNF92_E4_1059.39,ZNF92,2825,3392
CREB5_E9_138.8,CREB5,2372,2893
SND1_tudor733777_E1_2733.17,SND1,2591,2576
MEX3A_1563.182,MEX3A,1356,1438
MXD1_E4_115.1,MXD1,2028,2983
BAZ1A_BD_e27_135.3,BAZ1A,1502,1617
JDP2_E3_63.1,JDP2,2496,2068
INPP5E_1935.25,INPP5E,2605,3181
DPEP3_1542.79,DPEP3,1080,855
neg32,neg32,11868,17463
ZNF304_E4_1068.81,ZNF304,2719,4085
NR1I3_E2_77.1,NR1I3,2869,3301
AURKB_PKc_E6_139.5,AURKB,1013,46
PRSS45_687.107,PRSS45,3073,3053
TTC3_6078.41,TTC3,1703,2375
ADAM11_2310.92,ADAM11,1263,1372
RAD18_1,RAD18,3288,4719
neg46,neg46,11860,16819
UBE4B_3909.285,UBE4B,591,433
UBE2Q2_1128.34,UBE2Q2,2032,2042
PARL_98.13,PARL,1741,2315
MELK_PKc_E4_117.9,MELK,1233,1923
CDYL2_Chromo_E2_144.13,CDYL2,2935,3059
UHRF1_2,UHRF1,859,445
KCTD1_BTB40132_E1_798.78,KCTD1,1362,1688
VPS11_2825.214,VPS11,1624,546
ZNF430_E5_1083.43,ZNF430,6489,9255
ZBTB18_E2_69.7,ZBTB18,1863,2570
ZNF92_E4_1059.32,ZNF92,2819,2322
TRIM49_8,TRIM49,2323,545
ZNF814_E3_1911.59,ZNF814,4156,4547
CHD8_Chromo_E8_118.7,CHD8,1528,3410
SRY_E1_234.12,SRY,1969,3010
SOCS3_678.7,SOCS3,2661,2745
MNT_E4_112.5,MNT,2082,2027
ZNF304_E4_1068.94,ZNF304,2140,2637
CDK5_PKc_E5_57.1,CDK5,1282,2070
neg60,neg60,5077,5838
IBTK_BTB761871_E1_4062.264,IBTK,2648,2803
CHD1L_Macro716866_E1_2694.206,CHD1L,2950,3692
IRAK4_PKc_E8_115.3,IRAK4,2248,3190
ZBTB43_E3_216.3,ZBTB43,3054,4349
TDRD6_tudor541585_E1_6291.171,TDRD6,2723,3866
UBR1_5250.29,UBR1,3962,5426
BHLHE41_E3_99.0,BHLHE41,2795,3500
RAB40A_834.56,RAB40A,2050,2126
NEUROG1_E1_180.0,NEUROG1,4217,5295
PHF6_ePhd_E8_105.2,PHF6,1283,1783
ZSCAN22_E3_654.28,ZSCAN22,2342,1624
ZNF25_E6_930.35,ZNF25,5777,7497
RPS6KA5_PKc_E4_116.1,RPS6KA5,2275,3806
TLX1_E2_167.12,TLX1,2575,3062
ZNF117_E4_915.34,ZNF117,2909,4018
ZNF587_E3_567.55,ZNF587,2111,2334
GLIS2_E6_53.3,GLIS2,5387,4728
USP29_2769.11,USP29,2290,2673
GGT1_1710.83,GGT1,3840,2711
MAP3K1_PKc_E17_132.1,MAP3K1,1614,1423
ZFP14_E5_1077.84,ZFP14,5866,5560
USP43_3372.176,USP43,2481,2466
KLHL2_BTB50157_E1_1794.162,KLHL2,1681,1782
ZSCAN31_E4_492.40,ZSCAN31,1889,2129
CPM_1332.4,CPM,1848,2294
CHD3_H_e23_50.0,CHD3,2195,2632
XIAP_1494.63,XIAP,2767,3525
SPPL2B_1779.327,SPPL2B,912,1071
USP7_3309.38,USP7,2920,1518
ADAMTS7_5061.1074,ADAMTS7,2971,2902
ZNF181_E4_828.4,ZNF181,3120,4036
BAZ1A_Phd_E22_102.5,BAZ1A,2958,3461
NSD3_e20_117.1,NSD3,2595,3147
