sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
CSF1R_PKc_E17_98.1,CSF1R,1528,902
TULP4_E13_120.16,TULP4,3124,1231
TULP4_4632.365,TULP4,3124,1231
L3MBTL2_MBT511604_E1_2118.165,L3MBTL2,2488,1412
ZNF80_E1_411.42,ZNF80,3612,2749
KLHL20_BTB59165_E1_1830.16,KLHL20,1746,1214
SCYL1_PKc_E3_123.21,SCYL1,1108,860
ZNF341_E3_81.7,ZNF341,1000,543
ASPRV1_1032.66,ASPRV1,3080,1792
HOXA3_E3_177.16,HOXA3,1926,871
ZNF584_E4_495.49,ZNF584,2192,999
Nr1h4_E3_153.14,Nr1h4,1668,736
MAPKAPK2_PKc_E6_76.6,MAPKAPK2,2780,928
TRIM48_675.13,TRIM48,2946,1823
CDK3_PKc_E6_102,CDK3,1168,500
ZNF160_E7_1665.108,ZNF160,4830,3061
MTF1_E3_215.12,MTF1,2844,1823
HIVEP2_E5_4578.36,HIVEP2,3866,2217
ZIC5_E1_118.8,ZIC5,1158,705
KMT2C_Phd5_E19_134.10,KMT2C,1412,783
ZNF263_E6_231.13,ZNF263,4388,3248
CLPP_834.119,CLPP,4084,2453
PRDM9_E11_915.125,PRDM9,2056,1813
SFMBT1_MBT23120_E1_2601.33,SFMBT1,2070,981
XIAP_1494.25,XIAP,2466,1696
UBE4A_3201.57,UBE4A,2944,1663
TRIM33_3384.382,TRIM33,832,427
PRSS58_726.36,PRSS58,5114,3248
RSF1_Phd_E8_99.5,RSF1,8416,5482
HSFY2_E2_126.3,HSFY2,7750,2984
KCNB1_BTB33132_E1_2577.14,KCNB1,1274,583
TFAP2C_E5_119.7,TFAP2C,2284,859
KLHL26_BTB56157_E1_1848.32,KLHL26,4250,2727
ELF2_E7_188.12,ELF2,2930,1416
FBXO45_861.128,FBXO45,1230,765
ZNF695_E4_1104.30,ZNF695,3150,2163
TERF2_E10_144.12,TERF2,4450,2581
PITRM1_3117.19,PITRM1,4002,2178
ZNF19_E6_648.22,ZNF19,3972,1562
USP51_2136.182,USP51,2324,1222
PSMA4_786.23,PSMA4,2428,950
BRDT_BD1_e2_121.3,BRDT,5850,3722
KCNS3_BTB17116_E1_1476.14,KCNS3,3398,2399
ZNRF3_2811.553,ZNRF3,1200,821
MOZ_e12_162.1,MOZ,1268,556
IRAK1_PKc_E5_81.5,IRAK1,306,169
ZNF223_E5_498.39,ZNF223,3044,1806
ZNF655_E4_582.26,ZNF655,2366,1177
AHRR_E3_126.4,AHRR,906,467
MEX3A_1563.71,MEX3A,644,387
ZFP2_E5_1059.45,ZFP2,3184,1020
ZNF664_E5_735.39,ZNF664,3654,1982
BRD2_BD2_e6_145.7,BRD2,2416,1583
PAPPA_4884.697,PAPPA,3794,2622
TSC22D2_E4_168.3,TSC22D2,1250,811
ASB8_867.58,ASB8,3852,1824
BAZ1A_BD_e25_118.1,BAZ1A,4386,2792
FBXL19_Phd_E4_63.2,FBXL19,1444,610
FBXL19_2085.469,FBXL19,1444,610
AIRE_Phd1_E8_113.6,AIRE,1836,1370
UBE2A_459.19,UBE2A,1964,1151
ZRANB1_121.0,ZRANB1,4848,2162
USP17L11_885.50,USP17L11,16994,11201
USP17L18_885.50,USP17L18,16994,11201
USP17L19_885.50,USP17L19,16994,11201
USP17L20_885.50,USP17L20,16994,11201
USP17L22_885.50,USP17L22,16994,11201
USP17L24_885.49,USP17L24,16994,11201
USP17L25_885.49,USP17L25,16994,11201
USP17L26_885.49,USP17L26,16994,11201
ZNF300_E7_1077.56,ZNF300,1298,577
ZNF610_E6_735.29,ZNF610,1830,901
STEAP1_1020.54,STEAP1,5776,3970
KMT2B_e36_130.3,KMT2B,4062,3023
TRIM26_1620.228,TRIM26,1696,756
ZNF225_E5_1635.24,ZNF225,3382,1617
DPYSL5_1695.29,DPYSL5,2898,1185
TULP4_4632.49,TULP4,3074,1449
F7_1401.21,F7,1892,1061
CDC27_2493.112,CDC27,1132,335
ZNF20_E4_1233.57,ZNF20,3444,1290
LRRK2_PKc_E40_191.4,LRRK2,1010,443
KCNS3_BTB17116_E1_1476.183,KCNS3,1368,572
MID1_2004.0,MID1,2354,995
PHOX2A_E3_42.2,PHOX2A,1664,690
BTRC_1818.138,BTRC,3734,2361
USP24_99.1,USP24,6916,3591
TRIM9_2133.287,TRIM9,3950,3078
TBX3_E2_268.13,TBX3,2214,1040
HTRA2_1377.21,HTRA2,1488,683
ZNF556_E4_492.44,ZNF556,2674,1905
FOXO4_E2_90.1,FOXO4,5768,2773
TLL1_3042.52,TLL1,3296,1592
TLX3_E2_167.13,TLX3,1670,881
UBE2J1_957.86,UBE2J1,3420,2658
ZNF239_E2_816.82,ZNF239,3608,2439
