Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
EPHA10	6	0.030244	0.61086	0.583	0.84393	0.5413	0.69331
OSR1	4	-0.16941	-1.2775	0.55505	0.82887	0.20142	0.39762
ZNF184	6	0.079541	1.1215	0.34341	0.67451	0.26209	0.46596
ULK3	6	0.02003	0.11441	0.63092	0.86575	0.90891	0.95095
HPN	6	-0.025401	-0.27188	0.86651	0.96698	0.78572	0.87076
RFX4	6	-0.037969	-0.46462	0.93269	0.98473	0.6422	0.76636
FGFR1	6	-0.1711	-1.7593	0.50856	0.79688	0.078522	0.26702
SOX11	6	0.077026	1.0082	0.35425	0.68392	0.31336	0.51219
ZNF688	6	-0.21651	-2.3901	0.37222	0.69628	0.016843	0.14874
IMMP2L	6	0.15275	0.98346	0.10753	0.40149	0.32538	0.52598
GLIS1	6	-0.12449	-1.1637	0.68055	0.88835	0.24456	0.44756
ZNF142	7	-0.073378	-0.95599	0.89304	0.97162	0.33908	0.53719
ZNF281	6	0.091998	1.6184	0.29407	0.6376	0.10557	0.29399
WT1	7	0.13544	1.5444	0.1178	0.41717	0.12249	0.3103
ZNF331	6	0.11924	1.091	0.19681	0.54689	0.27526	0.47868
KLF5	6	-0.73874	-2.6992	0.0051341	0.059406	0.0069506	0.085504
ETV3	6	-0.12503	-1.6043	0.67912	0.88835	0.10865	0.2969
ZNF575	6	-0.0875	-1.4269	0.82972	0.95159	0.15359	0.34558
OBSCN	12	0.0076257	0.048366	0.50114	0.79253	0.96142	0.98387
KLHL28	6	0.065834	0.77587	0.39903	0.71414	0.43782	0.62597
USP49	6	-0.02193	-0.27363	0.84797	0.95997	0.78437	0.87076
MAPK11	6	-0.23263	-2.1029	0.33286	0.66553	0.035474	0.2249
CASP10	6	0.037039	0.57087	0.54478	0.81974	0.56809	0.71057
NOTO	6	0.04441	0.69146	0.50656	0.79499	0.48928	0.66603
PRKCE	6	-0.045238	-0.62939	0.96606	0.99006	0.5291	0.69097
ZNF641	6	-0.024844	-0.38831	0.86395	0.96698	0.69779	0.80501
PRKCB	6	0.060148	0.77103	0.42698	0.73599	0.44069	0.62749
NEK4	6	0.036094	0.34482	0.5522	0.8277	0.73023	0.82854
TRIM60	10	0.085763	1.2135	0.17513	0.51586	0.22494	0.42504
MAPKAPK2	6	0.071137	0.82869	0.37678	0.69799	0.40728	0.59907
FOXD3	5	-0.17689	-1.7986	0.51911	0.80282	0.072079	0.26269
TRIM11	10	0.01449	0.25333	0.52453	0.80648	0.80002	0.87912
RNF34	10	-0.062227	-0.77402	0.9846	0.9951	0.43892	0.62597
ZNF384	7	0.036784	0.52072	0.49315	0.78484	0.60256	0.73516
AZU1	6	-0.2611	-2.6047	0.27467	0.62614	0.009195	0.10333
ASPA	6	0.040767	0.38415	0.52767	0.80751	0.70087	0.80721
TWIST1	6	-0.084321	-0.85177	0.84598	0.95926	0.39434	0.58533
UHMK1	6	-0.056142	-0.79365	0.97604	0.99304	0.4274	0.61589
PCGF1	11	-0.22961	-2.663	0.22191	0.5793	0.0077442	0.092666
TBX2	7	-0.11273	-1.2923	0.71192	0.90635	0.19624	0.39137
CEBPG	6	-0.099191	-1.46	0.77952	0.93308	0.14428	0.33499
ZNF665	6	0.21956	1.8371	0.027667	0.1869	0.066197	0.25637
ZNF30	5	0.17434	1.923	0.097547	0.38644	0.054486	0.24823
ZSCAN20	9	0.035429	0.62293	0.42299	0.73452	0.53333	0.69254
BARD1	11	-1.1883	-4.5139	0	0	6.365e-06	0.00037411
NFATC4	7	-0.041298	-0.90075	0.93041	0.98431	0.36772	0.56322
EGR1	6	-0.30409	-2.6168	0.1931	0.54117	0.0088767	0.10072
BTBD3	6	0.26283	1.7669	0.0082715	0.085294	0.077253	0.26678
HOXA6	6	-0.23979	-2.0176	0.31546	0.65059	0.043632	0.24109
AGA	6	0.099431	1.4726	0.26383	0.61442	0.14085	0.32988
PRKCD	6	0.024331	0.41254	0.61124	0.85823	0.67994	0.79303
MMP20	6	0.021264	0.22426	0.6235	0.86267	0.82255	0.89417
RNF220	7	-0.41003	-2.9352	0.067028	0.318	0.0033338	0.051688
RIOK2	6	-1.2218	-3.8234	0	0	0.00013161	0.0038776
ZNF157	6	0.15252	1.0261	0.10839	0.40189	0.30485	0.50461
BTBD9	6	-0.088362	-1.486	0.82658	0.95159	0.13728	0.32719
FBXO45	12	0.083798	1.6844	0.14005	0.45212	0.092107	0.28008
SMAD6	6	-0.21716	-1.3285	0.37022	0.69486	0.184	0.37792
CPA4	6	0.021594	0.48405	0.62179	0.86206	0.62835	0.75548
ZNF709	6	0.11055	1.2127	0.22419	0.58093	0.22523	0.42524
ZSCAN4	6	-0.25027	-1.7147	0.29321	0.6376	0.086396	0.27317
NRL	6	-0.29753	-2.0895	0.20479	0.55963	0.036663	0.22872
MORC2	6	-0.028817	-0.59011	0.88334	0.96963	0.55512	0.70211
MMP9	6	-0.21317	-0.92811	0.38106	0.70058	0.35335	0.55123
MYT1	8	0.048504	0.79445	0.38819	0.70674	0.42694	0.61548
CAPN6	6	0.15604	1.8746	0.10068	0.39006	0.06085	0.24823
