Gene	sgRNA	c24|beta	c24|z	c24|p-value	c24|fdr	c24|wald-p-value	c24|wald-fdr
AAK1	6	-0.051578	-0.2982	0.90899	0.97237	0.76555	0.84704
AATK	6	-0.50676	-2.1801	0.14818	0.44953	0.029251	0.18012
ABL1	6	-0.30281	-2.5389	0.41638	0.69981	0.01112	0.097748
ABL2	6	0.1862	1.5185	0.18515	0.5	0.12888	0.30669
ACVR1	6	0.2091	1.7508	0.1459	0.44648	0.079977	0.2673
ACVR1B	6	-0.06285	-0.58576	0.94681	0.98377	0.55804	0.70716
ACVR1C	6	0.21311	1.7396	0.13965	0.43929	0.081936	0.26829
ACVR2A	6	0.12955	0.87658	0.30603	0.61054	0.38072	0.55073
ACVRL1	6	0.1239	0.6955	0.31997	0.62107	0.48674	0.64924
ADCK1	6	0.20955	1.4926	0.14562	0.44648	0.13553	0.31289
ADCK2	6	0.26467	1.3768	0.071957	0.31985	0.16857	0.34499
ADCK3	6	-0.020667	-0.23914	0.80063	0.92204	0.811	0.87503
ADCK4	6	-0.14098	-1.1912	0.80461	0.9227	0.23356	0.41019
ADCK5	6	-0.31784	-2.0866	0.38652	0.67478	0.036923	0.20444
ADRBK1	6	0.0036762	0.023389	0.71047	0.87404	0.98134	0.98957
ADRBK2	6	0.22165	1.8373	0.12514	0.41825	0.066163	0.25994
AK1	6	-0.36208	-1.9011	0.31229	0.6179	0.057292	0.25271
AK2	6	-0.34728	-1.4198	0.33589	0.63636	0.15568	0.33171
AK3	6	0.098457	0.70278	0.38851	0.67624	0.48219	0.6466
AKT1	6	-0.078054	-0.48773	0.99716	0.99886	0.62574	0.74329
AKT2	6	-0.41542	-2.1167	0.23549	0.5606	0.034283	0.19411
AKT3	6	-0.065083	-0.6999	0.95307	0.98502	0.48399	0.64792
ALK	6	0.21994	0.86943	0.12799	0.42453	0.38461	0.55422
AMHR2	6	-0.091144	-0.38947	0.95762	0.98537	0.69693	0.7961
ANKK1	6	0.31662	1.6956	0.034983	0.21541	0.089961	0.27193
ARAF	6	-0.037263	-0.28787	0.85779	0.95022	0.77345	0.85196
ATM	6	0.93115	1.3914	0	0	0.1641	0.34122
ATR	6	-3.3592	-7.2105	0	0	5.5747e-13	1.6334e-10
AURKA	6	-1.2675	-2.5844	0.0031286	0.039007	0.0097543	0.090173
AURKB	6	-2.0231	-3.7874	0	0	0.00015221	0.0035679
AURKC	6	0.087032	0.9804	0.42292	0.70541	0.32689	0.50388
AXL	6	-0.15332	-0.85203	0.76507	0.90511	0.3942	0.56364
BCR	6	0.13115	1.0229	0.30319	0.61054	0.30635	0.48281
BLK	6	0.08276	0.90546	0.43544	0.71309	0.36522	0.53747
BMP2K	6	-0.081438	-1.0086	0.99147	0.99715	0.31318	0.49049
BMPR1A	6	-0.48938	-1.8874	0.16098	0.47088	0.059101	0.25503
BMPR1B	6	-0.219	-1.459	0.59073	0.80817	0.14457	0.32082
BMPR2	6	-0.15095	-1.1451	0.77218	0.91055	0.25217	0.42791
BRAF	6	0.0072141	0.045428	0.69681	0.86556	0.96377	0.9788
BRSK1	6	0.034163	0.3644	0.59926	0.81233	0.71556	0.81054
BRSK2	6	0.39869	1.6784	0.011377	0.10444	0.093268	0.2739
BTK	6	0.18532	1.1548	0.18658	0.50191	0.24817	0.42297
BUB1	6	-1.439	-2.6604	0.00085324	0.012876	0.0078046	0.076892
BUB1B	6	-1.9507	-3.5804	0	0	0.00034301	0.0070943
CAMK1	6	-0.25225	-1.7518	0.51678	0.76751	0.079815	0.26728
CAMK1D	6	0.16674	0.80532	0.22327	0.5492	0.42064	0.58852
CAMK1G	6	0.36324	1.4635	0.016496	0.12946	0.14332	0.32082
CAMK2A	6	0.067063	0.77804	0.48379	0.74901	0.43655	0.60453
CAMK2B	6	0.17839	1.3663	0.20279	0.52893	0.17184	0.34801
CAMK2D	6	0.25048	1.2798	0.089022	0.35936	0.20062	0.37862
CAMK2G	6	-0.1411	-0.70867	0.80404	0.92265	0.47853	0.64292
CAMK4	6	0.25618	1.5696	0.082765	0.34276	0.1165	0.29448
CAMKK1	6	0.15817	1.2208	0.24232	0.56924	0.22214	0.40118
CAMKK2	6	0.026664	0.30392	0.62656	0.82976	0.76119	0.844
CAMKV	6	-0.32597	-2.0756	0.37059	0.66547	0.037928	0.20696
CASK	6	0.011751	0.14361	0.67833	0.85668	0.88581	0.93109
CDC42BPA	6	0.22882	1.3707	0.1149	0.3996	0.17047	0.34665
CDC42BPB	6	-0.12232	-1.0146	0.86377	0.95353	0.3103	0.48728
CDC42BPG	6	-0.56775	-2.8339	0.10466	0.38703	0.0045982	0.052834
CDC7	6	-1.1652	-2.6984	0.0045506	0.05178	0.0069679	0.071845
CDK1	8	-2.1401	-4.6402	0	0	3.4813e-06	0.000144
CDK10	6	-1.6646	-3.3392	0.00056883	0.0091743	0.00084017	0.014481
CDK11A	6	-0.11685	-0.3675	0.88083	0.95971	0.71325	0.8087
CDK11B	6	-0.13647	-0.74919	0.81854	0.926	0.45374	0.62013
CDK12	6	-0.84037	-1.9799	0.025882	0.17739	0.047715	0.2361
CDK13	6	0.12044	0.66194	0.32594	0.62863	0.50801	0.66673
CDK14	6	0.098876	1.3654	0.38794	0.67592	0.17211	0.34801
CDK15	6	0.24906	1.303	0.089875	0.36032	0.19259	0.36965
CDK16	6	0.04131	0.79243	0.57253	0.79976	0.42811	0.59496
CDK17	6	-0.15337	-1.3996	0.76479	0.90508	0.16164	0.33789
CDK18	6	-0.42602	-1.7253	0.22412	0.54951	0.084469	0.26829
CDK2	6	-1.0475	-2.6603	0.008248	0.083815	0.0078073	0.076892
CDK20	6	0.13417	1.0949	0.29437	0.60562	0.27355	0.45041
CDK3	6	-0.1048	-0.679	0.91667	0.97284	0.49714	0.65836
CDK4	6	-3.4361	-4.9632	0	0	6.935e-07	3.5338e-05
CDK5	6	-0.026948	-0.1589	0.82025	0.92674	0.87375	0.92227
CDK6	6	0.030572	0.17669	0.61234	0.82144	0.85975	0.91188
CDK7	6	-2.3229	-4.5557	0	0	5.2211e-06	0.00019739
CDK9	11	-1.8522	-5.3518	0	0	8.7091e-08	6.0041e-06
CDKL1	6	0.19528	1.0345	0.17093	0.48627	0.30089	0.47783
CDKL2	6	0.16766	1.4345	0.22042	0.54732	0.15142	0.32783
CDKL3	6	-0.099219	-1.3757	0.93515	0.98003	0.16891	0.34543
CDKL4	6	0.13248	1.2199	0.2992	0.60915	0.2225	0.40118
CDKL5	6	0.23257	1.6834	0.11092	0.39434	0.092291	0.2739
CHEK1	6	-3.0491	-5.7688	0	0	7.9854e-09	6.5295e-07
CHEK2	6	0.65288	1.608	0	0	0.10783	0.28657
CHUK	6	0.32918	1.4405	0.028157	0.18609	0.14973	0.32639
CIT	6	-0.62117	-2.3312	0.081342	0.34086	0.019742	0.14137
CLK1	6	0.19954	1.8643	0.16325	0.47477	0.06228	0.25816
CLK2	6	-0.84098	-3.0373	0.025882	0.17739	0.0023874	0.032789
CLK3	6	-0.78541	-2.8075	0.033276	0.20856	0.0049929	0.056629
CLK4	6	0.071908	0.63556	0.469	0.74079	0.52506	0.6816
CSF1R	6	0.044778	0.33646	0.5603	0.79403	0.73652	0.82555
CSK	6	-0.008028	-0.08935	0.75028	0.89667	0.9288	0.95852
CSNK1A1	6	-1.6451	-3.2232	0.00056883	0.0091743	0.0012675	0.020197
CSNK1D	6	-0.22317	-1.2364	0.58248	0.80563	0.21632	0.39551
CSNK1E	6	0.02951	0.24979	0.61718	0.82505	0.80275	0.87006
CSNK1G1	6	0.26454	1.625	0.071957	0.31985	0.10417	0.28216
CSNK1G2	6	-0.18869	-0.9097	0.66325	0.85193	0.36298	0.53583
CSNK1G3	6	0.2536	1.3539	0.086462	0.35226	0.17578	0.35297
CSNK2A1	5	-1.376	-3.5751	0.0036974	0.044521	0.0003501	0.0071142
CSNK2A2	6	-0.097225	-0.75259	0.94425	0.98371	0.45169	0.61868
DAPK1	6	-0.037946	-0.2584	0.86092	0.95249	0.7961	0.86606
DAPK2	6	0.049316	0.3718	0.54579	0.78391	0.71004	0.80695
DAPK3	6	-0.56094	-2.3912	0.11064	0.39434	0.016793	0.12725
DCLK1	6	0.25267	1.4337	0.087031	0.35335	0.15167	0.32796
DCLK2	6	0.015587	0.096586	0.66667	0.8527	0.92305	0.95427
DCLK3	6	0.059413	0.27223	0.50967	0.76548	0.78545	0.85925
DDR1	6	0.13297	0.78921	0.29807	0.60882	0.42999	0.59709
DDR2	6	0.012057	0.051796	0.67691	0.85612	0.95869	0.97562
DMPK	6	-0.33081	-1.5936	0.36177	0.66164	0.11104	0.28961
DSTYK	6	0.1612	1.4591	0.23379	0.56025	0.14455	0.32082
DYRK1A	6	-0.53919	-2.0628	0.126	0.41911	0.039131	0.21102
DYRK1B	6	-0.33061	-1.9972	0.36206	0.66164	0.0458	0.23007
DYRK2	6	0.042903	0.18963	0.56598	0.79434	0.8496	0.90554
DYRK3	6	0.20197	1.2693	0.15899	0.46857	0.20433	0.38226
DYRK4	6	-0.044228	-0.77209	0.88168	0.96005	0.44006	0.607
EEF2K	6	0.16556	0.71028	0.22582	0.55017	0.47753	0.64254
EGFR	6	-0.62034	-2.2285	0.081627	0.34086	0.025849	0.16651
EIF2AK1	6	0.015458	0.18965	0.66724	0.8527	0.84959	0.90554
EIF2AK2	6	0.0089043	0.089868	0.688	0.86147	0.92839	0.95852
EIF2AK3	6	0.022834	0.15657	0.64164	0.83773	0.87558	0.92332
EIF2AK4	12	-1.2582	-4.0996	0	0	4.1395e-05	0.0012358
EPHA1	6	0.20775	1.0319	0.14875	0.45009	0.30212	0.47892
EPHA10	6	-0.1277	-1.4174	0.84471	0.94077	0.15635	0.33264
EPHA2	6	-0.1328	-1.2332	0.82907	0.93282	0.2175	0.39685
EPHA3	6	0.0039872	0.023327	0.70933	0.87386	0.98139	0.98957
EPHA4	6	0.31809	1.8124	0.034699	0.21441	0.069924	0.26246
EPHA5	6	0.10393	1.6013	0.37287	0.66718	0.10932	0.28834
EPHA6	6	0.048425	0.36283	0.54807	0.78461	0.71673	0.81134
EPHA7	6	0.23065	1.7535	0.1132	0.39781	0.079524	0.26728
EPHA8	6	0.038633	0.29181	0.58191	0.80563	0.77043	0.85023
EPHB1	6	0.10834	0.87546	0.36149	0.66164	0.38132	0.55073
EPHB2	6	0.29322	1.4053	0.045222	0.24728	0.15993	0.33617
EPHB3	6	0.35973	1.7144	0.017634	0.13626	0.08646	0.26893
EPHB4	6	0.048013	0.31766	0.55034	0.78691	0.75074	0.83664
EPHB6	6	-0.076313	-0.42511	0.99147	0.99715	0.67076	0.77563
