sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
PRSS58_726.36,PRSS58,2557,2789.2
RSF1_Phd_E8_99.5,RSF1,4208,4712
HSFY2_E2_126.3,HSFY2,3875,2550.8
KCNB1_BTB33132_E1_2577.14,KCNB1,637,497.4
TFAP2C_E5_119.7,TFAP2C,1142,743.2
KLHL26_BTB56157_E1_1848.32,KLHL26,2125,2331.6
ELF2_E7_188.12,ELF2,1465,1209.2
FBXO45_861.128,FBXO45,615,650.2
ZNF695_E4_1104.30,ZNF695,1575,1847.8
TERF2_E10_144.12,TERF2,2225,2219
PITRM1_3117.19,PITRM1,2001,1862.4
ZNF19_E6_648.22,ZNF19,1986,1340.8
USP51_2136.182,USP51,1162,1051
PSMA4_786.23,PSMA4,1214,815.6
BRDT_BD1_e2_121.3,BRDT,2925,3166.4
KCNS3_BTB17116_E1_1476.14,KCNS3,1699,2057
ZNRF3_2811.553,ZNRF3,600,697.6
MOZ_e12_162.1,MOZ,634,476.2
IRAK1_PKc_E5_81.5,IRAK1,153,145.6
ZNF223_E5_498.39,ZNF223,1522,1556.6
ZNF655_E4_582.26,ZNF655,1183,1007
AHRR_E3_126.4,AHRR,453,395.2
MEX3A_1563.71,MEX3A,322,336.4
ZFP2_E5_1059.45,ZFP2,1592,882.6
ZNF664_E5_735.39,ZNF664,1827,1697.4
BRD2_BD2_e6_145.7,BRD2,1208,1351.6
PAPPA_4884.697,PAPPA,1897,2248.8
TSC22D2_E4_168.3,TSC22D2,625,696.8
ASB8_867.58,ASB8,1926,1554.6
BAZ1A_BD_e25_118.1,BAZ1A,2193,2398.8
FBXL19_Phd_E4_63.2,FBXL19,722,516.8
FBXL19_2085.469,FBXL19,722,516.8
AIRE_Phd1_E8_113.6,AIRE,918,1175
UBE2A_459.19,UBE2A,982,989.4
ZRANB1_121.0,ZRANB1,2424,1865.6
USP17L11_885.50,USP17L11,8497,9589.2
USP17L18_885.50,USP17L18,8497,9589.2
USP17L19_885.50,USP17L19,8497,9589.2
USP17L20_885.50,USP17L20,8497,9589.2
USP17L22_885.50,USP17L22,8497,9589.2
USP17L24_885.49,USP17L24,8497,9589.2
