Gene	sgRNA	c13|beta	c13|z	c13|p-value	c13|fdr	c13|wald-p-value	c13|wald-fdr
AAK1	6	-0.0009817	-0.010834	0.84414	0.96426	0.99136	0.99989
AATK	6	-0.31883	-1.3788	0.077361	0.44302	0.16796	0.45868
ABL1	6	-0.11792	-1.7486	0.56456	0.85383	0.080357	0.39097
ABL2	6	-0.06007	-0.85476	0.84699	0.96533	0.39269	0.65744
ACVR1	6	0.10735	0.67693	0.3083	0.71344	0.49845	0.72847
ACVR1B	6	0.085792	0.88212	0.39647	0.77017	0.37771	0.64407
ACVR1C	6	0.083123	0.53798	0.40785	0.77472	0.59059	0.76286
ACVR2A	6	-0.10406	-0.93357	0.62628	0.88421	0.35053	0.61622
ACVRL1	6	0.10268	0.80899	0.32594	0.72303	0.41852	0.67649
ADCK1	6	0.30057	1.9683	0.0099545	0.16055	0.049038	0.37289
ADCK2	6	0.20387	1.6677	0.071957	0.4375	0.095384	0.3982
ADCK3	6	0.19352	1.3312	0.083049	0.45271	0.18313	0.47438
ADCK4	6	0.056939	0.64193	0.52787	0.84316	0.52092	0.73262
ADCK5	6	-0.0079666	-0.11042	0.87827	0.96927	0.91208	0.9587
ADRBK1	6	-0.18902	-1.3412	0.29579	0.69725	0.17986	0.47215
ADRBK2	6	0.21836	1.5769	0.056598	0.4004	0.11481	0.41813
AK1	6	-0.20576	-1.9248	0.25	0.66041	0.054249	0.37289
AK2	6	0.1387	0.49557	0.2062	0.62054	0.6202	0.78032
AK3	6	-0.1893	-1.1779	0.2938	0.69603	0.23884	0.52319
AKT1	6	-0.1897	-1.2048	0.29295	0.69595	0.22827	0.51495
AKT2	6	-0.28296	-1.3532	0.11803	0.51661	0.17599	0.46858
AKT3	6	0.15475	1.2916	0.15842	0.5772	0.1965	0.48621
ALK	6	0.075519	0.46429	0.438	0.79323	0.64244	0.79424
AMHR2	6	0.091383	0.45194	0.37031	0.76065	0.65131	0.80267
ANKK1	6	0.12676	1.1714	0.24061	0.65632	0.24145	0.52464
ARAF	6	-0.084535	-0.67865	0.72526	0.91535	0.49736	0.72809
ATM	6	0.14999	1.4063	0.16923	0.58487	0.15962	0.45282
ATR	6	-0.37607	-1.5253	0.040956	0.3445	0.12717	0.42417
AURKA	6	-0.4256	-1.8729	0.024744	0.27707	0.061077	0.38394
AURKB	6	-0.21417	-1.6	0.23009	0.64286	0.1096	0.4118
AURKC	6	-0.19217	-1.4052	0.28641	0.69115	0.15996	0.45282
AXL	6	-0.359	-2.3231	0.049772	0.37634	0.020175	0.28768
BCR	6	-0.081598	-0.84611	0.74232	0.92619	0.39749	0.66215
BLK	6	0.085711	0.69185	0.39647	0.77017	0.48903	0.72673
BMP2K	6	-0.027133	-0.26401	0.97867	0.99625	0.79177	0.88097
BMPR1A	6	-0.35509	-1.862	0.052048	0.38445	0.06261	0.38394
BMPR1B	6	-0.092344	-1.3138	0.68288	0.91016	0.18891	0.48166
BMPR2	6	-0.15401	-1.8975	0.40899	0.77562	0.057762	0.3782
BRAF	6	0.077615	0.62134	0.4306	0.7906	0.53438	0.73781
BRSK1	6	-0.056755	-0.53688	0.86291	0.96658	0.59135	0.76313
BRSK2	6	0.1585	1.134	0.14846	0.56163	0.25679	0.53614
BTK	6	0.11054	1.1444	0.29608	0.69725	0.25247	0.53251
BUB1	6	-0.48865	-2.3589	0.012799	0.18908	0.018331	0.27425
BUB1B	6	-0.438	-2.5106	0.021331	0.25253	0.012052	0.2268
CAMK1	6	-0.075452	-0.9058	0.77304	0.9386	0.36504	0.63071
CAMK1D	6	-0.03413	-0.34157	0.98635	0.99799	0.73267	0.85018
CAMK1G	6	0.095491	0.55993	0.35353	0.74789	0.57553	0.75534
CAMK2A	6	0.026102	0.25071	0.69482	0.91126	0.80204	0.8879
CAMK2B	6	-0.095875	-0.81034	0.66439	0.90019	0.41774	0.67649
CAMK2D	6	0.1424	1.0543	0.19113	0.60215	0.29175	0.56751
CAMK2G	6	0.096326	0.52592	0.35125	0.74713	0.59894	0.76885
CAMK4	6	0.22711	1.6975	0.048066	0.36957	0.089599	0.3969
CAMKK1	6	0.051094	0.36254	0.55717	0.84922	0.71695	0.84418
CAMKK2	6	0.0086436	0.096233	0.79408	0.94966	0.92334	0.96399
CAMKV	6	0.018327	0.177	0.73749	0.92245	0.85951	0.92191
CASK	6	0.055297	1.0388	0.53697	0.8455	0.2989	0.57212
CDC42BPA	6	-0.36075	-2.2659	0.048919	0.37229	0.023455	0.30035
CDC42BPB	6	-0.18688	-1.2235	0.30148	0.70667	0.22114	0.50753
CDC42BPG	6	-0.074883	-0.58781	0.77531	0.93935	0.55666	0.74362
CDC7	6	-0.30808	-1.2512	0.085324	0.45732	0.21087	0.49899
CDK1	8	-0.37418	-2.3799	0.020762	0.25172	0.017315	0.27005
CDK10	6	-0.1902	-1.4982	0.29209	0.6958	0.13408	0.43023
CDK11A	6	-0.018588	-0.085824	0.93146	0.98321	0.93161	0.96966
CDK11B	6	-0.12264	-0.59359	0.5384	0.8466	0.55279	0.74238
CDK12	6	-0.14804	-0.99814	0.43458	0.79305	0.31821	0.58713
CDK13	6	-0.016437	-0.13474	0.9198	0.9803	0.89282	0.94663
CDK14	6	-0.065602	-0.66354	0.81968	0.95423	0.50698	0.72942
CDK15	6	0.10496	0.68761	0.31826	0.72097	0.4917	0.72792
CDK16	6	0.14109	0.90018	0.19909	0.61498	0.36802	0.63368
