Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
TRIM49D1	6	-0.49643	-1.7329	0.0045532	0.062745	0.08312	0.32129
IRF3	6	0.067728	0.7078	0.4115	0.78544	0.47907	0.68442
ZNF655	6	0.21586	1.7543	0.019351	0.17436	0.079373	0.32007
PRSS53	18	-0.081075	-1.8213	0.51451	0.82123	0.068561	0.31383
GRK5	6	0.11699	1.138	0.1975	0.60035	0.25513	0.49124
TRIM7	11	0.027367	0.34722	0.51878	0.82302	0.72843	0.83653
MASP2	6	0.072983	0.99153	0.38645	0.77041	0.32143	0.55787
ZNF182	6	0.16861	1.9731	0.069152	0.36123	0.048481	0.30164
FBXO45	12	0.031862	0.77799	0.45504	0.80808	0.43657	0.65493
CLK3	6	-0.07986	-0.69668	0.67388	0.8909	0.486	0.68669
IRX3	6	-0.067822	-0.57723	0.74701	0.92073	0.56379	0.72407
ELK1	6	0.11014	1.8272	0.22197	0.63341	0.067672	0.31383
TSC22D1	6	0.064839	1.0417	0.42629	0.79671	0.29754	0.53674
OVOL1	5	-0.034178	-0.50052	0.92516	0.98013	0.61671	0.76253
CPA4	6	-0.02865	-0.37126	0.98776	0.998	0.71045	0.82447
PAK2	6	0.13267	1.0963	0.14741	0.52004	0.27293	0.51021
CUL4B	9	0.19247	1.7778	0.012521	0.13174	0.075438	0.31792
KBTBD3	6	0.053843	0.97452	0.48577	0.80871	0.3298	0.5656
ELF1	6	0.1381	1.3119	0.13432	0.4979	0.18956	0.42681
RNF186	11	0.035206	0.49522	0.45646	0.80847	0.62044	0.76512
ZNF808	6	0.11497	1.0938	0.20433	0.61003	0.27403	0.51138
ASCL4	6	0.031131	0.42461	0.60928	0.86261	0.67112	0.79862
HINFP	6	-0.77206	-3.2488	0	0	0.001159	0.04907
SND1	6	0.18747	1.5166	0.043256	0.27636	0.12936	0.36247
ATF1	6	-0.089122	-0.53173	0.6218	0.86879	0.59491	0.74715
USP1	12	-0.30186	-3.3925	0.0085373	0.10204	0.00069247	0.036318
MYC	6	-1.557	-4.4436	0	0	8.8463e-06	0.0015543
ZNF8	6	-0.019731	-0.44808	0.95731	0.99175	0.6541	0.78447
ENC1	6	0.10038	0.64838	0.26124	0.66934	0.51674	0.69911
TFDP2	2	0.013441	0.5863	0.87393	0.96684	0.55768	0.72073
