sgRNA,Gene,DLD1-Ts13.initial,DLD1-Ts13.final
TMPRSS11B_1251.35,TMPRSS11B,8300,8368
ZNF212_E5_66.0,ZNF212,5485,5654
PBX1_E5_136.9,PBX1,5481,5600
NFATC3_E4_200.2,NFATC3,4601,4998
EN1_E2_180.21,EN1,3285,3044
PBRM1_Bah11301248_E1_4749.15,PBRM1,2570,1953
CUL3_2325.14,CUL3,2853,439
NR2E3_E3_104.11,NR2E3,2068,1943
ZIC5_E1_118.17,ZIC5,2424,1550
HSFX2_E1_273.12,HSFX2,4930,4548
DPP8_2697.102,DPP8,3596,3403
PRSS36_2568.161,PRSS36,2793,4118
neg40,neg40,13057,16242
KCNA6_BTB43134_E1_1590.318,KCNA6,1203,1355
KDM4A_tudor897953_E1_3195.183,KDM4A,938,655
MEP1A_2241.272,MEP1A,1768,1515
ADNP_E6_126.5,ADNP,4771,4979
ZNF639_E7_747.3,ZNF639,4314,4205
LONP2_2559.228,LONP2,2678,2481
ZBTB20_BTB94196_E1_2226.15,ZBTB20,2204,1957
HSF1_E2_109.1,HSF1,2684,1393
ZNF563_E4_579.27,ZNF563,1738,1665
SPOPL_BTB190297_E1_1179.38,SPOPL,2152,2671
SEC11A_558.29,SEC11A,1994,2682
ATF2_E12_133.0,ATF2,4682,4598
KDM4B_e9_96.5,KDM4B,1210,1146
ESX1_E2_89.2,ESX1,1603,1363
ZNF354A_E5_1209.10,ZNF354A,2713,2618
LACTB_1644.113,LACTB,1528,1720
POU4F3_E2_177.2,POU4F3,2800,2525
TRIM59_1212.9,TRIM59,3422,3206
USP16_2472.82,USP16,1129,1004
SKP2_1275.27,SKP2,2634,1409
ZNF382_E5_765.86,ZNF382,1081,1075
NHLRC1_1188.6,NHLRC1,1529,1210
LMX1B_E4_84.10,LMX1B,3137,3149
UBE2G1_513.45,UBE2G1,1494,1385
ADAMTS14_3681.674,ADAMTS14,3763,3722
KDM4C_e8_96.5,KDM4C,5474,5431
NPEPL1_1572.48,NPEPL1,774,458
AMBRA1_3906.692,AMBRA1,3276,4437
ZNF317_E7_1077.34,ZNF317,1568,926
MPND_1416.239,MPND,1798,1476
ZNF541_E12_78.2,ZNF541,3266,3159
RFX7_E4_101.10,RFX7,1245,1371
KDM5A_e12_163.8,KDM5A,2272,2223
ZNF302_E6_495.11,ZNF302,3951,4433
ZCWPW1_CW256303_E1_1947.6,ZCWPW1,1310,1440
NR1D1_E5_248.53,NR1D1,4262,4107
NKX6_1_E2_135.11,NKX6,3669,3773
ZNF219_E5_38.1,ZNF219,4407,4192
SUV39H1_Chromo_E3_108.1,SUV39H1,744,901
ENDOU_1233.68,ENDOU,3656,3665
RPS6KA1_PKc2_E17_159,RPS6KA1,1121,702
SHPRH_H_e27_179.16,SHPRH,3911,3443
F7_1401.96,F7,2138,1764
ASCL2_E2_126.8,ASCL2,1190,663
neg18,neg18,11667,12255
HKR1_E6_1070.123,HKR1,4000,3570
FBXL12_981.10,FBXL12,830,525
ANKIB1_3270.274,ANKIB1,2845,2757
ASB6_1266.113,ASB6,1173,1083
KLHL20_BTB59165_E1_1830.197,KLHL20,1769,1355
ZNF25_E6_930.61,ZNF25,5232,5881
TMPRSS4_1314.63,TMPRSS4,2100,2758
MLL5_e13_110.2,MLL5,5170,5865
NFKB1_E5_99.3,NFKB1,3164,4892
ZNF586_E3_495.6,ZNF586,3071,3373
PLAG1_E4_110.2,PLAG1,7766,8242
ZMYND8_BD_e7_88.6,ZMYND8,2333,1330
FBXO40_6,FBXO40,1892,2005
FOXQ1_E1_237.3,FOXQ1,935,861
ZNF197_E6_1911.23,ZNF197,4615,4847
TPSD1_729.87,TPSD1,1886,1299
ZNF580_E1_237.34,ZNF580,2730,2470
ZNF10_E5_666.53,ZNF10,3505,2917
ZNF358_E2_741.32,ZNF358,1707,1161
RCHY1_720.40,RCHY1,1880,2213
ZNF519_E3_1131.9,ZNF519,4795,4939
TRIM63_1062.50,TRIM63,2706,2530
FBXO34_2136.164,FBXO34,3132,3165
PITX3_E3_135.9,PITX3,1294,993
JADE2_Phd_E4_158.2,JADE2,797,787
KLHL9_BTB40146_E1_1854.22,KLHL9,2498,3998
TRIM13_1224.0,TRIM13,2547,3738
ZNF566_E5_570.15,ZNF566,5316,6814
ZNF567_E6_1281.4,ZNF567,6029,6843
ASH1L_Phd_E20_63.0,ASH1L,1309,1432
LEUTX_E2_73.1,LEUTX,5720,7472
ZNF628_E3_1746.168,ZNF628,998,779
NKX2_6_E2_177.17,NKX2,1066,669
OVCH2_1698.2,OVCH2,3730,4012
TAOK1_PKc_E6_97.2,TAOK1,629,628
MMP27_1542.151,MMP27,3062,3093
POU6F2_E11_174.14,POU6F2,2438,2963
ZNF660_E3_825.64,ZNF660,1825,1806
RING1_1221.226,RING1,2402,1966
CAPN7_2442.27,CAPN7,3007,4448
ZIM3_E5_492.25,ZIM3,3029,3592
ZNF552_E3_243.17,ZNF552,3465,3160
FOXR1_E5_151.19,FOXR1,1455,977
ZNF585B_E5_1839.62,ZNF585B,3354,3082
ACY1_1227.116,ACY1,4322,4577
MYO3B_PKc_E6_77.5,MYO3B,913,692
ALK_PKc_E25_93.7,ALK,2103,1867
KLKB1_1917.7,KLKB1,2271,2209
UBR7_Phd_E5_54.0,UBR7,1920,1457
NFXL1_2736.146,NFXL1,1675,1699
ZSCAN16_E4_324.6,ZSCAN16,2500,2796
DMRTA1_E1_141.18,DMRTA1,3587,4031
RHOXF2B_E4_42.1,RHOXF2B,8749,7409
RHOXF1_E1_89.2,RHOXF1,5156,5681
CBL_2721.248,CBL,4422,5199
ZNF790_E5_1317.41,ZNF790,3696,4734
neg95,neg95,4791,5058
ZNF823_E4_1167.78,ZNF823,3346,4189
ZNF480_E5_1050.50,ZNF480,2217,2686
RHBDD2_672.4,RHBDD2,2135,2445
AHRR_E3_126.15,AHRR,1363,2024
FOXR2_E1_246.29,FOXR2,4089,5188
FBXL5_2076.145,FBXL5,3282,3732
FOXB1_E2_234.0,FOXB1,3610,2986
MMP2_1983.56,MMP2,3360,2829
EBF1_E2_157.14,EBF1,2972,2922
TWIST2_Ex_176.8,TWIST2,2207,1805
ZNF555_E4_1170.4,ZNF555,4521,6045
CXXC4_CXXC301341_E1_1104.117,CXXC4,2515,3581
C1RL_1464.19,C1RL,2137,2019
ZNF557_E8_666.25,ZNF557,3745,3857
ADAM15_2592.476,ADAM15,2775,3241
TRIM23_1725.82,TRIM23,2000,1396
TRERF1_SANT_E14_84.2,TRERF1,1143,1163
KLHL13_BTB85191_E1_1977.29,KLHL13,3454,4680
RNF213_15624.544,RNF213,2576,2518
FBXO34_2,FBXO34,2895,2257
ZNF286A_E6_744.34,ZNF286A,6413,5128
KLHL29_BTB319431_E1_2628.105,KLHL29,670,395
MAP3K2_PKc_E16_214.1,MAP3K2,413,320
ZFP42_E4_330.29,ZFP42,3396,3023
SOX1_E1_216.24,SOX1,665,357
TLK1_PKc_E14_72.3,TLK1,2211,2815
HERC1_14586.942,HERC1,1868,2524
RFX2_E7_182.12,RFX2,848,570
UBE2S_2,UBE2S,1300,879
TRIM59_1212.73,TRIM59,2962,3888
HERC1_14586.1034,HERC1,3141,3192
CGRRF1_999.44,CGRRF1,1677,1846
ZFP36_999.36,ZFP36,6987,7645
CDK9_e3.1,CDK9,12618,2938
PCSK5_5583.95,PCSK5,1857,1765
EIF3F_1074.83,EIF3F,3721,758
SETD5_e10_118.2,SETD5,2637,3019
TDRD6_tudor821866_E1_6291.214,TDRD6,3499,3872
ZNF454_E5_1011.58,ZNF454,4368,6128
ZNF497_E3_1158.36,ZNF497,5257,3805
ADAMTS1_2904.376,ADAMTS1,3400,4437
RNF17_4872.172,RNF17,1761,3027
ZNF92_E4_1059.39,ZNF92,3358,3551
CREB5_E9_138.8,CREB5,2691,2732
SND1_tudor733777_E1_2733.17,SND1,2984,3717
MEX3A_1563.182,MEX3A,1752,1800
MXD1_E4_115.1,MXD1,1995,2276
BAZ1A_BD_e27_135.3,BAZ1A,1313,1402
JDP2_E3_63.1,JDP2,2879,2757
INPP5E_1935.25,INPP5E,2814,2742
DPEP3_1542.79,DPEP3,1320,1159
neg32,neg32,14473,17918
ZNF304_E4_1068.81,ZNF304,3168,4205
NR1I3_E2_77.1,NR1I3,3477,2833
AURKB_PKc_E6_139.5,AURKB,1075,118
PRSS45_687.107,PRSS45,3276,3598
TTC3_6078.41,TTC3,1886,2029
ADAM11_2310.92,ADAM11,1318,1576
RAD18_1,RAD18,3789,4888
neg46,neg46,13393,16030
UBE4B_3909.285,UBE4B,714,568
UBE2Q2_1128.34,UBE2Q2,2293,1801
PARL_98.13,PARL,2161,2061
MELK_PKc_E4_117.9,MELK,1539,2096
CDYL2_Chromo_E2_144.13,CDYL2,3128,3072
UHRF1_2,UHRF1,802,516
KCTD1_BTB40132_E1_798.78,KCTD1,1730,1528
VPS11_2825.214,VPS11,2320,693
ZNF430_E5_1083.43,ZNF430,6955,9062
ZBTB18_E2_69.7,ZBTB18,2007,2583
ZNF92_E4_1059.32,ZNF92,3223,2448
