sgRNA,Gene,DLD1-Ts13.initial,DLD1-Ts13.final
TRIM49_8,TRIM49,2692,987
ZNF814_E3_1911.59,ZNF814,4853,5127
CHD8_Chromo_E8_118.7,CHD8,1779,2092
SRY_E1_234.12,SRY,2717,2765
SOCS3_678.7,SOCS3,3048,2835
MNT_E4_112.5,MNT,2002,1692
ZNF304_E4_1068.94,ZNF304,2392,2725
CDK5_PKc_E5_57.1,CDK5,1465,2025
neg60,neg60,5949,6107
IBTK_BTB761871_E1_4062.264,IBTK,3093,2680
CHD1L_Macro716866_E1_2694.206,CHD1L,3146,3405
IRAK4_PKc_E8_115.3,IRAK4,2734,3715
ZBTB43_E3_216.3,ZBTB43,3635,3760
TDRD6_tudor541585_E1_6291.171,TDRD6,3189,3752
UBR1_5250.29,UBR1,4509,4386
BHLHE41_E3_99.0,BHLHE41,3501,3868
RAB40A_834.56,RAB40A,2284,2103
NEUROG1_E1_180.0,NEUROG1,4553,5222
PHF6_ePhd_E8_105.2,PHF6,1763,1832
ZSCAN22_E3_654.28,ZSCAN22,2442,2044
ZNF25_E6_930.35,ZNF25,5886,6949
RPS6KA5_PKc_E4_116.1,RPS6KA5,2592,3331
TLX1_E2_167.12,TLX1,3220,2819
ZNF117_E4_915.34,ZNF117,3229,3957
ZNF587_E3_567.55,ZNF587,1991,2091
GLIS2_E6_53.3,GLIS2,5877,5906
USP29_2769.11,USP29,2601,2736
GGT1_1710.83,GGT1,3828,3925
MAP3K1_PKc_E17_132.1,MAP3K1,1979,1645
ZFP14_E5_1077.84,ZFP14,6539,6607
USP43_3372.176,USP43,3112,2624
KLHL2_BTB50157_E1_1794.162,KLHL2,2104,2084
ZSCAN31_E4_492.40,ZSCAN31,2351,2060
CPM_1332.4,CPM,2159,2306
CHD3_H_e23_50.0,CHD3,2772,1981
XIAP_1494.63,XIAP,3110,3952
SPPL2B_1779.327,SPPL2B,1385,1248
USP7_3309.38,USP7,3082,1774
ADAMTS7_5061.1074,ADAMTS7,3541,2848
ZNF181_E4_828.4,ZNF181,3620,3702
BAZ1A_Phd_E22_102.5,BAZ1A,3473,4212
NSD3_e20_117.1,NSD3,2718,2831
ZBTB46_BTB21126_E1_1770.12,ZBTB46,1378,1630
USP38_3129.186,USP38,3527,3094
EAF2_E3_137.1,EAF2,5273,4597
DYRK1A_PKc_E6_287.15,DYRK1A,1296,547
ZBTB14_E4_387.3,ZBTB14,2813,2918
ZNF263_E6_231.21,ZNF263,3399,3211
CHD5_H_e23_50.4,CHD5,3011,2720
ZBTB40_E17_87.7,ZBTB40,6068,3771
RSPRY1_354.50,RSPRY1,1176,869
ZNF136_E4_1110.64,ZNF136,4759,4802
GUCY2D_PKc_E7_63.1,GUCY2D,2276,1812
LCORL_E7_876.50,LCORL,4923,6063
TRIM66_BD_e17_75.4,TRIM66,3325,2661
ZNF233_E5_648.49,ZNF233,3544,3824
FAM105A_117.5,FAM105A,2404,2764
NAALADL1_2223.42,NAALADL1,3327,2918
TOX4_E5_144.2,TOX4,2839,1321
ADRBK2_PKc_E13_108.5,ADRBK2,1148,1115
SOCS2_597.39,SOCS2,2114,2824
USP54_114.7,USP54,4139,4159
SPPL2B_1779.95,SPPL2B,3052,2213
HOXB8_E2_177.3,HOXB8,3888,4971
RNF141_693.32,RNF141,4103,4588
KLHL8_BTB57163_E1_1863.162,KLHL8,2587,3423
SHPRH_Phd_E9_141.2,SHPRH,1322,1674
MLLT10_Phd_E4_55.0,MLLT10,1283,949
MYB_E4_93.5,MYB,2027,1966
KLHL4_BTB172279_E1_2163.178,KLHL4,4333,5847
CAMK1G_PKc_E10_82,CAMK1G,2179,2190
TBR1_E4_159.11,TBR1,4833,4892
RFPL2_1137.138,RFPL2,4467,6041
TRIM77_1353.0,TRIM77,3003,3719
SIRT7_e8_81.4,SIRT7,1612,1843
KDM5A_e12_163.5,KDM5A,5813,6558
ETV1_E13_102.5,ETV1,1167,821
ZNF737_E4_1161.49,ZNF737,1409,1399
UBE2G1_513.4,UBE2G1,3085,2307
KLF17_E3_170.0,KLF17,2929,3159
MLXIP_E14_63.0,MLXIP,9683,11953
PROX1_E3_102.1,PROX1,1305,1687
ZNF140_E5_891.53,ZNF140,864,993
SOCS4_1323.58,SOCS4,4581,4998
ZNF630_E5_909.85,ZNF630,3419,4259
ASB14_1764.82,ASB14,4426,5036
NKX6_1_E3_42.3,NKX6,2567,2244
PRSS33_843.165,PRSS33,1742,939
DMRTA2_E2_141.17,DMRTA2,1439,850
KDM5D_e14_163.1,KDM5D,2303,2291
MST1_2178.252,MST1,3289,2737
ZNF613_E6_981.87,ZNF613,2295,2741
HOXC11_E2_171.6,HOXC11,3348,2863
HERC1_14586.617,HERC1,5384,6246
SMAD3_E2_190.17,SMAD3,1924,2701
TDRD6_tudor314360_E1_6291.556,TDRD6,1183,950
MYOG_E1_177.25,MYOG,3105,2334
UBP1_E4_106.7,UBP1,6672,7329
CUX2_E21_155.8,CUX2,1927,1633
ZNF671_E4_573.42,ZNF671,3183,3744
FBXO25_8,FBXO25,2703,3806
ZNF778_E7_1323.152,ZNF778,3858,2951
EBF1_E6_69.1,EBF1,5295,6301
RARA_E4_142.9,RARA,1903,1082
ZNF560_E10_1560.40,ZNF560,3600,3964
MARCH2_741.26,43526,2094,2256
ZNF585B_E5_1839.84,ZNF585B,3804,4184
SP2_E7_80.1,SP2,2873,1965
ELF5_E6_182.10,ELF5,4227,3642
TMPRSS3_984.116,TMPRSS3,2663,3304
BCL11A_E4_1326.145,BCL11A,1555,1693
HTRA3_1362.91,HTRA3,3032,4040
TFR2_2406.327,TFR2,953,760
ZNF582_E5_663.43,ZNF582,4057,3980
USP46_1101.37,USP46,4604,6235
ZBTB3_E2_75.3,ZBTB3,3133,3200
PKNOX2_E10_72.3,PKNOX2,1686,2028
ZFP69B_E5_666.39,ZFP69B,5143,4179
ZNF37A_E8_1242.102,ZNF37A,3430,3460
FOLH1_2253.221,FOLH1,3142,2906
SENP1_1935.83,SENP1,1944,2422
ZBTB26_E2_300.15,ZBTB26,4091,5110
RFWD2_2124.88,RFWD2,2396,2536
BTBD8_BTB48121_E1_1137.75,BTBD8,3916,5081
CFI_1752.93,CFI,5004,7558
ZBTB34_BTB22122_E1_1503.195,ZBTB34,2864,3746
TWIST2_Ex_176.1,TWIST2,2028,2466
TYK2_PKc_E18_135.4,TYK2,584,746
HSFX2_E2_72.2,HSFX2,8275,8369
USP9Y_162.7,USP9Y,2602,2494
LONRF1_2322.33,LONRF1,1173,1019
PRDM14_E7_66.3,PRDM14,3625,4648
KDM2A_E8_93.6,KDM2A,4237,2871
RCE1_990.125,RCE1,3126,2501
TPSD1_729.27,TPSD1,1136,1134
PMS1_E9_143.5,PMS1,5582,5451
TRIM63_1062.148,TRIM63,1697,1916
KBTBD12_BTB32127_E1_1872.2,KBTBD12,2534,2292
ZNF790_E5_1317.86,ZNF790,2980,2985
TEK_PKc_E20_41,TEK,1184,1768
FBXO10_2871.338,FBXO10,723,682
ZNF214_E3_1026.57,ZNF214,520,343
ZNF836_E5_2079.116,ZNF836,3131,3176
LONRF3_2280.146,LONRF3,2538,3324
EBF2_E6_69.2,EBF2,4015,3512
EHF_E8_188.12,EHF,4964,5262
TFDP2_E9_108.0,TFDP2,13027,13617
XPNPEP2_70.0,XPNPEP2,2149,2923
MBD1_CXXC331377_E1_1968.266,MBD1,1119,895
ZBTB7B_E4_113.9,ZBTB7B,3826,1946
MKRN3_1524.182,MKRN3,1892,2533
NEDD4_3960.168,NEDD4,4074,4692
FOXP2_E13_36.0,FOXP2,6279,6154
FBXO34_2136.107,FBXO34,3132,2779
neg79,neg79,5793,7858
ZNF614_E5_666.20,ZNF614,2955,2914
TMPRSS3_984.66,TMPRSS3,744,568
VPS11_2825.215,VPS11,1748,1648
NEUROD6_E2_360.4,NEUROD6,1952,1514
ZBTB42_BTB14121_E1_1269.18,ZBTB42,575,593
BRD3_BD2_e6_145.5,BRD3,3223,2955
ZBTB46_E5_96.9,ZBTB46,4486,4506
ZNF277_E9_97.0,ZNF277,6137,8511
FBXO47_1,FBXO47,2924,4210
MTOR_PKc_E50_83.9,MTOR,2065,539
FOXS1_E1_234.33,FOXS1,3961,4127
KLF8_E6_78.1,KLF8,4485,6448
RXRB_E4_180.18,RXRB,3715,3408
PSMB8_831.6,PSMB8,3039,3964
KIAA2018_E5_83.4,KIAA2018,3542,1783
ECE1_2313.209,ECE1,1001,564
KLHL12_BTB23130_E1_1707.202,KLHL12,2699,2687
USP38_3129.237,USP38,2952,3126
CPN1_1377.199,CPN1,2260,1794
BRPF3_PWWP10741189_E1_3618.325,BRPF3,2019,1761
TET3_e10_79.1,TET3,2313,2716
RNF39_1263.41,RNF39,539,318
TRIM49D1_3,TRIM49D1,3489,1915
RNF148_918.67,RNF148,4597,5189
ZFP37_E4_906.48,ZFP37,5279,6072
OTUD5_1716.253,OTUD5,2621,3779
FOSB_E3_63.4,FOSB,551,402
ADAMTS19_3624.383,ADAMTS19,4654,5014
TET1_e8_90.2,TET1,7179,10091
neg6,neg6,21355,30260
LONRF2_2265.196,LONRF2,1346,1095
HDAC1_e5_139.9,HDAC1,3576,2669
NRK_PKc_E4_72.4,NRK,2276,3031
MLLT3_Yeats29112_E1_1707.152,MLLT3,3023,2405
EBF3_E12_51.0,EBF3,1830,1880
ZNF556_E4_492.16,ZNF556,1876,1577
KDM3B_e19_131.2,KDM3B,1924,974
CRX_E3_135.1,CRX,4942,4067
SCML2_MBT142240_E1_2103.216,SCML2,3031,2993
SMARCA2_BD_e28_218.19,SMARCA2,3220,4241
MTA3_SANT_E11_57.1,MTA3,2412,1974
PRDM9_e8_158.10,PRDM9,2502,2508
USP12_1113.67,USP12,4310,4642
ZNF776_E3_666.14,ZNF776,4607,6117
ZNF705A_E5_483.34,ZNF705A,4719,6253
RNF38_1548.62,RNF38,3963,4281
ZNF764_E3_489.24,ZNF764,3335,2348
MBD1_CXXC217262_E1_1968.311,MBD1,1565,1005
RNF168_1716.170,RNF168,2879,2319
TMPRSS3_984.134,TMPRSS3,3018,3178
MARCH1_870.71,43525,2747,3306
RNF133_1131.13,RNF133,2900,3694
ZNF678_E4_1197.73,ZNF678,10047,12115
FRK_PKc_E4_127.1,FRK,1204,631
PSMB8_831.63,PSMB8,3655,3421
ZNF879_E5_1077.5,ZNF879,2879,2592
USP45_2445.101,USP45,1890,2751
PCSK9_2079.118,PCSK9,3177,2473
MGRN1_1731.258,MGRN1,1679,800
SETD6_e5_121.3,SETD6,2834,2892
NCOA2_e20_178.20,NCOA2,2375,2500
PLAG1_E4_110.6,PLAG1,5599,7209
RSPRY1_1731.92,RSPRY1,2343,2570
KEL_2199.227,KEL,3013,4166
USP24_99.1,USP24,5910,8279
ZNF689_E3_666.79,ZNF689,1113,554
SFMBT2_MBT156256_E1_2685.37,SFMBT2,2144,1837
FXR1_Agenet59115_E1_1866.17,FXR1,3050,2828
STUB1_696.53,STUB1,2371,2076
VEZF1_E2_78.0,VEZF1,3290,1922
LMX1A_E5_84.4,LMX1A,4150,5522
KLHL32_BTB32137_E1_1863.228,KLHL32,2568,2688
TRAF5_1674.8,TRAF5,3142,3816
TCF20_ePhd_E3_47.0,TCF20,1868,1818
ZNF345_E3_1242.85,ZNF345,4575,5026
TDRD6_tudor69133_E1_6291.39,TDRD6,1010,1105
HDAC6_a1_e9_105.4,HDAC6,4799,4669
TFAP2E_E6_142.18,TFAP2E,2082,2343
ZNF852_E4_1077.2,ZNF852,4118,4789
ZNF383_E5_969.43,ZNF383,4030,6438
CBFB_E4_117.8,CBFB,1925,2291
PGC_948.131,PGC,3428,3005
ZNF461_E6_666.23,ZNF461,9313,10964
KDM5A_Phd3_E27_45.1,KDM5A,2711,2832
KDM3A_e21_131.0,KDM3A,3839,3727
UBE2U_681.0,UBE2U,4081,3917
ZNF548_E4_834.71,ZNF548,4620,4523
EAF2_E3_137.0,EAF2,3621,3162
VPS11_2825.207,VPS11,2780,2217
ZBTB33_E3_657.36,ZBTB33,2606,3920
DYRK3_PKc_E3_1140.11,DYRK3,2838,3598
NKX2_2_E2_171.6,NKX2,1284,1101
BARX1_E3_82.0,BARX1,4372,4780
RNF8_1458.98,RNF8,2469,2798
TGIF2LY_E2_171.0,TGIF2LY,4649,4172
MBTPS2_1560.29,MBTPS2,3789,336
IRF3_E3_165.8,IRF3,2991,2017
WHSC1_PWWP878972_E1_4098.182,WHSC1,2353,2067
RAD54L2_H_e15_100.9,RAD54L2,4602,950
MMP17_1812.78,MMP17,3197,3014
CAD_6678.668,CAD,6647,8879
ASB7_957.55,ASB7,3820,4314
ZFPL1_933.62,ZFPL1,3236,2797
BACE1_1506.5,BACE1,3197,2337
THRB_E5_69.4,THRB,1535,1706
BRPF1_Phd_E3_186.4,BRPF1,2332,2015
RAX_E3_42.2,RAX,1414,1330
USP28_3234.88,USP28,3124,2618
CISH_828.60,CISH,1561,1386
CHD7_Chromo_E7_56.0,CHD7,2438,2196
PRMT7_e5_73.1,PRMT7,5653,4390
ETS2_E10_111.5,ETS2,1704,1886
SOCS2_597.36,SOCS2,3647,4429
ZFP69_E6_666.49,ZFP69,1303,615
DPYSL2_165.11,DPYSL2,2108,2688
neg33,neg33,8706,8723
IPP_BTB28134_E1_1755.1,IPP,2788,2644
ZNF99_E4_1773.68,ZNF99,3205,4202
ZMPSTE24_185.5,ZMPSTE24,4312,3835
CAMK2D_PKc_E4_55.2,CAMK2D,1880,2252
BIRC7_897.172,BIRC7,3486,4057
KCTD21_BTB593_E1_783.23,KCTD21,2332,1939
MARCH10_2541.129,43534,2959,2755
TDRD6_tudor821866_E1_6291.211,TDRD6,2363,2281
HP_1221.118,HP,4412,4085
MYO3B_PKc_E2_177.13,MYO3B,1552,1340
USP44_2139.126,USP44,2599,2731
ZNF165_E4_327.18,ZNF165,3528,3560
FBXW11_5,FBXW11,1113,863
ZNF100_E5_1155.84,ZNF100,4915,5393
PSEN2_1347.77,PSEN2,1625,1242
CPA2_1260.38,CPA2,1597,1834
E2F7_E6_159.6,E2F7,3417,3306
TMPRSS11F_1317.82,TMPRSS11F,2842,3138
RFWD2_2124.56,RFWD2,2775,2044
RFPL2_1137.141,RFPL2,3823,1831
KLHL31_BTB63165_E1_1905.212,KLHL31,3811,4387
CXXC4_CXXC301341_E1_1104.118,CXXC4,1749,1340
ZBTB16_BTB25125_E1_2022.8,ZBTB16,1727,2027
SMYD4_e5_95.4,SMYD4,2363,2110
SNAI2_E3_152.9,SNAI2,3045,3731
KCTD21_BTB593_E1_783.13,KCTD21,2193,2318
ZNF266_E11_1233.73,ZNF266,3248,2855
DZIP3_3627.150,DZIP3,5214,6910
HSF2_E1_78.1,HSF2,4258,3830
ZNF92_E4_1059.54,ZNF92,2423,2837
ZNF559_E6_1170.65,ZNF559,2869,3724
ZBTB25_E6_69.4,ZBTB25,5676,6283
CELA1_777.5,CELA1,2039,2385
TET3_e9_138.1,TET3,2545,3093
ASCL1_E1_126.11,ASCL1,1921,1626
BRD2_BD2_e6_145.6,BRD2,3283,1298
IBTK_BTB554639_E1_4062.107,IBTK,1586,1941
TRIM41_1893.397,TRIM41,363,194
LHX8_E7_39.0,LHX8,2740,2913
GRHL1_E5_77.7,GRHL1,2607,3092
FOXA1_E2_234.12,FOXA1,1726,682
PLAU_1296.115,PLAU,5070,5735
CREB3_E6_67.1,CREB3,2454,2011
ZNF880_E4_1221.60,ZNF880,3212,4042
GGH_957.56,GGH,4206,4840
RAX2_E2_135.13,RAX2,3019,3130
IRF2BP1_1755.214,IRF2BP1,2170,1534
TRIM49B_1359.92,TRIM49B,1956,1141
PHF10_Phd_E10_88.0,PHF10,2788,2832
RNF223_750.149,RNF223,2560,2442
BRD2_BD2_e6_145.7,BRD2,2258,797
KLK2_786.109,KLK2,2188,2414
BMPR2_PKc_E7_115.4,BMPR2,2169,2105
KMT2B_Phd3_E16_183.35,KMT2B,801,555
RNF19B_1764.188,RNF19B,2620,3301
EVX1_E2_135.14,EVX1,2220,1482
ZNF793_E8_600.56,ZNF793,4268,4984
UBE4B_3909.308,UBE4B,1578,1110
ATRX_D_e19_178.6,ATRX,2703,2551
CHD3_D_e14_79.5,CHD3,2493,3770
F7_1401.21,F7,1657,1394
CASP6_882.68,CASP6,1252,880
MTA1_Bah3188_E1_2148.39,MTA1,1453,1556
MALT1_2475.89,MALT1,1709,2003
TNFAIP3_2373.24,TNFAIP3,2672,3131
SFMBT1_MBT131232_E1_2601.37,SFMBT1,4131,4297
PEPD_1482.189,PEPD,2990,2645
Nr1h4_E2_76.8,Nr1h4,4613,5487
HMGB1_E3_146.2,HMGB1,2779,4096
LAP3_1560.23,LAP3,1021,1407
UBE2NL_462.21,UBE2NL,2611,3174
RNF139_1995.95,RNF139,3975,3863
KMT2C_Phd4_E18_105.4,KMT2C,823,437
CDK9_e4.2,CDK9,10081,1706
ZNF354A_E5_1209.34,ZNF354A,3934,4196
CDKL3_PKc_E6_140.5,CDKL3,1180,1521
MMP15_2010.366,MMP15,2579,2824
RNF135_1299.6,RNF135,2413,2342
KDM4C_tudor935990_E1_3171.165,KDM4C,2813,2449
YME1L1_2322.94,YME1L1,3603,2162
SP110_Phd_E15_101.7,SP110,2639,3347
CERS6_E2_39.0,CERS6,5625,6975
TRIM51_1359.29,TRIM51,2529,2410
TRIM24_3153.299,TRIM24,1948,1722
UBP1_E4_106.4,UBP1,659,451
CDX1_E2_126.17,CDX1,1324,1546
NPR1_PKc_E10_78,NPR1,1614,1753
KLHL15_BTB32128_E1_1815.12,KLHL15,1141,1766
ZNF148_E6_67.0,ZNF148,5560,6183
SETDB1_tudor257317_E1_3876.56,SETDB1,2933,3239
SETD1B_e17_118.2,SETD1B,5503,6152
RCBTB1_BTB371467_E1_1596.94,RCBTB1,3611,4057
FBXO9_1344.24,FBXO9,1901,1327
TRIM9_2133.363,TRIM9,3053,4584
BSX_E2_129.11,BSX,1128,1401
HAND2_E1_177.20,HAND2,1140,797
USP51_2136.132,USP51,3574,4575
NEURL2_858.72,NEURL2,1088,1245
RFX3_E7_182.13,RFX3,3378,4131
EPHA4_PKc_E14_210.8,EPHA4,1304,1094
ZNF710_E2_450.11,ZNF710,4107,6274
COMMD3_588.13,COMMD3,1808,1719
BTBD7_BTB268397_E1_3399.51,BTBD7,2962,2660
MAFA_E1_273.9,MAFA,3213,2652
RNF145_2082.147,RNF145,1391,629
TRIM21_1428.166,TRIM21,1839,2352
ZNF431_E5_1059.60,ZNF431,3014,3524
SP110_Phd_E15_101.1,SP110,1077,910
TULP4_4632.374,TULP4,1682,1849
USP38_3129.204,USP38,1783,1885
UBE2NL_462.13,UBE2NL,3433,4159
