sgRNA,Gene,HCT116-Ts5.initial,HCT116-Ts5.final
KMT2D_16614.3185,KMT2D,251,175
JMJD1C_e22_86.2,JMJD1C,1482,1488
COPS5_1005.52,COPS5,1929,1282
ZNF619_E6_732.58,ZNF619,1124,1215
FAM105A_117.5,FAM105A,853,813
SOCS2_597.43,SOCS2,1986,2062
PCAF_e11_118.9,PCAF,1648,2085
PARP9_Macro117295_E1_2565.247,PARP9,619,751
RHBDD2_672.131,RHBDD2,1145,1011
SREBF1_E7_66.0,SREBF1,1185,1725
ZNF541_E12_78.2,ZNF541,1242,1456
ZNF33B_E4_1407.103,ZNF33B,1312,1363
RAB40C_846.146,RAB40C,601,580
TOX_E5_147.11,TOX,1462,1944
MDM2_1335.37,MDM2,1021,1310
FOXO4_E2_90.1,FOXO4,2028,2709
ZBTB12_E2_78.3,ZBTB12,2481,3037
CDK9_e4.2,CDK9,4003,1875
ZIC5_E1_118.8,ZIC5,387,490
ADAM12_2730.82,ADAM12,2634,2188
TBX1_E3_86.5,TBX1,1704,1394
ZNF431_E5_1059.60,ZNF431,1113,1580
CYHR1_1089.23,CYHR1,1822,1818
CYHR1_1,CYHR1,1822,1818
SIRT1_e4_153.6,SIRT1,1107,1384
USP8_3357.182,USP8,1293,732
KBTBD7_BTB53168_E1_2055.218,KBTBD7,758,960
TOX3_E5_144.10,TOX3,1301,1921
ZNF614_E5_666.11,ZNF614,1308,1016
ZSCAN20_E8_478.84,ZSCAN20,2584,3210
ZSCAN20_SANT_E6_478.84,ZSCAN20,2584,3210
RNF40_3006.320,RNF40,667,337
T_E3_265.48,T,1573,1814
DCAF1_11,DCAF1,996,311
HMGXB3_E3_163.4,HMGXB3,517,551
ARIH2_1482.141,ARIH2,556,783
GSC_E2_135.12,GSC,619,711
NAALAD2_2223.128,NAALAD2,737,1059
ZNF214_E3_1026.52,ZNF214,2388,3405
USP50_1005.67,USP50,1144,1612
FBXW8_9,FBXW8,823,1111
neg48,neg48,5340,9007
SMG1_PKc_E43_139.5,SMG1,247,175
DIDO1_Phd_E3_362.22,DIDO1,1974,1144
BRPF3_BD_e6_190.4,BRPF3,1381,1651
L3MBTL1_MBT385481_E1_2523.356,L3MBTL1,1059,1392
ZNF763_E4_402.24,ZNF763,1786,2337
PSKH1_PKc_E3_108.1,PSKH1,403,274
CGRRF1_999.36,CGRRF1,828,1075
ATG4B_1182.145,ATG4B,587,915
ENDOU_1233.68,ENDOU,1315,1379
FGFR1_PKc_E14_123.7,FGFR1,523,537
CFLAR_708.34,CFLAR,1709,1473
SIX2_E1_156.18,SIX2,805,1213
ADCK1_PKc_E8_150.18,ADCK1,543,668
ZNF10_E5_666.53,ZNF10,1249,1632
PHF8_e7_187.13,PHF8,1474,1601
ZNF484_E4_1164.90,ZNF484,2500,3002
PCSK2_1917.108,PCSK2,2118,1966
RPL23A_e3.1,RPL23A,7455,2674
CAD_6678.595,CAD,686,538
SCAF11_4392.373,SCAF11,1513,1987
SIAH2_975.135,SIAH2,508,548
TSC22D2_E4_168.4,TSC22D2,1553,1965
DPP6_2598.216,DPP6,1405,1969
STAT4_E10_89.5,STAT4,1405,2045
ZNF626_E4_915.70,ZNF626,1377,1956
PEX12_1080.16,PEX12,1095,953
ABHD12_1215.47,ABHD12,2604,2767
ZNF32_E3_561.62,ZNF32,1159,1586
PIAS1_Ex_220.13,PIAS1,2411,1426
PIAS1_1956.136,PIAS1,2411,1426
UBR7_Phd_E5_54.3,UBR7,645,683
ZNF98_E4_1155.61,ZNF98,1224,1650
OLIG1_E1_189.0,OLIG1,1067,1276
CAPN11_2220.9,CAPN11,836,961
GAN_BTB20125_E1_1794,GAN,800,640
ZNF491_E3_1176.92,ZNF491,1385,1420
PHF7_Phd_E10_103.7,PHF7,796,712
DTX3_1053.58,DTX3,783,681
SOHLH2_E7_130.1,SOHLH2,1740,2074
ASB9_885.74,ASB9,1226,1621
HERC3_2799.51,HERC3,1333,1577
ZNF407_E1_4129.115,ZNF407,1146,674
SOX8_E1_122.15,SOX8,1701,1482
MUL1_1059.70,MUL1,912,1243
TULP1_E13_99.12,TULP1,1434,1198
ABHD12B_858.58,ABHD12B,1666,1721
HOXD4_E2_177.20,HOXD4,658,774
ZNF641_E7_477.30,ZNF641,1661,1757
ZNF619_E6_732.63,ZNF619,1284,1575
ZBTB2_BTB1484_E1_1545.203,ZBTB2,776,595
KCTD21_BTB593_E1_783.112,KCTD21,1154,1126
MYLIP_1338.102,MYLIP,1416,1739
RORA_E4_142.1,RORA,2010,2640
HSFX2_E2_72.4,HSFX2,1411,1903
ARID3B_E4_73.4,ARID3B,1503,1699
IDE_3060.254,IDE,2214,3017
HTRA2_1377.163,HTRA2,1222,1757
TRAF6_1569.156,TRAF6,1184,1310
CDK12_PKc_E7_57,CDK12,603,2109
SPSB2_792.92,SPSB2,715,529
ASB16_1362.138,ASB16,726,626
PRMT9_e4_168.5,PRMT9,2608,2786
USP47_3864.51,USP47,1246,1011
CYLD_2871.134,CYLD,767,1108
AMBRA1_3906.53,AMBRA1,794,1641
FOXO3_E2_90.1,FOXO3,1384,1385
PIAS3_1887.273,PIAS3,733,769
SMAD5_E4_372.17,SMAD5,403,488
RIPK1_PKc_E5_150.8,RIPK1,629,685
ZNF28_E4_1494.60,ZNF28,1464,1274
BCL6B_E6_31.0,BCL6B,1887,2103
ZBTB17_E13_131.14,ZBTB17,822,522
FOXQ1_E1_237.1,FOXQ1,921,985
