Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
SOCS1	12	-0.80667	-2.1992	0.10154	0.63966	0.027863	0.26549
SOCS2	11	-1.0285	-2.9863	0.056598	0.51852	0.002824	0.050402
SOCS3	14	-0.69483	-2.1399	0.13111	0.68398	0.032359	0.29546
SOCS4	14	0.60004	1.6469	0.22127	0.78112	0.099588	0.60475
SOCS5	8	-0.76573	-1.6897	0.21303	0.7731	0.091084	0.57825
SOCS6	6	0.080148	0.15854	0.97554	0.9945	0.87403	0.93266
SOCS7	19	0.13607	0.52906	0.83163	0.97736	0.59676	0.7957
SPSB1	14	0.18488	0.51492	0.77048	0.97457	0.60661	0.80085
SPSB2	14	-0.10537	-0.32735	0.73066	0.96229	0.74341	0.87521
SPSB3	18	-0.053188	-0.1858	0.80802	0.97499	0.8526	0.92105
SPSB4	14	-0.14405	-0.37879	0.67207	0.94388	0.70484	0.85124
WSB1	14	0.066682	0.21144	0.9781	0.99479	0.83254	0.91016
WSB2	21	-0.52019	-2.0471	0.15216	0.71088	0.040647	0.3419
AMBRA1	10	1.0722	1.2729	0.057167	0.51852	0.20306	0.68713
DCAF1	22	-1.4718	-5.2198	0.0017065	0.2069	1.7912e-07	1.312e-05
DCAF10	15	0.076982	0.30792	0.95535	0.99204	0.75814	0.8792
DCAF11	17	-0.26521	-1.1336	0.45563	0.89179	0.25696	0.68713
DCAF12	16	0.28634	0.95985	0.59016	0.91936	0.33713	0.68713
DCAF12L1	19	0.06888	0.24911	0.96416	0.99356	0.80327	0.89975
DCAF13	10	0.49892	1.2934	0.40984	0.85979	0.19589	0.68713
DCAF15	11	0.0056922	0.017508	0.9161	0.98864	0.98603	0.99652
DCAF16	7	-0.33481	-0.85652	0.56257	0.90868	0.39171	0.68713
DCAF17	8	1.0886	1.0367	0.067975	0.55324	0.29988	0.68713
DCAF4	8	0.21513	0.46714	0.80347	0.97493	0.6404	0.81581
DCAF5	17	0.69475	1.6762	0.1149	0.66502	0.093708	0.5873
DCAF6	10	-0.019144	-0.050911	0.87429	0.9807	0.9594	0.9846
DCAF7	14	-0.10145	-0.39895	0.73549	0.96229	0.68993	0.84377
DCAF8	16	-0.21964	-0.80307	0.5529	0.90683	0.42193	0.69484
DDA1	2	-3.674	-4.0289	0.051763	0.50833	5.6029e-05	0.0019313
DDB1	22	-2.242	-6.9675	0.0011377	0.2069	3.226e-12	3.4372e-10
DTL	12	-1.2077	-3.0569	0.018771	0.37079	0.0022367	0.041169
PHIP	16	0.6202	1.8312	0.17577	0.73722	0.067071	0.48335
WDTC1	18	-0.0069111	-0.02612	0.89249	0.98401	0.97916	0.99599
ANAPC1	10	0.90496	1.1748	0.10694	0.64384	0.24009	0.68713
ANAPC10	8	0.020042	0.055764	0.95165	0.99204	0.95553	0.98264
ANAPC13	5	0.49545	0.85872	0.55404	0.90683	0.3905	0.68713
ANAPC15	6	-0.11374	-0.50248	0.82224	0.97735	0.61533	0.80489
ANAPC16	6	0.76214	0.89325	0.29352	0.81869	0.37172	0.68713
ANAPC2	14	-1.3524	-3.7449	0.0076792	0.3254	0.00018044	0.0053313
ANAPC4	10	-1.5083	-3.6588	0.014505	0.33117	0.00025341	0.0069237
ANAPC5	12	-1.7543	-3.9711	0.0019909	0.21212	7.1543e-05	0.0023509
ANAPC7	15	0.83168	1.7261	0.073094	0.57111	0.084325	0.55836
CDC16	14	-3.2563	-3.1069	0.0017065	0.2069	0.0018909	0.035887
CDC20	7	-1.565	-3.0123	0.038396	0.46758	0.0025924	0.046744
CDC23	14	-1.7037	-4.6326	0.0022753	0.22222	3.6105e-06	0.00016703
CDC26	3	-2.3297	-2.6993	0.059443	0.51852	0.0069482	0.09543
CDC27	7	0.55519	0.82577	0.42947	0.87334	0.40893	0.69092
CDH1	16	0.10663	0.3636	0.90586	0.98668	0.71616	0.85734
AKTIP	8	0.20567	0.62989	0.81428	0.97551	0.52877	0.75231
BIRC6	6	-0.794	-1.6312	0.2773	0.81658	0.10284	0.61286
CDC34	7	-0.3032	-0.69167	0.59471	0.92146	0.48915	0.72827
DCUN1D1	6	0.12167	0.22304	0.93572	0.99072	0.82351	0.90657
DCUN1D2	9	-0.28367	-0.70224	0.56428	0.90868	0.48253	0.72346
DCUN1D3	6	0.019764	0.033589	0.95734	0.99204	0.9732	0.99211
UBE2A	7	-1.7466	-3.143	0.026735	0.41048	0.001672	0.033026
UBE2B	8	0.40165	0.71499	0.56684	0.90868	0.47462	0.71676
UBE2C	8	-0.31751	-1.0001	0.54892	0.90683	0.31727	0.68713
UBE2D1	7	1.744	0.78918	0.003413	0.26087	0.43001	0.69752
UBE2D2	8	-0.81586	-1.8296	0.19027	0.75224	0.067314	0.484
UBE2D3	6	-1.2405	-2.7377	0.10353	0.63966	0.0061865	0.087616
UBE2D4	8	0.3043	0.67164	0.68003	0.94388	0.50181	0.73393
UBE2E1	8	0.44978	0.68254	0.51394	0.90467	0.4949	0.73235
UBE2E2	9	0.94256	1.3561	0.1021	0.63966	0.17507	0.68713
UBE2E3	6	0.21061	0.5742	0.83276	0.97736	0.56584	0.77412
UBE2F	7	-0.22907	-0.59972	0.67605	0.94388	0.5487	0.76498
UBE2G1	8	-0.86926	-2.5206	0.1661	0.73221	0.011715	0.13962
UBE2G2	9	-0.16843	-0.55977	0.7099	0.95451	0.57564	0.77949
UBE2H	7	0.44756	0.91636	0.53726	0.90488	0.35948	0.68713
UBE2I	9	-0.45575	-1.1266	0.3959	0.84939	0.25993	0.68713
UBE2J1	9	1.121	1.126	0.049204	0.50562	0.26016	0.68713
UBE2J2	8	-0.074718	-0.18209	0.82395	0.97736	0.85551	0.92241
UBE2K	7	-0.30819	-0.73111	0.59016	0.91936	0.46471	0.71128
UBE2L3	6	0.030988	0.065833	0.97099	0.99447	0.94751	0.97811
UBE2L6	7	0.40059	0.65543	0.58675	0.91811	0.51219	0.74408
UBE2M	6	-1.9463	-3.2154	0.025313	0.3991	0.0013025	0.027755
