sgRNA,Gene,DLD1-Cont1.initial,DLD1-Cont1.final
ADAM15_2592.476,ADAM15,2551,2563
TRIM23_1725.82,TRIM23,1657,1050
TRERF1_SANT_E14_84.2,TRERF1,885,938
KLHL13_BTB85191_E1_1977.29,KLHL13,3310,3559
RNF213_15624.544,RNF213,2320,1773
FBXO34_2,FBXO34,3749,1319
ZNF286A_E6_744.34,ZNF286A,7557,3844
KLHL29_BTB319431_E1_2628.105,KLHL29,505,386
MAP3K2_PKc_E16_214.1,MAP3K2,470,294
ZFP42_E4_330.29,ZFP42,2724,2896
SOX1_E1_216.24,SOX1,391,497
TLK1_PKc_E14_72.3,TLK1,2153,2094
HERC1_14586.942,HERC1,1542,1810
RFX2_E7_182.12,RFX2,928,526
UBE2S_2,UBE2S,1554,663
TRIM59_1212.73,TRIM59,3249,2971
HERC1_14586.1034,HERC1,3161,2225
CGRRF1_999.44,CGRRF1,1647,1465
ZFP36_999.36,ZFP36,8246,5732
CDK9_e3.1,CDK9,12184,1939
PCSK5_5583.95,PCSK5,1541,1538
EIF3F_1074.83,EIF3F,3986,443
SETD5_e10_118.2,SETD5,3390,2272
TDRD6_tudor821866_E1_6291.214,TDRD6,4769,2950
ZNF454_E5_1011.58,ZNF454,4875,4433
ZNF497_E3_1158.36,ZNF497,4346,3054
ADAMTS1_2904.376,ADAMTS1,3038,3243
RNF17_4872.172,RNF17,1921,2355
ZNF92_E4_1059.39,ZNF92,2673,2474
CREB5_E9_138.8,CREB5,3011,2161
SND1_tudor733777_E1_2733.17,SND1,3542,2864
MEX3A_1563.182,MEX3A,1734,1185
MXD1_E4_115.1,MXD1,1888,1832
BAZ1A_BD_e27_135.3,BAZ1A,1677,1315
JDP2_E3_63.1,JDP2,2684,2226
INPP5E_1935.25,INPP5E,3141,1944
DPEP3_1542.79,DPEP3,1080,838
neg32,neg32,13751,13828
ZNF304_E4_1068.81,ZNF304,3258,3133
NR1I3_E2_77.1,NR1I3,3405,2571
AURKB_PKc_E6_139.5,AURKB,1313,68
PRSS45_687.107,PRSS45,3374,2713
TTC3_6078.41,TTC3,1804,1724
ADAM11_2310.92,ADAM11,1376,1121
RAD18_1,RAD18,4846,3605
neg46,neg46,14233,11029
UBE4B_3909.285,UBE4B,734,604
UBE2Q2_1128.34,UBE2Q2,2055,1306
PARL_98.13,PARL,1464,1583
MELK_PKc_E4_117.9,MELK,1369,1637
CDYL2_Chromo_E2_144.13,CDYL2,4090,2253
UHRF1_2,UHRF1,753,396
KCTD1_BTB40132_E1_798.78,KCTD1,1738,1137
VPS11_2825.214,VPS11,2066,553
ZNF430_E5_1083.43,ZNF430,7950,6754
ZBTB18_E2_69.7,ZBTB18,1950,1972
ZNF92_E4_1059.32,ZNF92,2879,1765
TRIM49_8,TRIM49,3086,751
ZNF814_E3_1911.59,ZNF814,5130,3617
CHD8_Chromo_E8_118.7,CHD8,2112,1561
SRY_E1_234.12,SRY,1969,2117
SOCS3_678.7,SOCS3,3243,2082
MNT_E4_112.5,MNT,2285,1640
ZNF304_E4_1068.94,ZNF304,2856,2002
CDK5_PKc_E5_57.1,CDK5,1538,1521
neg60,neg60,4848,4247
IBTK_BTB761871_E1_4062.264,IBTK,3461,2047
CHD1L_Macro716866_E1_2694.206,CHD1L,3781,2235
IRAK4_PKc_E8_115.3,IRAK4,2906,2670
ZBTB43_E3_216.3,ZBTB43,3515,3256
TDRD6_tudor541585_E1_6291.171,TDRD6,3400,3121
UBR1_5250.29,UBR1,4942,3350
BHLHE41_E3_99.0,BHLHE41,3368,2748
RAB40A_834.56,RAB40A,2380,1788
NEUROG1_E1_180.0,NEUROG1,4812,4206
PHF6_ePhd_E8_105.2,PHF6,1503,1234
ZSCAN22_E3_654.28,ZSCAN22,2844,1608
ZNF25_E6_930.35,ZNF25,7380,5195
RPS6KA5_PKc_E4_116.1,RPS6KA5,2885,2373
TLX1_E2_167.12,TLX1,2343,2509
ZNF117_E4_915.34,ZNF117,3959,2946
ZNF587_E3_567.55,ZNF587,2433,1680
GLIS2_E6_53.3,GLIS2,5171,5029
USP29_2769.11,USP29,2856,1886
GGT1_1710.83,GGT1,3815,2706
MAP3K1_PKc_E17_132.1,MAP3K1,2070,929
ZFP14_E5_1077.84,ZFP14,7842,4743
USP43_3372.176,USP43,2158,2301
KLHL2_BTB50157_E1_1794.162,KLHL2,2193,1659
ZSCAN31_E4_492.40,ZSCAN31,2211,1722
CPM_1332.4,CPM,1964,1925
CHD3_H_e23_50.0,CHD3,2157,1545
XIAP_1494.63,XIAP,3893,2822
SPPL2B_1779.327,SPPL2B,1088,1120
USP7_3309.38,USP7,2900,1348
ADAMTS7_5061.1074,ADAMTS7,3053,2751
ZNF181_E4_828.4,ZNF181,3687,2820
BAZ1A_Phd_E22_102.5,BAZ1A,3662,3096
NSD3_e20_117.1,NSD3,2667,2045
ZBTB46_BTB21126_E1_1770.12,ZBTB46,1203,1235
USP38_3129.186,USP38,4380,2157
EAF2_E3_137.1,EAF2,5530,3054
DYRK1A_PKc_E6_287.15,DYRK1A,1163,438
ZBTB14_E4_387.3,ZBTB14,3335,2169
ZNF263_E6_231.21,ZNF263,4788,2203
CHD5_H_e23_50.4,CHD5,3148,2009
ZBTB40_E17_87.7,ZBTB40,5906,2507
RSPRY1_354.50,RSPRY1,1535,790
ZNF136_E4_1110.64,ZNF136,5212,3375
GUCY2D_PKc_E7_63.1,GUCY2D,2272,1519
LCORL_E7_876.50,LCORL,5759,4424
TRIM66_BD_e17_75.4,TRIM66,3437,2142
ZNF233_E5_648.49,ZNF233,3893,2956
FAM105A_117.5,FAM105A,2522,2128
NAALADL1_2223.42,NAALADL1,3310,2113
TOX4_E5_144.2,TOX4,3689,972
ADRBK2_PKc_E13_108.5,ADRBK2,1221,896
SOCS2_597.39,SOCS2,2756,2119
USP54_114.7,USP54,4679,2766
SPPL2B_1779.95,SPPL2B,2156,1905
HOXB8_E2_177.3,HOXB8,4319,3845
RNF141_693.32,RNF141,4111,3634
KLHL8_BTB57163_E1_1863.162,KLHL8,3910,2685
SHPRH_Phd_E9_141.2,SHPRH,1248,1195
MLLT10_Phd_E4_55.0,MLLT10,1426,737
MYB_E4_93.5,MYB,1462,1484
KLHL4_BTB172279_E1_2163.178,KLHL4,5305,4286
CAMK1G_PKc_E10_82,CAMK1G,2193,1871
TBR1_E4_159.11,TBR1,4409,3797
RFPL2_1137.138,RFPL2,5573,4462
TRIM77_1353.0,TRIM77,3392,3038
SIRT7_e8_81.4,SIRT7,1016,1447
KDM5A_e12_163.5,KDM5A,6104,5015
ETV1_E13_102.5,ETV1,1596,614
ZNF737_E4_1161.49,ZNF737,1815,1323
UBE2G1_513.4,UBE2G1,2851,1615
KLF17_E3_170.0,KLF17,3320,2621
MLXIP_E14_63.0,MLXIP,10854,8143
