Gene	sgRNA	c23|beta	c23|z	c23|p-value	c23|fdr	c23|wald-p-value	c23|wald-fdr
AAK1	6	-0.25644	-2.2632	0.043231	0.56777	0.023626	0.58871
AATK	6	-0.026419	-0.28505	0.88367	0.98074	0.77561	0.90072
ABL1	6	0.0022151	0.027563	0.89221	0.98105	0.97801	0.9907
ABL2	6	0.066146	0.58103	0.42349	0.93062	0.56122	0.7982
ACVR1	6	0.011782	0.1019	0.82082	0.98009	0.91884	0.96524
ACVR1B	6	0.0023529	0.019343	0.89192	0.98105	0.98457	0.99396
ACVR1C	6	-0.22038	-2.3049	0.074516	0.67526	0.02117	0.58871
ACVR2A	6	-0.064974	-0.58771	0.6004	0.95747	0.55673	0.7982
ACVRL1	6	-0.099874	-1.0425	0.40614	0.92362	0.29719	0.67808
ADCK1	6	0.20705	1.6424	0.023038	0.43316	0.1005	0.58871
ADCK2	6	0.036766	0.58643	0.63311	0.95747	0.55759	0.7982
ADCK3	6	-0.025994	-0.52319	0.88709	0.98105	0.60084	0.81636
ADCK4	6	0.02163	0.17099	0.74573	0.96967	0.86423	0.94367
ADCK5	6	0.062673	0.64697	0.44795	0.9399	0.51765	0.78263
ADRBK1	6	-0.050692	-1.0759	0.69937	0.96583	0.28198	0.66617
ADRBK2	6	0.0047462	0.065734	0.87571	0.98009	0.94759	0.97851
AK1	6	0.0036468	0.041285	0.88083	0.98009	0.96707	0.98647
AK2	6	0.043397	0.41051	0.58163	0.95747	0.68143	0.85906
AK3	6	-0.061247	-0.58534	0.62856	0.95747	0.55832	0.7982
AKT1	6	-0.01136	-0.11108	0.99915	0.99943	0.91156	0.96276
AKT2	6	-0.14828	-1.7261	0.20563	0.84026	0.084323	0.58871
AKT3	6	0.077118	0.94178	0.35694	0.91679	0.3463	0.70997
ALK	6	0.0076472	0.087405	0.85552	0.98009	0.93035	0.97108
AMHR2	6	0.084846	1.5059	0.31826	0.90388	0.1321	0.59021
ANKK1	6	0.1417	1.342	0.11007	0.72201	0.17958	0.60306
ARAF	6	0.048321	0.558	0.54437	0.9504	0.57684	0.80439
ATM	6	-0.10658	-1.0758	0.37002	0.91858	0.28204	0.66617
ATR	6	-0.18553	-1.5316	0.1223	0.75254	0.12562	0.58871
AURKA	6	-0.13862	-0.86083	0.23663	0.85685	0.38933	0.74034
AURKB	6	0.044513	0.48414	0.57366	0.95747	0.62829	0.82985
AURKC	6	0.06879	0.75016	0.40501	0.92362	0.45316	0.77164
AXL	6	-0.030012	-0.38974	0.85779	0.98009	0.69673	0.86863
BCR	6	-0.079508	-0.5188	0.51422	0.94407	0.6039	0.81761
BLK	6	-0.097378	-1.7352	0.4161	0.92419	0.082705	0.58871
BMP2K	6	-0.22654	-1.6264	0.0657	0.64088	0.10385	0.58871
BMPR1A	6	0.081447	0.74825	0.33561	0.90567	0.45431	0.77164
BMPR1B	6	-0.16592	-1.8216	0.16069	0.82251	0.068511	0.58871
BMPR2	6	0.0036156	0.033455	0.88083	0.98009	0.97331	0.98806
BRAF	6	0.03701	0.205	0.63111	0.95747	0.83757	0.92987
BRSK1	6	-0.23346	-1.9792	0.05802	0.61631	0.04779	0.58871
BRSK2	6	0.074861	0.84071	0.37002	0.91858	0.40051	0.74628
BTK	6	0.099465	0.81718	0.25739	0.87019	0.41383	0.75308
BUB1	6	0.075379	0.49119	0.36661	0.91858	0.62329	0.82761
BUB1B	6	-0.096035	-0.78698	0.42292	0.92996	0.4313	0.76588
CAMK1	6	-0.022802	-0.18707	0.91126	0.98105	0.85161	0.93746
CAMK1D	6	-0.017483	-0.17365	0.94852	0.9885	0.86214	0.94256
CAMK1G	6	0.055588	0.90713	0.49261	0.9399	0.36434	0.72538
CAMK2A	6	0.017361	0.32119	0.77986	0.97289	0.74807	0.89099
CAMK2B	6	-0.075828	-1.2427	0.53584	0.9497	0.21398	0.62947
CAMK2D	6	0.047948	0.445	0.54579	0.95047	0.65632	0.84855
CAMK2G	6	-0.30935	-2.344	0.022469	0.43316	0.019077	0.58871
CAMK4	6	0.043056	0.41085	0.58476	0.95747	0.68118	0.85905
CAMKK1	6	0.015506	0.23165	0.79181	0.97392	0.81681	0.92271
CAMKK2	6	0.073759	0.97034	0.37571	0.91864	0.33188	0.70414
CAMKV	6	-0.099648	-1.3154	0.40728	0.92362	0.18836	0.61428
CASK	6	0.027654	0.38664	0.6971	0.96583	0.69903	0.87026
CDC42BPA	6	-0.13939	-1.2841	0.23436	0.853	0.1991	0.62042
CDC42BPB	6	-0.11521	-1.5362	0.3285	0.90417	0.12449	0.58871
CDC42BPG	6	-0.084793	-0.98992	0.48009	0.9399	0.32221	0.69983
CDC7	6	-0.30156	-1.8008	0.025313	0.45	0.071733	0.58871
CDK1	8	-0.10422	-1.1452	0.33191	0.90417	0.25213	0.64707
CDK10	6	-0.2491	-1.8803	0.046359	0.57193	0.060071	0.58871
