Gene	sgRNA	c114|beta	c114|z	c114|p-value	c114|fdr	c114|wald-p-value	c114|wald-fdr
AAK1	6	-0.074919	-0.8415	0.9289	0.97322	0.40007	0.60762
AATK	6	-0.20783	-1.1155	0.54067	0.82688	0.26465	0.47282
ABL1	6	0.12433	0.65422	0.42093	0.76724	0.51297	0.69594
ABL2	6	-0.091536	-0.59968	0.87344	0.96137	0.54872	0.72363
ACVR1	6	0.11217	0.74745	0.45762	0.78757	0.45479	0.64976
ACVR1B	6	-0.078667	-0.66208	0.91638	0.97077	0.50792	0.69273
ACVR1C	6	0.11588	0.75971	0.4471	0.77976	0.44743	0.64368
ACVR2A	6	-0.042706	-0.2779	0.95677	0.98422	0.78109	0.8707
ACVRL1	6	-0.045608	-0.3063	0.96843	0.98839	0.75937	0.85799
ADCK1	6	-0.065281	-0.29132	0.96331	0.98689	0.7708	0.86614
ADCK2	6	0.22969	1.4843	0.18458	0.5671	0.13773	0.3599
ADCK3	6	-0.13514	-0.98441	0.73862	0.9167	0.32492	0.53508
ADCK4	6	-0.14071	-0.8606	0.71786	0.91021	0.38946	0.59614
ADCK5	6	-0.1241	-0.98753	0.77218	0.92894	0.32338	0.53331
ADRBK1	6	0.20513	1.2822	0.22725	0.60393	0.19976	0.41073
ADRBK2	6	0.27278	1.1079	0.11974	0.46417	0.26792	0.47572
AK1	6	-0.17157	-1.6985	0.63225	0.87211	0.089416	0.33303
AK2	6	-0.12454	-0.44687	0.77105	0.92894	0.65497	0.78393
AK3	6	0.0070914	0.025225	0.78157	0.93342	0.97988	0.9943
AKT1	6	-0.09023	-0.50123	0.8777	0.96137	0.61621	0.75967
AKT2	6	-0.41579	-1.9	0.18601	0.5671	0.057438	0.29517
AKT3	6	0.1231	0.7247	0.42491	0.76982	0.46864	0.66174
ALK	6	-0.11589	-0.74289	0.79636	0.93991	0.45755	0.65167
AMHR2	6	-0.0146	-0.11059	0.86405	0.95896	0.91194	0.95061
ANKK1	6	0.11239	1.2531	0.45734	0.78757	0.21016	0.42056
ARAF	6	0.26976	1.3815	0.12457	0.47097	0.16713	0.38507
ATM	6	0.088659	1.3158	0.51991	0.81644	0.18823	0.3999
ATR	6	-1.3954	-3.0808	0.00056883	0.010526	0.0020643	0.035755
AURKA	6	-0.65785	-1.8203	0.045506	0.27826	0.068713	0.31348
AURKB	6	-1.5693	-3.1931	0	0	0.0014075	0.02719
AURKC	6	0.17148	0.86372	0.29522	0.66709	0.38774	0.59455
AXL	6	0.010374	0.078483	0.76877	0.92732	0.93744	0.96857
BCR	6	-0.13022	-0.78008	0.75057	0.92112	0.43534	0.63571
BLK	6	-0.11547	-0.80592	0.79835	0.94068	0.42029	0.62279
BMP2K	6	0.16194	1.1034	0.31598	0.68243	0.26984	0.4782
BMPR1A	6	0.47238	1.5687	0.0099545	0.10355	0.11671	0.34811
BMPR1B	6	-0.22431	-1.4262	0.50427	0.80518	0.1538	0.37214
BMPR2	6	0.41627	1.554	0.025882	0.20588	0.12017	0.34948
BRAF	6	-0.0053489	-0.049875	0.82708	0.94661	0.96022	0.98242
BRSK1	6	0.0091	0.093609	0.77332	0.92894	0.92542	0.96067
