sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
PRKRIR_E1_80.0,PRKRIR,1524,1906
TLL1_3042.279,TLL1,2022,4765
EZH2_e16_96.8,EZH2,808,1700
ADAMTS18_3666.74,ADAMTS18,1310,2512
USP1_2358.7,USP1,1463,2130
TRPS1_E6_102.4,TRPS1,2861,5843
FBXO22_1212.72,FBXO22,1549,2875
ZNF585B_E5_1839.141,ZNF585B,3341,6022
FMR1_Agenet59117_E1_1899.173,FMR1,1619,4663
ABHD12B_858.58,ABHD12B,1973,3689
SHPRH_H_e27_179.9,SHPRH,1690,3139
ASH1L_BD_e18_55.0,ASH1L,1895,3120
ZNF554_E5_498.59,ZNF554,2215,3882
TDRD3_tudor652700_E1_2235.103,TDRD3,1533,3290
WDSUB1_1431.53,WDSUB1,1243,2313
ZNF526_E3_963.98,ZNF526,1672,2540
TESK1_PKc_E5_83,TESK1,901,2033
ZNF417_E3_567.28,ZNF417,1979,3413
SUV39H2_e4_147.1,SUV39H2,3246,7933
BRWD1_BD1_e32_126.1,BRWD1,807,1238
CLOCK_E7_149.4,CLOCK,904,2440
ASB15_1767.136,ASB15,1783,5002
NAALADL2_2388.136,NAALADL2,732,1306
TFEB_E8_76.6,TFEB,1553,3509
PROX1_E4_195.9,PROX1,1098,1818
MBTPS2_1560.129,MBTPS2,1891,2185
ZNF234_E6_1245.128,ZNF234,4032,7102
ZNF773_E4_663.19,ZNF773,1208,1738
UBE2C_240.27,UBE2C,1060,1604
FBXO38_2,FBXO38,1146,2565
NIM1K_PKc_E4_414.1,NIM1K,1093,1820
KLK9_753.142,KLK9,2568,5985
BTBD9_BTB33137_E1_1839.2,BTBD9,1338,2458
MIB2_3213.414,MIB2,1632,3798
ATOH1_E1_177.0,ATOH1,910,2083
KLHL20_BTB59165_E1_1830.206,KLHL20,1472,2574
ADAMTS4_2514.456,ADAMTS4,774,1462
CIC_E6_171.6,CIC,1218,1790
UTY_e25_115.4,UTY,3551,8292
HDAC8_e3_131.7,HDAC8,1616,3710
SUB1_E5_47.1,SUB1,754,1360
