sgRNA,Gene,HCT116-Cont2.initial,HCT116-Cont2.final
HACE1_2730.87,HACE1,1193,1068
ESPL1_6363.422,ESPL1,1404,358
OSR1_E2_137.10,OSR1,1228,730
CREBBP_e29_162.7,CREBBP,778,500
LRSAM1_2172.153,LRSAM1,484,443
ADAM30_2373.54,ADAM30,859,760
CYHR1_6,CYHR1,558,464
MARCH10_2541.167,43534,945,961
PIM2_PKc_E5_177.23,PIM2,1181,1027
PBK_PKc_E5_170.12,PBK,1133,613
JARID2_e13_106.5,JARID2,2221,1796
PRDM8_e9_190.9,PRDM8,1074,626
ZSCAN16_E4_324.6,ZSCAN16,1244,860
ZNF138_E4_231.11,ZNF138,2026,1640
ZNF343_E7_915.85,ZNF343,718,712
MAP3K8_PKc_E8_138.7,MAP3K8,394,336
PCSK7_2358.132,PCSK7,1795,1250
ZFP37_E4_906.49,ZFP37,1914,1611
USP48_3108.238,USP48,1147,882
STAT3_E17_136.9,STAT3,834,703
CREB3L1_E8_67.2,CREB3L1,2198,1888
ZNF423_E4_1206.7,ZNF423,1719,1572
ZBTB1_E2_522.5,ZBTB1,2230,1967
KLF14_E1_168.20,KLF14,972,940
MLXIPL_E13_117.0,MLXIPL,2058,1424
KCTD13_BTB43133_E1_990.8,KCTD13,922,588
TRIM28_BD_e15_87.1,TRIM28,1159,582
ZNF507_E5_115.2,ZNF507,2588,1588
ZNF497_E3_1158.170,ZNF497,444,287
ZNF583_E5_1056.60,ZNF583,1272,1160
ZFY_E8_588.0,ZFY,1561,1225
ARNT_E6_157.11,ARNT,2091,1560
neg88,neg88,2547,2406
FOXJ3_E4_75.0,FOXJ3,796,708
ADAM9_2460.228,ADAM9,1832,1374
TCF19_Phd_E4_147.5,TCF19,314,203
TRIM39_1557.16,TRIM39,980,903
KDM5B_e11_86.5,KDM5B,1147,926
HERC4_3150.45,HERC4,570,466
ZNF606_E7_1176.92,ZNF606,888,691
SIRT6_e5_96.0,SIRT6,1022,715
FBXW7_2124.82,FBXW7,1505,1371
CAD_6678.759,CAD,1044,412
CBX5_Chromo_E2_80.5,CBX5,538,332
MARCH10_2541.174,43534,225,278
FOXD4_E1_234.41,FOXD4,2388,1269
ZBTB17_BTB14109_E1_2412.421,ZBTB17,467,332
BRAP_1779.134,BRAP,1231,403
ZBTB8A_BTB14122_E1_1326.1,ZBTB8A,1236,1059
KCNA3_BTB106197_E1_1728.43,KCNA3,594,157
ASB10_1404.135,ASB10,417,213
SPIN3_Spinlin210254_E1_777.5,SPIN3,563,429
BHLHA15_E1_165.9,BHLHA15,809,445
BRD1_PWWP_E12_155.18,BRD1,1038,625
ZNF790_E5_1317.41,ZNF790,1446,1225
DLX6_E2_129.3,DLX6,1204,1030
YY2_E1_230.12,YY2,1435,1350
TDRD5_tudor529575_E1_3108.233,TDRD5,1211,1100
ZNF44_E5_1236.39,ZNF44,2851,2547
TRIM73_2,TRIM73,1982,832
TIP60_e10_94.0,TIP60,7177,2063
IRF1_E4_152.16,IRF1,1269,967
BAZ2B_Phd_E34_144.4,BAZ2B,435,282
EMX2_E2_129.1,EMX2,442,380
TMPRSS5_1374.183,TMPRSS5,866,450
MINK1_PKc_E6_91.7,MINK1,643,329
ZIM2_E11_492.34,ZIM2,1275,1189
MARCH8_876.66,43532,464,386
PCSK6_2910.119,PCSK6,1203,905
G2E3_Phd_E8_59.1,G2E3,1823,1353
NR4A2_E4_130.8,NR4A2,470,402
TRIM39_1557.56,TRIM39,498,431
ZNF266_E11_1233.0,ZNF266,1326,969
OSR2_E3_101.7,OSR2,940,631
MESP2_E1_174.7,MESP2,1066,772
ZBTB7B_E4_113.9,ZBTB7B,1475,1153
TLX1_E2_167.12,TLX1,1300,1009
neg53,neg53,3199,2958
HDAC9_e22_134.4,HDAC9,1137,975
DPF3_Phd_E8_91.6,DPF3,532,389
ZBTB40_BTB19113_E1_3720.487,ZBTB40,505,452
PBRM1_BD1_e3_98.1,PBRM1,1251,852
STAT5A_E14_69.4,STAT5A,910,707
KBTBD12_BTB32127_E1_1872.174,KBTBD12,1315,899
ZNF292_E8_243.11,ZNF292,1111,1136
ZNF865_E1_1950.496,ZNF865,564,320
MKRN2_1251.111,MKRN2,604,358
SGK2_PKc_E4_84.4,SGK2,680,484
ZNF624_E6_1671.116,ZNF624,829,404
ANAPC11_255.38,ANAPC11,2403,702
ANAPC11_591.110,ANAPC11,2403,702
ZNF234_E6_1245.128,ZNF234,3044,3021
ZNF614_E5_666.30,ZNF614,1324,914
NAALADL1_2223.165,NAALADL1,598,412
HOXA4_E2_177.16,HOXA4,1300,878
NEUROD2_E2_180.8,NEUROD2,572,383
ZNF341_E8_194.6,ZNF341,907,722
ZXDB_E1_490.5,ZXDB,1301,1073
STUB1_696.49,STUB1,369,335
RFPL4B_792.89,RFPL4B,1972,1511
TRIM28_BD_e15_87.9,TRIM28,995,605
ZNF141_E4_666.16,ZNF141,1395,1512
ZNF98_E4_1155.3,ZNF98,878,785
NAALADL1_2223.115,NAALADL1,1511,1099
CHD3_Chromo_E11_212.18,CHD3,730,543
ZKSCAN2_E6_245.9,ZKSCAN2,2784,2522
ZKSANT2_SANT2_E6_245.9,ZKSANT2,2784,2522
KLHL15_BTB32128_E1_1815.178,KLHL15,545,552
ZNF48_E2_1083.161,ZNF48,99,61
E2F2_E3_194.0,E2F2,2092,1805
RFPL4A_5,RFPL4A,285,235
ZBTB43_E3_216.20,ZBTB43,935,414
NFE2L3_E4_135.0,NFE2L3,1825,1423
ARID4B_tudor58113_E1_3939.15,ARID4B,983,607
TADA2B_E2_73.10,TADA2B,1552,747
TADA2B_SANT_E2_79.10,TADA2B,1552,747
ZEB2_E8_1970.33,ZEB2,1017,693
PhIP_BD2_e37_80.0,PhIP,1093,594
MEX3A_1563.182,MEX3A,816,550
CASP1_936.8,CASP1,1216,1109
STUB1_912.13,STUB1,875,592
GLIS2_E6_53.1,GLIS2,1181,710
ZNF222_E4_483.16,ZNF222,1178,940
FBXO11_2784.130,FBXO11,2263,2314
SPIN3_Spinlin129177_E1_777.71,SPIN3,840,923
OTUD3_1197.13,OTUD3,895,784
CSNK1G1_PKc_E7_86.9,CSNK1G1,172,112
ZNF532_E11_447.27,ZNF532,1229,829
PRMT3_e9_122.5,PRMT3,1807,1578
KLHL12_BTB23130_E1_1707.205,KLHL12,2161,2043
LNX2_2073.236,LNX2,1104,1054
BAP1_2190.364,BAP1,1022,593
FBXL4_1866.100,FBXL4,1146,990
ZNF776_E3_666.12,ZNF776,1453,1032
ELF2_E8_61.1,ELF2,1539,1463
STAT5B_E11_123.2,STAT5B,2547,1779
UBE2QL1_486.17,UBE2QL1,761,624
ECT2L_2715.109,ECT2L,1624,1313
EHF_E8_188.12,EHF,2220,1746
DNAJC2_E14_101.1,DNAJC2,2895,1570
DNAJC2_SANT_E14_101.1,DNAJC2,2895,1570
SPPL2C_2055.343,SPPL2C,1513,958
TRIM21_1428.100,TRIM21,606,299
KDM4A_tudor9601004_E1_3195.227,KDM4A,1003,880
NSD2_e19_73.8,NSD2,1060,626
HLTF_3030.152,HLTF,1033,953
FOXF2_E1_234.24,FOXF2,540,523
DOT1L_e6_95.3,DOT1L,1439,1096
DYRK4_PKc_E6_141.7,DYRK4,1198,988
RNF13_1146.0,RNF13,991,557
BRWD3_BD_e30_95.8,BRWD3,1058,596
DPYSL2_185.31,DPYSL2,1653,1185
NFKB1_E8_159.9,NFKB1,1962,1124
USP50_1005.26,USP50,2421,1648
EPHA4_PKc_E11_43.1,EPHA4,660,565
ZNF251_E5_1287.112,ZNF251,2522,1927
KLF1_E3_137.5,KLF1,153,79
KDM4C_e7_104.5,KDM4C,1558,1084
KLHL34_BTB19126_E1_1935.1,KLHL34,954,629
ZNF182_E7_1221.86,ZNF182,1881,1576
ANAPC5_2268.147,ANAPC5,372,74
LHX5_E3_135.12,LHX5,674,531
neg70,neg70,3301,3139
ONECUT2_E2_165.16,ONECUT2,949,970
UHRF2_2409.129,UHRF2,1126,1058
KDM2A_E8_93.6,KDM2A,2181,1172
ZNF778_E7_1323.152,ZNF778,1936,1286
TSSK6_PKc_E1_771.44,TSSK6,1001,996
CPA4_1266.11,CPA4,938,841
PHF21A_Phd_E15_129.7,PHF21A,576,441
CUX1_E23_155.16,CUX1,1431,1282
HAT1_e4_121.4,HAT1,980,765
FBXO2_4,FBXO2,198,128
ERG_E12_252.35,ERG,2539,1933
PSMA7_747.87,PSMA7,1397,303
CELA2A_810.71,CELA2A,684,519
BFAR_1353.173,BFAR,814,898
OSR1_E2_137.11,OSR1,595,446
MMP1_1410.143,MMP1,711,685
FBXL20_1311.126,FBXL20,1113,864
PPARG_E4_139.5,PPARG,2245,1963
RFX2_E7_182.10,RFX2,1444,1029
ZBTB4_BTB2062_E1_3042.3,ZBTB4,1116,1008
DPP10_2403.91,DPP10,1337,1044
EZH2_e16_96.8,EZH2,844,722
CDK9_e2.1,CDK9,2399,540
USP43_3372.451,USP43,1660,1174
CBLB_2949.35,CBLB,512,516
PSMB8_831.63,PSMB8,1319,1324
PIAS4_1533.299,PIAS4,1127,681
KDM3A_e22_95.5,KDM3A,919,694
TRIM24_3153.196,TRIM24,548,428
BTBD17_BTB53162_E1_1437.49,BTBD17,604,545
ZNF296_E2_87.9,ZNF296,1802,1304
CAD_6678.477,CAD,834,564
HDGF_PWWP40108_E1_771.119,HDGF,513,235
KLK9_753.129,KLK9,542,453
ZIK1_E4_666.75,ZIK1,2505,2436
RNF144B_912.109,RNF144B,1404,1161
TRIM77_1353.0,TRIM77,1120,1141
BIRC7_897.94,BIRC7,887,555
ZNF726_E4_1281.77,ZNF726,679,745
TDRKH_tudor357404_E1_1686.131,TDRKH,497,355
ZNF35_E4_834.60,ZNF35,760,722
PAX1_E2_384.11,PAX1,312,173
CBLB_2949.157,CBLB,509,475
HBP1_E10_127.7,HBP1,1772,1387
ZNF614_E5_666.43,ZNF614,974,1044
TRIM25_1893.8,TRIM25,821,486
RCBTB2_BTB395487_E1_1656.106,RCBTB2,588,495
neg25,neg25,3623,3972
ATAT1_e5_114.2,ATAT1,1577,983
CHD4_Phd_E9_129.9,CHD4,484,140
SNRK_PKc_E4_142,SNRK,600,662
PSMA6_741.41,PSMA6,1994,441
TRIM44_1035.65,TRIM44,885,832
GSX1_E2_174.8,GSX1,339,146
UBE2M_552.53,UBE2M,733,127
SHPRH_H_e27_179.10,SHPRH,1793,1661
SP100_E22_143.11,SP100,889,931
KCNC2_BTB10151_E1_1917.293,KCNC2,657,653
BRPF1_Phd_E3_186.7,BRPF1,402,319
TRAF6_1569.168,TRAF6,640,416
USP26_2742.173,USP26,1682,1526
PRSS38_981.29,PRSS38,1442,899
TDRD7_tudor9631007_E1_3297.142,TDRD7,605,458
PAK7_PKc_E7_134.9,PAK7,817,684
ZNF687_E7_330.58,ZNF687,607,562
TRIP12_6123.27,TRIP12,1057,984
RPS6KB1_PKc_E8_91.1,RPS6KB1,729,566
E2F3_E3_194.2,E2F3,1076,508
ADAMTS16_3675.104,ADAMTS16,1591,1442
PGPEP1_630.41,PGPEP1,593,418
CTRL_795.44,CTRL,1425,984
TRIM26_1620.302,TRIM26,1643,741
PHF12_Phd_E3_58.5,PHF12,1002,710
PHF8_e7_187.2,PHF8,779,515
SCMH1_MBT137235_E1_1983.282,SCMH1,585,325
TBX21_E4_159.9,TBX21,765,543
KCNB1_BTB33132_E1_2577.19,KCNB1,468,304
ZNF813_E4_1236.86,ZNF813,1709,1052
neg99,neg99,2077,2027
ABHD4_1029.125,ABHD4,1465,1042
FOXG1_E1_234.17,FOXG1,427,367
MEST_981.102,MEST,649,398
LRSAM1_2172.155,LRSAM1,283,102
TPP1_1692.61,TPP1,1990,1794
OVCH2_1698.179,OVCH2,1018,859
ZNF708_E4_1233.72,ZNF708,1213,1156
RHBDL1_113.15,RHBDL1,1520,1113
HBP1_E10_127.4,HBP1,1539,686
MMP8_1404.29,MMP8,2109,1683
TRIM60_1416.4,TRIM60,460,346
TRIM72_1434.276,TRIM72,810,538
ASCL1_E1_126.13,ASCL1,1105,741
WSB1_1266.6,WSB1,892,697
CDC20_1500.95,CDC20,313,84
RPS6KA3_PKc_E4_82.4,RPS6KA3,979,1030
PARK2_1398.142,PARK2,272,262
KBTBD8_BTB39147_E1_1806.131,KBTBD8,1225,990
UBE3B_3207.266,UBE3B,1004,640
UBE2B_459.6,UBE2B,748,486
MYBL2_SANT3_E5_97.9,MYBL2,1638,1215
IRF2BP1_1755.2,IRF2BP1,847,556
MAX_E4_66.0,MAX,935,426
PhIP_BD1_e31_121.0,PhIP,1891,1117
MEIS3_E9_88.0,MEIS3,1696,1062
CCNF_2361.6,CCNF,626,442
FBXO3_1416.133,FBXO3,633,452
EPHB6_PKc_E13_174.1,EPHB6,406,395
ZMIZ1_3204.172,ZMIZ1,296,239
PRKCD_PKc_E12_42.4,PRKCD,303,217
HAT1_e6_73.0,HAT1,1274,1091
HBP1_E9_89.1,HBP1,2336,2108
SFMBT1_MBT360453_E1_2601.257,SFMBT1,919,808
ZNF773_E4_663.18,ZNF773,2436,2326
SPPL2A_1563.107,SPPL2A,1264,951
SP8_E2_162.6,SP8,821,680
PTF1A_E1_168.4,PTF1A,1752,1546
MYF5_E2_76.0,MYF5,1540,1081
CSNK1G1_PKc_E3_41,CSNK1G1,1674,1228
ELOC_5,ELOC,1153,418
ZNF410_E10_47.1,ZNF410,1201,864
PRSS36_2568.14,PRSS36,1739,1461
NR2F2_E1_208.24,NR2F2,1380,1191
CHFR_1995.296,CHFR,754,874
ZNF641_E7_477.64,ZNF641,1793,1512
DTX1_1863.113,DTX1,584,650
TCF7_E8_99.0,TCF7,271,204
DMBX1_E2_147.1,DMBX1,844,611
USP17L8_1593.141,USP17L8,496,474
TRIP12_6123.366,TRIP12,1742,1025
neg91,neg91,3192,2612
RNF121_984.58,RNF121,472,249
MBD4_E3_133.5,MBD4,1928,1744
MBD4_MBD_E3_133.5,MBD4,1928,1744
UCHL3_693.51,UCHL3,1571,1290
SOX10_E3_91.5,SOX10,981,408
MMP25_1689.73,MMP25,955,709
PSEN2_1347.214,PSEN2,958,987
CTSG_768.124,CTSG,1643,1440
PYGO1_Phd_E3_171.10,PYGO1,1618,1469
MYB_SANT2_E4_32.0,MYB,923,999
NEUROG3_E2_180.17,NEUROG3,1086,1096
MAPK11_PKc_E2_130.4,MAPK11,930,555
FOXA2_E2_234.7,FOXA2,744,686
RNF2_1011.7,RNF2,1701,1263
TRIM11_1407.280,TRIM11,678,515
USP51_2136.114,USP51,1005,972
FOXK2_E4_138.0,FOXK2,235,152
PARP14_Macro12271354_E1_5406.343,PARP14,895,643
ZNF616_E4_1668.44,ZNF616,1883,1455
ZNF24_E4_234.12,ZNF24,1817,1682
ZNF226_E6_1572.120,ZNF226,1414,1129
MAF_E1_258.20,MAF,1166,716
RNF113A_1032.30,RNF113A,463,190
ARID4A_tudor58113_E1_3774.13,ARID4A,678,482
RNF11_465.34,RNF11,1392,1076
neg19,neg19,4106,3378
PHOX2B_E2_135.6,PHOX2B,369,249
GZMK_795.65,GZMK,1512,1105
HES6_E2_87.2,HES6,345,198
CELA3B_813.12,CELA3B,1383,1148
OVCH1_3405.132,OVCH1,1342,879
SHPRH_Phd_E9_141.2,SHPRH,726,440
THAP9_E2_184.1,THAP9,1389,928
SCRT1_E2_156.12,SCRT1,208,209
USP42_3951.595,USP42,1193,935
FAP_2283.93,FAP,1678,1428
DCAF12L1_1392.197,DCAF12L1,446,316
KCNA1_BTB39130_E1_1488.2,KCNA1,1293,1140
SETD7_e8_95.12,SETD7,1042,793
OMA1_1575.9,OMA1,1677,1016
MINA_e2_254.19,MINA,1156,1267
L3MBTL1_E18_88.9,L3MBTL1,691,345
ADAM28_2328.45,ADAM28,1776,1417
BSX_E2_129.4,BSX,1360,1289
LHX4_E4_135.21,LHX4,1193,962
TRIM38_1398.149,TRIM38,1163,1175
NR2F2_E1_208.3,NR2F2,754,473
UBE2D4_444.21,UBE2D4,725,590
TRIM17_1434.277,TRIM17,599,377
TDRD1_tudor316364_E1_3570.24,TDRD1,422,490
FOXO6_E1_153.15,FOXO6,540,386
ZNF142_E6_781.19,ZNF142,2042,1537
SETD1A_e18_138.0,SETD1A,384,97
HOXA1_E2_168.4,HOXA1,526,307
MEF2B_E3_180.6,MEF2B,932,497
TBX19_E3_135.2,TBX19,2596,2428
POU4F1_E2_177.14,POU4F1,615,535
LCK_PKc_E11_154.1,LCK,1264,1283
MIB1_3021.215,MIB1,1284,938
CAD_6678.517,CAD,1496,953
MARCH2_741.114,43526,965,725
AKTIP_2,AKTIP,703,588
DCST1_2121.243,DCST1,711,660
ZNF573_E8_1155.78,ZNF573,1255,894
FLT1_PKc_E20_89.2,FLT1,1357,1165
ZNF555_E4_1170.74,ZNF555,2769,2229
KMT2B_e36_130.0,KMT2B,1853,1062
ZBTB7C_E3_196.8,ZBTB7C,1584,878
ARAF_PKc_E12_47,ARAF,720,603
RNF25_1380.232,RNF25,1146,1003
TFR2_2406.173,TFR2,722,717
FLT1_PKc_E19_114.1,FLT1,509,533
FBXL22_2,FBXL22,543,498
SPPL3_1155.58,SPPL3,1241,746
RNF186_684.112,RNF186,1534,1131
NRF1_E6_159.3,NRF1,1773,1313
ACVR1C_PKc_E8_131.1,ACVR1C,750,652
SOHLH2_E7_130.4,SOHLH2,1673,1224
CTSZ_912.43,CTSZ,1049,587
YY1_E5_126.2,YY1,1439,1145
BAZ2A_Phd_E26_141.0,BAZ2A,1541,850
USP29_2769.138,USP29,2535,2341
BACH1_BTB24127_E1_2211.6,BACH1,715,459
USP29_2769.41,USP29,1485,1192
ARID4A_Chromo_E18_46.0,ARID4A,933,722
NEK5_PKc_E5_98,NEK5,501,529
PARK2_1398.149,PARK2,850,732
ZNF138_E4_231.15,ZNF138,1662,1343
ZNF177_E6_498.42,ZNF177,610,693
FBXL7_1476.170,FBXL7,676,479
KMT2A_Phd1_E11_105.5,KMT2A,380,380
HIC1_E2_243.9,HIC1,968,481
AIRE_Phd1_E8_113.21,AIRE,302,214
ZBTB12_E2_69.3,ZBTB12,939,567
FBXO44_1,FBXO44,640,450
MAP2K1_PKc_E6_125.2,MAP2K1,633,447
EZH2_SANT_E5_150.2,EZH2,689,604
SOX13_E13_107.9,SOX13,1748,1568
ZNF19_E6_648.45,ZNF19,2022,1666
TDRD15_Tudor_E4_177.11,TDRD15,510,497
TRPM6_PKc_E38_88.1,TRPM6,688,713
USP27X_1317.15,USP27X,1063,967
FBXL3_1287.76,FBXL3,1806,1302
GLI3_E11_75.3,GLI3,2152,1992
ATM_PKc_E60_115.5,ATM,801,268
ZNF135_E4_1170.29,ZNF135,1371,927
ALK_PKc_E21_91.12,ALK,167,122
TTF2_D_e13_158.13,TTF2,3793,1225
ARGFX_E4_132.7,ARGFX,1047,624
ASB10_1404.227,ASB10,508,320
FOXN3_E2_204.12,FOXN3,2107,1281
KDM6A_e26_188.12,KDM6A,1118,1123
RPS6KL1_PKc_E5_48.2,RPS6KL1,480,327
MTA3_SANT_E11_57.0,MTA3,561,531
neg37,neg37,5070,5100
ZNF141_E4_666.20,ZNF141,2092,1977
ZNF217_E3_47.0,ZNF217,1499,1495
MBD1_E11_153.12,MBD1,1304,922
MBD1_CXXC331377_E1_1968.259,MBD1,1304,922
ZNF267_E4_1101.35,ZNF267,611,558
CDC5L_E2_146.3,CDC5L,1181,189
RARG_E4_81.3,RARG,1144,914
ZFP3_E2_1071.97,ZFP3,1348,1142
DPYS_180.5,DPYS,1774,1737
HIC1_E2_243.24,HIC1,897,559
MINK1_PKc_E5_111.5,MINK1,630,325
FBXO9_1,FBXO9,1378,1345
ADAM32_2364.145,ADAM32,1283,1032
WHSC1L1_PWWP267383_E1_4314.387,WHSC1L1,820,809
TRIM26_1620.228,TRIM26,910,753
FBXO11_2784.19,FBXO11,930,937
MEST_981.13,MEST,1494,1496
SOCS2_597.66,SOCS2,618,497
ONECUT1_E2_165.13,ONECUT1,1620,1446
CPO_1125.42,CPO,705,538
SHH_1389.106,SHH,1098,1036
LMTK2_PKc_E6_88.1,LMTK2,642,617
FBXL7_1476.179,FBXL7,1368,835
GTF3A_E2_101.10,GTF3A,1534,242
HSF1_E3_128.0,HSF1,785,419
ZNF391_E3_807.46,ZNF391,1814,1712
CAPN14_2055.73,CAPN14,826,749
UBE4A_3201.174,UBE4A,760,772
KLHL38_BTB24131_E1_1746.2,KLHL38,1160,764
SYVN1_1854.42,SYVN1,1178,824
ZPR1_E2_162.4,ZPR1,1044,216
OTUD7A_2781.95,OTUD7A,688,572
PhIP_BD2_e35_80.3,PhIP,1435,865
FBXL5_2076.27,FBXL5,585,516
GGH_957.24,GGH,494,319
STK3_PKc_E9_138.5,STK3,598,506
EPHX4_1089.86,EPHX4,1407,1145
KDM4B_ePhd_E18_109.8,KDM4B,527,360
YEATS4_Yeats44126_E1_684.31,YEATS4,915,303
PLAGL1_E7_67.0,PLAGL1,1245,744
NEURL1B_1668.224,NEURL1B,480,550
UBP1_E3_77.0,UBP1,541,446
CERS6_E3_105.5,CERS6,775,726
JOSD2_567.104,JOSD2,664,470
RXRA_E4_180.7,RXRA,910,501
ZZZ3_E10_102.6,ZZZ3,1391,371
ZNF561_E6_897.55,ZNF561,1143,913
FAM105B_1059.75,FAM105B,1173,1034
CAMK1_PKc_E6_127.1,CAMK1,1318,940
ZNF571_E5_1221.25,ZNF571,1561,1704
SOCS6_1608.81,SOCS6,860,747
ZNF705A_E5_483.4,ZNF705A,1945,1978
NCOR2_SANT2_E18_63.3,NCOR2,1082,338
ONECUT2_E2_165.15,ONECUT2,791,487
HOXB13_E2_171.0,HOXB13,800,807
UBE2Z_1065.137,UBE2Z,1022,942
ARIH1_1674.150,ARIH1,1226,230
FBXO42_2154.65,FBXO42,1080,817
RNF20_2928.180,RNF20,1467,844
TFCP2_E4_106.1,TFCP2,2045,1661
RNF44_1299.93,RNF44,680,535
TDRD7_tudor9631007_E1_3297.178,TDRD7,715,587
PDK2_PKc_E5_62.1,PDK2,840,784
USP9Y_162.6,USP9Y,1514,1143
ADCK4_PKc_E9_82.4,ADCK4,380,325
KLHL34_BTB19126_E1_1935.412,KLHL34,1405,1028
GATA3_E6_51.0,GATA3,1657,1784
TAL2_E1_168.8,TAL2,1495,1450
ZBTB14_E4_387.39,ZBTB14,1234,1648
GCK_PKc_E7_184.12,GCK,1422,727
ATOH7_E1_144.2,ATOH7,1104,786
PCGF1_780.13,PCGF1,980,799
MLX_E5_100.1,MLX,2644,1502
FOXD1_E1_234.33,FOXD1,858,629
CBLB_2949.61,CBLB,675,752
PHF1_Phd1_E4_73.6,PHF1,655,536
ZNF687_E7_330.26,ZNF687,1262,573
PHF8_Phd_E2_83.4,PHF8,994,480
MLL5_e13_110.2,MLL5,1818,1847
WDTC1_2034.303,WDTC1,740,499
FLT3_PKc_E14_124.1,FLT3,629,538
PRKX_PKc_E2_169.1,PRKX,510,366
SMARCAL1_D_e8_135.4,SMARCAL1,1521,1684
KCTD18_BTB1498_E1_1281.7,KCTD18,562,356
UBE2G2_498.10,UBE2G2,267,168
ROCK1_PKc_E4_138.9,ROCK1,532,384
MORC4_CW424471_E1_2814.79,MORC4,774,981
CEBPE_E2_150.9,CEBPE,1321,1120
MMP1_1410.51,MMP1,1604,1176
PPARD_E4_69.7,PPARD,1867,1160
ABHD17B_882.49,ABHD17B,1028,895
BAP1_2190.16,BAP1,546,273
ZNF135_E4_1170.30,ZNF135,918,782
EZH1_e19_81.0,EZH1,1124,878
BAZ2B_Phd_E34_144.10,BAZ2B,487,280
HOXB4_E2_177.7,HOXB4,508,228
ZNF99_E4_1773.36,ZNF99,2344,2358
MTA2_Bah3168_E1_2007.4,MTA2,1303,984
KAT2B_BD_e17_85.3,KAT2B,1150,1257
NFATC1_E4_203.25,NFATC1,363,244
HOXC5_E2_171.8,HOXC5,578,450
CTRB1_792.77,CTRB1,747,436
ZNF566_E5_570.39,ZNF566,1406,1278
TRIM9_2133.70,TRIM9,1237,1166
BBX_E5_171.2,BBX,1575,1428
HIC2_BTB40141_E1_1848.395,HIC2,686,570
ZNF354A_E5_1209.11,ZNF354A,2716,2664
UBE3C_3252.144,UBE3C,742,578
RFX3_E8_49.3,RFX3,1871,1798
MARCH8_876.61,43532,482,179
DRGX_E5_42.2,DRGX,1074,832
UBR1_5250.29,UBR1,1791,1488
SETDB2_e14_89.5,SETDB2,1604,1053
UBOX5_1626.62,UBOX5,929,499
OLIG2_E2_174.13,OLIG2,1431,1211
ZNF569_E6_1494.43,ZNF569,1724,1935
RUNX3_E4_105.11,RUNX3,1484,805
HDAC8_e6_78.4,HDAC8,1034,522
KCTD5_BTB46135_E1_705.101,KCTD5,337,494
OTUD7B_2532.407,OTUD7B,888,634
ADAMTS1_2904.377,ADAMTS1,1841,1522
BRWD1_BD1_e30_74.0,BRWD1,768,633
HOXA5_E2_177.3,HOXA5,1609,1273
KMT2B_8148.1386,KMT2B,210,134
CDKL3_PKc_E7_66.1,CDKL3,443,395
ADAM20_2331.198,ADAM20,2470,1859
DCAF12L1_1392.228,DCAF12L1,126,122
ASB3_1557.80,ASB3,1743,1448
ZNF547_E4_495.43,ZNF547,1264,768
TBL1XR1_5,TBL1XR1,782,552
KMT2A_ePhd_E20_45.0,KMT2A,881,503
NFIB_E6_119.3,NFIB,2475,2240
HOXA9_E2_171.15,HOXA9,1484,1101
ASB18_1401.74,ASB18,223,125
ZNF736_E4_579.25,ZNF736,849,753
PIAS2_1866.115,PIAS2,964,809
RPS6KA1_PKc2_E18_162.1,RPS6KA1,674,666
TRIM3_2235.52,TRIM3,692,468
HDAC10_e9_60.4,HDAC10,1247,1027
UQCRC1_1443.215,UQCRC1,861,223
UHMK1_PKc_E4_95.4,UHMK1,766,626
KMT2A_11919.647,KMT2A,1002,438
neg46,neg46,4879,5070
DPEP2_1461.4,DPEP2,1288,1200
NKX2_2_E2_171.20,NKX2,544,353
TRIM55_1647.211,TRIM55,932,975
PLAT_1689.194,PLAT,816,696
TRIM24_Phd_E15_104.4,TRIM24,882,1120
STAT6_E11_123.1,STAT6,868,709
CHD8_H_e18_52.3,CHD8,1430,1197
TRRAP_PKc_E71_195,TRRAP,543,265
EBF4_E3_157.15,EBF4,1056,1142
E2F3_E3_194.7,E2F3,1599,1127
RNF125_699.52,RNF125,1133,1002
STK38L_PKc_E9_62,STK38L,496,355
OVOL1_E4_47.2,OVOL1,922,648
BMP1_2961.48,BMP1,466,257
POMK_PKc_E5_705.23,POMK,1889,1251
DPP10_2403.119,DPP10,1007,742
ARID1A_E11_210.21,ARID1A,1355,638
RAD54L2_D_e9_197.16,RAD54L2,1538,1768
FOXO1_E2_90.4,FOXO1,1710,987
THRA_E5_148.1,THRA,1870,1058
ADAMTS14_3681.708,ADAMTS14,2094,1746
DCAF12L1_1392.202,DCAF12L1,511,298
BUB1B_PKc_E20_143.5,BUB1B,707,549
ZNF695_E4_1104.66,ZNF695,1109,1053
CFLAR_708.7,CFLAR,775,535
ZNF583_E5_1056.59,ZNF583,1201,965
ZNF274_E8_552.53,ZNF274,1189,754
MID2_2208.267,MID2,824,848
KCNC2_BTB10151_E1_1917.274,KCNC2,885,674
RFFL_1092.78,RFFL,1143,906
PRSS38_981.136,PRSS38,1141,1131
CLK2_PKc_E9_130.3,CLK2,365,274
ZNF227_E6_1557.5,ZNF227,1862,1704
CBL_2721.340,CBL,1654,1334
PPARA_E6_139.4,PPARA,2951,2342
WNK2_PKc_E1_105,WNK2,1148,1099
MMP16_1824.48,MMP16,2036,2202
ARID3A_E5_184.7,ARID3A,740,589
BACH2_BTB27133_E1_2526.3,BACH2,844,745
MAFB_E1_210.13,MAFB,1204,778
ABHD4_1029.56,ABHD4,1808,1824
