sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
ASB7_957.59,ASB7,841,1994,1153,1153,1153
SNAPC4_SANT4_E14_68.5,SNAPC4,940,1641,701,701,701
TDRD15_Tudor_E4_336.8,TDRD15,985,2319,1334,1334,1334
ZNF844_E4_318.18,ZNF844,1785,4622,2837,2837,2837
NCOR2_E19_95.0,NCOR2,1559,4309,2750,2750,2750
NCOR2_SANT2_E19_101.0,NCOR2,1559,4309,2750,2750,2750
USP2_1818.109,USP2,834,1889,1055,1055,1055
STK32B_PKc_E8_117.15,STK32B,561,1345,784,784,784
ADNP_E6_126.3,ADNP,2910,7026,4116,4116,4116
ZNF660_E3_825.44,ZNF660,3101,8243,5142,5142,5142
PRMT5_e12_106.3,PRMT5,1690,2938,1248,1248,1248
PSMA2_705.42,PSMA2,895,1333,438,438,438
GGT7_1989.233,GGT7,830,1733,903,903,903
FBXO40_5,FBXO40,670,2232,1562,1562,1562
SH3RF2_2190.404,SH3RF2,770,1980,1210,1210,1210
SETDB1_E13_186.3,SETDB1,919,2228,1309,1309,1309
neg69,neg69,1834,4575,2741,2741,2741
ADAM18_39.0,ADAM18,1417,3620,2203,2203,2203
UBE2E2_606.51,UBE2E2,318,1082,764,764,764
HMGB2_E2_126.14,HMGB2,2516,7224,4708,4708,4708
CREB3_E6_67.3,CREB3,1523,3400,1877,1877,1877
PMS1_E9_143.2,PMS1,2696,6547,3851,3851,3851
SPZ1_E1_66.1,SPZ1,4673,11207,6534,6534,6534
ZNF449_E5_573.1,ZNF449,531,1128,597,597,597
UNCX_E2_135.0,UNCX,3396,8577,5181,5181,5181
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,1635,3248,1613,1613,1613
TET2_e7_86.2,TET2,1725,4389,2664,2664,2664
TRIM9_2133.369,TRIM9,882,2277,1395,1395,1395
ZNF417_E3_567.7,ZNF417,2970,7849,4879,4879,4879
KCNG1_BTB65164_E1_1542.261,KCNG1,483,1170,687,687,687
MTA2_SANT_E10_57.3,MTA2,1777,4060,2283,2283,2283
ZNF222_E4_483.16,ZNF222,1373,3136,1763,1763,1763
CAMK2G_PKc_E3_60.2,CAMK2G,158,256,98,98,98
BATF3_E2_90.3,BATF3,1586,3943,2357,2357,2357
ZNF222_E4_483.30,ZNF222,1412,3517,2105,2105,2105
PSMA2_705.64,PSMA2,946,2056,1110,1110,1110
TSNARE1_SANT_E4_234.9,TSNARE1,624,1563,939,939,939
