sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:14800","OR4C10P","olfactory receptor family 4 subfamily C member 10 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:15167","OR4C11","olfactory receptor family 4 subfamily C member 11","OR4C11P","","11q11","Olfactory receptors, family 4"
"HGNC:15168","OR4C12","olfactory receptor family 4 subfamily C member 12","","","11p11.12","Olfactory receptors, family 4"
"HGNC:15169","OR4C13","olfactory receptor family 4 subfamily C member 13","","","11p11.12","Olfactory receptors, family 4"
"HGNC:15170","OR4C14P","olfactory receptor family 4 subfamily C member 14 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15171","OR4C15","olfactory receptor family 4 subfamily C member 15","","","11q11","Olfactory receptors, family 4"
"HGNC:15172","OR4C16","olfactory receptor family 4 subfamily C member 16","","","11q11","Olfactory receptors, family 4"
"HGNC:31270","OR4C45","olfactory receptor family 4 subfamily C member 45 (gene/pseudogene)","","","11p11.12","Olfactory receptors, family 4"
"HGNC:31271","OR4C46","olfactory receptor family 4 subfamily C member 46","","","11q11","Olfactory receptors, family 4"
"HGNC:31272","OR4C48P","olfactory receptor family 4 subfamily C member 48 pseudogene","","","11p11.12","Olfactory receptors, family 4"
"HGNC:31273","OR4C49P","olfactory receptor family 4 subfamily C member 49 pseudogene","","","11p11.12","Olfactory receptors, family 4"
"HGNC:31274","OR4C50P","olfactory receptor family 4 subfamily C member 50 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:8293","OR4D1","olfactory receptor family 4 subfamily D member 1","OR4D3","TPCR16","17q22","Olfactory receptors, family 4"
"HGNC:8294","OR4D2","olfactory receptor family 4 subfamily D member 2","","","17q22","Olfactory receptors, family 4"
"HGNC:14852","OR4D5","olfactory receptor family 4 subfamily D member 5","","","11q24.1","Olfactory receptors, family 4"
"HGNC:15175","OR4D6","olfactory receptor family 4 subfamily D member 6","","","11q12.1","Olfactory receptors, family 4"
"HGNC:15176","OR4D7P","olfactory receptor family 4 subfamily D member 7 pseudogene","","OST724","11q12.1","Olfactory receptors, family 4"
"HGNC:15177","OR4D8P","olfactory receptor family 4 subfamily D member 8 pseudogene","","","11q12.1","Olfactory receptors, family 4"
"HGNC:15178","OR4D9","olfactory receptor family 4 subfamily D member 9","","","11q12.1","Olfactory receptors, family 4"
"HGNC:15173","OR4D10","olfactory receptor family 4 subfamily D member 10","OR4D10P","OST711","11q12.1","Olfactory receptors, family 4"
"HGNC:15174","OR4D11","olfactory receptor family 4 subfamily D member 11","OR4D11P","","11q12.1","Olfactory receptors, family 4"
"HGNC:8296","OR4E1","olfactory receptor family 4 subfamily E member 1","OR4E1P","","14q11.2","Olfactory receptors, family 4"
"HGNC:8297","OR4E2","olfactory receptor family 4 subfamily E member 2","","","14q11.2","Olfactory receptors, family 4"
"HGNC:8298","OR4F1P","olfactory receptor family 4 subfamily F member 1 pseudogene","OR4F1","HSDJ0609N19","6p25.3","Olfactory receptors, family 4"
"HGNC:8299","OR4F2P","olfactory receptor family 4 subfamily F member 2 pseudogene","","OR4F2,hs6M1-11,S191N21","11p15.5","Olfactory receptors, family 4"
"HGNC:8300","OR4F3","olfactory receptor family 4 subfamily F member 3","","","5q35.3","Olfactory receptors, family 4"
"HGNC:8301","OR4F4","olfactory receptor family 4 subfamily F member 4","","OR4F18","15q26.3","Olfactory receptors, family 4"
"HGNC:14825","OR4F5","olfactory receptor family 4 subfamily F member 5","","","1p36.33","Olfactory receptors, family 4"
"HGNC:15372","OR4F6","olfactory receptor family 4 subfamily F member 6","OR4F12","","15q26.3","Olfactory receptors, family 4"
"HGNC:15089","OR4F7P","olfactory receptor family 4 subfamily F member 7 pseudogene","OR4F10","","6q27","Olfactory receptors, family 4"
"HGNC:55111","OR4F8BP","olfactory receptor family 4 subfamily F member 8B pseudogene","","","9q34.3","Olfactory receptors, family 4"
"HGNC:15395","OR4F8P","olfactory receptor family 4 subfamily F member 8 pseudogene","OR4F20P,OR4F9P","","19p13.3","Olfactory receptors, family 4"
"HGNC:15076","OR4F13P","olfactory receptor family 4 subfamily F member 13 pseudogene","","","15q26.3","Olfactory receptors, family 4"
"HGNC:15077","OR4F14P","olfactory receptor family 4 subfamily F member 14 pseudogene","OR4F14","","15q26.3","Olfactory receptors, family 4"
"HGNC:15078","OR4F15","olfactory receptor family 4 subfamily F member 15","","","15q26.3","Olfactory receptors, family 4"
"HGNC:15079","OR4F16","olfactory receptor family 4 subfamily F member 16","","","1p36.33","Olfactory receptors, family 4"
"HGNC:15381","OR4F17","olfactory receptor family 4 subfamily F member 17","OR4F19,OR4F11P,OR4F18","","19p13.3","Olfactory receptors, family 4"
"HGNC:19583","OR4F21","olfactory receptor family 4 subfamily F member 21","OR4F21P","","8p23.3","Olfactory receptors, family 4"
"HGNC:31229","OR4F28P","olfactory receptor family 4 subfamily F member 28 pseudogene","","","15q26.3","Olfactory receptors, family 4"
"HGNC:31275","OR4F29","olfactory receptor family 4 subfamily F member 29","","","1p36.33","Olfactory receptors, family 4"
"HGNC:8302","OR4G1P","olfactory receptor family 4 subfamily G member 1 pseudogene","OR4G8P","OLB","19p13.3","Olfactory receptors, family 4"
"HGNC:8303","OR4G2P","olfactory receptor family 4 subfamily G member 2 pseudogene","OR4G7P","","15q26.3","Olfactory receptors, family 4"
"HGNC:8304","OR4G3P","olfactory receptor family 4 subfamily G member 3 pseudogene","OR4G3,OR4G5P","OLC,OLC-7501","19p13.3","Olfactory receptors, family 4"
"HGNC:14822","OR4G4P","olfactory receptor family 4 subfamily G member 4 pseudogene","","","1p36.33","Olfactory receptors, family 4"
"HGNC:15039","OR4G6P","olfactory receptor family 4 subfamily G member 6 pseudogene","","","15q26.3","Olfactory receptors, family 4"
"HGNC:31276","OR4G11P","olfactory receptor family 4 subfamily G member 11 pseudogene","","","1p36.33","Olfactory receptors, family 4"
"HGNC:55112","OR4H6BP","olfactory receptor family 4 subfamily H member 6B pseudogene","","","15q11.2","Olfactory receptors, family 4"
"HGNC:8312","OR4H6P","olfactory receptor family 4 subfamily H member 6 pseudogene","OR4H9P,OR4H10P,OR4H5P,OR4H11P,OR4H5,OR4H7,OR4H7P,OR4H2P,OR4H3P,OR4H11,OR4H2,OR4H3,OR4H1P,OR4H4P,OR4H10,OR4H4,OR4H8P,OR4H8","OR15-71,OR4H6,OR15-82,OR4H9,OR5-39,OR5-84,OR4-114,OR4-115,OR4-119,OR15-69,OR15-80,OR15-81,OR14-58","15q11.2","Olfactory receptors, family 4"
"HGNC:19433","OR4H12P","olfactory receptor family 4 subfamily H member 12 pseudogene","OR4H12","C14orf14","14q11.2","Olfactory receptors, family 4"
"HGNC:14726","OR4K1","olfactory receptor family 4 subfamily K member 1","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14728","OR4K2","olfactory receptor family 4 subfamily K member 2","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14731","OR4K3","olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)","OR4K3P","","14q11.2","Olfactory receptors, family 4"
"HGNC:14744","OR4K4P","olfactory receptor family 4 subfamily K member 4 pseudogene","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14745","OR4K5","olfactory receptor family 4 subfamily K member 5","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14748","OR4K6P","olfactory receptor family 4 subfamily K member 6 pseudogene","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14756","OR4K7P","olfactory receptor family 4 subfamily K member 7 pseudogene","OR4K10P","","18p11.21","Olfactory receptors, family 4"
"HGNC:14787","OR4K8P","olfactory receptor family 4 subfamily K member 8 pseudogene","OR4K9P","","18p11.21","Olfactory receptors, family 4"
"HGNC:15402","OR4K11P","olfactory receptor family 4 subfamily K member 11 pseudogene","","OR21-1","21q11.2","Olfactory receptors, family 4"
"HGNC:15403","OR4K12P","olfactory receptor family 4 subfamily K member 12 pseudogene","","OR21-2","21q11.2","Olfactory receptors, family 4"
"HGNC:15351","OR4K13","olfactory receptor family 4 subfamily K member 13","","","14q11.2","Olfactory receptors, family 4"
"HGNC:15352","OR4K14","olfactory receptor family 4 subfamily K member 14","","","14q11.2","Olfactory receptors, family 4"
"HGNC:15353","OR4K15","olfactory receptor family 4 subfamily K member 15","","OR4K15Q","14q11.2","Olfactory receptors, family 4"
"HGNC:15354","OR4K16P","olfactory receptor family 4 subfamily K member 16 pseudogene","","","14q11.2","Olfactory receptors, family 4"
"HGNC:15355","OR4K17","olfactory receptor family 4 subfamily K member 17","","","14q11.2","Olfactory receptors, family 4"
"HGNC:15356","OR4L1","olfactory receptor family 4 subfamily L member 1","OR4L2P","","14q11.2","Olfactory receptors, family 4"
"HGNC:14735","OR4M1","olfactory receptor family 4 subfamily M member 1","","","14q11.2","Olfactory receptors, family 4"
"HGNC:15373","OR4M2","olfactory receptor family 4 subfamily M member 2","","","15q11.2","Olfactory receptors, family 4"
"HGNC:55109","OR4M2B","olfactory receptor family 4 subfamily M member 2B","","","15q11.2","Olfactory receptors, family 4"
"HGNC:14740","OR4N1P","olfactory receptor family 4 subfamily N member 1 pseudogene","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14742","OR4N2","olfactory receptor family 4 subfamily N member 2","","","14q11.2","Olfactory receptors, family 4"
"HGNC:55116","OR4N3BP","olfactory receptor family 4 subfamily N member 3B pseudogene","","","15q11.2","Olfactory receptors, family 4"
"HGNC:15374","OR4N3P","olfactory receptor family 4 subfamily N member 3 pseudogene","","","15q11.2","Olfactory receptors, family 4"
"HGNC:15375","OR4N4","olfactory receptor family 4 subfamily N member 4","","","15q11.2","Olfactory receptors, family 4"
"HGNC:55110","OR4N4C","olfactory receptor family 4 subfamily N member 4C","","","15q11.2","Olfactory receptors, family 4"
"HGNC:15358","OR4N5","olfactory receptor family 4 subfamily N member 5","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14754","OR4P1P","olfactory receptor family 4 subfamily P member 1 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15180","OR4P4","olfactory receptor family 4 subfamily P member 4","OR4P3P","","11q11","Olfactory receptors, family 4"
"HGNC:15376","OR4Q1P","olfactory receptor family 4 subfamily Q member 1 pseudogene","","","15q11.2","Olfactory receptors, family 4"
"HGNC:15359","OR4Q2","olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)","OR4Q2P","","14q11.2","Olfactory receptors, family 4"
"HGNC:15426","OR4Q3","olfactory receptor family 4 subfamily Q member 3","OR4Q4","C14orf13","14q11.2","Olfactory receptors, family 4"
"HGNC:14798","OR4R1P","olfactory receptor family 4 subfamily R member 1 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:15181","OR4R2P","olfactory receptor family 4 subfamily R member 2 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15182","OR4R3P","olfactory receptor family 4 subfamily R member 3 pseudogene","","","11p11.12","Olfactory receptors, family 4"
"HGNC:14705","OR4S1","olfactory receptor family 4 subfamily S member 1","","","11p11.2","Olfactory receptors, family 4"
"HGNC:15183","OR4S2","olfactory receptor family 4 subfamily S member 2","OR4S2P","OST725","11q11","Olfactory receptors, family 4"
"HGNC:15360","OR4T1P","olfactory receptor family 4 subfamily T member 1 pseudogene","","","14q11.2","Olfactory receptors, family 4"
"HGNC:15361","OR4U1P","olfactory receptor family 4 subfamily U member 1 pseudogene","","","14q11.2","Olfactory receptors, family 4"
"HGNC:14736","OR4V1P","olfactory receptor family 4 subfamily V member 1 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15405","OR4W1P","olfactory receptor family 4 subfamily W member 1 pseudogene","","","Xq25","Olfactory receptors, family 4"
"HGNC:14854","OR4X1","olfactory receptor family 4 subfamily X member 1","","","11p11.2","Olfactory receptors, family 4"
"HGNC:15184","OR4X2","olfactory receptor family 4 subfamily X member 2","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31277","OR4X7P","olfactory receptor family 4 subfamily X member 7 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15047","OR5AC1","olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene)","OR5AC1P","","3q11.2","Olfactory receptors, family 5"
"HGNC:15431","OR5AC2","olfactory receptor family 5 subfamily AC member 2","","HSA1","3q11.2","Olfactory receptors, family 5"
"HGNC:31284","OR5AC4P","olfactory receptor family 5 subfamily AC member 4 pseudogene","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14714","OR5AH1P","olfactory receptor family 5 subfamily AH member 1 pseudogene","","","19q13.43","Olfactory receptors, family 5"
"HGNC:15250","OR5AK1P","olfactory receptor family 5 subfamily AK member 1 pseudogene","OR5AK5P","","11q12.1","Olfactory receptors, family 5"
"HGNC:15251","OR5AK2","olfactory receptor family 5 subfamily AK member 2","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15252","OR5AK3P","olfactory receptor family 5 subfamily AK member 3 pseudogene","OR5AK3","","11q12.1","Olfactory receptors, family 5"
"HGNC:15253","OR5AK4P","olfactory receptor family 5 subfamily AK member 4 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14844","OR5AL1","olfactory receptor family 5 subfamily AL member 1 (gene/pseudogene)","OR5AL1P","","11q12.1","Olfactory receptors, family 5"
"HGNC:14850","OR5AL2P","olfactory receptor family 5 subfamily AL member 2 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15254","OR5AM1P","olfactory receptor family 5 subfamily AM member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15255","OR5AN1","olfactory receptor family 5 subfamily AN member 1","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15256","OR5AN2P","olfactory receptor family 5 subfamily AN member 2 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:31285","OR5AO1P","olfactory receptor family 5 subfamily AO member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15257","OR5AP1P","olfactory receptor family 5 subfamily AP member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15258","OR5AP2","olfactory receptor family 5 subfamily AP member 2","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15259","OR5AQ1P","olfactory receptor family 5 subfamily AQ member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15260","OR5AR1","olfactory receptor family 5 subfamily AR member 1","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15261","OR5AS1","olfactory receptor family 5 subfamily AS member 1","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15362","OR5AU1","olfactory receptor family 5 subfamily AU member 1","","","14q11.2","Olfactory receptors, family 5"
"HGNC:15406","OR5AW1P","olfactory receptor family 5 subfamily AW member 1 pseudogene","","","Xq26.2","Olfactory receptors, family 5"
"HGNC:15262","OR5AZ1P","olfactory receptor family 5 subfamily AZ member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:8319","OR5A1","olfactory receptor family 5 subfamily A member 1","OR5A1P","OST181","11q12.1","Olfactory receptors, family 5"
"HGNC:15249","OR5A2","olfactory receptor family 5 subfamily A member 2","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15270","OR5BA1P","olfactory receptor family 5 subfamily BA member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15271","OR5BB1P","olfactory receptor family 5 subfamily BB member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15272","OR5BC1P","olfactory receptor family 5 subfamily BC member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14843","OR5BD1P","olfactory receptor family 5 subfamily BD member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15273","OR5BE1P","olfactory receptor family 5 subfamily BE member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15407","OR5BH1P","olfactory receptor family 5 subfamily BH member 1 pseudogene","OR5BH2P","","Xq26.2","Olfactory receptors, family 5"
"HGNC:15434","OR5BJ1P","olfactory receptor family 5 subfamily BJ member 1 pseudogene","","OST740","12q13.11","Olfactory receptors, family 5"
"HGNC:14817","OR5BK1P","olfactory receptor family 5 subfamily BK member 1 pseudogene","","","12q13.11","Olfactory receptors, family 5"
"HGNC:15275","OR5BL1P","olfactory receptor family 5 subfamily BL member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14835","OR5BM1P","olfactory receptor family 5 subfamily BM member 1 pseudogene","","","3q11.2","Olfactory receptors, family 5"
"HGNC:15276","OR5BN1P","olfactory receptor family 5 subfamily BN member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:29194","OR5BN2P","olfactory receptor family 5 subfamily BN member 2 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15277","OR5BP1P","olfactory receptor family 5 subfamily BP member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15278","OR5BQ1P","olfactory receptor family 5 subfamily BQ member 1 pseudogene","OR5BQ2P","","11q12.1","Olfactory receptors, family 5"
"HGNC:15279","OR5BR1P","olfactory receptor family 5 subfamily BR member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:19627","OR5BS1P","olfactory receptor family 5 subfamily BS member 1 pseudogene","OR5BS1","","12q13.11","Olfactory receptors, family 5"
"HGNC:19629","OR5BT1P","olfactory receptor family 5 subfamily BT member 1 pseudogene","","","12q13.11","Olfactory receptors, family 5"
"HGNC:8322","OR5B1P","olfactory receptor family 5 subfamily B member 1 pseudogene","OR5B9P,OR5B9,OR5B5P,OR5B14P,OR5B7P,OR5B7,OR5B8,OR5B8P,OR5B5,OR5B6,OR5B6P","OR8-122,OR8-123,OR6-57,OR6-55,OR3-144,OR912-92","11q12.1","Olfactory receptors, family 5"
"HGNC:8323","OR5B2","olfactory receptor family 5 subfamily B member 2","","OST073","11q12.1","Olfactory receptors, family 5"
"HGNC:8324","OR5B3","olfactory receptor family 5 subfamily B member 3","OR5B13","OST129","11q12.1","Olfactory receptors, family 5"
"HGNC:8320","OR5B10P","olfactory receptor family 5 subfamily B member 10 pseudogene","OR5B11P,OR5B4P,OR5B10,OR5B11,OR5B18P","OR13-67,OR13-34,OR13-64","11q12.1","Olfactory receptors, family 5"
"HGNC:15432","OR5B12","olfactory receptor family 5 subfamily B member 12","OR5B12P,OR5B16","OST743","11q12.1","Olfactory receptors, family 5"
"HGNC:15265","OR5B15P","olfactory receptor family 5 subfamily B member 15 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15267","OR5B17","olfactory receptor family 5 subfamily B member 17","OR5B20P","","11q12.1","Olfactory receptors, family 5"
"HGNC:15269","OR5B19P","olfactory receptor family 5 subfamily B member 19 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:19616","OR5B21","olfactory receptor family 5 subfamily B member 21","","","11q12.1","Olfactory receptors, family 5"
"HGNC:8331","OR5C1","olfactory receptor family 5 subfamily C member 1","OR5C2P","OR9-F,hRPK-465_F_21","9q33.2","Olfactory receptors, family 5"
"HGNC:8335","OR5D2P","olfactory receptor family 5 subfamily D member 2 pseudogene","OR5D6P,OR5D10P,OR5D1P,OR5D5P,OR5D12P,OR5D8P,OR5D7P,OR5D9P,OR5D12,OR5D11P,OR5D11","OR11-7a,OR912-91,OR8-127,OR912-47,OR18-44,R5D9P,OR18-17,OR18-42,OR18-43,OR912-94,OR8-125","11q11","Olfactory receptors, family 5"
"HGNC:8336","OR5D3P","olfactory receptor family 5 subfamily D member 3 pseudogene","OR5D3,OR5D4","OR11-8b,OR11-8c","11q11","Olfactory receptors, family 5"
"HGNC:15280","OR5D13","olfactory receptor family 5 subfamily D member 13","","","11q11","Olfactory receptors, family 5"
"HGNC:15281","OR5D14","olfactory receptor family 5 subfamily D member 14","","","11q11","Olfactory receptors, family 5"
"HGNC:15282","OR5D15P","olfactory receptor family 5 subfamily D member 15 pseudogene","","","11q11","Olfactory receptors, family 5"
"HGNC:15283","OR5D16","olfactory receptor family 5 subfamily D member 16","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15284","OR5D17P","olfactory receptor family 5 subfamily D member 17 pseudogene","","","11q11","Olfactory receptors, family 5"
"HGNC:15285","OR5D18","olfactory receptor family 5 subfamily D member 18","","","11q12.1","Olfactory receptors, family 5"
"HGNC:8342","OR5E1P","olfactory receptor family 5 subfamily E member 1 pseudogene","OR5E1","TPCR24,HSTPCR24","11p15.4","Olfactory receptors, family 5"
"HGNC:8343","OR5F1","olfactory receptor family 5 subfamily F member 1","","OR11-10","11q12.1","Olfactory receptors, family 5"
"HGNC:15286","OR5F2P","olfactory receptor family 5 subfamily F member 2 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:8344","OR5G1P","olfactory receptor family 5 subfamily G member 1 pseudogene","OR5G2P","OR11-104,OR93","11q12.1","Olfactory receptors, family 5"
"HGNC:15287","OR5G3","olfactory receptor family 5 subfamily G member 3 (gene/pseudogene)","OR5G6P,OR5G3P","","11q12.1","Olfactory receptors, family 5"
"HGNC:15288","OR5G4P","olfactory receptor family 5 subfamily G member 4 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15289","OR5G5P","olfactory receptor family 5 subfamily G member 5 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:8346","OR5H1","olfactory receptor family 5 subfamily H member 1","","HTPCRX14,HSHTPCRX14","3q11.2","Olfactory receptors, family 5"
"HGNC:14752","OR5H2","olfactory receptor family 5 subfamily H member 2","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14753","OR5H3P","olfactory receptor family 5 subfamily H member 3 pseudogene","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14763","OR5H4P","olfactory receptor family 5 subfamily H member 4 pseudogene","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14765","OR5H5P","olfactory receptor family 5 subfamily H member 5 pseudogene","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14767","OR5H6","olfactory receptor family 5 subfamily H member 6","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14771","OR5H7P","olfactory receptor family 5 subfamily H member 7 pseudogene","","","3q11.2","Olfactory receptors, family 5"
"HGNC:14773","OR5H8","olfactory receptor family 5 subfamily H member 8 (gene/pseudogene)","OR5H8P","","3q11.2","Olfactory receptors, family 5"
"HGNC:31286","OR5H14","olfactory receptor family 5 subfamily H member 14","","","3q11.2","Olfactory receptors, family 5"
"HGNC:31287","OR5H15","olfactory receptor family 5 subfamily H member 15","","","3q11.2","Olfactory receptors, family 5"
"HGNC:8347","OR5I1","olfactory receptor family 5 subfamily I member 1","","HSOlf1,OLF1","11q12.1","Olfactory receptors, family 5"
"HGNC:8348","OR5J1P","olfactory receptor family 5 subfamily J member 1 pseudogene","OR5J1","HTPCRH02","11q12.1","Olfactory receptors, family 5"
"HGNC:19612","OR5J2","olfactory receptor family 5 subfamily J member 2","","","11q12.1","Olfactory receptors, family 5"
"HGNC:31289","OR5J7P","olfactory receptor family 5 subfamily J member 7 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:8349","OR5K1","olfactory receptor family 5 subfamily K member 1","","HTPCRX10,HSHTPCRX10","3q11.2","Olfactory receptors, family 5"
"HGNC:14774","OR5K2","olfactory receptor family 5 subfamily K member 2","","","3q11.2","Olfactory receptors, family 5"
"HGNC:31290","OR5K3","olfactory receptor family 5 subfamily K member 3","","","3q11.2","Olfactory receptors, family 5"
"HGNC:31291","OR5K4","olfactory receptor family 5 subfamily K member 4","","","3q11.2","Olfactory receptors, family 5"
"HGNC:8350","OR5L1","olfactory receptor family 5 subfamily L member 1","","OST262","11q12.1","Olfactory receptors, family 5"
"HGNC:8351","OR5L2","olfactory receptor family 5 subfamily L member 2","","HTPCRX16,HSHTPCRX16","11q12.1","Olfactory receptors, family 5"
"HGNC:8352","OR5M1","olfactory receptor family 5 subfamily M member 1","","OST050","11q12.1","Olfactory receptors, family 5"
"HGNC:14803","OR5M2P","olfactory receptor family 5 subfamily M member 2 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14806","OR5M3","olfactory receptor family 5 subfamily M member 3","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14808","OR5M4P","olfactory receptor family 5 subfamily M member 4 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14810","OR5M5P","olfactory receptor family 5 subfamily M member 5 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14814","OR5M6P","olfactory receptor family 5 subfamily M member 6 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14818","OR5M7P","olfactory receptor family 5 subfamily M member 7 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:14846","OR5M8","olfactory receptor family 5 subfamily M member 8","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15294","OR5M9","olfactory receptor family 5 subfamily M member 9","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15290","OR5M10","olfactory receptor family 5 subfamily M member 10","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15291","OR5M11","olfactory receptor family 5 subfamily M member 11","","OR11-199","11q12.1","Olfactory receptors, family 5"
"HGNC:15292","OR5M12P","olfactory receptor family 5 subfamily M member 12 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15293","OR5M13P","olfactory receptor family 5 subfamily M member 13 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15057","OR5M14P","olfactory receptor family 5 subfamily M member 14 pseudogene","OR5M15P","","4p13","Olfactory receptors, family 5"
"HGNC:14779","OR5P1P","olfactory receptor family 5 subfamily P member 1 pseudogene","","","11p15.4","Olfactory receptors, family 5"
"HGNC:14783","OR5P2","olfactory receptor family 5 subfamily P member 2","","JCG3","11p15.4","Olfactory receptors, family 5"
"HGNC:14784","OR5P3","olfactory receptor family 5 subfamily P member 3","","JCG1","11p15.4","Olfactory receptors, family 5"
"HGNC:15295","OR5P4P","olfactory receptor family 5 subfamily P member 4 pseudogene","","OST730","11p15.4","Olfactory receptors, family 5"
"HGNC:15040","OR5S1P","olfactory receptor family 5 subfamily S member 1 pseudogene","","","2q37.3","Olfactory receptors, family 5"
"HGNC:14821","OR5T1","olfactory receptor family 5 subfamily T member 1","OR5T1P","","11q12.1","Olfactory receptors, family 5"
"HGNC:15296","OR5T2","olfactory receptor family 5 subfamily T member 2","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15297","OR5T3","olfactory receptor family 5 subfamily T member 3","","OR5T3Q","11q12.1","Olfactory receptors, family 5"
"HGNC:13972","OR5V1","olfactory receptor family 5 subfamily V member 1","","hs6M1-21","6p22.1","Olfactory receptors, family 5"
"HGNC:15298","OR5W1P","olfactory receptor family 5 subfamily W member 1 pseudogene","","","11q12.1","Olfactory receptors, family 5"
"HGNC:15299","OR5W2","olfactory receptor family 5 subfamily W member 2","OR5W2P,OR5W3P","","11q12.1","Olfactory receptors, family 5"
"HGNC:15301","OR6A2","olfactory receptor family 6 subfamily A member 2","OR6A2P,OR6A1","OR11-55","11p15.4","Olfactory receptors, family 6"
"HGNC:8354","OR6B1","olfactory receptor family 6 subfamily B member 1","","OR7-3","7q35","Olfactory receptors, family 6"
"HGNC:15041","OR6B2","olfactory receptor family 6 subfamily B member 2","OR6B2P","","2q37.3","Olfactory receptors, family 6"
"HGNC:15042","OR6B3","olfactory receptor family 6 subfamily B member 3","OR6B3P","OR6B3Q","2q37.3","Olfactory receptors, family 6"
"HGNC:8355","OR6C1","olfactory receptor family 6 subfamily C member 1","","OST267","12q13.2","Olfactory receptors, family 6"
"HGNC:15436","OR6C2","olfactory receptor family 6 subfamily C member 2","","OR6C67","12q13.2","Olfactory receptors, family 6"
