sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:14719","OR2AF1P","olfactory receptor family 2 subfamily AF member 1 pseudogene","OR2AF2P","","Xq26.2","Olfactory receptors, family 2"
"HGNC:15142","OR2AG1","olfactory receptor family 2 subfamily AG member 1","OR2AG3","","11p15.4","Olfactory receptors, family 2"
"HGNC:15143","OR2AG2","olfactory receptor family 2 subfamily AG member 2","OR2AG2P","","11p15.4","Olfactory receptors, family 2"
"HGNC:15144","OR2AH1P","olfactory receptor family 2 subfamily AH member 1 pseudogene","","","11q12.1","Olfactory receptors, family 2"
"HGNC:15063","OR2AI1P","olfactory receptor family 2 subfamily AI member 1 pseudogene","","","5q35.3","Olfactory receptors, family 2"
"HGNC:15001","OR2AJ1","olfactory receptor family 2 subfamily AJ member 1","OR2AJ1P","OR2AJ1Q","1q44","Olfactory receptors, family 2"
"HGNC:19569","OR2AK2","olfactory receptor family 2 subfamily AK member 2","OR2AK1P","","1q44","Olfactory receptors, family 2"
"HGNC:14712","OR2AL1P","olfactory receptor family 2 subfamily AL member 1 pseudogene","","","11q22.3","Olfactory receptors, family 2"
"HGNC:15113","OR2AM1P","olfactory receptor family 2 subfamily AM member 1 pseudogene","","","9p13.3","Olfactory receptors, family 2"
"HGNC:31247","OR2AO1P","olfactory receptor family 2 subfamily AO member 1 pseudogene","","","7q35","Olfactory receptors, family 2"
"HGNC:15335","OR2AP1","olfactory receptor family 2 subfamily AP member 1","OR2AP1P","","12q13.2","Olfactory receptors, family 2"
"HGNC:15003","OR2AQ1P","olfactory receptor family 2 subfamily AQ member 1 pseudogene","","","1q23.1","Olfactory receptors, family 2"
"HGNC:15004","OR2AS1P","olfactory receptor family 2 subfamily AS member 1 pseudogene","","","1q44","Olfactory receptors, family 2"
"HGNC:31248","OR2AS2P","olfactory receptor family 2 subfamily AS member 2 pseudogene","","","1q44","Olfactory receptors, family 2"
"HGNC:15145","OR2AT1P","olfactory receptor family 2 subfamily AT member 1 pseudogene","","","11q13.4","Olfactory receptors, family 2"
"HGNC:19619","OR2AT2P","olfactory receptor family 2 subfamily AT member 2 pseudogene","","","11q13.4","Olfactory receptors, family 2"
"HGNC:19620","OR2AT4","olfactory receptor family 2 subfamily AT member 4","","","11q13.4","Olfactory receptors, family 2"
"HGNC:8229","OR2A1","olfactory receptor family 2 subfamily A member 1","","","7q35","Olfactory receptors, family 2"
"HGNC:8230","OR2A2","olfactory receptor family 2 subfamily A member 2","OR2A2P,OR2A17P","OST008","7q35","Olfactory receptors, family 2"
"HGNC:8231","OR2A3P","olfactory receptor family 2 subfamily A member 3 pseudogene","","","7q35","Olfactory receptors, family 2"
"HGNC:14729","OR2A4","olfactory receptor family 2 subfamily A member 4","OR2A10","","6q23.2","Olfactory receptors, family 2"
"HGNC:8232","OR2A5","olfactory receptor family 2 subfamily A member 5","OR2A8,OR2A26","OR7-138,OR7-141","7q35","Olfactory receptors, family 2"
"HGNC:8234","OR2A7","olfactory receptor family 2 subfamily A member 7","","HSDJ0798C17","7q35","Olfactory receptors, family 2"
"HGNC:8236","OR2A9P","olfactory receptor family 2 subfamily A member 9 pseudogene","OR2A9","HSDJ0798C17","7q35","Olfactory receptors, family 2"
"HGNC:15082","OR2A12","olfactory receptor family 2 subfamily A member 12","OR2A12P","","7q35","Olfactory receptors, family 2"
"HGNC:15083","OR2A13P","olfactory receptor family 2 subfamily A member 13 pseudogene","","","7q35","Olfactory receptors, family 2"
"HGNC:15084","OR2A14","olfactory receptor family 2 subfamily A member 14","OR2A14P,OR2A6","OST182","7q35","Olfactory receptors, family 2"
"HGNC:15085","OR2A15P","olfactory receptor family 2 subfamily A member 15 pseudogene","OR2A28P","","7q35","Olfactory receptors, family 2"
"HGNC:15413","OR2A20P","olfactory receptor family 2 subfamily A member 20 pseudogene","OR2A20","","7q35","Olfactory receptors, family 2"
"HGNC:19562","OR2A25","olfactory receptor family 2 subfamily A member 25","OR2A25P,OR2A27","","7q35","Olfactory receptors, family 2"
"HGNC:31246","OR2A41P","olfactory receptor family 2 subfamily A member 41 pseudogene","","","7q35","Olfactory receptors, family 2"
"HGNC:31230","OR2A42","olfactory receptor family 2 subfamily A member 42","","","7q35","Olfactory receptors, family 2"
"HGNC:31250","OR2BH1P","olfactory receptor family 2 subfamily BH member 1 pseudogene","","","11p14.1","Olfactory receptors, family 2"
"HGNC:13966","OR2B2","olfactory receptor family 2 subfamily B member 2","OR2B9","hs6M1-10,OR6-1,OR2B2Q","6p22.1","Olfactory receptors, family 2"
"HGNC:8238","OR2B3","olfactory receptor family 2 subfamily B member 3","OR2B3P","OR6-4","6p22.1","Olfactory receptors, family 2"
"HGNC:8239","OR2B4P","olfactory receptor family 2 subfamily B member 4 pseudogene","","hs6M1-22","6p22.2-p21.32","Olfactory receptors, family 2"
"HGNC:8241","OR2B6","olfactory receptor family 2 subfamily B member 6","OR2B6P,OR2B1,OR2B1P,OR2B5","OR6-31,dJ408B20.2,OR5-40,OR5-41","6p22.1","Olfactory receptors, family 2"
"HGNC:13967","OR2B7P","olfactory receptor family 2 subfamily B member 7 pseudogene","","hs6M1-31P","6p22.1","Olfactory receptors, family 2"
"HGNC:13968","OR2B8P","olfactory receptor family 2 subfamily B member 8 pseudogene","OR2B8","hs6M1-29P","6p22.1","Olfactory receptors, family 2"
"HGNC:31249","OR2B11","olfactory receptor family 2 subfamily B member 11","","","1q44","Olfactory receptors, family 2"
"HGNC:8242","OR2C1","olfactory receptor family 2 subfamily C member 1","OR2C2P","OLFmf3","16p13.3","Olfactory receptors, family 2"
"HGNC:15005","OR2C3","olfactory receptor family 2 subfamily C member 3","OR2C4,OR2C5P","OST742","1q44","Olfactory receptors, family 2"
"HGNC:8244","OR2D2","olfactory receptor family 2 subfamily D member 2","OR2D1","OR11-610,hg27","11p15.4","Olfactory receptors, family 2"
"HGNC:15146","OR2D3","olfactory receptor family 2 subfamily D member 3","","","11p15.4","Olfactory receptors, family 2"
"HGNC:15507","OR2E1P","olfactory receptor family 2 subfamily E member 1 pseudogene","OR2E1,OR2E2","hs6M1-9,hs6M1-9p,HS29K1,HSNH0569I24","6p22.1","Olfactory receptors, family 2"
"HGNC:8246","OR2F1","olfactory receptor family 2 subfamily F member 1","OR2F4,OR2F5,OR2F3,OR2F3P","OLF3,OR7-140,OR7-139,OR14-60","7q35","Olfactory receptors, family 2"
"HGNC:8247","OR2F2","olfactory receptor family 2 subfamily F member 2","","OR7-1","7q35","Olfactory receptors, family 2"
"HGNC:8251","OR2G1P","olfactory receptor family 2 subfamily G member 1 pseudogene","","OST619,hs6M1-25","6p22.1","Olfactory receptors, family 2"
"HGNC:15007","OR2G2","olfactory receptor family 2 subfamily G member 2","","","1q44","Olfactory receptors, family 2"
"HGNC:15008","OR2G3","olfactory receptor family 2 subfamily G member 3","","","1q44","Olfactory receptors, family 2"
"HGNC:27019","OR2G6","olfactory receptor family 2 subfamily G member 6","","","1q44","Olfactory receptors, family 2"
"HGNC:8252","OR2H1","olfactory receptor family 2 subfamily H member 1","OR2H6,OR2H8","OR6-2","6p22.1","Olfactory receptors, family 2"
"HGNC:8253","OR2H2","olfactory receptor family 2 subfamily H member 2","","hs6M1-12","6p22.1","Olfactory receptors, family 2"
"HGNC:8255","OR2H4P","olfactory receptor family 2 subfamily H member 4 pseudogene","","OR6-3,OR2H4,hs6M1-7,dJ80I19.6","6p22.1","Olfactory receptors, family 2"
"HGNC:8256","OR2H5P","olfactory receptor family 2 subfamily H member 5 pseudogene","","OR2H5,hs6M1-13,HS271M21","6p22.1","Olfactory receptors, family 2"
"HGNC:8258","OR2I1P","olfactory receptor family 2 subfamily I member 1 pseudogene","OR2I1,OR2I3P,OR2I4P,OR2I2","HS6M1-14","6p22.1","Olfactory receptors, family 2"
"HGNC:8259","OR2J1","olfactory receptor family 2 subfamily J member 1","OR2J1P","OR6-5,hs6M1-4,dJ80I19.2","6p22.1","Olfactory receptors, family 2"
