Gene	sgRNA	c12|beta	c12|z	c12|p-value	c12|fdr	c12|wald-p-value	c12|wald-fdr
AAK1	6	0.024132	0.2384	0.66155	0.89981	0.81157	0.90904
AATK	6	-0.35276	-1.9589	0.01934	0.24549	0.050129	0.39756
ABL1	6	-0.273	-2.4599	0.057452	0.41667	0.013899	0.37236
ABL2	6	-0.075584	-0.711	0.64192	0.89104	0.47708	0.72061
ACVR1	6	0.04929	0.52635	0.50398	0.84181	0.59864	0.77965
ACVR1B	6	0.014398	0.10875	0.7318	0.92937	0.9134	0.96355
ACVR1C	6	0.049401	0.45248	0.50313	0.84118	0.65092	0.81417
ACVR2A	6	-0.0012095	-0.011545	0.83675	0.95272	0.99079	0.99936
ACVRL1	6	-0.010176	-0.12384	0.90671	0.97702	0.90144	0.96005
ADCK1	6	0.10636	1.263	0.22099	0.66128	0.20658	0.48879
ADCK2	6	0.17907	1.571	0.049204	0.38274	0.11618	0.42378
ADCK3	6	-0.032651	-0.62173	0.92776	0.98141	0.53412	0.74085
ADCK4	6	-0.019888	-0.33815	0.98407	0.99798	0.73525	0.86488
ADCK5	6	0.005002	0.07092	0.79977	0.95132	0.94346	0.97583
ADRBK1	6	0.057269	0.85523	0.45449	0.81323	0.39243	0.6522
ADRBK2	6	0.23213	1.7482	0.012514	0.20455	0.080431	0.40167
AK1	6	0.036865	0.34508	0.58305	0.8725	0.73004	0.86163
AK2	6	-0.054505	-0.57673	0.7756	0.94201	0.56413	0.75734
AK3	6	-0.01709	-0.36493	0.96189	0.98976	0.71517	0.85325
AKT1	6	0.048886	0.67485	0.50683	0.84437	0.49977	0.73018
AKT2	6	-0.037147	-0.40032	0.8979	0.97318	0.68892	0.83902
AKT3	6	0.15318	1.536	0.089022	0.4808	0.12453	0.42583
ALK	6	0.18805	1.4934	0.039249	0.34586	0.13532	0.43374
AMHR2	6	-0.039848	-0.58475	0.87856	0.96603	0.55871	0.75352
ANKK1	6	0.20794	1.5412	0.023891	0.2701	0.12326	0.42583
ARAF	6	-0.057608	-0.50443	0.75626	0.93207	0.61396	0.78957
ATM	6	0.35069	1.7462	0.00056883	0.037037	0.080768	0.40167
ATR	6	-0.38388	-2.1912	0.013936	0.21304	0.028438	0.39756
AURKA	6	-0.20197	-1.1858	0.15301	0.58307	0.23571	0.51539
AURKB	6	-0.24039	-2.0442	0.087884	0.47981	0.040935	0.39756
AURKC	6	-0.22682	-2.0571	0.1095	0.52596	0.039678	0.39756
AXL	6	-0.083153	-1.2664	0.59983	0.8778	0.20538	0.48791
BCR	6	-0.069062	-0.58785	0.68203	0.91109	0.55663	0.75216
BLK	6	-0.18049	-1.8353	0.20336	0.63307	0.066458	0.39906
BMP2K	6	-0.19417	-1.6405	0.17235	0.60299	0.10091	0.41208
BMPR1A	6	-0.20913	-2.3989	0.14192	0.57399	0.016446	0.37236
BMPR1B	6	-0.02326	-0.3167	0.99687	0.99914	0.75147	0.87255
BMPR2	6	-0.18408	-1.1714	0.19482	0.63139	0.24143	0.52174
BRAF	6	0.14471	1.5558	0.10666	0.52083	0.11976	0.42545
BRSK1	6	-0.046009	-0.51875	0.83476	0.9527	0.60393	0.78326
BRSK2	6	0.050897	0.35687	0.49346	0.83558	0.72119	0.85579
BTK	6	-0.013529	-0.11699	0.93402	0.98176	0.90686	0.96194
BUB1	6	-0.049758	-0.35922	0.80802	0.95135	0.71943	0.8543
BUB1B	6	-0.012858	-0.091877	0.92918	0.98141	0.9268	0.96994
CAMK1	6	-0.088286	-0.86034	0.57167	0.86675	0.3896	0.64928
CAMK1D	6	0.23359	1.3454	0.01223	0.20455	0.1785	0.46553
CAMK1G	6	0.1064	0.83209	0.22071	0.66099	0.40536	0.66278
CAMK2A	6	0.11385	1.5181	0.19283	0.63128	0.12898	0.42931
CAMK2B	6	-0.069827	-0.90741	0.67634	0.91041	0.36419	0.62646
CAMK2D	6	0.11623	1.4191	0.18316	0.61864	0.15586	0.43876
CAMK2G	6	0.013839	0.092919	0.73464	0.92947	0.92597	0.96983
CAMK4	6	0.20747	1.6112	0.024175	0.27157	0.10713	0.419
CAMKK1	6	0.11248	1.4469	0.19738	0.63206	0.14792	0.43786
CAMKK2	6	0.2869	1.5695	0.0025597	0.091837	0.11654	0.42378
CAMKV	6	-0.05126	-0.78446	0.79807	0.95119	0.43277	0.68759
CASK	6	-0.0030982	-0.025712	0.85267	0.95813	0.97949	0.99321
CDC42BPA	6	-0.02698	-0.39559	0.96957	0.99359	0.69241	0.84121
CDC42BPB	6	0.14667	1.3374	0.1004	0.50357	0.18109	0.46816
CDC42BPG	6	-0.081138	-0.91291	0.61149	0.88209	0.36129	0.62451
CDC7	6	-0.58041	-2.4579	0.0014221	0.066667	0.013973	0.37236
CDK1	8	-0.15006	-1.7925	0.23237	0.67188	0.073057	0.40167
CDK10	6	-0.34882	-2.4376	0.019909	0.24735	0.014784	0.37236
CDK11A	6	0.20842	1.6235	0.023606	0.26774	0.10448	0.41554
CDK11B	6	0.018808	0.19608	0.69937	0.9162	0.84455	0.93144
CDK12	6	-0.056118	-0.25995	0.76621	0.93542	0.7949	0.8981
CDK13	6	-0.049555	-0.79184	0.8083	0.95135	0.42845	0.68469
CDK14	6	-0.031876	-0.5841	0.93231	0.98174	0.55916	0.75383
CDK15	6	-0.15178	-1.5391	0.28953	0.71539	0.12377	0.42583
CDK16	6	-0.079776	-1.0952	0.61775	0.88365	0.27345	0.54737
CDK17	6	0.058277	0.47952	0.44881	0.81215	0.63157	0.79993
CDK18	6	0.16877	0.89888	0.063709	0.43327	0.36872	0.63208
CDK2	6	-0.22859	-1.3282	0.10609	0.5195	0.1841	0.46889
CDK20	6	-0.21322	-1.6766	0.13424	0.56663	0.093612	0.40772
CDK3	6	0.009667	0.14478	0.76451	0.93431	0.88489	0.95398
CDK4	6	-0.60124	-2.4869	0.0011377	0.058824	0.012886	0.37236
CDK5	6	0.0015795	0.0098661	0.8211	0.9527	0.99213	1
CDK6	6	-0.15865	-1.1392	0.26621	0.69978	0.25461	0.53214
CDK7	6	-0.12532	-0.70725	0.39107	0.7833	0.47941	0.7222
CDK9	11	-0.13992	-1.9247	0.19852	0.63267	0.054265	0.39756
CDKL1	6	0.13236	2.0231	0.13424	0.56663	0.043067	0.39756
CDKL2	6	0.16316	1.8549	0.074516	0.46536	0.06361	0.39796
CDKL3	6	0.010197	0.076612	0.76166	0.93347	0.93893	0.97443
CDKL4	6	0.069102	0.90207	0.3942	0.7833	0.36702	0.6301
CDKL5	6	0.12169	1.7173	0.16468	0.59856	0.08592	0.40585
CHEK1	6	-0.52707	-1.9458	0.0022753	0.086022	0.051676	0.39756
CHEK2	6	0.30189	1.7491	0.0017065	0.073171	0.080282	0.40167
CHUK	6	-0.11377	-1.0133	0.44425	0.80933	0.31094	0.58196
CIT	6	-0.044899	-0.5638	0.84329	0.95645	0.57289	0.76255
CLK1	6	-0.10324	-0.97054	0.4946	0.83566	0.33178	0.60004
CLK2	6	-0.18336	-1.694	0.19568	0.63139	0.090269	0.40585
CLK3	6	-0.21712	-2.1096	0.12799	0.55762	0.034896	0.39756
CLK4	6	-0.046811	-1.0107	0.82878	0.9527	0.31218	0.58265
CSF1R	6	0.10068	0.82638	0.24317	0.67638	0.40859	0.66479
CSK	6	-0.14316	-1.7582	0.3194	0.73064	0.078718	0.40167
CSNK1A1	6	-0.27265	-2.0571	0.057736	0.41667	0.03968	0.39756
CSNK1D	6	0.088788	1.2666	0.29465	0.71994	0.20528	0.48791
CSNK1E	6	0.080144	1.5819	0.33675	0.747	0.11367	0.4229
CSNK1G1	6	0.11641	1.0012	0.18259	0.61864	0.31673	0.5857
CSNK1G2	6	-0.023031	-0.39105	0.99744	0.99943	0.69576	0.84167
CSNK1G3	6	0.13347	1.1635	0.1314	0.5641	0.24461	0.52386
CSNK2A1	5	-0.4623	-2.4117	0.0088168	0.17714	0.015877	0.37236
CSNK2A2	6	0.10188	1.6376	0.23805	0.6739	0.10151	0.41373
DAPK1	6	0.055476	1.1601	0.46672	0.82201	0.246	0.52421
DAPK2	6	0.04223	1.162	0.5475	0.85861	0.24525	0.52386
DAPK3	6	0.032286	0.30144	0.60922	0.87931	0.76308	0.87926
DCLK1	6	0.035989	0.44921	0.58675	0.87304	0.65328	0.81596
DCLK2	6	0.25455	1.8387	0.0056883	0.13793	0.065954	0.39906
DCLK3	6	0.068844	1.0431	0.39477	0.7833	0.2969	0.5658
DDR1	6	0.03738	0.68891	0.58049	0.87148	0.49088	0.72885
DDR2	6	0.00039987	0.0013533	0.82821	0.9527	0.99892	1
DMPK	6	0.013942	0.11053	0.7335	0.92937	0.91199	0.96322
DSTYK	6	-0.076322	-0.86027	0.63936	0.89065	0.38964	0.64928
DYRK1A	6	-0.14673	-1.0747	0.30802	0.72745	0.28251	0.55455
DYRK1B	6	0.068408	0.57162	0.39704	0.78419	0.56758	0.75936
DYRK2	6	-0.1367	-1.6467	0.34329	0.75016	0.099612	0.41167
DYRK3	6	0.26473	1.7492	0.0045506	0.1203	0.080255	0.40167
DYRK4	6	-0.061845	-0.58953	0.73009	0.92937	0.55551	0.75122
EEF2K	6	-0.05843	-0.74204	0.75313	0.93207	0.45806	0.70595
EGFR	6	-0.071402	-0.57115	0.66724	0.90447	0.5679	0.7595
EIF2AK1	6	0.23824	1.4568	0.0099545	0.18817	0.14517	0.43688
EIF2AK2	6	-0.19068	-1.4627	0.17975	0.61696	0.14355	0.43583
EIF2AK3	6	0.00046986	0.005192	0.82765	0.9527	0.99586	1
EIF2AK4	12	-0.2268	-2.3389	0.032423	0.31579	0.019339	0.39304
EPHA1	6	-0.13706	-1.5271	0.34215	0.75016	0.12674	0.42728
EPHA10	6	0.13973	1.5656	0.11746	0.53696	0.11745	0.42399
EPHA2	6	-0.14674	-1.701	0.30774	0.72745	0.088939	0.40585
EPHA3	6	-0.11623	-1.8512	0.43032	0.79821	0.064144	0.39847
EPHA4	6	0.1898	1.4073	0.037258	0.33763	0.15934	0.44358
EPHA5	6	-0.018876	-0.2815	0.97497	0.9942	0.77833	0.8869
EPHA6	6	0.1318	1.5592	0.13595	0.56837	0.11896	0.42458
EPHA7	6	0.055493	0.69206	0.46672	0.82201	0.4889	0.72745
EPHA8	6	-0.037063	-0.31577	0.89875	0.97321	0.75218	0.87255
EPHB1	6	0.033064	0.40737	0.60609	0.87819	0.68374	0.83589
EPHB2	6	0.12728	1.1461	0.14761	0.57663	0.25175	0.5294
EPHB3	6	0.087539	1.2812	0.30347	0.72745	0.20012	0.48325
EPHB4	6	-0.017411	-0.25536	0.96331	0.99006	0.79844	0.90032
EPHB6	6	0.17694	1.243	0.054039	0.40685	0.21388	0.49409
ERBB2	6	0.11533	1.2868	0.18629	0.62298	0.19815	0.48148
ERBB3	6	-0.098655	-0.98997	0.51849	0.84791	0.32219	0.59062
ERBB4	6	0.0018125	0.018521	0.81997	0.9527	0.98522	0.9972
ERN1	6	0.16879	1.5762	0.063709	0.43327	0.11499	0.4229
FASTK	6	-0.19467	-2.0085	0.17207	0.60299	0.044593	0.39756
FER	6	0.16715	1.939	0.066268	0.44129	0.0525	0.39756
FES	6	0.11232	1.4138	0.19852	0.63267	0.15743	0.44057
FGFR1	6	-0.033376	-0.43466	0.92321	0.98141	0.66381	0.82347
FGFR2	6	0.12456	1.4298	0.15529	0.58458	0.15278	0.43876
FGFR3	6	-0.20474	-1.6855	0.14704	0.57637	0.0919	0.40661
FGFR4	6	-0.13959	-1.2858	0.33049	0.74297	0.19851	0.48202
FGR	6	-0.08544	-0.60048	0.58703	0.8731	0.54818	0.74675
FLT1	6	-0.038457	-1.3517	0.88794	0.96776	0.17648	0.46446
FLT3	6	0.13244	1.478	0.13396	0.56663	0.1394	0.43418
FLT4	6	0.0026152	0.025722	0.81314	0.95189	0.97948	0.99321
FRK	6	-0.036673	-0.43086	0.90074	0.97386	0.66657	0.82458
FYN	6	-0.022469	-0.18105	1	1	0.85633	0.93708
GAK	6	-0.042542	-0.20567	0.85836	0.95931	0.83705	0.92769
GCK	6	-0.18602	-2.3528	0.19056	0.62734	0.018633	0.38537
GRK4	6	-0.33282	-2.1263	0.024744	0.27273	0.033478	0.39756
GRK5	6	0.22896	1.0757	0.012799	0.20455	0.28204	0.55455
GRK6	6	-0.12362	-1.8081	0.39676	0.78419	0.070585	0.40167
GSG2	6	-0.3566	-2.1745	0.018487	0.24254	0.029666	0.39756
GSK3A	6	-0.10859	-1.2649	0.469	0.82201	0.20592	0.48801
GSK3B	6	0.24878	1.8586	0.0068259	0.15686	0.063083	0.39756
GUCY2D	6	-0.010195	-0.12899	0.90671	0.97702	0.89737	0.95981
GUCY2F	6	0.051157	0.88089	0.49204	0.83558	0.37838	0.6388
HCK	6	-0.13315	-1.585	0.36206	0.76456	0.11297	0.42227
HIPK1	6	0.087848	0.70806	0.30063	0.72348	0.47891	0.7222
HIPK2	6	-0.058675	-0.62362	0.75114	0.93207	0.53288	0.74085
HIPK3	6	0.009502	0.11062	0.76593	0.93539	0.91192	0.96322
HIPK4	6	0.056446	0.66161	0.46018	0.81924	0.50822	0.73327
HUNK	6	0.14276	1.1547	0.11149	0.52823	0.24821	0.52572
ICK	6	-0.016391	-0.11874	0.95791	0.98826	0.90548	0.96183
IGF1R	6	-0.11609	-1.1537	0.4306	0.79821	0.24863	0.52596
IKBKB	6	0.13032	1.5181	0.14022	0.57399	0.12899	0.42931
IKBKE	6	0.073603	1.1639	0.37201	0.7741	0.24445	0.52386
ILK	6	0.08268	0.85219	0.32338	0.73325	0.39411	0.65301
