Gene	sgRNA	Ts18|beta	Ts18|z	Ts18|p-value	Ts18|fdr	Ts18|wald-p-value	Ts18|wald-fdr
AAK1	6	0.45278	1.2512	0.096701	0.54839	0.21087	0.55417
AATK	6	-0.28252	-1.1601	0.50882	0.87268	0.24601	0.57713
ABL1	6	-0.42091	-1.8019	0.31143	0.77347	0.071561	0.48158
ABL2	6	-0.10118	-0.39911	0.89334	0.97457	0.68981	0.84922
ACVR1	6	0.0049416	0.015611	0.83987	0.95816	0.98754	0.99634
ACVR1B	6	-0.10619	-0.46988	0.87941	0.96898	0.63844	0.82837
ACVR1C	6	0.60829	1.4713	0.025313	0.26727	0.14121	0.54621
ACVR2A	6	0.31218	1.5321	0.23606	0.73647	0.1255	0.53977
ACVRL1	6	0.4828	1.2726	0.076507	0.4882	0.20316	0.55417
ADCK1	6	0.13783	0.64325	0.53214	0.88447	0.52006	0.77219
ADCK2	6	-0.12285	-0.45633	0.83931	0.95816	0.64815	0.83042
ADCK3	6	0.35266	1.6852	0.18714	0.69045	0.091956	0.51459
ADCK4	6	-0.29676	-1.3697	0.48521	0.86249	0.17078	0.54748
ADCK5	6	0.019242	0.098052	0.80631	0.9483	0.92189	0.96654
ADRBK1	6	0.134	0.48303	0.53811	0.88447	0.62908	0.82408
ADRBK2	6	0.037792	0.13819	0.76507	0.94114	0.89009	0.9514
AK1	6	-0.3645	-1.0065	0.38481	0.80824	0.31416	0.61128
AK2	6	-0.018193	-0.046722	0.90245	0.97511	0.96273	0.98479
AK3	6	0.12203	0.39207	0.56229	0.88705	0.695	0.85268
AKT1	6	-0.46811	-1.6767	0.26024	0.75371	0.093595	0.51842
AKT2	6	-0.065502	-0.23237	0.97753	0.99452	0.81625	0.91689
AKT3	6	-0.44462	-1.7334	0.28612	0.77208	0.083016	0.51118
ALK	6	0.22844	0.97693	0.35978	0.79591	0.3286	0.62217
AMHR2	6	-0.18045	-0.79583	0.71416	0.92489	0.42613	0.71
ANKK1	6	0.1747	0.80075	0.45961	0.85548	0.42328	0.7074
ARAF	6	0.16523	0.59745	0.47611	0.86081	0.5502	0.78511
ATM	6	-0.67874	-2.4258	0.10068	0.55625	0.015276	0.1939
ATR	6	-2.8256	-4.804	0	0	1.555e-06	0.00013018
AURKA	6	-0.66067	-1.4411	0.10808	0.56213	0.14956	0.54748
AURKB	6	-2.2414	-3.9609	0.00028441	0.0090909	7.4664e-05	0.0029832
AURKC	6	0.33462	0.98437	0.20848	0.72217	0.32493	0.61962
AXL	6	-0.065672	-0.26638	0.97696	0.99452	0.78994	0.90148
BCR	6	-0.20337	-0.63318	0.66468	0.90839	0.52662	0.77375
BLK	6	0.17201	0.60252	0.46473	0.85774	0.54683	0.78329
BMP2K	6	0.06369	0.30108	0.69852	0.91985	0.76336	0.89317
BMPR1A	6	-0.31548	-0.86968	0.45535	0.85341	0.38448	0.67154
BMPR1B	6	-0.088404	-0.35573	0.9215	0.98212	0.72204	0.86859
BMPR2	6	0.08535	0.30214	0.64989	0.90839	0.76254	0.89281
BRAF	6	-0.91898	-2.729	0.028441	0.28736	0.0063517	0.10015
BRSK1	6	0.41773	1.2231	0.12543	0.60996	0.22131	0.56156
BRSK2	6	-0.25847	-0.8043	0.55091	0.88447	0.42122	0.70558
BTK	6	-0.20281	-1.0255	0.6661	0.90881	0.30514	0.60375
BUB1	6	-0.68269	-1.8303	0.098123	0.55288	0.067203	0.4624
BUB1B	6	-0.61156	-2.1516	0.1405	0.63508	0.031426	0.31125
CAMK1	6	-0.12163	-0.5799	0.84272	0.95952	0.56198	0.79159
CAMK1D	6	0.20263	0.7063	0.40529	0.8185	0.48	0.74773
CAMK1G	6	-0.3765	-0.81298	0.36576	0.79604	0.41623	0.70082
CAMK2A	6	0.28667	1.0921	0.27275	0.7633	0.2748	0.58502
CAMK2B	6	0.11929	0.37483	0.56968	0.89062	0.70778	0.8602
CAMK2D	6	-0.14247	-0.48176	0.7938	0.94482	0.62997	0.82412
CAMK2G	6	-0.25354	-0.77636	0.56143	0.88705	0.43754	0.7146
CAMK4	6	0.40531	1.7224	0.13794	0.63508	0.085004	0.51459
CAMKK1	6	-0.40306	-1.9487	0.33476	0.7905	0.051331	0.39579
CAMKK2	6	-0.45336	-0.97454	0.27673	0.76434	0.32979	0.62236
CAMKV	6	-0.40177	-1.9172	0.33589	0.7905	0.055218	0.40959
CASK	6	0.035297	0.1059	0.76934	0.94114	0.91566	0.96197
CDC42BPA	6	0.72071	1.1328	0.010523	0.15226	0.25728	0.58366
CDC42BPB	6	-0.22216	-0.89433	0.61775	0.90425	0.37115	0.66174
CDC42BPG	6	-0.71384	-1.6652	0.084187	0.513	0.095867	0.51996
CDC7	6	-0.7526	-2.1895	0.0657	0.45743	0.028558	0.29398
CDK1	8	-1.3116	-3.7208	0.0017065	0.037736	0.00019861	0.0066507
CDK10	6	0.048612	0.18032	0.73862	0.93554	0.8569	0.93713
CDK11A	6	0.26472	0.61395	0.30404	0.77347	0.53925	0.77919
CDK11B	6	-0.84612	-1.6031	0.040956	0.35644	0.10892	0.53781
CDK12	6	-0.67606	-1.4202	0.10296	0.55778	0.15556	0.54748
CDK13	6	0.10486	0.4663	0.60438	0.90038	0.641	0.82853
CDK14	6	0.095808	0.40565	0.62315	0.90482	0.685	0.84793
CDK15	6	0.88639	1.4213	0.00056883	0.015625	0.15524	0.54748
CDK16	6	-0.0068608	-0.033785	0.87002	0.96407	0.97305	0.99023
CDK17	6	0.57496	1.3484	0.033561	0.31978	0.17755	0.54748
CDK18	6	0.050667	0.13188	0.73379	0.93242	0.89508	0.95339
CDK2	6	-1.4843	-3.2426	0.0019909	0.04321	0.0011844	0.027763
CDK20	6	0.33147	1.1298	0.21217	0.72911	0.25855	0.58434
CDK3	6	-0.50923	-2.0149	0.22383	0.73483	0.043914	0.3633
CDK4	6	-2.6566	-4.6894	0	0	2.7398e-06	0.0001966
CDK5	6	-0.10281	-0.32788	0.88709	0.97195	0.74301	0.88079
CDK6	6	0.25887	1.3245	0.31143	0.77347	0.18534	0.54748
CDK7	6	-0.88787	-1.8589	0.034414	0.32267	0.063036	0.44238
CDK9	11	-0.78681	-2.9989	0.011661	0.164	0.0027092	0.055381
CDKL1	6	0.52209	1.3209	0.055745	0.42982	0.18655	0.54748
CDKL2	6	-0.15492	-0.57483	0.76906	0.94114	0.56541	0.79236
CDKL3	6	-0.089734	-0.42737	0.91923	0.98118	0.66911	0.84081
CDKL4	6	-0.25801	-1.1012	0.55148	0.88498	0.27079	0.58502
CDKL5	6	0.49042	1.2704	0.071104	0.4717	0.20394	0.55417
CHEK1	6	-2.3336	-4.1589	0	0	3.1979e-05	0.0015194
CHEK2	6	0.14024	0.60199	0.5273	0.88447	0.54718	0.78329
CHUK	6	0.27044	1.4261	0.29778	0.77347	0.15385	0.54748
CIT	6	0.1205	0.42069	0.56684	0.88899	0.67398	0.84332
CLK1	6	-0.075279	-0.33451	0.95563	0.99086	0.738	0.87721
CLK2	6	-0.43066	-1.3656	0.30176	0.77347	0.17206	0.54748
CLK3	6	0.0071199	0.02022	0.83333	0.95689	0.98387	0.99478
CLK4	6	-0.19585	-1.3186	0.68003	0.91648	0.1873	0.54748
CSF1R	6	-0.29895	-0.87155	0.48123	0.86249	0.38346	0.67102
CSK	6	-0.4731	-1.7111	0.25683	0.7533	0.08706	0.51459
CSNK1A1	6	-0.66674	-2.1817	0.10666	0.56138	0.029132	0.29754
CSNK1D	6	0.11366	0.33835	0.58362	0.892	0.7351	0.87584
CSNK1E	6	-0.35034	-1.5506	0.40301	0.81776	0.121	0.53849
CSNK1G1	6	-0.13185	-0.55187	0.81769	0.95295	0.58104	0.80084
CSNK1G2	6	-0.065327	-0.14525	0.97782	0.99452	0.88451	0.94866
CSNK1G3	6	0.18356	1.0868	0.4434	0.8484	0.27712	0.5873
CSNK2A1	5	-0.71012	-1.9723	0.11547	0.58417	0.04858	0.38527
CSNK2A2	6	0.62761	1.4898	0.021047	0.23344	0.13628	0.54285
DAPK1	6	0.31651	0.89375	0.23038	0.73636	0.37146	0.66195
DAPK2	6	0.58992	1.442	0.029863	0.29745	0.1493	0.54748
