Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
AAK1	6	-0.080079	-0.88888	0.96559	0.99386	0.37407	0.54036
AATK	6	-0.21053	-2.0092	0.51479	0.77816	0.04452	0.188
ABL1	6	0.18421	1.8298	0.021615	0.14232	0.067285	0.20491
ABL2	6	0.026689	0.33002	0.48606	0.75754	0.74139	0.83202
ACVR1	6	-0.023509	-0.69765	0.7682	0.90486	0.48539	0.64475
ACVR1B	6	-0.049679	-1.2758	0.89022	0.96071	0.20201	0.36119
ACVR1C	6	0.035067	0.68789	0.44681	0.72752	0.49152	0.65025
ACVR2A	6	-0.15034	-1.7517	0.6971	0.87567	0.079827	0.21792
ACVRL1	6	0.024139	0.6461	0.50228	0.76883	0.51822	0.67016
ADCK1	6	0.082096	1.7136	0.22497	0.51697	0.08661	0.22457
ADCK2	6	0.17546	1.9982	0.028441	0.17391	0.045693	0.188
ADCK3	6	0.052861	1.7479	0.34528	0.63794	0.080482	0.21792
ADCK4	6	0.046412	0.55303	0.38396	0.67433	0.58024	0.70471
ADCK5	6	-0.011292	-0.26486	0.6971	0.87567	0.79112	0.86518
ADRBK1	6	-0.21701	-1.974	0.49516	0.76259	0.048383	0.18923
ADRBK2	6	0.063641	0.76938	0.30205	0.60202	0.44167	0.60796
AK1	6	-0.047863	-1.6347	0.88282	0.95684	0.1021	0.24306
AK2	6	-0.20715	-1.4647	0.52588	0.78381	0.14299	0.29281
AK3	6	-0.23325	-1.2744	0.45592	0.73465	0.20251	0.36145
AKT1	6	-0.59577	-2.863	0.052901	0.25445	0.0041965	0.044002
AKT2	6	-0.40452	-2.5899	0.16496	0.44788	0.0096	0.076887
AKT3	6	0.14589	1.8168	0.061149	0.27423	0.069251	0.20829
ALK	6	-0.072719	-0.61445	0.99602	0.99715	0.53892	0.68029
AMHR2	6	-0.039418	-0.65975	0.83959	0.93833	0.50941	0.66421
ANKK1	6	0.010649	0.52782	0.58077	0.81811	0.59763	0.71912
ARAF	6	0.21394	1.5743	0.0091013	0.080402	0.11543	0.26109
ATM	6	-0.4676	-2.8697	0.11035	0.37488	0.004109	0.043353
ATR	6	-2.1868	-4.3893	0	0	1.137e-05	0.00033038
AURKA	6	-1.1124	-2.7395	0.0019909	0.024911	0.0061532	0.057386
AURKB	6	-2.1003	-3.9287	0	0	8.5391e-05	0.001937
AURKC	6	0.18783	1.179	0.020193	0.13628	0.23841	0.40182
AXL	6	-0.22256	-1.2966	0.48094	0.75457	0.19477	0.3541
BCR	6	0.18841	1.2862	0.019909	0.13514	0.19838	0.35789
BLK	6	0.16293	1.8223	0.040956	0.21851	0.068407	0.20702
BMP2K	6	0.060743	1.3174	0.31286	0.61007	0.1877	0.34654
BMPR1A	6	-0.20956	-1.5478	0.5182	0.77963	0.12166	0.26702
BMPR1B	6	-0.055647	-1.2583	0.92378	0.98009	0.20829	0.36664
BMPR2	6	-0.30967	-2.1648	0.29323	0.59458	0.030404	0.16371
BRAF	6	0.045076	0.45859	0.39278	0.68333	0.64653	0.76069
BRSK1	6	0.11606	1.1863	0.1186	0.38147	0.23549	0.39883
BRSK2	6	-0.12612	-1.4524	0.77844	0.90813	0.14639	0.29769
BTK	6	0.034664	0.39662	0.44795	0.72752	0.69165	0.79394
BUB1	6	-1.5458	-3.5413	0	0	0.00039809	0.0071779
BUB1B	6	-2.0532	-4.0185	0	0	5.8581e-05	0.0014205
CAMK1	6	0.024842	1.0309	0.49772	0.76453	0.3026	0.47195
CAMK1D	6	0.10457	1.4085	0.1496	0.42249	0.15897	0.31295
CAMK1G	6	0.19342	1.757	0.017634	0.125	0.078922	0.21713
CAMK2A	6	0.060677	1.6374	0.31286	0.61007	0.10154	0.24218
CAMK2B	6	0.020019	0.31749	0.52787	0.78505	0.75087	0.83998
CAMK2D	6	0.24698	1.8093	0.0028441	0.032573	0.070406	0.20919
CAMK2G	6	0.030557	0.2919	0.46871	0.74435	0.77036	0.8531
CAMK4	6	0.17049	1.9764	0.032423	0.19032	0.048107	0.18923
CAMKK1	6	-0.047819	-0.99245	0.88225	0.95682	0.32098	0.48919
CAMKK2	6	-0.10438	-1.0826	0.85495	0.9435	0.27899	0.44466
CAMKV	6	0.014599	0.22314	0.55859	0.80723	0.82342	0.88972
CASK	6	0.15049	1.9967	0.054039	0.2578	0.045857	0.188
CDC42BPA	6	0.27086	1.8411	0.0019909	0.024911	0.065608	0.20427
CDC42BPB	6	0.070343	1.1032	0.27617	0.57524	0.26996	0.43569
CDC42BPG	6	-0.12455	-1.1454	0.78413	0.9102	0.25206	0.41658
CDC7	6	-1.9605	-4.0784	0	0	4.5345e-05	0.0011228
CDK1	8	-2.5242	-6.0633	0	0	1.3338e-09	1.3399e-07
CDK10	6	-0.26727	-2.5676	0.37912	0.67151	0.010241	0.080677
CDK11A	6	-0.39165	-1.2461	0.17776	0.46816	0.21272	0.37192
CDK11B	6	-0.55262	-1.9895	0.066837	0.28694	0.046651	0.188
CDK12	6	-0.97875	-2.3541	0.0054039	0.054913	0.01857	0.11936
CDK13	6	-0.76953	-3.0541	0.016212	0.11875	0.0022573	0.028447
CDK14	6	0.079294	1.2755	0.23464	0.52712	0.20214	0.36119
CDK15	6	0.060494	0.66145	0.31342	0.61007	0.50833	0.66367
CDK16	6	0.11568	1.6932	0.11945	0.38147	0.090412	0.22951
CDK17	6	0.1264	1.5611	0.096701	0.3501	0.11849	0.26418
CDK18	6	-0.076661	-0.70352	0.98038	0.99457	0.48173	0.64257
CDK2	6	-0.83761	-2.9047	0.01223	0.096197	0.0036765	0.041014
CDK20	6	0.09407	1.1776	0.18316	0.47249	0.23894	0.40216
CDK3	6	-0.07328	-0.73183	0.99204	0.99515	0.46427	0.62736
CDK4	6	-0.65365	-3.0232	0.036405	0.20315	0.0025012	0.031066
CDK5	6	0.15913	1.5816	0.044369	0.22774	0.11374	0.25818
CDK6	6	0.081092	1.0154	0.22725	0.51816	0.30993	0.47878
CDK7	6	-2.2932	-4.7778	0	0	1.7724e-06	7.3314e-05
CDK9	11	-2.1151	-6.4192	0	0	1.3696e-10	1.6051e-08
CDKL1	6	0.095753	1.1355	0.17861	0.46901	0.25618	0.4214
CDKL2	6	-0.091017	-1.7869	0.91524	0.97456	0.073958	0.21193
CDKL3	6	0.00063052	0.011382	0.63225	0.84621	0.99092	0.99716
CDKL4	6	-0.11092	-1.409	0.83248	0.93604	0.15882	0.31284
CDKL5	6	0.20902	2.0221	0.010239	0.085714	0.04317	0.18647
CHEK1	6	-3.0592	-6.4374	0	0	1.215e-10	1.4731e-08
CHEK2	6	0.13295	1.1901	0.083333	0.32269	0.23401	0.39771
CHUK	6	0.12843	1.3159	0.092719	0.34205	0.1882	0.347
CIT	6	-0.021697	-0.36315	0.75796	0.90316	0.71649	0.81159
CLK1	6	-0.025445	-0.41524	0.77759	0.90803	0.67797	0.78351
CLK2	6	0.11992	1.4344	0.11206	0.37631	0.15147	0.30415
CLK3	6	0.066396	1.4991	0.29209	0.5933	0.13384	0.28315
CLK4	6	0.087994	1.4274	0.20449	0.49724	0.15347	0.30625
CSF1R	6	0.035205	0.53673	0.44596	0.72752	0.59146	0.71424
CSK	6	-0.48292	-2.4594	0.099829	0.35743	0.013915	0.098841
CSNK1A1	6	-1.4863	-3.5459	0	0	0.00039134	0.0070926
CSNK1D	6	-0.35975	-2.1883	0.21644	0.50767	0.028645	0.15753
CSNK1E	6	-0.1626	-1.8485	0.65586	0.85471	0.064524	0.20426
CSNK1G1	6	0.0081081	0.10198	0.59329	0.82483	0.91877	0.9549
CSNK1G2	6	-0.22501	-1.9607	0.47668	0.75056	0.049917	0.19036
CSNK1G3	6	-0.13146	-0.74548	0.75882	0.90316	0.45598	0.62094
CSNK2A1	5	-0.58621	-2.1843	0.0657	0.28466	0.02894	0.15801
CSNK2A2	6	-0.077786	-0.89392	0.97582	0.99457	0.37136	0.53795
DAPK1	6	0.19184	1.7784	0.018203	0.12826	0.075346	0.21402
DAPK2	6	0.14174	1.9202	0.067122	0.28745	0.054827	0.19355
DAPK3	6	0.10816	1.1294	0.13993	0.40928	0.25873	0.4241
DCLK1	6	0.26194	1.8062	0.0022753	0.027027	0.070887	0.20919
DCLK2	6	0.16421	1.9759	0.039534	0.21221	0.048163	0.18923
DCLK3	6	0.044212	0.58937	0.39846	0.68845	0.55561	0.68545
DDR1	6	0.081847	1.2361	0.22526	0.51697	0.21641	0.37597
DDR2	6	-0.0080249	-0.094264	0.67975	0.86594	0.9249	0.95786
DMPK	6	-0.0091746	-0.13045	0.68658	0.86991	0.89621	0.94006
DSTYK	6	0.080652	1.897	0.22952	0.52031	0.057827	0.19759
DYRK1A	6	-0.95904	-3.4385	0.0071104	0.066667	0.00058485	0.0097457
DYRK1B	6	-0.19348	-1.7185	0.56741	0.81171	0.085713	0.22373
DYRK2	6	0.18572	1.6628	0.020762	0.138	0.096349	0.23558
DYRK3	6	0.063256	0.7599	0.30347	0.60202	0.44731	0.61268
DYRK4	6	0.13651	1.7763	0.076792	0.30909	0.075688	0.21415
EEF2K	6	-0.069875	-0.61821	0.98976	0.99457	0.53644	0.68029
EGFR	6	-0.96756	-3.4011	0.0065415	0.063014	0.00067116	0.010623
EIF2AK1	6	-0.017675	-0.17313	0.73635	0.89624	0.86255	0.91817
EIF2AK2	6	-0.1306	-1.5509	0.76109	0.90316	0.12092	0.2665
EIF2AK3	6	0.4755	1.8033	0	0	0.071336	0.20919
EIF2AK4	12	-0.22505	-2.8569	0.36149	0.65197	0.0042774	0.044444
EPHA1	6	0.14833	2.003	0.056598	0.26253	0.04518	0.188
EPHA10	6	-0.1082	-1.7822	0.843	0.93887	0.074718	0.21324
EPHA2	6	-0.0031914	-0.036396	0.65188	0.853	0.97097	0.98499
EPHA3	6	0.049144	0.56333	0.36633	0.65647	0.57321	0.69834
EPHA4	6	0.23328	1.8464	0.0045506	0.047904	0.064828	0.20426
EPHA5	6	0.087129	1.7197	0.20848	0.50103	0.08548	0.22373
EPHA6	6	-0.02549	-0.64574	0.77759	0.90803	0.51845	0.67017
EPHA7	6	0.15165	1.5049	0.052617	0.25412	0.13235	0.28139
EPHA8	6	-0.17245	-1.7678	0.62514	0.8415	0.077092	0.21503
EPHB1	6	0.16696	1.9493	0.036689	0.20315	0.051254	0.19141
EPHB2	6	-0.053843	-0.43528	0.91468	0.97425	0.66336	0.7723
EPHB3	6	0.088964	1.0306	0.2008	0.49372	0.30272	0.47195
EPHB4	6	-0.1766	-1.7002	0.6149	0.83885	0.089091	0.22798
EPHB6	6	0.021044	0.3961	0.52304	0.78322	0.69203	0.79412
ERBB2	6	-0.13	-1.071	0.7628	0.90316	0.28418	0.45049
ERBB3	6	-0.023369	-0.29935	0.76763	0.90486	0.76468	0.84921
ERBB4	6	0.068449	1.7013	0.28498	0.58703	0.088892	0.22797
ERN1	6	0.076449	0.95281	0.24687	0.54099	0.34069	0.50908
FASTK	6	-0.0010183	-0.015079	0.63993	0.84906	0.98797	0.99561
FER	6	0.10166	1.5425	0.16041	0.43994	0.12296	0.2687
FES	6	0.003052	0.055965	0.62002	0.83885	0.95537	0.97704
FGFR1	6	-0.15027	-1.6913	0.69738	0.87571	0.090773	0.22994
FGFR2	6	0.075497	0.92019	0.25028	0.54455	0.35747	0.52611
FGFR3	6	-0.11813	-1.0685	0.80916	0.9249	0.28529	0.45204
FGFR4	6	-0.13047	-0.6928	0.76109	0.90316	0.48843	0.64809
FGR	6	-0.054115	-1.2506	0.91638	0.97518	0.21108	0.36998
FLT1	6	0.022259	0.28911	0.51564	0.77878	0.7725	0.85439
FLT3	6	-0.053289	-1.2128	0.91268	0.97392	0.2252	0.38682
FLT4	6	0.013413	0.14157	0.56342	0.80956	0.88742	0.93527
FRK	6	0.11696	1.2878	0.11689	0.37972	0.19783	0.3578
FYN	6	-0.10465	-1.3687	0.85438	0.94317	0.1711	0.32577
GAK	6	-0.74332	-2.639	0.019056	0.13137	0.0083146	0.069938
GCK	6	-0.06867	-0.6632	0.98379	0.99457	0.5072	0.66344
GRK4	6	-0.040363	-0.39167	0.84414	0.93924	0.6953	0.7949
GRK5	6	0.12417	1.5048	0.10154	0.36097	0.13237	0.28139
GRK6	6	-0.069717	-1.3063	0.98948	0.99457	0.19146	0.35087
GSG2	6	-0.18981	-1.8087	0.57679	0.81657	0.070503	0.20919
GSK3A	6	-0.013446	-0.16585	0.70791	0.88044	0.86827	0.92231
GSK3B	6	0.22078	1.7762	0.0073948	0.068602	0.075696	0.21415
GUCY2D	6	0.020593	0.66397	0.52503	0.78381	0.50671	0.66304
GUCY2F	6	0.21884	1.7161	0.0076792	0.070312	0.086148	0.22416
HCK	6	-0.087309	-1.099	0.93032	0.98288	0.27176	0.43711
HIPK1	6	-0.36675	-2.6817	0.20592	0.49828	0.0073242	0.064219
HIPK2	6	-0.056481	-0.96495	0.92975	0.98286	0.33457	0.5025
HIPK3	6	0.12355	1.9385	0.10324	0.36373	0.052562	0.1926
HIPK4	6	-0.03214	-0.82338	0.80603	0.92253	0.41029	0.57473
HUNK	6	0.21013	1.6905	0.0099545	0.083933	0.090941	0.2302
ICK	6	0.0249	0.27622	0.49744	0.76453	0.78238	0.85883
IGF1R	6	-0.48119	-2.7068	0.10068	0.35976	0.0067939	0.061407
IKBKB	6	0.061906	0.94619	0.30802	0.60537	0.34405	0.51221
IKBKE	6	0.043729	0.60612	0.39989	0.68854	0.54443	0.6812
ILK	6	-0.32141	-2.039	0.27332	0.57134	0.041455	0.18638
INSR	6	-0.10009	-1.4052	0.87372	0.95256	0.15998	0.31365
INSRR	6	-0.097426	-1.6881	0.88709	0.9594	0.091387	0.23067
IRAK1	6	0.20704	1.8319	0.010808	0.08776	0.06696	0.20491
IRAK2	6	0.14156	1.8882	0.067406	0.28832	0.059006	0.19882
IRAK3	6	0.0099602	0.20639	0.58305	0.81934	0.83649	0.89804
IRAK4	6	0.12375	1.3099	0.10296	0.36309	0.19021	0.34942
ITK	6	0.085882	1.7027	0.21274	0.50505	0.088621	0.22744
JAK1	12	-0.022641	-0.39569	0.56598	0.81133	0.69233	0.79416
JAK2	12	0.092711	1.8706	0.064278	0.28144	0.061401	0.20046
JAK3	12	-0.10594	-2.0843	0.91411	0.97423	0.037132	0.18002
KALRN	5	0.020153	0.36573	0.59016	0.82472	0.71456	0.81019
KDR	6	0.10655	1.9706	0.14249	0.41201	0.048766	0.18937
KIAA1804	6	0.11229	1.4879	0.12941	0.39531	0.13678	0.28661
KIT	6	0.078689	0.90685	0.23606	0.52866	0.36449	0.53181
KSR1	6	-0.10822	-1.6184	0.843	0.93887	0.10557	0.24803
KSR2	6	0.047065	0.71817	0.37969	0.67151	0.47265	0.635
LATS1	6	0.18329	0.7553	0.022469	0.14576	0.45007	0.6155
LATS2	6	0.054039	0.76342	0.33817	0.62977	0.44521	0.61052
LCK	6	0.068125	0.88631	0.28584	0.58703	0.37545	0.54102
LIMK1	6	0.030907	0.53383	0.46644	0.74242	0.59346	0.7153
LIMK2	6	0.19298	1.6615	0.017634	0.125	0.096618	0.23591
LMTK2	6	0.072236	2.1621	0.2665	0.5631	0.030614	0.16426
LMTK3	6	-0.16479	-2.3721	0.64761	0.853	0.017688	0.1156
LRRK1	6	0.22014	1.6733	0.0073948	0.068602	0.094269	0.23451
LRRK2	6	0.089647	1.2288	0.19824	0.49225	0.21916	0.37847
LTK	6	-0.047591	-0.53357	0.88083	0.95645	0.59364	0.7153
LYN	6	0.2725	1.5633	0.0019909	0.024911	0.11797	0.26399
MAK	6	0.16635	1.6403	0.038111	0.20872	0.10095	0.24163
MAP2K1	6	-0.010967	-0.24577	0.69454	0.87536	0.80586	0.87559
MAP2K2	6	-0.61734	-2.0501	0.047782	0.24069	0.04035	0.18555
MAP2K3	6	-0.41658	-2.6344	0.15358	0.42857	0.008429	0.070073
MAP2K4	6	0.078888	1.4911	0.23549	0.52772	0.13594	0.28599
MAP2K5	6	-0.15049	-1.7677	0.69625	0.87554	0.077119	0.21503
MAP2K6	6	0.075091	0.97944	0.25398	0.54988	0.32736	0.4957
MAP2K7	6	-0.13855	-1.3392	0.73493	0.89624	0.18051	0.33692
MAP3K1	17	0.01127	0.39876	0.27019	0.56862	0.69007	0.79265
MAP3K10	6	0.074823	0.7346	0.25626	0.55107	0.46258	0.62604
MAP3K11	6	-0.226	-1.7895	0.47469	0.74877	0.073535	0.21164
MAP3K12	6	-0.082255	-1.372	0.95705	0.99263	0.17007	0.32462
MAP3K13	6	-0.074292	-0.86056	0.98805	0.99457	0.38948	0.55397
MAP3K14	6	0.040352	0.67184	0.41667	0.70196	0.50169	0.65991
MAP3K2	6	-0.27571	-1.5259	0.36377	0.65389	0.12703	0.27401
MAP3K3	6	-0.13741	-1.6368	0.73919	0.89624	0.10166	0.24218
MAP3K4	6	-0.003089	-0.061349	0.65188	0.853	0.95108	0.97351
MAP3K5	6	0.14258	1.9652	0.065984	0.28466	0.049389	0.18979
MAP3K6	6	-0.085474	-1.1257	0.93942	0.98685	0.26029	0.42587
MAP3K7	6	-0.016143	-0.44967	0.72611	0.89328	0.65295	0.76449
MAP3K8	6	0.23633	1.9772	0.0042662	0.045455	0.048014	0.18923
MAP3K9	6	0.25231	1.6603	0.0022753	0.027027	0.096861	0.2361
MAP4K1	6	-0.076192	-0.92559	0.98151	0.99457	0.35466	0.52284
MAP4K3	6	0.046342	0.57872	0.38396	0.67433	0.56278	0.69042
MAP4K4	6	-0.076849	-1.2032	0.97895	0.99457	0.22892	0.39109
MAP4K5	6	0.09173	1.0731	0.18942	0.47983	0.28324	0.44961
MAPK1	6	-0.15581	-1.9402	0.67861	0.86548	0.052355	0.19257
MAPK10	6	0.21208	1.9635	0.0093857	0.082294	0.049591	0.1902
MAPK11	6	-0.08259	-0.81069	0.95392	0.99172	0.41754	0.58281
MAPK12	6	-0.011054	-0.39294	0.69511	0.87536	0.69436	0.79479
MAPK13	6	-0.018554	-0.26834	0.73919	0.89624	0.78844	0.86306
MAPK14	6	-0.286	-2.2058	0.34101	0.63339	0.027396	0.15363
MAPK15	6	-0.19148	-2.2757	0.57224	0.81366	0.022863	0.13786
MAPK3	6	-0.23618	-0.86172	0.44852	0.72752	0.38884	0.55348
MAPK6	6	-0.20244	-1.7257	0.53982	0.79614	0.08441	0.22248
MAPK7	6	-0.39066	-2.4019	0.1789	0.46905	0.016309	0.10943
MAPK8	6	-0.0093172	-0.36841	0.68771	0.87041	0.71257	0.80819
MAPK9	6	0.0089794	0.11568	0.58788	0.82383	0.90791	0.94762
MAPKAPK2	6	-0.15904	-1.5394	0.66866	0.86152	0.1237	0.26932
MAPKAPK3	6	0.090758	1.3388	0.1934	0.48676	0.18063	0.33692
MAPKAPK5	6	0.10403	1.1059	0.15102	0.42277	0.26876	0.43506
MARK1	6	0.16438	1.4902	0.039534	0.21221	0.13616	0.28599
MARK2	6	-0.082822	-1.3365	0.9525	0.99142	0.1814	0.33818
MARK3	6	0.0871	1.7155	0.20848	0.50103	0.086261	0.22416
MARK4	6	-0.041656	-0.70659	0.84954	0.94108	0.47982	0.64074
MAST1	6	-0.2098	-1.5548	0.51706	0.77925	0.12	0.26583
MAST2	6	-0.13302	-1.0921	0.75484	0.90316	0.27478	0.44044
MAST3	6	-0.060819	-0.85861	0.94966	0.99021	0.39056	0.55438
MAST4	6	0.051837	1.7376	0.35296	0.64568	0.082275	0.21921
MASTL	12	-1.2554	-3.9642	0	0	7.3636e-05	0.001726
MATK	6	-0.19497	-1.9179	0.562	0.80818	0.055121	0.19399
MELK	6	0.046275	0.71324	0.3851	0.67531	0.4757	0.63658
MERTK	6	0.11862	1.4656	0.11377	0.37807	0.14275	0.29248
MET	6	0.10337	1.4396	0.15586	0.43331	0.14997	0.30211
MINK1	6	0.041822	0.74037	0.41069	0.69758	0.45908	0.62369
MKNK1	6	-0.17235	-0.72084	0.62543	0.84156	0.47101	0.63354
MKNK2	6	0.03004	0.57779	0.47241	0.74786	0.5634	0.6907
MLKL	6	-0.0031467	-0.082104	0.65188	0.853	0.93456	0.96345
MOK	6	0.20928	1.5177	0.010239	0.085714	0.12909	0.27642
MOS	6	0.095482	0.86937	0.17947	0.46914	0.38464	0.54931
MST1R	6	0.010771	0.13716	0.5802	0.81796	0.89091	0.93617
MTOR	6	-1.7801	-4.0893	0	0	4.3273e-05	0.0010817
MUSK	6	0.012253	0.24999	0.56997	0.81232	0.80259	0.87312
MYLK2	6	-0.32046	-2.4971	0.27389	0.57185	0.012522	0.092689
MYLK3	6	-0.12005	-1.5823	0.8029	0.92107	0.11357	0.25818
MYLK4	6	0.16199	1.7881	0.042093	0.22123	0.073757	0.21164
MYO3A	6	0.03091	0.47901	0.46644	0.74242	0.63193	0.74962
MYO3B	6	0.10196	1.9906	0.15927	0.43897	0.046529	0.188
NEK1	6	-0.27797	-2.2917	0.35893	0.65052	0.021923	0.13382
NEK10	6	0.11927	1.9621	0.11291	0.37774	0.049753	0.19035
NEK11	6	0.068119	1.0147	0.28584	0.58703	0.31025	0.47907
NEK2	6	-0.39671	-1.5621	0.17378	0.46113	0.11826	0.264
NEK3	6	-7.8775e-05	-0.0020403	0.63567	0.84723	0.99837	1
NEK4	6	0.028689	0.34734	0.47782	0.75134	0.72834	0.81999
NEK5	6	0.16234	1.8837	0.041809	0.22039	0.059612	0.19924
NEK6	6	0.0061172	0.075546	0.60324	0.83027	0.93978	0.96631
NEK7	6	0.10862	1.7668	0.13908	0.40928	0.077253	0.21523
NEK8	6	-0.39422	-1.5081	0.1752	0.46316	0.13153	0.28028
NEK9	6	0.023014	0.27977	0.5091	0.77355	0.77965	0.85763
NIM1K	6	-0.093438	-1.2499	0.90728	0.97051	0.21132	0.37009
NLK	6	-0.19549	-1.9371	0.56086	0.80787	0.052733	0.19293
NPR1	6	0.11272	1.1787	0.12827	0.39286	0.23851	0.40182
NPR2	6	-0.001073	-0.018185	0.64078	0.84951	0.98549	0.99369
NRBP1	6	-1.0688	-3.0956	0.0031286	0.0347	0.0019639	0.025669
NRBP2	6	-0.1174	-1.1253	0.81172	0.92542	0.26048	0.42597
NRK	6	0.1673	1.5857	0.036689	0.20315	0.11281	0.25691
NTRK1	6	0.016749	0.24334	0.54636	0.80108	0.80774	0.87709
NTRK2	6	0.14584	1.8073	0.061149	0.27423	0.070712	0.20919
NTRK3	6	0.096477	0.97733	0.17548	0.46321	0.32841	0.49706
NUAK1	6	0.045825	0.64484	0.38766	0.67845	0.51903	0.67067
NUAK2	6	0.20345	1.8375	0.012799	0.098253	0.066141	0.2047
OBSCN	12	-0.13683	-1.3559	0.73805	0.89624	0.17513	0.33017
OXSR1	6	0.028514	0.67024	0.47867	0.75201	0.5027	0.66055
PAK1	6	-0.11601	-1.6597	0.81513	0.92751	0.096966	0.2361
PAK2	6	0.11603	1.3696	0.1186	0.38147	0.17081	0.32564
PAK3	6	0.18673	1.6718	0.020762	0.138	0.094566	0.23451
PAK4	6	0.088547	1.2723	0.20193	0.49374	0.20325	0.36201
PAK6	6	-0.13237	-1.1353	0.75654	0.90316	0.25625	0.4214
PAK7	6	0.21681	1.8874	0.0088168	0.078283	0.059108	0.19882
PASK	6	0.0061519	0.1323	0.60324	0.83027	0.89474	0.93908
PBK	6	0.00035339	0.016951	0.63481	0.84712	0.98648	0.99439
PDGFRA	6	-0.0028089	-0.03074	0.65131	0.853	0.97548	0.98784
PDGFRB	6	0.11611	1.2741	0.11832	0.38147	0.20264	0.36145
PDIK1L	6	0.0023054	0.049442	0.62372	0.84067	0.96057	0.97944
PDK1	5	0.095172	1.1195	0.24118	0.53535	0.26291	0.42836
PDK2	6	-0.040873	-0.44501	0.84471	0.93958	0.65631	0.76737
PDK3	6	0.094628	0.95493	0.18146	0.4712	0.33961	0.50823
PDK4	6	0.1457	1.3869	0.061433	0.27516	0.16547	0.31993
PDPK1	5	-0.40492	-2.0547	0.20336	0.4955	0.039907	0.18428
PHKG1	6	-0.06249	-1.0221	0.95734	0.99263	0.30671	0.47528
PHKG2	6	-0.26603	-2.0409	0.38254	0.67284	0.041263	0.18638
PIK3R4	6	-1.7101	-3.5768	0	0	0.00034783	0.0064621
PIM1	6	-0.058654	-0.90612	0.94141	0.98718	0.36487	0.53181
PIM2	6	0.24769	1.9722	0.0028441	0.032573	0.048585	0.18937
PIM3	6	-0.17531	-1.9362	0.61945	0.83885	0.052847	0.19295
PINK1	6	-0.019705	-0.33385	0.74488	0.89938	0.7385	0.82904
PKMYT1	6	-1.1167	-3.5007	0.0019909	0.024911	0.00046401	0.0080984
PKN1	6	-0.092949	-1.2057	0.90785	0.97051	0.22794	0.38981
PKN2	6	-0.14786	-1.7353	0.70705	0.87969	0.08268	0.21972
PKN3	6	-0.01821	-0.31385	0.7372	0.89624	0.75364	0.84174
PLK1	6	-2.3206	-4.8034	0	0	1.5599e-06	6.6764e-05
PLK2	6	-0.087634	-1.4668	0.92861	0.98255	0.14242	0.29203
PLK3	6	0.016052	0.22326	0.55034	0.80256	0.82333	0.88972
PLK4	6	-1.8014	-2.5647	0	0	0.010326	0.080677
PNCK	6	-0.0045039	-0.06551	0.66013	0.85619	0.94777	0.97138
POMK	4	0.080495	1.1796	0.3632	0.65353	0.23817	0.40164
PRKAA1	6	-0.057516	-0.6654	0.93544	0.98444	0.50579	0.66237
PRKAA2	6	0.034571	0.83884	0.44795	0.72752	0.40156	0.56543
PRKACA	6	-0.074966	-1.3137	0.98493	0.99457	0.18896	0.34766
PRKACB	6	0.12152	1.6118	0.10722	0.36925	0.10701	0.25
PRKACG	6	-0.12983	-1.1642	0.76308	0.90316	0.24435	0.40833
PRKCA	6	0.011123	0.1181	0.57736	0.81657	0.90599	0.94665
PRKCB	6	0.12234	1.2744	0.10552	0.36605	0.20253	0.36145
PRKCD	6	-0.0064236	-0.083976	0.67179	0.86152	0.93308	0.96321
PRKCE	6	0.020478	0.31667	0.52588	0.78381	0.75149	0.84035
PRKCG	6	-0.019398	-0.20664	0.74317	0.89886	0.83629	0.89804
PRKCH	6	0.015614	0.23808	0.55205	0.80256	0.81182	0.8795
PRKCI	6	0.30648	1.8616	0.0011377	0.015564	0.062661	0.20171
PRKCQ	6	0.17131	1.5498	0.031854	0.18855	0.1212	0.2665
PRKCZ	6	-0.037463	-0.49408	0.83248	0.93604	0.62125	0.7402
PRKD1	6	0.13609	1.5967	0.077361	0.30909	0.11032	0.25408
PRKD2	6	-0.046045	-0.60177	0.87144	0.95185	0.54733	0.68182
PRKD3	6	-0.080035	-1.7049	0.96587	0.99386	0.08822	0.22691
PRKDC	6	-0.8897	-3.4087	0.0099545	0.083933	0.0006527	0.010436
PRKG1	6	0.092734	2.0347	0.18714	0.47858	0.041879	0.18638
PRKG2	6	0.14279	1.7461	0.065984	0.28466	0.080794	0.21792
PRKX	6	0.17444	0.85455	0.029579	0.179	0.3928	0.55622
PRKY	5	0.21387	1.6444	0.01678	0.1209	0.1001	0.24024
PRPF4B	6	-2.0249	-4.2055	0	0	2.6056e-05	0.0006786
PSKH1	6	-0.05556	-0.87731	0.92378	0.98009	0.38032	0.54624
PSKH2	6	0.010138	0.099069	0.58276	0.81927	0.92108	0.95561
PTK2	6	-0.36926	-2.4042	0.20478	0.49724	0.016208	0.10917
PTK2B	6	0.088344	1.6823	0.20336	0.4955	0.092502	0.23273
PTK6	6	-0.026787	-0.39357	0.78356	0.9102	0.6939	0.79479
PTK7	6	-0.16829	-1.0336	0.63965	0.849	0.30134	0.47068
RAF1	6	-0.3578	-2.7805	0.21843	0.51023	0.005427	0.052565
RET	6	-0.16042	-1.5698	0.66354	0.85835	0.11646	0.26211
RIOK1	6	-2.0809	-4.1154	0	0	3.865e-05	0.00097765
