Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
FBXO48	6	0.063546	0.90075	0.30262	0.60202	0.36772	0.53465
FBXO5	10	-1.9381	-5.957	0	0	2.5688e-09	2.258e-07
FBXO6	7	0.065976	1.5808	0.26507	0.56178	0.11392	0.25841
FBXO7	19	-0.044364	-0.94957	0.59215	0.82483	0.34233	0.51045
FBXO8	11	0.14984	2.5969	0.0099545	0.083933	0.0094076	0.075865
FBXO9	9	-0.058518	-1.0475	0.85722	0.94483	0.29488	0.46292
FBXW10	7	-0.092851	-0.98597	0.91325	0.97392	0.32415	0.49197
FBXW11	12	-0.71409	-4.0643	0.0014221	0.019084	4.8182e-05	0.0011847
FBXW12	14	0.0061448	0.19375	0.35552	0.64733	0.84637	0.90616
FBXW2	15	0.13521	2.8449	0.004835	0.050296	0.0044419	0.0454
FBXW4	13	-0.020195	-0.61424	0.53015	0.78683	0.53906	0.68029
FBXW5	22	-0.00017698	-0.005174	0.25853	0.55427	0.99587	1
FBXW7	16	0.17031	2.4198	0.00085324	0.012397	0.01553	0.10575
FBXW8	18	-0.0788	-2.6039	0.86633	0.94952	0.0092164	0.074665
FBXW9	15	-0.28488	-3.5999	0.15643	0.43375	0.00031838	0.0059544
SKP1	6	-2.1211	-4.6638	0	0	3.1044e-06	0.0001137
SKP2	17	-0.60331	-4.6125	0.00085324	0.012397	3.9784e-06	0.0001385
TBL1X	9	0.1716	2.3686	0.0076792	0.070312	0.017856	0.11626
TBL1XR1	10	-0.31216	-2.3654	0.18743	0.47858	0.018012	0.11685
TBL1Y	7	0.29089	2.1355	0	0	0.032719	0.16918
CUL1	11	-1.8721	-3.8854	0	0	0.00010215	0.0022034
CUL2	14	-1.1182	-5.3961	0	0	6.8105e-08	4.0038e-06
CUL3	16	-1.4002	-5.7918	0	0	6.9629e-09	5.6934e-07
CUL4A	17	0.14226	3.092	0.0017065	0.022305	0.0019879	0.025823
CUL4B	10	0.32756	2.42	0	0	0.015522	0.10575
CUL5	11	0.23912	2.4871	0.00056883	0.0084388	0.012878	0.093362
ASB1	14	0.098378	2.1566	0.038965	0.21109	0.031034	0.16533
ASB10	14	-0.032237	-0.62885	0.593	0.82483	0.52945	0.67791
ASB11	12	0.18595	2.696	0.00056883	0.0084388	0.0070179	0.06264
ASB12	12	0.16285	2.6365	0.0031286	0.0347	0.0083774	0.070073
ASB13	14	-0.022746	-0.48244	0.52816	0.78505	0.6295	0.74749
ASB14	14	0.023179	0.47806	0.27105	0.56862	0.63261	0.75017
ASB15	16	0.11724	2.8829	0.0093857	0.082294	0.0039402	0.042783
ASB16	20	-0.24872	-3.6325	0.18629	0.47706	0.00028071	0.0053351
ASB17	9	0.028095	0.61822	0.37571	0.66751	0.53643	0.68029
ASB18	19	0.039794	0.98879	0.1021	0.3619	0.32277	0.49085
ASB2	19	0.039091	1.2387	0.10381	0.36427	0.21544	0.37573
ASB3	16	0.0077207	0.14704	0.29863	0.59966	0.8831	0.93214
ASB4	15	0.11912	2.258	0.010523	0.087059	0.023945	0.14171
ASB5	12	0.14858	2.5216	0.0062571	0.060942	0.011681	0.087755
ASB6	17	-0.12792	-2.8983	0.78185	0.90966	0.0037514	0.041219
ASB7	15	0.28427	3.1177	0	0	0.0018225	0.024213
ASB8	12	0.059446	0.98815	0.1459	0.4164	0.32308	0.4909
ASB9	9	0.16102	2.2077	0.011661	0.093394	0.027265	0.15363
CISH	12	0.012869	0.27156	0.35097	0.64405	0.78596	0.86142
ELOB	6	-0.77877	-1.9353	0.015358	0.11345	0.052951	0.19295
ELOC	5	-0.57862	-1.4216	0.067691	0.28919	0.15514	0.3083
NEURL2	19	0.037315	0.93437	0.11035	0.37488	0.35011	0.51832
RAB40A	9	0.10448	1.7149	0.079636	0.31567	0.086362	0.22426
RAB40AL	6	0.11436	1.3913	0.12372	0.38718	0.16414	0.31865
RAB40B	14	-0.21867	-3.521	0.36064	0.65126	0.00042987	0.0076335
RAB40C	18	-0.088093	-1.8185	0.93515	0.98444	0.068989	0.20827
SOCS1	12	0.031745	0.44088	0.25484	0.55003	0.6593	0.76952
SOCS2	11	0.038488	0.65881	0.25398	0.54988	0.51002	0.6644
SOCS3	14	-0.069778	-2.0402	0.84044	0.93869	0.041335	0.18638
SOCS4	14	-0.026619	-0.55752	0.55262	0.80256	0.57717	0.7017
SOCS5	8	0.026267	0.2794	0.41894	0.70411	0.77994	0.85763
SOCS6	6	0.22387	2.015	0.0062571	0.060942	0.043908	0.18752
SOCS7	19	0.011257	0.25424	0.22924	0.52031	0.79931	0.87089
SPSB1	14	0.10203	1.8729	0.033845	0.1954	0.06108	0.20046
SPSB2	14	-0.13032	-2.1402	0.76138	0.90316	0.032339	0.16855
SPSB3	18	-0.26555	-2.3998	0.16354	0.44539	0.016404	0.10986
SPSB4	14	0.069451	1.0049	0.093572	0.34271	0.31494	0.48305
WSB1	14	0.12047	2.5593	0.016496	0.1191	0.010488	0.081501
WSB2	21	0.041992	1.1505	0.089875	0.33581	0.24992	0.4143
AMBRA1	10	-0.024227	-0.45924	0.62201	0.83986	0.64606	0.76069
DCAF1	22	-1.8144	-7.6317	0	0	2.3159e-14	6.2637e-12
DCAF10	15	-0.053381	-1.0553	0.71473	0.88393	0.29131	0.45889
DCAF11	17	-0.14624	-3.069	0.67036	0.86152	0.002148	0.027354
DCAF12	16	-0.089509	-2.0776	0.97127	0.99457	0.037747	0.18106
DCAF12L1	19	0.12543	2.788	0.0019909	0.024911	0.0053027	0.051934
DCAF13	10	-1.6187	-4.3902	0	0	1.1323e-05	0.00033038
DCAF15	11	0.37373	2.4951	0	0	0.012593	0.092821
