Gene	sgRNA	Ts2|beta	Ts2|z	Ts2|p-value	Ts2|fdr	Ts2|wald-p-value	Ts2|wald-fdr
AAK1	6	0.35088	0.56166	0.85182	0.97684	0.57435	0.77197
AATK	6	0.84059	0.95982	0.58732	0.95273	0.33715	0.74082
ABL1	6	0.97526	1.1067	0.47099	0.92562	0.26843	0.74082
ABL2	6	0.21046	0.57594	0.67406	0.96462	0.56466	0.76772
ACVR1	6	0.25392	0.42715	0.73208	0.96658	0.66927	0.82064
ACVR1B	6	1.4934	0.77227	0.15586	0.8026	0.43995	0.74082
ACVR1C	6	0.051535	0.089815	0.48805	0.92797	0.92843	0.96522
ACVR2A	6	0.95074	1.2256	0.49147	0.92797	0.22035	0.74082
ACVRL1	6	0.15252	0.24339	0.58845	0.95273	0.8077	0.89898
ADCK1	6	0.15249	0.35879	0.58817	0.95273	0.71975	0.84978
ADCK2	6	1.2936	0.87362	0.24516	0.85449	0.38233	0.74082
ADCK3	6	0.77392	1.0607	0.65501	0.96462	0.28883	0.74082
ADCK4	6	-0.3375	-0.92073	0.20819	0.83371	0.35719	0.74082
ADCK5	6	0.74946	0.9125	0.67804	0.96462	0.3615	0.74082
ADRBK1	6	0.094774	0.20419	0.52787	0.93737	0.8382	0.91489
ADRBK2	6	0.73351	0.87117	0.69312	0.96462	0.38366	0.74082
AK1	6	0.24237	0.51918	0.72042	0.96595	0.60363	0.78622
AK2	6	-0.41757	-0.23357	0.17378	0.8026	0.81532	0.90602
AK3	6	-0.68974	-1.0558	0.092435	0.75289	0.29104	0.74082
AKT1	6	1.0716	0.89162	0.39192	0.91039	0.3726	0.74082
AKT2	6	-0.13099	-0.22717	0.33788	0.90447	0.82029	0.90839
AKT3	6	0.98897	1.1003	0.4599	0.92562	0.2712	0.74082
ALK	6	1.2618	0.87395	0.25882	0.86749	0.38215	0.74082
AMHR2	6	0.34357	0.84882	0.84215	0.97567	0.39598	0.74082
ANKK1	6	0.6243	0.83498	0.81229	0.97441	0.40373	0.74082
ARAF	6	-0.29934	-0.58993	0.2281	0.85449	0.55524	0.76454
ATM	6	-0.71793	-1.8382	0.086177	0.74083	0.066029	0.74082
ATR	6	-1.0882	-1.7798	0.042093	0.63296	0.075115	0.74082
AURKA	6	0.38511	1.0173	0.89704	0.98509	0.309	0.74082
AURKB	6	-0.063237	-0.14396	0.38823	0.91039	0.88553	0.93973
AURKC	6	-0.70904	-1.2477	0.088168	0.74519	0.21216	0.74082
AXL	6	-0.11949	-0.2594	0.34841	0.9051	0.79533	0.89063
BCR	6	-0.079057	-0.069198	0.37799	0.91039	0.94483	0.97249
BLK	6	0.11043	0.22196	0.54039	0.9434	0.82435	0.90927
BMP2K	6	0.30964	0.54955	0.80091	0.97441	0.58263	0.7748
BMPR1A	6	0.15558	0.32419	0.59272	0.9529	0.74579	0.86484
BMPR1B	6	1.9463	0.66471	0.042662	0.63296	0.50624	0.74986
BMPR2	6	0.68684	1.0163	0.7446	0.9687	0.30948	0.74082
BRAF	6	0.29628	0.49434	0.78527	0.97441	0.62106	0.79608
BRSK1	6	0.3625	0.81972	0.86547	0.97785	0.41238	0.74082
BRSK2	6	0.87889	0.9267	0.55432	0.94402	0.35408	0.74082
BTK	6	1.0231	0.94602	0.43174	0.92349	0.34414	0.74082
BUB1	6	-1.8237	-3.3992	0.020478	0.62736	0.00067575	0.063544
BUB1B	6	1.5177	0.88149	0.14676	0.7963	0.37805	0.74082
CAMK1	6	0.86148	0.92798	0.56485	0.94707	0.35342	0.74082
CAMK1D	6	1.3126	0.95123	0.23578	0.85449	0.34149	0.74082
CAMK1G	6	0.26781	0.61295	0.75057	0.96957	0.53991	0.76116
CAMK2A	6	0.87316	0.92651	0.5583	0.94428	0.35418	0.74082
CAMK2B	6	0.95478	1.0852	0.4872	0.92797	0.27784	0.74082
CAMK2D	6	0.23125	0.43642	0.7025	0.96462	0.66253	0.81735
CAMK2G	6	-0.52408	-1.0544	0.13737	0.79022	0.29168	0.74082
CAMK4	6	-1.2569	-2.8778	0.033561	0.62736	0.0040046	0.26075
CAMKK1	6	0.22492	0.59206	0.69568	0.96462	0.55381	0.76451
CAMKK2	6	-1.0788	-0.70775	0.042947	0.63296	0.4791	0.74227
CAMKV	6	0.65206	0.8917	0.78242	0.97441	0.37256	0.74082
CASK	6	0.76417	0.93229	0.66496	0.96462	0.35118	0.74082
CDC42BPA	6	0.4937	1.4403	0.96672	0.9962	0.14979	0.74082
CDC42BPB	6	0.71457	0.94112	0.71331	0.96462	0.34665	0.74082
CDC42BPG	6	-0.071614	-0.20865	0.38254	0.91039	0.83472	0.91337
CDC7	6	-0.059352	-0.094593	0.39221	0.91039	0.92464	0.9627
CDK1	8	-0.20372	-0.78275	0.23151	0.85449	0.43377	0.74082
CDK10	6	-1.5325	-2.0777	0.026451	0.62736	0.037738	0.74082
CDK11A	6	-0.12949	-0.30102	0.33817	0.90447	0.7634	0.87324
CDK11B	6	0.92579	1.0498	0.50995	0.92916	0.29379	0.74082
CDK12	6	0.3254	0.55766	0.82167	0.97441	0.57708	0.77197
CDK13	6	1.2174	0.87225	0.2884	0.89253	0.38307	0.74082
CDK14	6	0.60267	0.81326	0.83646	0.97567	0.41607	0.74082
CDK15	6	0.44394	0.68691	0.97611	0.99686	0.49214	0.74504
CDK16	6	1.933	0.61205	0.045791	0.63296	0.5405	0.76116
CDK17	6	0.43606	0.68443	0.96587	0.9962	0.4937	0.74529
CDK18	6	1.6087	0.88927	0.11974	0.79022	0.37386	0.74082
CDK2	6	-2.0197	-3.9377	0.017065	0.62736	8.2277e-05	0.0082653
CDK20	6	0.65407	0.74976	0.77986	0.97441	0.4534	0.74146
CDK3	6	0.28589	1.0833	0.77275	0.97441	0.27868	0.74082
CDK4	6	-0.33238	-0.86099	0.21246	0.83498	0.38924	0.74082
CDK5	6	0.99015	0.87238	0.45961	0.92562	0.383	0.74082
CDK6	6	-0.26062	-0.60402	0.24772	0.85449	0.54583	0.7613
CDK7	6	-0.17051	-0.35095	0.30546	0.89253	0.72563	0.85385
CDK9	11	-0.3914	-1.3095	0.074516	0.69634	0.19038	0.74082
CDKL1	6	1.0326	1.0649	0.42463	0.92251	0.28694	0.74082
CDKL2	6	1.3341	0.89927	0.22355	0.84698	0.36851	0.74082
