sgRNA,Gene,HCT116-Ts8.initial,HCT116-Ts8.final
TMPRSS11B_1251.35,TMPRSS11B,1755,5091
ZNF212_E5_66.0,ZNF212,1325,3769
PBX1_E5_136.9,PBX1,1368,4212
NFATC3_E4_200.2,NFATC3,874,3158
EN1_E2_180.21,EN1,719,2260
PBRM1_Bah11301248_E1_4749.15,PBRM1,593,2158
CUL3_2325.14,CUL3,559,689
NR2E3_E3_104.11,NR2E3,411,1432
ZIC5_E1_118.17,ZIC5,539,1371
HSFX2_E1_273.12,HSFX2,994,3728
DPP8_2697.102,DPP8,693,2143
PRSS36_2568.161,PRSS36,658,2451
neg40,neg40,2728,10849
KCNA6_BTB43134_E1_1590.318,KCNA6,294,917
KDM4A_tudor897953_E1_3195.183,KDM4A,185,534
MEP1A_2241.272,MEP1A,329,965
ADNP_E6_126.5,ADNP,1094,3078
ZNF639_E7_747.3,ZNF639,805,2187
LONP2_2559.228,LONP2,569,926
ZBTB20_BTB94196_E1_2226.15,ZBTB20,500,1279
HSF1_E2_109.1,HSF1,533,817
ZNF563_E4_579.27,ZNF563,478,1603
SPOPL_BTB190297_E1_1179.38,SPOPL,587,1855
SEC11A_558.29,SEC11A,476,1690
ATF2_E12_133.0,ATF2,1190,3554
KDM4B_e9_96.5,KDM4B,253,713
ESX1_E2_89.2,ESX1,395,1130
ZNF354A_E5_1209.10,ZNF354A,579,1527
LACTB_1644.113,LACTB,323,1309
POU4F3_E2_177.2,POU4F3,542,2201
TRIM59_1212.9,TRIM59,791,2278
USP16_2472.82,USP16,343,610
SKP2_1275.27,SKP2,672,1713
ZNF382_E5_765.86,ZNF382,245,831
NHLRC1_1188.6,NHLRC1,319,810
LMX1B_E4_84.10,LMX1B,663,2956
UBE2G1_513.45,UBE2G1,377,1395
ADAMTS14_3681.674,ADAMTS14,863,1978
KDM4C_e8_96.5,KDM4C,1435,3740
NPEPL1_1572.48,NPEPL1,165,433
AMBRA1_3906.692,AMBRA1,772,3063
ZNF317_E7_1077.34,ZNF317,375,1050
MPND_1416.239,MPND,277,635
ZNF541_E12_78.2,ZNF541,875,2253
RFX7_E4_101.10,RFX7,234,904
KDM5A_e12_163.8,KDM5A,545,1948
ZNF302_E6_495.11,ZNF302,886,2666
ZCWPW1_CW256303_E1_1947.6,ZCWPW1,358,1080
NR1D1_E5_248.53,NR1D1,1050,2574
NKX6_1_E2_135.11,NKX6,768,2639
ZNF219_E5_38.1,ZNF219,1094,3365
SUV39H1_Chromo_E3_108.1,SUV39H1,157,672
ENDOU_1233.68,ENDOU,867,2107
RPS6KA1_PKc2_E17_159,RPS6KA1,215,603
SHPRH_H_e27_179.16,SHPRH,929,3230
F7_1401.96,F7,323,1738
ASCL2_E2_126.8,ASCL2,326,609
neg18,neg18,2458,10375
HKR1_E6_1070.123,HKR1,785,3129
FBXL12_981.10,FBXL12,120,278
ANKIB1_3270.274,ANKIB1,747,2227
ASB6_1266.113,ASB6,247,757
KLHL20_BTB59165_E1_1830.197,KLHL20,435,1172
ZNF25_E6_930.61,ZNF25,1162,3866
TMPRSS4_1314.63,TMPRSS4,355,1689
MLL5_e13_110.2,MLL5,1343,3204
NFKB1_E5_99.3,NFKB1,721,3314
ZNF586_E3_495.6,ZNF586,678,2492
PLAG1_E4_110.2,PLAG1,1833,6439
ZMYND8_BD_e7_88.6,ZMYND8,546,1417
FBXO40_6,FBXO40,451,1217
FOXQ1_E1_237.3,FOXQ1,180,518
ZNF197_E6_1911.23,ZNF197,1004,3410
TPSD1_729.87,TPSD1,495,1296
ZNF580_E1_237.34,ZNF580,552,1691
ZNF10_E5_666.53,ZNF10,821,2253
ZNF358_E2_741.32,ZNF358,499,1039
RCHY1_720.40,RCHY1,554,2143
ZNF519_E3_1131.9,ZNF519,1176,3497
TRIM63_1062.50,TRIM63,580,1643
FBXO34_2136.164,FBXO34,710,2636
PITX3_E3_135.9,PITX3,303,667
JADE2_Phd_E4_158.2,JADE2,160,411
KLHL9_BTB40146_E1_1854.22,KLHL9,596,2193
TRIM13_1224.0,TRIM13,642,2032
ZNF566_E5_570.15,ZNF566,1338,4015
ZNF567_E6_1281.4,ZNF567,1490,4643
ASH1L_Phd_E20_63.0,ASH1L,321,1147
LEUTX_E2_73.1,LEUTX,1279,5402
ZNF628_E3_1746.168,ZNF628,211,716
NKX2_6_E2_177.17,NKX2,232,704
OVCH2_1698.2,OVCH2,789,2533
TAOK1_PKc_E6_97.2,TAOK1,121,1080
MMP27_1542.151,MMP27,688,2164
POU6F2_E11_174.14,POU6F2,517,1845
ZNF660_E3_825.64,ZNF660,483,1383
RING1_1221.226,RING1,609,1465
